序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,5,258.950,0.110
2,2018-09-30,1,"10,779.410",2.770
3,2018-06-30,4,"12,393.740",2.910
4,2018-03-31,2,"13,018.500",2.780
5,2017-12-31,7,"13,878.940",2.850
6,2017-09-30,1,"14,278.240",3.590
7,2017-06-30,23,"18,109.190",4.520
8,2017-03-31,2,"15,925.230",3.700
9,2016-12-31,24,"3,120.960",0.690
10,2016-09-30,2,"5,869.670",1.250
11,2016-06-30,22,"27,268.580",5.300
12,2016-03-31,1,2.180,0.000
13,2015-12-31,23,"15,707.420",2.660
14,2015-09-30,4,"5,394.000",1.170
15,2015-06-30,5,178.250,0.020
16,2015-03-31,1,"3,907.090",1.130
17,2014-12-31,3,777.870,0.330
18,2014-09-30,2,459.490,0.190
19,2014-06-30,1,97.000,0.050
20,2013-12-31,2,"1,216.080",0.730
21,2013-06-30,2,820.810,0.630
22,2013-03-31,1,"1,868.000",1.230
23,2012-12-31,1,91.200,0.060
24,2012-06-30,1,118.340,0.060
25,2011-12-31,2,462.570,0.330
26,2011-09-30,2,"1,625.320",0.910
27,2011-06-30,2,839.260,0.380
28,2010-06-30,2,"5,472.330",6.120
29,2010-03-31,1,"1,234.810",1.040
30,2009-03-31,1,"2,108.570",3.660
31,2007-06-30,1,551.280,0.950
32,2007-03-31,5,"10,382.980",14.930
33,2006-12-31,9,"8,260.940",20.320
34,2006-06-30,3,634.800,2.030
35,2006-03-31,2,507.480,2.110
36,2005-12-31,2,295.750,1.340
37,2005-09-30,3,"2,790.330",10.700
38,2005-06-30,2,125.740,0.480
39,2004-12-31,2,270.060,0.810
40,2004-09-30,1,404.180,1.100
41,2004-06-30,5,748.350,1.730
42,2004-03-31,1,2.400,
