序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,217,"397,534.570",21.820
2,2017-09-30,33,"133,495.420",8.640
3,2017-06-30,69,"63,178.570",4.880
4,2017-03-31,3,"11,885.420",1.110
5,2016-12-31,35,"22,070.270",1.920
6,2016-09-30,2,"6,426.570",0.490
7,2016-06-30,47,"101,668.000",6.180
8,2016-03-31,9,"97,840.310",7.800
9,2015-12-31,35,"144,603.810",11.100
10,2015-09-30,17,"92,581.820",9.050
11,2015-06-30,50,"143,769.800",11.630
12,2015-03-31,11,"130,596.230",9.880
13,2014-12-31,36,"69,971.040",8.770
14,2014-09-30,8,"51,313.300",5.440
15,2014-06-30,52,"71,911.040",26.580
16,2014-03-31,6,"25,428.560",12.450
17,2013-12-31,56,"101,873.990",40.960
18,2013-09-30,8,"43,151.490",20.100
19,2013-06-30,29,"46,653.010",26.550
20,2013-03-31,8,"15,621.610",9.880
21,2012-12-31,7,864.710,0.700
22,2012-09-30,1,"3,008.620",2.630
23,2012-06-30,4,186.190,0.220
24,2011-12-31,3,564.540,0.710
25,2011-09-30,8,"3,711.320",4.420
