序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,25,"51,560.720",0.060
2,2018-12-31,228,"135,024.080",0.230
3,2018-09-30,29,"51,105.060",0.080
4,2018-06-30,299,"277,435.640",0.440
5,2018-03-31,39,"232,808.340",0.320
6,2017-12-31,418,"574,402.820",0.670
7,2017-09-30,66,"347,295.190",0.440
8,2017-06-30,375,"547,059.350",0.720
9,2017-03-31,70,"267,686.970",0.370
10,2016-12-31,221,"371,229.900",0.550
11,2016-09-30,28,"175,210.940",0.290
12,2016-06-30,152,"285,507.460",0.490
13,2016-03-31,24,"206,555.640",0.310
14,2015-12-31,195,"462,025.420",0.580
15,2015-09-30,25,"287,690.650",0.400
16,2015-06-30,168,"342,606.330",0.390
17,2015-03-31,36,"269,045.480",0.260
18,2014-12-31,299,"986,900.740",1.020
19,2014-09-30,8,"21,994.420",0.050
20,2014-06-30,97,"114,129.820",0.300
21,2014-03-31,7,"38,318.990",0.100
22,2013-12-31,122,"232,774.460",0.540
23,2013-09-30,8,"104,633.510",0.270
24,2013-06-30,114,"258,283.820",0.670
25,2013-03-31,20,"178,098.190",0.370
26,2012-12-31,232,"1,000,643.240",1.650
27,2012-09-30,53,"376,715.930",0.710
28,2012-06-30,174,"592,087.010",1.140
29,2012-03-31,28,"193,209.590",0.420
30,2011-12-31,150,"571,375.840",1.150
31,2011-09-30,7,"36,489.900",0.090
32,2011-06-30,90,"237,329.200",0.450
33,2011-03-31,8,"41,009.940",0.070
34,2010-12-31,100,"462,271.370",0.770
35,2010-09-30,9,"163,447.590",0.270
36,2010-06-30,121,"1,001,279.540",1.430
37,2010-03-31,29,"507,652.950",0.630
38,2009-12-31,171,"1,575,028.270",5.560
39,2009-09-30,37,"525,812.290",2.120
40,2009-06-30,142,"1,370,105.100",5.560
41,2009-03-31,34,"588,094.430",2.860
42,2008-12-31,146,"1,006,054.670",6.030
43,2008-09-30,56,"912,960.430",4.040
44,2008-06-30,124,"979,001.810",4.580
45,2008-03-31,15,"362,805.900",1.440
46,2007-12-31,153,"2,717,232.260",5.620
47,2007-09-30,41,"1,524,574.990",2.930
48,2007-06-30,146,"1,647,066.220",4.790
49,2007-03-31,31,"498,781.650",1.760
50,2006-12-31,179,"160,539.590",1.200
