序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,14,"7,166.700",0.040
2,2018-12-31,292,"313,880.120",1.720
3,2018-09-30,18,"14,852.730",0.070
4,2018-06-30,204,"81,475.810",0.440
5,2018-03-31,5,"14,999.230",0.070
6,2017-12-31,220,"61,757.110",0.300
7,2017-09-30,18,"27,645.960",0.110
8,2017-06-30,311,"162,901.650",0.630
9,2017-03-31,63,"119,387.990",0.410
10,2016-12-31,197,"127,340.130",0.520
11,2016-09-30,18,"32,719.060",0.180
12,2016-06-30,141,"60,964.160",0.360
13,2016-03-31,17,"44,339.650",0.220
14,2015-12-31,141,"82,912.330",0.380
15,2015-09-30,11,"25,601.490",0.130
16,2015-06-30,121,"118,380.980",0.420
17,2015-03-31,7,"1,025.070",0.000
18,2014-12-31,148,"220,815.850",2.750
19,2014-09-30,4,930.680,0.030
20,2014-06-30,78,"27,702.150",1.280
21,2014-03-31,1,218.050,0.010
22,2013-12-31,87,"36,267.960",1.550
23,2013-09-30,3,"3,797.560",0.160
24,2013-06-30,85,"59,983.020",2.560
25,2013-03-31,4,"18,363.760",0.640
26,2012-12-31,71,"117,227.660",3.960
27,2012-09-30,5,"10,568.790",0.460
28,2012-06-30,16,"39,644.040",1.470
29,2012-03-31,20,"79,812.440",2.720
