序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,9,"2,527.480",0.370
2,2017-09-30,2,934.120,0.410
3,2017-06-30,17,"17,749.020",7.520
4,2017-03-31,5,"21,289.080",8.260
5,2016-12-31,38,"75,463.160",24.420
6,2016-09-30,9,"66,743.720",25.830
7,2016-06-30,38,"111,316.750",39.350
8,2016-03-31,12,"103,873.150",30.440
9,2015-12-31,43,"174,682.210",44.120
10,2015-09-30,12,"85,707.020",34.690
11,2015-06-30,40,"136,913.100",51.640
12,2015-03-31,12,"89,374.200",36.140
13,2014-12-31,16,"44,545.810",26.270
14,2014-09-30,15,"1,031.280",
