序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,15,"58,097.140",2.190
2,2018-12-31,169,"140,566.970",6.240
3,2018-09-30,21,"57,782.310",2.420
4,2018-06-30,130,"126,920.990",4.580
5,2018-03-31,12,"19,304.520",2.420
6,2017-12-31,89,"60,008.340",7.320
7,2017-09-30,8,"5,679.030",0.730
8,2017-06-30,70,"46,641.880",5.720
9,2017-03-31,1,"10,261.150",2.050
10,2016-12-31,59,"37,045.680",7.430
11,2016-09-30,10,"37,894.170",6.960
12,2016-06-30,86,"72,813.330",13.290
13,2016-03-31,8,"36,757.270",10.620
14,2015-12-31,62,"46,801.780",10.070
15,2015-09-30,20,"59,848.500",17.450
16,2015-06-30,41,"10,251.340",2.190
