序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,38,"166,438.990",4.890
2,2018-12-31,221,"386,518.740",13.890
3,2018-09-30,69,"305,067.900",10.690
4,2018-06-30,185,"363,586.780",12.520
5,2018-03-31,49,"213,048.440",7.540
6,2017-12-31,135,"223,229.160",40.410
7,2017-09-30,29,"101,447.710",21.750
8,2017-06-30,69,"99,189.810",25.450
9,2017-03-31,16,"42,565.710",10.660
10,2016-12-31,59,"85,885.790",21.070
11,2016-09-30,15,"50,166.000",12.370
12,2016-06-30,45,"72,956.470",18.400
13,2016-03-31,10,"38,306.080",9.080
14,2015-12-31,58,"79,319.150",31.430
15,2015-09-30,7,"29,881.660",14.910
16,2015-06-30,49,"68,238.270",28.390
17,2015-03-31,7,"23,893.770",11.690
