科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"26,542,866,042.00","56,600,449,000.00","72,225,833,000.00","111,371,414,000.00","5,570,315,000.00","47,938,383,000.00","100,064,881,000.00","104,701,106,000.00","21,429,050,000.00","37,901,135,000.00","110,377,080,000.00","139,269,639,000.00","53,067,191,000.00","89,107,372,000.00","104,400,524,000.00","110,133,550,000.00","24,850,598,000.00","44,385,598,000.00","101,881,640,000.00","198,003,471,000.00","32,667,391,000.00","95,831,205,000.00","139,805,549,000.00","213,202,127,000.00","167,990,000,000.00","244,287,000,000.00","287,241,000,000.00","443,713,000,000.00","112,591,000,000.00","221,765,000,000.00","358,541,000,000.00","391,968,000,000.00","122,185,000,000.00","254,182,000,000.00","577,505,000,000.00","732,920,000,000.00","409,509,000,000.00","994,034,000,000.00","1,626,197,000,000.00","1,765,550,000,000.00","281,512,000,000.00","346,100,000,000.00","403,935,000,000.00","628,623,000,000.00","113,266,000,000.00"
客户存款和同业存放款项净增加额,"20,174,905,438.00","41,624,613,000.00","64,518,628,000.00","64,390,171,000.00","48,739,996,000.00","81,895,709,000.00","76,032,426,000.00","82,911,325,000.00","42,120,909,000.00","62,774,902,000.00","97,903,539,000.00","132,197,813,000.00","29,562,150,000.00","25,353,343,000.00","70,906,428,000.00","116,507,521,000.00","77,811,980,000.00","108,033,842,000.00","115,297,560,000.00","126,046,578,000.00","157,840,965,000.00","267,049,171,000.00","248,889,240,000.00","369,060,887,000.00","213,492,000,000.00","197,233,000,000.00","273,422,000,000.00","292,403,000,000.00","215,591,000,000.00","233,360,000,000.00","209,625,000,000.00","250,529,000,000.00","77,043,000,000.00","310,838,000,000.00","239,398,000,000.00","125,000,000,000.00","108,325,000,000.00","111,455,000,000.00","113,563,000,000.00","267,773,000,000.00",,,"3,641,000,000.00","115,803,000,000.00","59,227,000,000.00"
取得投资收益收到的现金,"146,474,252.00","546,532,000.00","874,320,000.00","680,642,000.00","170,512,000.00","356,635,000.00","1,439,190,000.00","1,509,948,000.00","331,725,000.00","863,398,000.00","1,907,322,000.00","2,490,274,000.00","305,625,000.00","1,426,558,000.00","2,185,050,000.00","3,275,000,000.00","367,836,000.00","1,657,190,000.00","3,411,571,000.00","6,590,988,000.00","2,395,847,000.00","5,235,395,000.00","8,062,359,000.00","11,655,515,000.00","4,880,000,000.00","8,785,000,000.00","12,611,000,000.00","17,345,000,000.00","6,053,000,000.00","11,537,000,000.00","18,173,000,000.00","24,351,000,000.00","6,843,000,000.00","14,475,000,000.00","21,044,000,000.00","26,588,000,000.00","7,219,000,000.00","14,070,000,000.00","21,757,000,000.00","27,979,000,000.00","8,120,000,000.00","15,915,000,000.00","24,149,000,000.00","30,943,000,000.00","7,281,000,000.00"
向中央银行借款净增加额,,"86,410,000.00",,,,,,,,,,,,"1,203,900,000.00","2,099,269,000.00","2,218,199,000.00","846,892,000.00",,,,"120,493,000.00","25,098,681,000.00","24,668,709,000.00","15,011,316,000.00",,,,,,,,"453,000,000.00","1,318,000,000.00","141,000,000.00","803,000,000.00","235,000,000.00",,"38,028,000,000.00","7,553,000,000.00","15,138,000,000.00","5,922,000,000.00","64,907,000,000.00","96,421,000,000.00","110,255,000,000.00","14,245,000,000.00"
收到其他与投资活动有关的现金,"67,299,343.00","16,887,000.00","262,909,000.00","128,240,000.00","1,804,000.00","12,873,000.00","18,242,000.00","103,977,000.00","13,943,000.00","252,000.00","834,000.00","672,000.00",,"3,465,000.00","1,248,000.00","9,954,000.00","83,000.00","1,536,000.00","3,437,000.00","31,368,215,000.00",,,,"110,779,000.00",,"15,000,000.00","29,000,000.00","28,000,000.00",,"6,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,"9,000,000.00",,"4,000,000.00","4,000,000.00","32,000,000.00",
向其他金融机构拆入资金净增加额,"51,540,500.00","2,175,380,000.00","2,109,016,000.00","2,640,297,000.00","1,497,386,000.00",,"779,829,000.00","5,080,000,000.00","12,171,590,000.00","6,895,126,000.00","1,190,072,000.00","190,118,000.00","1,429,882,000.00",,"4,132,887,000.00",,,,"500,337,000.00",,,,,,,,,,,,,,,,,,,,"785,000,000.00",,"6,928,000,000.00",,,,
投资活动现金流入小计,"26,756,639,637.00","57,163,868,000.00","73,363,062,000.00","112,180,296,000.00","5,742,630,000.00","48,307,891,000.00","101,522,313,000.00","106,315,031,000.00","21,774,718,000.00","38,764,785,000.00","112,285,236,000.00","141,760,585,000.00","53,372,816,000.00","90,537,395,000.00","106,586,822,000.00","113,418,504,000.00","25,218,517,000.00","46,044,324,000.00","105,296,648,000.00","235,962,674,000.00","35,063,238,000.00","101,066,600,000.00","147,867,908,000.00","224,968,421,000.00","172,870,000,000.00","253,087,000,000.00","299,881,000,000.00","461,086,000,000.00","118,644,000,000.00","233,308,000,000.00","376,721,000,000.00","416,326,000,000.00","129,028,000,000.00","268,657,000,000.00","598,549,000,000.00","759,508,000,000.00","416,728,000,000.00","1,008,104,000,000.00","1,647,954,000,000.00","1,793,538,000,000.00","289,632,000,000.00","362,019,000,000.00","428,088,000,000.00","659,598,000,000.00","120,547,000,000.00"
收取利息、手续费及佣金的现金,"3,146,182,788.00","7,003,993,000.00","11,369,467,000.00","16,685,740,000.00","5,940,196,000.00","12,538,797,000.00","18,121,301,000.00","24,691,230,000.00","5,461,874,000.00","10,513,966,000.00","15,494,567,000.00","20,713,796,000.00","5,525,798,000.00","11,462,392,000.00","17,653,773,000.00","21,206,937,000.00","6,029,637,000.00","14,272,630,000.00","26,767,390,000.00","40,511,111,000.00","15,950,610,000.00","32,258,776,000.00","48,979,107,000.00","65,517,717,000.00","17,727,000,000.00","38,604,000,000.00","60,286,000,000.00","83,017,000,000.00","24,808,000,000.00","51,861,000,000.00","79,897,000,000.00","109,205,000,000.00","31,341,000,000.00","65,958,000,000.00","98,793,000,000.00","130,849,000,000.00","32,860,000,000.00","66,319,000,000.00","99,405,000,000.00","130,259,000,000.00","35,597,000,000.00","74,390,000,000.00","113,328,000,000.00","154,707,000,000.00","44,500,000,000.00"
投资支付的现金,"29,682,883,926.00","59,640,013,000.00","82,205,472,000.00","123,539,875,000.00","11,761,472,000.00","62,418,139,000.00","131,188,175,000.00","133,691,351,000.00","24,203,652,000.00","36,809,587,000.00","105,681,285,000.00","156,416,547,000.00","60,019,631,000.00","92,103,381,000.00","113,462,799,000.00","127,241,139,000.00","32,969,875,000.00","67,617,881,000.00","139,217,011,000.00","226,275,601,000.00","48,371,275,000.00","122,715,061,000.00","184,130,056,000.00","300,992,437,000.00","213,208,000,000.00","316,802,000,000.00","395,148,000,000.00","546,347,000,000.00","109,355,000,000.00","247,075,000,000.00","403,221,000,000.00","466,974,000,000.00","150,547,000,000.00","316,878,000,000.00","630,866,000,000.00","852,200,000,000.00","511,273,000,000.00","1,131,405,000,000.00","1,744,210,000,000.00","1,893,109,000,000.00","336,716,000,000.00","420,161,000,000.00","445,698,000,000.00","692,912,000,000.00","117,298,000,000.00"
