科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"4,114,138,824.22","11,096,520,942.19","14,173,465,879.06","35,526,611,301.94","6,400,435,839.58","17,255,013,019.21","22,541,912,977.14","40,991,779,214.96","8,164,318,688.66","21,808,652,427.82","29,543,838,457.46","48,881,013,143.49","7,504,969,754.53","16,766,330,449.76","22,380,429,859.16","50,713,851,442.63","7,970,255,508.29","19,988,838,077.14","29,308,369,223.23","71,782,749,800.68","10,345,911,610.85","30,722,991,215.82","46,128,221,600.95","103,116,245,136.42","13,999,905,876.13","41,390,345,567.72","63,415,318,186.37","135,418,791,080.35","9,497,216,581.95","40,961,902,094.71","63,139,592,563.49","146,388,004,498.44","8,894,338,157.14","50,266,797,992.53","79,596,209,996.91","195,549,130,020.90","14,611,312,019.58","74,795,294,306.29","117,054,800,129.06","240,477,236,923.34","18,589,228,819.05","69,810,477,567.49","117,100,503,696.73","242,897,110,250.52","30,825,615,283.99","105,974,537,269.94","176,022,139,199.75","297,679,331,103.19","48,374,630,775.09"
二、营业利润,"829,587,980.15","2,541,192,210.72","2,976,200,412.24","7,652,897,499.73","1,028,143,668.04","3,327,479,350.53","3,758,330,381.71","6,364,789,552.07","1,231,593,896.34","4,190,846,869.84","5,022,741,585.01","8,685,082,798.00","1,541,948,905.40","4,118,305,474.26","5,008,143,982.91","11,894,885,308.23","1,648,888,822.88","4,417,871,993.33","5,603,083,790.69","15,763,216,697.19","2,036,895,217.18","6,012,329,738.20","8,152,930,727.08","21,013,040,794.06","2,395,144,445.56","7,105,211,007.75","9,970,471,509.73","24,261,338,387.14","2,017,750,434.26","6,856,260,391.03","9,557,660,289.88","24,979,358,867.78","1,169,822,711.92","8,718,934,358.80","12,353,698,401.73","33,122,777,302.51","1,646,600,783.53","9,904,605,249.00","15,787,300,604.87","39,023,778,797.86","1,559,008,233.09","13,661,653,665.83","20,687,675,083.97","50,812,916,408.40","2,971,064,333.17","19,629,139,535.89","31,654,122,861.83","67,498,612,522.27","5,885,526,191.83"
减:营业成本,"2,280,512,837.18","6,046,315,357.92","7,516,309,610.30","20,607,338,964.44","3,925,912,602.33","10,171,411,545.62","13,416,159,543.85","25,005,274,464.91","5,404,078,573.96","15,007,303,368.20","20,618,995,957.09","34,514,717,705.00","4,749,115,444.95","10,239,748,864.29","13,696,153,473.17","30,073,495,231.18","4,068,773,609.46","10,992,730,405.83","17,044,419,257.51","43,228,163,602.13","6,022,296,925.45","19,274,445,195.45","28,885,540,216.07","65,421,614,348.00","8,801,586,374.70","27,488,879,049.60","43,030,790,288.57","92,797,650,762.81","5,706,277,172.09","28,298,414,139.65","44,157,105,583.25","102,557,063,731.11","5,870,110,226.47","34,960,814,798.91","56,467,158,104.29","138,150,628,676.24","9,967,696,885.63","55,117,487,905.70","86,003,585,977.58","169,742,403,431.77","13,048,871,982.50","47,015,024,669.37","79,943,369,965.46","160,079,915,903.43","20,291,895,150.26","69,479,913,436.33","114,832,332,139.32","186,104,224,241.81","31,422,241,430.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"512,349,138.71","1,310,168,300.51","1,700,618,268.87","4,115,772,993.85","647,680,675.15","2,039,138,265.25","2,480,041,608.76","4,533,872,994.46","855,571,912.30","1,635,821,548.09","2,209,992,143.41","3,602,580,351.82","745,505,790.15","1,698,341,175.00","2,225,886,334.54","5,624,108,804.74","1,094,144,709.05","2,523,089,527.29","3,492,173,807.32","7,778,786,086.49","1,146,408,696.75","3,300,682,282.69","5,249,540,137.22","10,916,297,537.10","1,327,261,361.29","4,109,273,223.40","5,851,811,842.70","11,544,998,138.82","905,257,221.26","3,740,227,449.78","5,729,750,412.19","13,166,745,863.90","753,890,851.96","4,411,735,616.20","6,923,134,688.98","17,980,426,847.11","1,265,343,206.27","6,284,562,411.14","10,080,222,399.21","21,978,754,590.73","1,351,479,634.94","5,160,693,843.77","9,443,711,174.69","19,722,230,687.35","2,552,262,406.50","7,502,038,722.41","12,658,192,085.20","23,176,062,239.30","4,437,555,869.55"
营业外收入,"5,779,974.20","10,041,504.23","13,869,035.45","31,457,800.24","6,422,987.70","40,967,532.47","46,236,970.04","57,455,149.70","15,638,121.35","45,918,307.93","75,145,983.26","70,678,786.74","18,487,593.75","42,932,950.60","72,035,544.34","71,727,162.82","29,698,586.11","42,370,359.38","65,286,117.71","76,186,678.42","28,522,763.26","49,410,165.10","75,934,553.87","144,645,173.12","18,529,375.10","55,708,930.55","78,159,012.02","118,969,557.11","37,129,416.93","304,748,592.97","338,714,512.93","351,866,385.65","38,088,163.77","98,297,119.41","205,045,684.58","855,431,507.24","56,889,576.73","114,506,083.63","230,509,186.19","398,311,678.19","49,057,546.21","323,985,167.58","420,392,938.76","723,287,994.91","63,548,593.20","201,106,028.33","279,712,250.00","474,497,187.13","117,886,759.56"
销售费用,"184,099,938.25","406,959,103.69","711,143,642.86","1,194,543,702.00","278,414,498.13","709,183,337.34","1,133,777,027.44","1,860,350,084.01","238,578,263.06","551,447,478.82","934,484,165.61","1,513,716,869.35","293,290,365.10","606,401,577.33","1,006,726,765.61","2,079,092,848.94","393,521,353.24","956,748,185.17","1,689,365,264.12","2,556,775,062.26","582,236,412.73","1,238,381,864.65","2,104,935,827.84","3,056,377,656.90","623,399,229.48","1,431,103,459.29","2,321,670,644.72","3,864,713,570.44","710,554,989.67","1,542,285,908.15","2,575,251,473.43","4,521,889,478.29","687,244,214.98","1,548,692,385.89","2,672,575,879.81","4,138,273,594.93","726,595,796.37","2,045,221,097.89","3,327,746,603.79","5,160,715,903.60","1,008,335,412.33","2,102,697,423.47","3,658,524,431.78","6,261,981,320.76","1,276,146,543.21","2,808,312,262.36","4,485,487,066.26","7,868,075,611.02","1,371,392,084.53"
减:营业外支出,"4,620,752.72","24,689,421.46","36,400,806.55","42,749,614.64","11,738,834.05","40,490,493.14","54,146,042.26","99,959,075.74","19,549,784.17","45,759,819.53","80,808,401.41","138,333,776.65","8,825,659.03","13,098,074.20","17,433,708.81","25,859,892.03","4,132,686.45","8,433,694.49","18,174,255.15","33,520,955.29","7,275,166.30","13,067,915.16","62,881,797.59","87,500,829.07","18,788,317.24","27,507,632.79","47,596,251.69","89,296,694.95","15,681,977.44","38,534,238.21","65,601,749.33","78,862,019.94","23,645,754.76","40,223,780.82","64,302,235.88","175,591,190.65","16,221,764.51","38,768,487.04","56,637,957.93","168,478,749.77","36,534,609.90","158,727,455.88","206,475,836.08","394,251,737.90","35,310,927.06","162,400,656.19","271,728,377.55","512,908,318.42","131,713,306.23"
管理费用,"279,078,879.96","586,131,153.70","986,294,628.00","1,763,765,823.49","371,606,638.70","816,743,868.44","1,003,705,599.45","1,530,799,165.46","282,814,192.37","569,032,075.09","887,374,561.72","1,441,986,772.29","309,252,998.83","563,265,786.80","866,287,767.48","1,846,369,257.59","562,678,787.41","870,243,389.76","1,271,355,291.69","2,578,214,642.30","506,456,706.84","843,801,467.17","1,596,506,826.61","2,780,308,041.10","572,734,921.67","1,192,208,746.81","1,881,104,534.72","3,002,837,563.15","665,240,868.64","1,409,092,634.14","2,092,866,817.66","3,902,617,687.02","712,851,878.37","1,418,226,266.60","2,264,474,093.82","4,745,249,792.81","1,142,819,695.86","2,176,466,310.87","3,171,476,438.49","6,800,561,936.62","1,477,469,129.58","2,604,622,562.22","5,330,651,669.11","8,865,714,082.09","2,218,197,105.13","4,342,880,662.02","6,614,035,546.09","10,340,805,184.61","2,639,014,423.19"
其中:非流动资产处置净损失,"10,523.41","71,033.29","294,672.27","675,525.30",,"325,887.54","945,811.05","2,336,423.46","115,925.68","-976,312.21","-869,566.06","1,577,638.38","56,884.09","871,183.35","43,632.69","1,211,776.17","77,229.56","475,164.03","626,267.89","1,144,283.45","203,527.13","338,257.46","389,277.20","6,068,873.87","6,237,089.14","6,462,168.06","6,564,525.96","6,820,073.10","2,030,048.66","2,326,754.56","2,405,652.06","3,171,365.54","614,562.20","476,565.28","589,328.94","1,840,489.59","748,927.48","2,747,028.50","3,275,853.74","3,544,743.69","54,112.04","574,797.74","5,605,764.27",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"25,926,857.04","178,146,913.56","279,083,915.36","359,500,074.40","133,089,160.45","200,770,605.80","272,855,453.47","657,253,346.42","184,318,797.17","237,104,136.49","424,340,296.90","573,680,423.04","105,592,294.39","261,326,497.46","297,152,201.29","504,227,742.57","149,239,657.85","191,674,254.48","194,880,218.21","509,812,978.62","129,311,168.56","423,712,462.94","670,414,380.33","764,757,191.68","299,501,235.00","374,778,641.56","825,408,589.71","891,715,053.49","183,481,549.77","396,758,461.31","603,385,869.20","640,839,545.38","44,343,329.94","99,727,337.78","341,032,590.22","477,735,809.60","241,815,278.38","427,124,546.70","657,045,590.09","1,592,067,967.14","369,810,863.19","718,281,887.40","1,326,132,832.36","2,075,256,781.28","1,040,042,779.76","2,332,376,581.38","4,629,764,384.36","5,998,574,652.64","1,841,740,626.81"
三、利润总额,"830,747,201.63","2,526,544,293.49","2,953,668,641.14","7,641,605,685.33","1,022,827,821.69","3,327,956,389.86","3,750,421,309.49","6,322,285,626.03","1,227,682,233.52","4,191,005,358.24","5,017,079,166.86","8,617,427,808.09","1,551,610,840.12","4,148,140,350.66","5,062,745,818.44","11,940,752,579.02","1,674,454,722.54","4,451,808,658.22","5,650,195,653.25","15,805,882,420.32","2,058,142,814.14","6,048,671,988.14","8,165,983,483.36","21,070,185,138.11","2,394,885,503.42","7,133,412,305.51","10,001,034,270.06","24,291,011,249.30","2,039,197,873.75","7,122,474,745.79","9,830,773,053.48","25,252,363,233.49","1,184,265,120.93","8,777,007,697.39","12,494,441,850.43","33,802,617,619.10","1,687,268,595.75","9,980,342,845.59","15,961,171,833.13","39,253,611,726.28","1,571,531,169.40","13,826,911,377.53","20,901,592,186.65","51,141,952,665.41","2,999,301,999.31","19,667,844,908.03","31,662,106,734.28","67,460,201,390.98","5,871,699,645.16"
