科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"222,153,119.37","347,239,658.51","461,722,228.31","626,407,643.35","97,892,441.96","239,108,656.24","368,384,474.36","536,427,124.64","80,523,683.47","189,153,054.84","411,112,832.05","780,131,223.10","107,005,665.14","417,402,989.75","626,289,788.90","919,614,365.07","146,938,137.40","327,641,706.64","505,760,568.97","800,148,296.51","144,908,979.24","373,976,449.51","594,463,870.46","877,948,945.47","167,663,897.53","448,677,195.73","696,062,525.90","1,069,538,387.03","199,962,288.83","458,770,568.39","754,511,328.53","1,092,355,141.93","164,685,000.36","419,416,076.36","670,280,289.33","1,037,804,110.06","178,713,371.05","450,294,453.54","724,006,162.00","1,009,960,351.96","229,863,794.37","545,542,187.78","862,442,544.85","1,229,187,086.91","260,788,651.09","628,604,025.98"
二、营业利润,"12,618,612.85","7,264,621.40","-2,223,189.21","12,558,633.64","-6,551,753.84","1,368,672.10","3,613,913.32","17,937,527.33","-6,684,884.06","-3,954,826.57","8,024,198.92","22,637,984.43","-11,300,532.49","188,220.19","15,532,084.14","23,451,952.09","3,526,638.26","2,870,655.01","4,092,152.58","21,194,869.43","-9,583,680.76","-8,136,904.53","-5,819,815.28","-12,344,208.65","-12,283,537.46","12,133,441.34","14,550,400.14","21,711,602.90","-6,099,526.15","-297,009.65","19,164,877.59","22,856,486.03","-3,159,867.65","16,015,594.28","40,517,420.68","52,897,279.50","749,877.20","14,766,534.14","20,699,406.50","19,195,204.53","-8,435,179.77","2,611,242.20","24,940,794.89","21,918,231.76","-7,767,641.90","121,197.34"
减:营业成本,"188,216,413.20","304,604,270.83","413,580,641.38","546,521,004.08","89,622,473.70","207,109,975.21","318,595,578.48","443,452,935.42","70,341,734.90","157,679,345.13","345,054,303.48","660,331,283.78","99,342,111.52","371,272,881.58","545,413,397.79","781,494,993.53","121,862,666.26","282,728,180.18","435,464,041.88","671,016,564.39","131,553,083.71","335,067,708.59","529,178,338.00","783,158,238.70","156,838,015.39","378,303,226.55","600,777,468.28","928,879,042.39","184,772,239.52","410,656,927.86","663,784,522.90","955,456,854.14","144,861,219.60","351,673,023.45","553,940,045.67","850,842,349.99","153,534,912.04","383,875,876.15","623,847,589.54","878,892,462.97","212,901,442.24","493,267,260.01","766,487,961.26","1,092,765,190.68","242,560,680.61","575,174,698.20"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,466,771.35","7,120,849.76","7,436,391.88","9,243,450.37","411,980.49","992,590.95","1,460,405.33","3,996,092.10","673,555.86","1,777,871.22","9,960,982.11","22,425,194.68","361,076.75","9,178,354.37","11,670,234.60","19,797,055.17","4,273,603.28","5,136,894.45","7,210,819.84","15,082,907.87","817,183.05","1,683,940.40","2,418,479.71","3,862,617.80","679,010.07","7,748,020.39","8,894,101.21","11,288,685.27","677,312.17","1,565,649.00","3,225,837.92","3,822,864.58","581,129.27","1,216,037.42","2,523,039.39","6,673,355.02","2,011,067.61","4,292,932.66","6,591,096.86","10,758,006.73","2,757,156.15","5,419,227.84","7,939,563.05","10,399,033.55","2,341,016.94","4,735,818.80"
营业外收入,"5,463,226.02","5,756,483.54","6,406,076.61","7,531,917.08","111,834.71","3,169,698.27","3,419,905.06","4,606,218.70","76,252.89","826,581.92","1,002,502.37","1,086,757.20","331,941.30","1,267,448.95","1,720,232.20","5,184,598.89","427,747.09","621,307.72","1,080,853.80","1,340,387.31","327,041.81","506,156.06","644,499.96","53,467,033.32","210,974.69","385,779.98","834,851.61","1,301,459.54","551,741.72","1,054,072.22","1,955,466.83","2,435,879.06","188,152.87","1,062,528.65","1,755,063.23","2,542,454.59","758,012.96","1,264,429.30","5,773,397.25","3,801,217.20","21,792,090.01","25,276,429.14","27,019,472.03","23,859,313.46","205,968.20","329,579.91"
销售费用,"995,881.38","1,852,802.54","2,712,579.22","4,734,015.70","1,327,764.68","3,654,525.92","5,343,935.51","9,085,283.24","1,941,013.45","4,857,099.68","7,614,274.39","14,431,887.16","2,701,416.50","5,367,737.90","7,204,166.16","10,414,408.87","1,770,270.66","3,149,114.51","4,298,136.49","5,813,566.53","1,343,762.73","2,827,891.99","4,029,761.37","5,433,176.60","1,586,373.05","3,562,428.24","6,576,918.85","9,857,644.90","3,541,589.50","7,405,878.48","10,391,438.97","13,674,240.91","3,123,249.77","5,922,743.97","9,478,204.44","12,476,064.09","3,434,587.79","6,471,357.24","9,492,277.89","12,814,319.16","3,554,675.91","7,515,879.07","10,887,539.70","15,376,778.12","4,491,023.32","8,648,801.28"
减:营业外支出,"331,931.02","467,257.32","571,685.80","2,190,146.06","17,948.74","417,057.96","1,286,149.28","6,478,334.08","182,380.98","294,808.52","343,092.01","487,995.63","73,360.52","123,320.26","246,414.36","1,340,800.33","20,161.19","170,169.98","562,745.57","794,633.40","78,099.44","140,522.07","355,219.11","511,307.40","83,830.34","896,477.69","1,021,929.00","1,410,996.95","140,510.80","364,648.14","517,800.48","1,368,994.20","36,386.45","143,571.39","818,805.21","12,502,508.49","195,573.88","764,520.46","6,783,509.98","1,247,110.96","360,071.83","2,714,422.42","4,886,716.88","3,534,007.83","924,027.09","1,396,721.15"
管理费用,"11,989,812.46","22,607,594.20","33,105,568.14","51,854,601.59","10,868,135.92","22,522,894.47","33,027,287.40","53,102,794.22","11,850,480.52","21,813,539.46","31,535,630.76","50,920,228.51","11,465,012.34","22,400,340.59","33,249,636.29","56,422,581.55","11,351,832.41","23,824,759.94","39,224,846.02","56,896,183.84","14,809,867.60","31,042,615.67","47,296,462.24","67,502,956.39","17,474,631.71","33,125,115.92","48,303,968.59","79,402,129.28","14,073,101.82","27,683,502.51","41,661,683.08","70,600,834.96","14,308,051.18","30,502,186.79","44,348,410.24","87,374,641.18","14,140,975.27","27,307,588.21","44,980,090.19","63,175,812.05","14,216,251.39","26,168,133.31","39,070,849.77","74,322,790.04","13,204,793.20","26,827,968.00"
其中:非流动资产处置净损失,,"87,166.69","87,166.69","513,443.69",,,"550,772.42","6,000,207.31","14,359.35","13,050.00","-609,835.97","13,216.50","20,927.48","-357,341.88","-529,217.87","253,965.31",,"17,760.00","15,187.89","16,171.86",,"6,594.23","7,709.23","80,067.13",,"713,180.63","763,668.84","126,129.32","52,570.67","90,264.75","112,803.43","139,861.97",176.50,321.85,"342,348.12","10,199,483.80","147,810.99","267,694.28","6,219,386.95","492,536.76","139,669.43","1,945,037.68","3,796,933.33",,,
