科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"18,325,333.96","17,410,587.32","18,442,990.15","25,048,655.19","12,125,202.37","15,571,086.21","18,870,084.36","30,023,590.78","34,448,832.71","31,058,487.35","40,214,792.36","26,520,025.62","31,904,894.62","16,814,007.83","16,075,242.39","65,819,824.29","58,456,096.83","49,445,037.15","49,448,754.71","51,096,749.46","38,273,463.43","24,270,882.03","27,481,764.56","30,629,230.53","19,201,407.26","23,662,842.15","35,281,569.79","58,652,039.12","24,096,206.65","74,448,695.35","29,323,241.19","29,203,413.68","18,062,903.43","42,574,776.70","45,730,580.66","114,346,440.09","2,137,276,681.61","1,779,379,422.98","1,410,261,046.34","1,143,255,725.93","2,021,357,254.31","2,081,389,402.91","1,631,397,991.13"
短期借款,"200,196,564.70","194,626,564.70","185,876,564.70","147,807,884.42","131,081,499.20","130,381,499.20","123,981,499.20","155,709,750.45","154,909,747.13","154,009,747.13","140,758,020.37","122,403,575.75","122,403,575.75","122,403,575.75","5,864,491.67",,,,,,,,,,,,,,,,,,,,,,"5,525,095,288.09","4,832,982,140.78","3,916,462,420.71","4,370,926,586.94","5,854,220,680.56","6,328,689,218.23","6,969,267,507.64"
交易性金融资产,,,,,,,,,,,,,"220,840.00",,,,,,,,,,,,,,,,,,,,,,,,"2,471,471.42","2,570,978.11","13,991,089.88","5,327,141.79","827,290.03","216,706.60",
交易性金融负债,,,"5,288,985.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,500,000.00","1,284,913.00",,,"8,833,118.69","79,669,373.12","173,939,790.38"
应收票据,"38,102,965.18","39,457,290.30","32,159,686.61","46,741,807.97","30,320,272.79",,,"1,660,000.00",,"2,310,365.18","1,603,640.53","2,225,819.94","719,323.35","1,163,268.13","9,262,912.00","2,528,140.76","440,000.00",,"4,920,164.74","2,716,617.18","2,526,098.28","3,105,568.08","3,199,350.26","12,513,584.15","3,076,932.74","766,079.91","1,946,375.75","1,615,825.48","290,234.90","525,454.70","852,245.38","4,512,119.18","261,441.52",,"1,110,716.05",,"221,296,558.48","303,660,567.25","458,692,644.25","329,553,795.03","332,456,371.29","501,426,039.82","605,036,008.78"
应付票据,,,,,,,,"6,622,735.00","14,502,462.00","6,722,944.00","6,869,645.25","4,000,000.00","10,374,898.40","10,789,773.00","20,032,736.87","13,778,749.85","3,375,517.99","2,193,478.49","9,973,165.19","18,997,646.50","14,627,848.60","9,906,942.50","8,973,832.80",,"4,160,647.63",,,,,,,,,,,,"1,821,942,660.01","1,850,041,890.89","2,698,023,607.44","2,429,264,273.53","1,187,393,742.01","2,029,731,376.29","2,335,690,390.33"
应收账款,"62,734,747.59","62,034,933.87","65,922,897.48","22,421,763.17","21,351,959.62","20,367,297.37","29,509,771.38","14,674,511.89","27,281,702.13","22,310,879.38","20,006,267.18","17,982,300.52","24,081,123.34","20,808,309.98","27,300,819.38","25,529,267.10","25,363,203.40","22,899,447.05","22,805,619.43","29,241,604.12","29,342,569.85","31,352,249.52","34,932,861.66","13,185,304.63","26,900,712.43","21,405,899.01","25,298,984.13","14,261,435.29","25,703,213.74","24,963,384.23","25,592,898.32","22,916,313.26","27,295,924.80","28,668,654.69","29,863,466.42","23,164,403.20","4,894,659,626.60","5,357,367,961.50","5,855,021,932.62","6,621,833,966.99","5,623,673,707.38","5,862,196,505.88","5,738,317,855.34"
应付账款,"122,631,207.32","124,543,507.46","122,396,827.50","144,718,078.78","135,854,259.10","141,078,889.83","137,397,090.18","144,533,226.75","145,162,584.30","142,110,225.17","141,337,565.14","85,793,960.30","90,081,655.33","83,628,047.22","54,195,819.95","47,380,697.25","42,338,586.98","42,550,810.71","39,152,490.19","47,627,892.29","42,586,604.85","45,019,081.34","49,346,751.58","49,953,108.28","50,121,696.26","50,444,653.53","56,164,980.32","48,365,576.94","53,860,031.95","46,760,098.04","45,178,384.62","42,537,853.66","41,768,449.49","39,761,087.55","35,267,325.06","30,225,580.20","2,912,464,771.44","3,420,948,812.24","3,341,115,095.42","3,770,597,215.81","3,411,475,794.42","3,836,438,569.24","3,695,979,267.87"
预付款项,"52,343,512.83","52,272,539.90","49,715,379.49","9,861,981.29","19,096,108.28","19,599,021.31","17,662,342.70","9,428,337.91","3,204,808.84","1,449,922.09","4,089,393.00","8,196,054.22","9,813,587.57","2,283,923.52","6,862,923.68","4,893,768.02","3,455,715.81","2,782,911.38","11,779,974.26","16,796,055.21","6,973,672.51","5,875,224.06","7,170,808.44","3,539,603.44","667,023.51","1,242,545.28","915,114.36","3,374,380.42","3,322,039.40","7,781,727.63","8,611,680.56","7,005,331.59","3,035,452.94","6,914,152.25","5,248,574.72","2,448,331.51","1,719,339,009.46","1,859,608,419.38","1,509,946,262.16","2,157,674,329.58","1,218,087,813.73","1,410,425,769.01","1,213,719,300.95"
预收款项,"-85,969,675.25","126,551,863.05","132,015,728.16","25,749,633.90","20,430,071.73","21,957,656.33","21,431,895.28","23,165,467.69","15,830,753.09","15,151,044.56","15,127,544.91","4,820,091.76","1,990,422.54","1,785,758.17","1,728,937.64","4,420,842.39","461,791.03","424,458.14","422,090.92","3,771,175.82","1,196,818.98","2,171,208.17","2,993,490.28","3,239,708.39","456,382.39","1,066,290.96","735,041.33","195,145,289.45","191,639,262.59","191,382,719.16","191,375,424.83","194,102,546.60","192,961,285.71","191,854,730.38","192,550,739.44","193,391,843.67","938,477,229.63","741,282,737.91","708,797,111.07","942,515,953.31","525,981,857.73","581,033,338.63","587,328,150.82"
