科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"172,546,184.60","309,992,623.02","1,243,640,159.12","802,520,816.43","704,524,367.80","729,447,915.00","386,347,561.37","581,263,272.61","531,329,996.23","799,385,405.78","1,144,901,736.73","941,640,785.10","1,117,575,647.70","1,258,333,697.76","1,044,423,443.83","1,137,690,727.81","848,577,403.20","654,706,972.54","930,715,901.93","915,848,128.74","839,796,287.04","1,554,298,369.18","1,289,529,555.64","1,436,048,870.15","1,375,034,257.70","1,676,928,171.77","1,323,959,862.23","1,393,210,565.24","1,055,152,644.71","1,277,327,017.31","1,241,128,457.60","892,437,670.85","1,457,921,307.01","1,242,456,553.44","1,227,991,126.30","1,469,345,323.78","1,778,165,254.67","1,296,631,512.77","1,542,998,406.84","1,956,272,927.54","1,810,312,636.22","1,737,732,696.49","1,761,351,561.48"
短期借款,"833,296,771.68","947,550,722.08","1,519,477,248.45","1,084,027,125.66","1,101,217,974.61","897,690,327.18","917,367,506.93","1,136,000,000.00","1,108,000,000.00","1,040,000,000.00","1,310,000,000.00","1,030,000,000.00","1,540,000,000.00","1,599,000,000.00","1,449,000,000.00","1,550,010,000.00","1,100,000,000.00","601,000,000.00","901,000,000.00","950,000,000.00","880,000,000.00","910,000,000.00","1,060,000,000.00","1,530,000,000.00","1,460,000,000.00","2,004,000,000.00","1,754,000,000.00","1,094,000,000.00","2,511,000,000.00","2,856,200,000.00","3,001,540,000.00","2,501,340,000.00","3,091,339,833.33","2,751,339,833.33","2,899,440,000.00","2,674,440,000.00","2,655,000,000.00","2,020,000,000.00","2,140,000,000.00","1,710,000,000.00","1,260,000,000.00","920,000,000.00","920,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"440,724.62","354,442.87","201,086.11",,,"268,818.30","1,922,088.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"949,000.00","635,000.00",,"1,015,000.00","515,000.00",,"1,310,000.00","1,300,000.00"
应付票据,,"14,397,210.00","51,675,210.00","49,000,000.00","48,500,000.00","47,581,604.45","50,770,723.00",,,,,,,,,,,,,,,,,"3,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","12,999,998.00","44,999,995.00","80,999,997.00","19,948,983.50","10,400,000.00",,,"19,298,000.00","19,298,000.00","19,298,000.00","19,298,000.00",,,,
应收账款,"290,034,059.16","244,985,688.47","262,034,627.26","170,980,755.50","236,180,805.93","283,132,228.11","247,709,084.58","62,044,658.32","162,585,889.89","151,981,497.28","152,134,313.72","173,016,662.75","188,218,380.70","180,567,830.47","200,211,957.69","248,245,397.26","229,635,153.49","268,723,373.26","234,448,096.40","299,389,482.12","303,439,205.41","260,182,477.52","265,151,832.16","379,927,219.66","346,228,267.91","347,363,395.60","338,652,466.49","450,450,577.84","461,321,219.98","470,891,553.52","474,353,656.30","364,171,453.44","439,325,515.63","449,604,910.86","481,307,295.87","402,305,579.11","532,353,620.66","583,191,064.40","626,201,289.02","560,470,331.87","585,338,974.65","613,301,231.79","807,214,239.04"
应付账款,"249,833,537.25","227,612,115.44","234,099,085.94","160,226,960.28","214,274,736.24","232,960,740.20","235,824,941.55","32,516,961.83","118,045,952.79","113,475,301.70","104,584,518.46","162,875,576.46","145,293,876.26","149,386,029.82","148,181,089.32","538,426,013.55","442,138,733.64","762,965,042.24","674,950,454.75","1,161,198,512.44","984,766,415.09","916,405,207.76","801,951,520.77","1,134,266,235.45","741,701,617.89","1,202,663,794.75","700,743,794.01","1,228,224,149.77","870,497,312.29","828,137,734.68","845,422,542.45","1,137,981,528.98","910,247,180.40","1,199,481,498.72","1,215,108,524.43","1,485,844,358.91","1,143,234,746.32","1,212,301,634.68","1,002,054,081.95","1,032,080,967.95","722,378,694.59","674,963,766.88","659,030,175.21"
预付款项,"42,564,436.65","100,020,775.26","649,490,968.01","25,402,694.45","27,491,734.39","35,282,095.84","153,987,747.10","143,902,086.71","147,440,695.31","178,611,272.93","212,211,239.14","311,680,908.88","330,696,903.12","381,829,949.12","447,341,385.27","304,312,166.36","338,088,301.88","384,405,164.25","422,117,968.93","454,365,289.06","767,709,448.43","370,519,548.50","460,798,609.36","417,113,582.68","767,001,464.35","1,069,415,588.49","1,172,246,939.43","990,176,950.73","983,355,907.66","1,162,328,150.01","1,214,054,829.28","1,054,287,879.42","1,345,590,898.49","1,012,679,730.74","653,523,756.04","133,671,865.88","292,270,007.45","360,350,560.44","645,980,908.85","112,598,980.91","139,550,833.23","142,466,320.70","121,436,276.07"
预收款项,"196,687,251.09","378,727,902.50","937,749,971.91","58,000,662.24","57,871,037.10","127,844,516.15","266,335,440.48","84,021,476.00","128,050,944.95","353,802,304.42","898,895,445.01","1,292,267,837.40","1,759,984,836.24","2,153,301,132.69","1,889,790,690.52","988,194,352.00","1,291,446,428.08","1,449,876,363.04","2,042,821,392.26","930,723,965.44","1,209,913,706.59","1,843,669,325.74","2,461,304,736.03","1,733,606,243.67","2,242,924,114.75","2,858,264,508.63","3,465,717,355.73","1,787,122,583.59","1,981,355,922.60","2,230,650,976.70","2,783,804,531.75","1,606,534,801.69","2,063,323,709.40","2,541,522,048.56","2,578,196,535.87","2,634,385,094.44","2,872,735,440.85","3,641,469,784.55","4,660,205,601.78","2,498,996,158.88","2,851,043,594.55","2,945,620,145.63","3,092,250,265.58"
