科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月
一、营业收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二、营业利润,"-13,596,441.60","-33,729,295.15","-47,292,178.86","-56,057,174.76","-13,584,793.26","-27,165,221.40","-40,697,949.79","-54,206,025.63","-13,559,040.12","-27,122,454.17","-37,645,767.38","-44,543,890.26","-9,615,290.94","-19,221,086.83","-28,833,852.03","-38,624,368.62","-9,666,604.38","-19,281,392.47","-28,900,966.08","-37,656,362.49","-9,618,596.05","-19,208,475.81","-28,807,536.55","-38,414,921.77","-9,648,933.51","-19,252,714.94","-28,832,567.05","-37,737,964.87","-9,585,314.12"
减:营业成本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,,,,,,,,,,,"64,553,516.07","64,553,516.07",,,,,,,,,,,,,,,,,
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:营业外支出,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20.00,20.00,
管理费用,"1,367,305.42","2,721,310.03","4,055,372.16","5,377,655.93","1,355,619.67","2,707,151.62","4,011,067.92","5,290,112.46","1,329,733.89","2,664,211.78","4,202,302.92","5,455,418.30","1,222,303.15","2,435,474.68","3,655,590.46","4,898,035.76","1,273,530.90","2,495,618.18","3,722,488.64","4,922,906.02","1,225,537.43","2,422,717.39","3,629,078.75","4,835,006.19","1,255,512.56","2,466,575.02","3,653,818.55","4,801,757.81","1,191,976.74"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"12,229,136.18","31,007,985.12","43,236,806.70","50,679,518.83","12,229,173.59","24,458,069.78","36,686,881.87","48,915,913.17","12,229,306.23","24,458,242.39","33,443,464.46","39,088,471.96","8,392,987.79","16,785,612.15","25,178,261.57","33,726,332.86","8,393,073.48","16,785,774.29","25,178,477.44","32,733,456.47","8,393,058.62","16,785,758.42","25,178,457.80","33,579,915.58","8,393,420.95","16,786,139.92","25,178,748.50","32,936,207.06","8,393,337.38"
三、利润总额,"-13,596,441.60","-33,729,295.15","-47,292,178.86","-56,057,174.76","-13,584,793.26","-27,165,221.40","-40,697,949.79","-54,206,025.63","-13,559,040.12","-27,122,454.17","26,907,748.69","20,009,625.81","-9,615,290.94","-19,221,086.83","-28,833,852.03","-38,624,368.62","-9,666,604.38","-19,281,392.47","-28,900,966.08","-37,656,362.49","-9,618,596.05","-19,208,475.81","-28,807,536.55","-38,414,921.77","-9,648,933.51","-19,252,734.94","-28,832,587.05","-37,737,984.87","-9,585,314.12"
资产减值损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:所得税,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、净利润,"-13,596,441.60","-33,729,295.15","-47,292,178.86","-56,057,174.76","-13,584,793.26","-27,165,221.40","-40,697,949.79","-54,206,025.63","-13,559,040.12","-27,122,454.17","26,907,748.69","20,009,625.81","-9,615,290.94","-19,221,086.83","-28,833,852.03","-38,624,368.62","-9,666,604.38","-19,281,392.47","-28,900,966.08","-37,656,362.49","-9,618,596.05","-19,208,475.81","-28,807,536.55","-38,414,921.77","-9,648,933.51","-19,252,734.94","-28,832,587.05","-37,737,984.87","-9,585,314.12"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-13,596,441.60","-33,729,295.15","-47,292,178.86","-56,057,174.76","-13,584,793.26","-27,165,221.40","-40,697,949.79","-54,206,025.63","-13,559,040.12","-27,122,454.17","26,907,748.69","20,009,625.81","-9,615,290.94","-19,221,086.83","-28,833,852.03","-38,624,368.62","-9,666,604.38","-19,281,392.47","-28,900,966.08","-37,656,362.49","-9,618,596.05","-19,208,475.81","-28,807,536.55","-38,414,921.77","-9,648,933.51","-19,252,734.94","-28,832,587.05","-37,737,984.87","-9,585,314.12"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
