科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"65,378,689.05","151,919,308.13","214,989,283.49","316,026,093.60","63,363,548.92","132,619,226.62","183,002,753.08","254,055,395.00","52,873,810.37","101,304,425.25","146,630,218.00","227,025,547.31","54,579,494.35","109,310,566.43","175,318,270.48","264,687,889.34","68,840,425.40","146,087,221.94","222,296,866.32","322,161,903.58","68,405,459.69","148,342,343.57","235,837,818.30","336,347,133.76","68,711,989.03","140,346,594.49","224,262,053.34","314,650,457.16","55,857,718.74","118,198,326.51","209,210,192.36","296,033,522.92","68,372,201.48","136,712,178.38","222,310,596.02","303,622,905.97","65,307,942.73","128,895,725.42","229,303,817.86","313,231,882.11","1,368,914,859.78","2,937,518,167.84","4,920,486,263.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"3,210,509.03","3,210,509.03","3,210,509.03",,"1,950.00","1,950.00","1,950.00",,,,"5,154.27",,,,,,,,"79,468.46",,,989.75,,420.00,420.00,420.00,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"186,715.00","186,715.00",,"67,310.00","223,175.00","119,940.00",,,,,,,,,,,,,,,,,,,,,,,,,,"7,554,670.00",,"7,554,670.00",,"-11,182.68","3,470.00",,,,596.70,
收到其他与经营活动有关的现金,"910,407.04","1,833,264.39","3,369,492.28","2,572,675.45","1,150,107.96","1,523,964.11","3,059,651.88","1,691,774.99","958,102.06","423,165.28","2,756,758.40","941,990.64","2,215,281.40","2,100,885.69","2,306,545.96","3,293,172.13","515,126.12","1,051,154.14","1,442,340.91","2,279,446.64","678,419.57","1,397,870.61","1,795,952.18","3,860,325.59","590,093.25","1,984,871.18","3,655,427.25","4,057,676.87","418,358.01","1,702,861.78","3,285,654.79","3,175,232.13","1,579,991.91","1,469,637.02","2,998,791.20","2,237,419.61","1,987,360.46","6,923,892.01","2,856,845.44","1,845,141.37","7,064,945.77","16,941,243.47","68,677,497.53"
投资活动现金流出小计,"18,941,728.08","35,213,107.27","42,178,699.90","46,733,657.34","5,578,154.75","10,959,935.09","19,579,785.60","31,428,659.58","7,232,852.54","13,680,253.11","15,668,540.00","17,644,556.99","3,048,424.39","6,019,346.65","8,423,299.75","13,109,331.10","2,013,978.50","3,829,499.30","7,291,117.58","17,524,200.79","2,858,217.86","66,343,288.68","128,810,859.42","192,111,589.19","184,884,869.59","306,666,066.65","430,880,308.81","554,055,487.16","91,805,562.18","133,502,869.16","327,074,359.25","457,156,733.16","34,408,152.22","199,194,985.18","203,429,891.61","229,176,707.21","130,708,721.38","202,809,311.06","203,440,904.67","213,144,753.16","397,582,664.43","586,032,397.33","2,186,519,395.47"
经营活动现金流入小计,"66,289,096.09","156,963,081.55","221,569,284.80","321,809,278.08","64,513,656.88","134,145,140.73","186,064,354.96","255,749,119.99","53,831,912.43","101,727,590.53","149,386,976.40","227,972,692.22","56,794,775.75","111,411,452.12","177,624,816.44","267,981,061.47","69,355,551.52","147,138,376.08","223,739,207.23","324,520,818.68","69,083,879.26","149,740,214.18","237,634,760.23","340,207,459.35","69,302,502.28","142,331,885.67","227,917,900.59","318,708,134.03","56,276,076.75","119,901,188.29","212,495,847.15","299,208,755.05","69,952,193.39","138,181,815.40","225,309,387.22","305,860,325.58","67,295,303.19","135,819,617.43","232,160,663.30","315,077,023.48","1,375,979,805.55","2,954,459,411.31","4,989,163,761.16"
投资活动产生的现金流量净额,"-13,113,542.31","-28,807,429.25","-32,682,298.76","-38,916,381.45","-5,474,248.50","-7,577,537.00","-15,596,676.46","814,931.04","-6,969,585.81","-11,747,179.11","-12,460,801.92","-13,984,864.95","-3,041,924.39","-3,260,178.82","-401,955.65","11,101,210.27","-2,013,978.50","-2,892,310.80","-6,319,562.58","-16,443,973.14","-2,125,967.86","-3,685,924.77","-66,127,623.31","-8,318,769.29","-124,032,807.40","-123,598,441.64","-125,325,701.54","-127,049,859.30","-31,304,191.91","-8,622,183.38","-69,688,867.81","-72,152,393.70","-26,350,710.30","-34,853,747.74","-39,088,654.17","91,862,697.90","-129,809,343.67","-168,851,359.12","-168,048,266.38","-178,604,188.93","-258,260,008.94","-81,337,121.82","-1,175,398,627.57"
购买商品、接受劳务支付的现金,"20,794,224.65","41,874,828.15","62,701,449.09","85,825,756.61","27,763,080.17","53,334,900.08","72,861,026.72","97,479,429.12","24,538,973.31","47,576,419.68","68,121,464.95","99,403,409.80","20,227,922.29","43,058,043.86","69,165,816.56","105,886,578.90","22,294,780.33","57,366,378.50","84,654,839.01","122,272,556.33","25,294,651.95","57,108,809.05","87,536,659.27","124,511,434.56","26,677,133.49","59,164,377.66","85,197,844.87","124,884,539.08","28,123,694.19","51,276,173.71","81,520,227.71","102,917,032.31","26,496,153.67","57,394,384.37","86,516,649.53","110,967,820.07","29,889,319.14","63,634,845.18","104,486,553.73","128,190,909.38","1,162,424,519.11","2,243,097,212.81","3,745,486,625.92"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,050,539.00","1,597,622,874.88","1,597,622,874.88"
支付给职工以及为职工支付的现金,"23,259,769.69","41,880,337.41","62,365,285.67","85,331,928.24","26,390,863.71","48,423,741.10","66,577,849.22","84,588,807.37","38,018,214.45","53,946,866.66","71,768,511.59","83,397,503.24","18,625,727.44","35,893,507.48","54,905,110.55","74,708,086.88","23,584,759.41","39,483,687.90","56,373,614.50","75,306,478.12","22,189,753.84","43,436,486.16","63,459,308.35","84,044,284.11","27,348,487.22","45,453,784.29","67,147,517.24","87,160,613.65","22,752,247.42","39,265,484.09","63,721,967.38","103,206,732.80","23,231,668.99","39,828,771.98","57,973,825.92","99,064,327.62","23,502,835.87","41,481,734.62","63,376,500.08","97,468,402.16","156,823,562.44","270,163,246.00","392,261,636.12"
取得借款收到的现金,"80,000,000.00","100,000,000.00","140,000,000.00","140,000,000.00","54,000,000.00","54,000,000.00","84,000,000.00","84,000,000.00","45,000,000.00","45,000,000.00","60,000,000.00","60,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","38,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"8,332,884.87","15,245,034.27","28,773,442.28","33,592,198.73","5,108,112.17","13,620,350.77","20,571,615.62","25,830,496.42","4,514,588.78","9,181,186.31","19,243,726.64","23,745,661.44","3,972,372.77","8,380,227.28","17,721,218.57","22,699,591.28","4,892,515.40","10,028,775.04","20,571,013.22","25,499,706.53","5,344,483.68","10,769,304.14","21,852,067.59","27,867,927.26","5,243,723.88","16,516,122.45","29,239,618.39","37,253,189.60","6,509,568.07","14,179,701.18","28,121,252.46","35,700,165.32","8,323,727.64","15,634,891.23","27,422,316.41","33,475,017.41","5,383,272.89","15,182,316.36","24,809,997.68","38,264,168.79","25,451,521.16","62,831,785.08","99,958,526.30"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"8,000,000.00","8,000,000.00",,,,,,,,,,,,,,,,"63,477.50",,,,,,,,,"13,640,027.01",,,
支付其他与经营活动有关的现金,"3,938,215.17","6,958,888.04","11,868,046.32","13,463,832.32","3,613,954.28","7,530,800.07","10,825,208.22","14,161,363.78","3,858,881.48","7,650,369.77","13,055,611.31","16,154,849.02","4,854,603.73","5,797,845.48","10,356,113.52","15,565,771.90","4,945,715.07","8,509,141.20","14,834,778.85","19,953,856.48","349,059.45","6,608,205.35","11,578,898.80","14,255,273.52","3,448,492.48","6,488,583.26","11,943,176.27","14,724,835.41","4,409,864.64","7,754,917.83","15,757,560.95","7,839,491.48","5,415,099.43","8,723,268.92","15,951,191.81","7,729,581.63","4,722,363.77","9,270,399.00","10,028,109.33","8,766,465.82","57,894,686.16","120,368,928.82","263,198,261.00"
筹资活动现金流入小计,"80,000,000.00","100,000,000.00","140,000,000.00","140,000,000.00","54,000,000.00","54,000,000.00","84,000,000.00","84,000,000.00","45,000,000.00","45,000,000.00","60,000,000.00","60,000,000.00","30,000,000.00","38,000,000.00","38,000,000.00","38,000,000.00",,,,,,,,,,,,,,,"63,477.50",,,,,,,,,"13,640,027.01","86,050,539.00","1,597,622,874.88","1,597,622,874.88"
经营活动现金流出小计,"56,325,094.38","105,959,087.87","165,708,223.36","218,213,715.90","62,876,010.33","122,909,792.02","170,835,699.78","222,060,096.69","70,930,658.02","118,354,842.42","172,189,314.49","222,701,423.50","47,680,626.23","93,129,624.10","152,148,259.20","218,860,028.96","55,717,770.21","115,387,982.64","176,434,245.58","243,032,597.46","53,177,948.92","117,922,804.70","184,426,934.01","250,678,919.45","62,717,837.07","127,622,867.66","193,528,156.77","264,023,177.74","61,795,374.32","112,476,276.81","189,121,008.50","249,663,421.91","63,466,649.73","121,581,316.50","187,863,983.67","251,236,746.73","63,497,791.67","129,569,295.16","202,701,160.82","272,689,946.15","1,402,594,288.87","2,696,461,172.71","4,500,905,049.34"
偿还债务支付的现金,"70,000,000.00","120,000,000.00","140,000,000.00","175,000,000.00","69,000,000.00","69,000,000.00","79,000,000.00","104,000,000.00","45,000,000.00","45,000,000.00","60,000,000.00","60,000,000.00","30,000,000.00","75,000,000.00","75,000,000.00","83,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000.00"
经营活动产生的现金流量净额,"9,964,001.71","51,003,993.68","55,861,061.44","103,595,562.18","1,637,646.55","11,235,348.71","15,228,655.18","33,689,023.30","-17,098,745.59","-16,627,251.89","-22,802,338.09","5,271,268.72","9,114,149.52","18,281,828.02","25,476,557.24","49,121,032.51","13,637,781.31","31,750,393.44","47,304,961.65","81,488,221.22","15,905,930.34","31,817,409.48","53,207,826.22","89,528,539.90","6,584,665.21","14,709,018.01","34,389,743.82","54,684,956.29","-5,519,297.57","7,424,911.48","23,374,838.65","49,545,333.14","6,485,543.66","16,600,498.90","37,445,403.55","54,623,578.85","3,797,511.52","6,250,322.27","29,459,502.48","42,387,077.33","-26,614,483.32","257,998,238.60","488,258,711.82"
分配股利、利润或偿还利息支付的现金,"1,311,975.00","2,523,282.50","25,337,437.04","27,575,296.77","873,575.00","1,805,075.00","2,872,575.00","4,033,150.00","601,132.50","1,153,822.50","1,715,287.50","2,258,898.75","537,637.50","706,718.25","706,718.25","706,718.25",,,,,,,,,,"9,699,488.50","9,681,941.22","9,708,254.78",,"26,158,353.16","26,158,353.16","26,158,353.16",,,,,,"9,977,928.52","9,977,928.52","9,774,989.07","4,819,169.77","14,880,865.97","19,875,140.30"
收回投资收到的现金,"5,536,141.15","5,802,038.43","6,162,307.46","3,019,723.66",,,,"26,245,467.04",266.73,266.73,266.73,"349,425.00",,"175,600.00","5,428,536.37","5,816,646.37",,,,,,"60,000,000.00","60,000,000.00","180,000,000.00","60,000,000.00","180,000,000.00","300,000,000.00","420,000,000.00","60,000,000.00","120,000,000.00","250,000,000.00","376,000,000.00",,"142,232,037.74","150,613,595.82","310,193,984.00",,"30,000,000.00","30,064,838.70","30,047,870.00","133,771,459.94","485,766,533.20","985,766,533.20"
支付其他与筹资活动有关的现金,"3,000.00","3,000.00","3,210.00",,,,,,,,,,,"8,000,000.00","8,000,000.00",,,,,"1,007,132.40",,,,,,,,,,,,,,,,,,,"567,235.00","1,973,800.00","2,903,416.00","645,678,711.07","645,678,711.07"
取得投资收益收到的现金,,,"1,778,163.68","2,424,680.23",,"1,985,889.95","1,985,889.95","3,649,342.90",,"1,585,499.65","1,585,499.65","1,753,838.34",,"1,699,130.96","1,699,130.96","1,861,858.53",,"905,999.80","905,999.80","933,512.40",,"1,925,113.91","1,925,113.91","2,986,726.17","438,082.19","2,470,545.01","4,439,827.27","5,949,427.31","501,370.27","4,467,886.78","6,918,632.44","8,555,673.53",,"21,670,199.70","5,670,199.70","10,367,055.67","112,705.65","3,170,779.88","3,171,219.59","2,795,823.77","5,474,958.90","17,495,306.94","23,837,838.10"
筹资活动现金流出小计,"71,314,975.00","122,526,282.50","165,340,647.04","202,575,296.77","69,873,575.00","70,805,075.00","81,872,575.00","108,033,150.00","45,601,132.50","46,153,822.50","61,715,287.50","62,258,898.75","30,537,637.50","83,706,718.25","83,706,718.25","83,706,718.25",,,,"1,007,132.40",,,,,,"9,699,488.50","9,681,941.22","9,708,254.78",,"26,158,353.16","26,158,353.16","26,158,353.16",,,,,,"9,977,928.52","10,545,163.52","11,748,789.07","7,722,585.77","660,559,577.04","680,553,851.37"
