科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"492,449,414.37","380,104,796.92","307,444,325.32","362,531,868.53","260,153,608.19","382,098,357.43","371,455,850.71","573,191,524.07","355,914,051.06","321,628,838.40","404,243,880.50","438,174,059.01","451,663,195.61","266,883,195.76","638,398,773.77","381,698,866.60","300,510,911.29","196,918,573.95","300,810,329.87","217,700,366.15","165,581,588.49","184,680,309.87","226,734,031.54","261,865,439.94","304,295,918.05","185,138,669.79","182,786,931.03","458,759,410.06","635,593,561.49","692,203,406.72","648,999,922.51","424,257,608.03","378,646,282.02","315,829,175.38","172,643,223.65","263,425,370.61","252,882,563.64","456,383,759.82","304,937,373.20","338,289,461.74","268,139,665.40","355,117,817.39","212,708,676.23","232,709,801.15","425,486,684.52","161,939,552.51"
短期借款,"1,081,926,650.54","1,161,660,076.38","1,163,614,137.78","954,523,002.71","962,450,758.24","1,051,237,839.66","1,009,449,857.19","1,164,514,946.00","1,053,385,695.88","989,777,239.40","947,100,000.00","846,100,000.00","966,100,000.00","902,100,000.00","469,000,000.00","369,000,000.00","309,000,000.00","289,000,000.00","219,000,000.00","219,000,000.00","189,000,000.00","2,000,000.00","105,000,000.00","105,000,000.00","105,000,000.00","25,000,000.00","75,000,000.00","125,000,000.00","45,000,000.00","25,000,000.00",,,,"80,000,000.00","80,000,000.00","80,000,000.00","40,000,000.00","20,100,000.00","20,100,000.00","10,000,000.00","10,000,000.00","228,900,000.00","348,900,000.00","460,060,000.00","1,143,278,085.15","491,060,000.00"
交易性金融资产,,,,,,"293,400.00","258,900.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","32,570,235.20","300,000.00","300,000.00",,,
交易性金融负债,,,,,,,,"10,096,000.00","8,539,200.00","5,931,200.00","6,244,800.00","6,334,990.40","6,175,023.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"50,416,996.07","41,852,864.21","47,291,525.08","63,232,569.02","44,202,392.30","39,279,670.33","25,208,105.72","14,101,233.81","22,758,381.91","41,660,571.06","51,190,474.25","44,363,879.82","33,745,330.00","55,039,291.05","58,422,532.79","76,856,481.17","54,574,907.04","55,135,607.75","90,130,310.58","63,624,480.51","95,821,809.76","76,184,424.78","180,629,178.53","153,916,651.98","177,612,310.59","175,584,762.85","252,068,973.59","297,246,336.34","363,955,942.50","350,352,059.67","356,698,658.01","375,147,775.25","457,597,468.52","206,123,431.65","224,969,059.98","277,665,920.75","345,976,010.59","268,765,858.56","231,701,446.07","58,464,893.61","64,975,076.13","151,635,863.48","108,620,903.84","125,202,588.86","82,690,721.23","107,013,527.65"
应付票据,"392,740,335.30","354,877,444.37","280,584,826.98","275,932,008.77","246,443,605.70","246,126,533.66","302,083,615.46","261,317,446.38","187,737,536.73","171,047,172.85","102,530,594.58","59,849,169.94","54,644,586.03","86,495,646.86","129,307,213.68","124,613,046.59","106,084,845.92","99,419,510.31","100,192,889.24","65,660,833.37","55,103,339.52","63,129,963.29","75,059,148.70","70,253,235.98","67,238,882.27","68,067,056.21","53,495,347.84","62,756,217.94","76,009,717.52","69,239,527.04","59,396,048.64","58,690,582.89","32,352,548.48","249,009,907.72","333,759,870.65","270,723,312.93","251,224,172.87","426,155,667.48","435,705,972.84",,,,"267,782,725.00","398,672,060.00","299,808,543.19","251,292,641.26"
应收账款,"649,671,888.22","802,867,551.04","913,135,327.27","813,788,557.61","821,203,207.68","767,350,565.98","746,209,651.52","861,984,203.22","931,477,641.50","869,244,695.31","756,671,320.58","747,315,782.70","659,220,537.18","774,633,255.32","948,377,438.37","504,895,592.35","424,713,592.47","459,552,279.11","430,847,696.32","417,997,771.12","378,606,089.33","378,647,250.20","340,062,665.56","259,813,019.34","252,143,102.47","267,369,088.43","251,054,241.30","955,076,655.61","870,759,648.71","884,452,174.33","960,353,630.01","1,042,328,055.64","1,032,832,807.24","1,138,342,254.87","1,246,111,386.07","1,275,270,353.35","1,348,659,630.84","1,392,669,977.55","1,446,915,312.90","1,235,887,210.80","1,308,561,809.84","1,192,075,459.11","1,283,456,968.91","1,280,719,585.82","1,266,922,241.29","1,254,333,904.99"
应付账款,"395,848,391.03","408,685,667.77","483,929,549.40","346,598,084.03","312,880,917.51","365,707,128.23","342,865,849.83","328,651,573.40","289,231,528.32","333,708,384.83","411,404,103.46","372,720,046.24","348,342,399.94","409,089,945.17","433,040,780.28","615,809,544.68","546,072,948.90","522,235,902.25","574,661,090.05","432,754,852.09","388,291,355.33","427,541,285.85","398,432,832.45","384,199,335.11","331,838,664.37","332,882,138.39","340,741,709.74","497,542,306.68","414,504,953.43","460,377,418.95","511,591,107.26","576,810,795.81","532,150,889.74","533,276,232.80","648,601,906.85","746,093,857.44","680,204,596.60","779,413,187.62","792,227,253.89","377,694,897.23","380,964,080.45","397,263,676.23","431,259,067.45","540,848,696.06","484,378,729.80","427,331,653.02"
预付款项,"163,642,137.32","225,295,695.20","185,415,375.78","128,820,755.31","163,607,070.64","230,959,451.65","168,036,790.80","98,739,967.07","71,072,624.44","107,115,018.91","151,738,732.89","95,308,391.79","55,572,582.99","148,137,510.35","98,845,427.24","22,585,901.67","25,901,548.79","24,118,724.70","46,407,626.17","56,284,302.57","39,269,393.61","51,268,458.66","62,030,506.35","14,167,592.76","16,815,658.31","50,891,818.00","73,170,192.49","70,045,909.66","49,601,658.73","161,974,857.36","134,200,424.88","205,172,998.79","145,148,744.83","155,858,602.97","187,472,356.11","88,974,535.81","108,584,144.32","91,338,491.06","84,506,212.70","131,872,130.92","478,196,644.32","273,457,894.04","807,635,068.56","1,071,398,374.41","1,809,558,398.12","1,296,907,178.36"
预收款项,"164,795,199.58","161,964,514.64","131,964,349.30","145,094,984.63","170,677,817.18","217,482,396.87","209,792,691.63","143,830,926.26","175,319,938.86","201,316,636.70","269,363,139.24","171,316,774.63","36,727,626.64","250,107,945.66","181,264,003.65","178,839,056.57","84,755,853.95","113,381,708.21","116,906,678.31","180,172,257.13","151,980,076.08","139,524,881.08","159,659,683.75","124,799,975.16","128,345,764.11","113,339,432.31","120,636,137.75","191,540,953.00","219,466,991.70","171,671,051.16","203,494,151.71","176,721,273.83","186,443,231.81","133,819,721.25","158,591,851.93","181,224,549.01","225,085,074.13","172,560,573.96","204,065,498.32","95,825,449.15","212,177,465.34","156,974,386.02","436,829,116.35","165,367,704.47","633,989,829.86","450,577,122.27"
