科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"822,524,965.48","1,689,763,235.72","2,748,472,613.56","4,115,716,899.30","1,127,646,275.33","2,719,983,240.28","4,107,673,959.69","5,723,198,667.65","1,522,928,182.99","3,552,365,150.40","5,310,421,397.66","7,171,784,043.63","2,133,237,989.27","4,502,154,788.17","6,660,575,520.23","10,075,437,834.26","2,457,338,833.32","5,073,819,986.19","7,741,652,400.02","11,312,322,432.03","2,802,117,505.57","6,075,377,235.91","9,540,251,049.98","13,686,824,525.57","3,348,966,758.87","7,311,441,230.03","11,212,036,348.65","15,814,790,880.81","4,158,805,171.01","8,627,406,503.34","13,317,522,357.20","18,814,366,372.74","4,708,930,602.84","9,542,574,724.55","14,687,774,388.14","20,738,126,205.08","5,170,468,851.67","10,452,414,493.94","16,287,679,738.76","22,410,654,404.31","5,908,715,879.97","11,960,320,333.83","18,007,792,023.00","24,314,614,044.21","6,337,444,217.97","12,973,588,155.40","19,723,663,128.70","26,708,213,487.75","6,973,436,529.38"
二、营业利润,"88,531,234.45","181,285,764.19","274,737,805.60","393,322,568.29","101,318,593.09","236,086,380.93","365,514,033.45","528,884,752.35","133,614,262.10","310,069,290.09","482,154,729.66","691,842,734.39","204,497,726.80","508,042,075.91","746,307,516.96","1,043,096,006.57","265,313,585.19","655,545,163.10","982,129,343.10","1,372,721,770.45","341,454,127.95","838,404,201.46","1,293,529,752.90","1,803,780,101.53","422,261,395.11","1,053,212,079.92","1,992,857,934.95","2,638,930,639.93","583,396,944.25","1,297,942,047.76","2,230,017,827.18","2,829,825,545.49","659,814,554.92","1,438,612,103.24","2,452,857,360.30","3,168,241,317.67","718,299,745.66","1,574,546,283.98","2,698,019,678.37","3,319,829,663.97","831,442,087.81","1,801,955,099.21","3,004,646,347.15","3,620,723,532.36","939,694,797.79","1,888,279,402.21","3,156,770,398.70","3,831,992,552.35","993,257,763.59"
减:营业成本,"595,254,663.81","1,212,175,786.24","2,006,593,398.55","2,840,363,684.85","828,872,137.36","1,970,367,879.59","3,000,804,824.31","3,957,991,073.48","1,168,392,631.38","2,502,344,536.19","3,771,371,410.50","4,994,856,552.69","1,546,262,787.56","3,155,103,784.63","4,663,106,342.99","7,004,764,661.44","1,815,543,309.20","3,456,570,239.61","5,339,893,353.17","7,921,808,228.14","2,008,579,045.26","4,340,588,291.69","6,660,083,120.08","9,577,988,633.88","2,386,265,043.84","5,103,124,528.28","7,755,902,264.73","11,118,384,924.85","2,900,356,205.57","6,042,190,605.24","9,276,519,494.09","13,139,197,658.34","3,326,260,605.91","6,622,199,105.18","10,078,846,580.38","14,405,904,824.56","3,687,217,637.39","7,305,613,510.37","11,236,722,109.28","15,717,961,203.91","4,104,524,267.67","8,159,810,917.88","12,277,821,561.94","16,731,575,209.69","4,407,296,456.78","9,024,488,097.35","13,724,994,019.72","18,549,433,585.73","4,999,792,351.54"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,300,345.67","9,570,020.89","15,872,478.66","23,614,495.20","5,203,653.76","12,962,362.53","19,853,413.26","30,718,812.91","6,326,424.60","17,937,052.53","24,999,103.12","37,217,788.00","9,286,271.63","21,566,979.16","30,241,592.80","78,370,242.39","7,625,303.56","19,167,982.10","31,905,309.04","61,101,634.80","11,668,561.28","24,597,854.55","44,808,873.16","69,519,923.22","15,175,564.76","32,888,760.05","51,122,924.63","76,341,078.12","15,185,240.95","37,770,888.03","61,231,995.81","92,145,422.68","22,823,836.87","48,118,986.03","75,723,350.33","104,474,208.74","25,402,370.14","52,892,705.03","85,513,662.32","153,831,164.69","38,773,760.92","81,999,208.73","122,487,681.41","169,652,929.65","45,292,254.78","81,613,058.52","127,524,868.08","176,254,332.36","53,515,256.48"
营业外收入,"956,451.06","990,245.71","1,016,037.13","5,476,747.11","63,810.18","1,496,697.29","2,780,763.38","30,386,608.77","2,971,187.94","3,170,756.32","5,172,185.56","16,838,333.63","494,885.33","1,017,231.37","2,629,591.30","6,874,855.59","986,297.71","4,122,215.98","28,032,249.39","38,884,562.51","4,205,481.30","13,277,465.67","20,805,741.61","31,122,152.32","16,613,225.61","33,641,091.58","45,212,253.09","68,782,104.40","8,888,003.56","29,449,508.96","39,279,423.58","90,169,945.83","1,709,359.05","27,509,507.53","50,519,411.04","74,966,469.86","6,386,099.74","48,220,043.77","57,117,083.48","89,260,388.74","7,549,572.46","18,805,525.34","39,644,964.25","7,039,621.04","1,017,015.49","4,545,960.94","3,764,283.06","7,428,871.75","267,206.61"
销售费用,"108,382,600.27","231,071,616.06","369,995,611.14","617,408,033.13","158,963,251.89","416,703,836.74","598,432,812.70","983,476,564.83","176,152,420.71","602,004,726.44","870,603,990.64","1,237,368,270.36","330,592,977.07","708,616,439.71","1,066,201,699.71","1,702,532,239.96","322,711,788.50","809,625,614.24","1,200,236,903.15","1,666,342,484.66","368,268,107.38","688,422,017.72","1,264,548,587.08","1,864,200,530.61","431,834,555.54","896,945,608.77","1,479,943,580.20","2,012,574,359.11","543,961,527.87","1,035,171,992.57","1,457,303,797.58","2,430,382,334.23","567,199,935.27","1,216,079,263.54","1,771,268,967.08","2,709,561,529.63","613,166,275.07","1,278,418,292.17","1,929,307,174.44","2,840,488,664.16","869,938,773.08","1,824,094,547.39","2,443,618,236.37","3,683,512,377.95","916,693,664.74","1,890,884,502.65","2,533,664,890.96","3,921,594,798.48","830,146,721.01"
减:营业外支出,"197,166.42","705,091.72","842,002.40","1,641,174.36","263,569.62","1,132,395.71","3,301,657.33","4,021,665.81","644,749.32","1,298,146.89","2,504,764.39","3,031,910.65","2,011,733.28","6,082,133.77","7,278,302.38","10,233,390.32","450,701.87","862,591.71","3,002,364.06","4,638,600.18","394,020.61","1,725,379.10","3,430,645.92","5,056,052.86","412,087.86","3,404,498.17","4,055,208.70","6,401,721.81","578,626.76","1,944,842.94","6,800,988.94","9,850,343.51","426,090.33","443,747.45","971,337.74","27,872,603.87","675,992.20","2,671,780.53","3,453,201.57","11,584,603.18","1,244,669.40","2,396,840.23","4,876,591.45","5,915,625.68","497,181.87","1,999,939.55","2,503,876.48","13,259,575.92","4,040,852.62"
管理费用,"28,065,525.14","56,887,760.53","89,547,542.37","163,155,933.19","40,748,780.79","79,685,137.99","117,266,205.90","187,931,947.08","43,260,659.44","114,067,966.68","164,487,498.47","238,751,945.66","50,462,741.39","104,258,545.67","151,172,332.93","252,703,701.36","60,580,220.04","138,359,134.59","200,957,817.84","317,805,508.35","74,859,647.56","162,108,257.08","254,206,465.17","355,375,542.20","88,303,128.46","207,829,883.54","306,754,361.85","461,893,854.45","124,251,072.75","251,648,612.53","351,563,858.55","551,645,264.52","130,721,460.70","245,675,898.03","362,366,591.65","493,208,556.35","129,921,380.54","266,478,105.19","379,596,188.83","483,543,639.69","87,947,585.05","173,106,042.10","258,606,811.49","386,763,241.47","109,726,494.81","194,677,349.03","259,861,157.89","312,066,860.22","115,608,003.87"
其中:非流动资产处置净损失,"-2,115.38",,,"141,952.70",,"132,681.66","132,681.66",,,"149,758.47",,"806,215.41",,,,"250,446.96",,,,"1,106,667.43",,"171,255.78","174,817.13","333,816.83","83,524.19","1,021,584.24","1,066,010.99","1,152,072.07","51,306.79","110,631.62","136,119.10","1,386,743.54","195,481.55","91,564.70","606,502.12","896,902.52","415,442.60","415,044.80","662,562.27","2,142,073.69","26,609.38","271,127.33","2,339,965.84",,,,,,
