科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"496,310,732.23","446,314,942.57","380,337,810.00","433,757,166.87","335,721,057.77","336,009,016.05","359,937,375.33","354,237,517.27","362,543,051.33","311,358,892.66","356,016,644.48","461,570,364.23","366,174,345.05","368,491,556.19","383,584,794.54","521,230,098.33","521,238,515.44","569,246,305.05","559,401,026.86","586,542,322.06","462,518,611.90","548,134,499.36","469,858,125.54","452,878,345.08","437,251,230.62","430,625,257.21","450,870,345.31","565,991,253.56","488,548,263.46","445,311,162.74","453,479,209.85","474,924,070.58","391,958,647.25","388,290,054.39","455,591,525.88","495,725,959.32","520,117,094.18","493,269,626.61","523,533,300.13","767,547,242.72","678,688,585.08","703,304,824.81","772,300,479.88","816,704,272.13","758,792,682.80","730,853,246.41"
短期借款,"224,400,000.00","254,000,000.00","261,350,000.00","326,850,000.00","303,800,000.00","323,500,000.00","322,000,000.00","315,000,000.00","319,500,000.00","286,000,000.00","274,000,000.00","374,500,000.00","322,500,000.00","349,500,000.00","474,450,000.00","349,090,000.00","452,090,000.00","449,000,000.00","441,500,000.00","502,500,000.00","490,000,000.00","622,000,000.00","547,500,000.00","506,500,000.00","536,500,000.00","529,000,000.00","536,000,000.00","497,000,000.00","509,000,000.00","505,600,000.00","473,600,000.00","460,600,000.00","486,100,000.00","558,100,000.00","561,100,000.00","530,600,000.00","486,229,224.00","484,100,000.00","496,100,000.00","589,100,000.00","571,600,000.00","599,710,000.00","596,600,000.00","606,600,000.00","573,600,000.00","600,600,000.00"
交易性金融资产,"174,154.90","145,459.70","252,190.00","433,100.00","335,095.00","398,477.00","320,347.00","295,763.00","416,102.00","461,358.00","456,716.00","432,640.00","643,626.00","22,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,686,382.36","4,934,210.00","9,304,715.80","8,954,943.38","10,667,011.54","12,423,069.40","8,455,334.00","17,919,227.30","12,925,734.70","19,791,999.66","16,301,923.01","13,717,856.99","14,571,291.78","18,130,678.36","21,493,968.37","38,772,893.01","45,451,911.79","43,355,795.01","60,125,059.98","62,442,980.24","40,554,401.79","51,234,342.25","48,123,901.93","59,674,126.50","56,465,332.93","83,977,004.99","81,680,231.15","95,617,612.72","64,204,442.81","65,043,986.76","87,126,202.02","78,959,117.96","82,456,477.72","72,625,585.15","60,850,218.79","66,625,431.42","78,285,517.43","73,396,517.48","120,542,917.29","123,544,456.71","117,818,939.70","103,249,840.97","116,456,557.31","128,264,796.34","178,656,046.30","175,517,982.41"
应付票据,"49,096,500.00","54,754,700.00","38,168,700.00","35,821,000.00","56,601,000.00","44,968,500.00","54,735,243.54","65,206,743.54","73,330,400.00","83,426,400.00","132,662,644.00","161,072,199.30","161,111,131.56","151,846,510.26","192,719,321.75","223,678,623.33","198,689,130.03","184,592,655.33","110,823,864.48","122,838,897.93","95,868,468.93","75,170,912.46","103,939,621.66","96,592,022.57","75,766,465.00","103,141,209.01","129,434,991.00","134,204,676.80","105,831,037.94","93,336,798.71","107,977,320.30","82,058,948.71","52,263,765.85","69,777,445.37","106,168,818.66","110,567,124.49","87,890,050.93","102,800,443.01","133,085,540.49","142,011,524.46","121,779,198.98","121,234,325.18","138,553,284.15","137,146,713.13","132,736,098.34","133,878,801.75"
应收账款,"164,958,398.58","178,415,259.16","194,934,869.18","156,485,635.17","186,624,540.90","208,005,263.41","195,415,350.45","163,881,332.10","190,160,633.05","228,006,727.80","211,356,277.38","197,290,452.45","220,766,382.88","244,679,360.65","366,722,284.73","318,657,446.68","383,242,420.48","417,209,945.94","388,001,563.87","345,298,208.38","412,429,452.92","450,810,020.74","448,119,394.10","465,633,300.64","473,771,674.64","507,909,398.71","547,897,330.63","468,007,464.03","506,776,159.24","512,965,576.35","507,688,400.54","476,642,186.93","519,492,941.48","566,577,562.68","543,226,308.92","563,422,090.03","568,250,598.22","616,604,559.45","616,334,927.76","504,492,206.69","528,010,306.55","585,241,590.11","561,602,128.50","530,495,212.87","557,221,207.67","600,172,615.72"
应付账款,"229,267,979.12","225,397,291.01","238,641,447.00","257,196,001.35","247,273,839.21","266,037,177.51","251,160,859.97","281,492,514.01","282,764,229.50","281,727,004.46","256,300,107.05","252,505,816.71","243,116,163.47","294,347,375.41","377,509,422.02","392,460,477.77","388,525,088.32","437,491,133.69","379,010,137.77","384,595,877.82","367,553,532.64","383,305,365.26","374,716,403.66","460,363,811.64","459,410,837.70","487,640,342.49","499,831,065.05","524,562,292.29","493,363,928.17","541,857,154.02","507,326,931.52","490,776,250.91","492,584,483.93","539,773,006.09","517,012,070.09","515,532,744.96","553,171,055.06","601,597,913.90","592,456,716.47","631,597,635.59","625,760,355.57","692,461,345.68","715,602,657.61","670,049,558.91","700,105,293.83","765,062,944.97"
预付款项,"84,000,739.32","85,036,671.72","104,078,874.32","96,623,170.65","112,845,228.34","95,431,675.38","88,083,971.13","75,527,023.76","86,219,691.61","57,070,280.85","80,273,215.87","84,241,845.58","100,363,266.60","119,530,687.65","141,776,527.13","158,927,816.19","187,500,318.14","176,179,281.11","148,417,620.21","155,850,512.24","190,052,948.29","178,604,077.40","193,443,356.92","99,699,876.60","131,405,358.11","115,847,967.22","150,920,639.74","94,195,638.52","105,594,402.90","97,821,499.61","96,082,005.73","71,267,046.38","93,582,664.57","77,307,740.94","106,487,050.38","51,224,341.40","90,848,787.30","103,497,392.79","139,697,355.43","144,774,482.46","179,720,633.26","182,029,323.50","215,330,312.84","172,114,325.45","198,914,583.32","179,190,167.22"
预收款项,"171,449,636.87","169,353,695.43","179,289,698.79","210,624,088.79","186,700,079.81","197,122,060.10","199,676,160.68","189,295,608.99","153,227,401.21","155,339,325.70","155,264,671.18","166,089,767.26","162,630,474.64","169,011,980.17","181,673,589.24","224,801,615.46","254,257,485.19","272,029,496.11","268,369,381.52","271,583,968.14","210,483,393.68","213,499,147.94","173,553,850.47","276,522,644.51","255,809,698.65","276,728,707.29","287,674,731.79","319,386,908.50","258,627,383.66","185,005,063.80","188,241,827.40","220,754,444.77","179,500,521.81","145,137,712.56","170,476,273.77","228,121,097.78","272,290,832.95","233,485,692.61","227,076,581.51","317,225,830.36","337,176,976.22","292,677,119.57","287,056,309.59","421,003,458.26","386,873,439.48","300,373,813.51"
