科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"47,540,749.17","106,029,845.28","158,270,442.09","263,309,958.48","99,489,589.88","233,272,912.31","328,248,860.03","523,669,544.78","167,880,148.51","280,670,112.70","458,172,579.09","740,780,902.53","193,848,298.20","442,157,918.98","678,060,848.70","1,055,999,113.82","189,891,754.87","371,940,697.14","525,705,240.08","709,197,518.09","95,701,772.25","189,968,991.36","285,878,482.89","402,492,073.50","99,223,639.50","207,690,633.14","292,887,193.81","425,180,236.22","107,678,442.33","200,838,676.42","288,894,892.49","394,488,518.11","82,907,102.67","180,044,126.73","257,927,038.09","347,678,696.19","62,068,954.28","149,233,718.08","262,720,780.66","504,526,804.83","91,700,392.42","253,114,844.99","400,464,284.27","626,308,506.91","134,777,490.75","302,812,817.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,478,149.78",,,,,,,,,,,,,,"46,043,601.87","46,043,601.87","310,736,451.66",,
收到的税费返还,"100,000.00","600,000.00","1,670,528.00","2,477,600.00","1,149,573.00","5,778,803.00","6,108,803.00","13,590,360.19","2,191,892.04","1,391,892.04","3,114,948.40","22,633,844.04","1,420,184.12","14,420,184.12","27,420,184.12","42,920,184.12","6,600,000.00","16,100,000.00","23,545,311.26","25,353,777.24",,,,,,"29,331.51","29,331.51",,,,"7,346.57",,,"38,221.68","265,673.59","690,376.14","197,692.08","326,278.05","454,216.35","581,144.09","189,407.64","430,417.59","835,779.46",,,"86,943.26"
支付其他与投资活动有关的现金,,,,"500,000.00","23,200.00","63,847.15","1,074,522.65","1,000,000.00",,"750,000.00","750,000.00",,"121,558.00","3,145,334.30","3,157,470.68",,"8,075,008.90","8,114,054.54","8,116,175.01",,,"144,955.60","144,955.60",,,840.00,840.00,,,"24,609,422.69","24,609,422.69","24,609,422.69",,,,"3,519,638.34",,,,"157,682,532.73","300,140,802.73","603,010,140.80","605,010,140.80","838,000,000.00","2,164,519.02","116,134,519.02"
收到其他与经营活动有关的现金,"3,837,100.82","20,379,612.02","30,887,060.02","16,201,361.77","16,164,376.39","80,554,813.03","31,453,378.99","16,646,845.54","7,549,741.38","19,179,582.45","27,037,358.49","10,925,462.50","9,819,395.23","14,240,129.01","26,344,330.74","8,596,453.80","17,939,253.84","22,434,208.51","28,024,567.45","745,085.11","3,855,683.09","3,281,031.33","6,954,612.94","4,728,772.69","2,756,887.10","8,822,538.38","13,295,853.79","13,129,288.79","662,415.74","1,789,534.07","3,118,697.56","2,779,567.10","638,862.13","2,329,400.40","2,971,743.20","1,841,398.26","868,194.64","3,398,122.16","7,983,224.16","2,900,248.04","11,530,906.83","11,117,861.28","37,103,954.59","23,723,699.39","42,547,196.89","50,317,382.18"
投资活动现金流出小计,"39,064,904.83","124,020,663.35","83,639,886.79","137,698,355.65","32,732,291.42","36,770,124.50","53,200,325.55","75,512,892.09","8,536,538.15","14,378,700.44","36,446,617.92","75,082,095.02","4,494,743.31","39,869,896.36","136,200,527.79","150,466,332.00","43,801,617.97","104,422,528.67","118,584,883.54","174,761,999.36","6,402,308.09","56,370,305.61","63,876,157.97","113,923,249.24","54,184,277.63","55,353,245.05","71,067,331.26","71,667,257.42","31,147,796.38","35,409,671.71","57,142,660.76","61,819,286.82","12,093,723.19","27,595,555.06","43,645,893.44","64,830,901.20","7,816,291.65","18,939,629.04","60,145,332.81","276,162,581.68","338,951,814.30","742,933,581.38","1,032,011,821.54","1,387,749,180.65","563,622,170.24","809,204,580.18"
经营活动现金流入小计,"51,477,849.99","127,009,457.30","190,828,030.11","281,988,920.25","116,803,539.27","319,606,528.34","365,811,042.02","553,906,750.51","177,621,781.93","301,241,587.19","488,324,885.98","774,340,209.07","205,087,877.55","470,818,232.11","731,825,363.56","1,107,515,751.74","214,431,008.71","410,474,905.65","577,275,118.79","735,296,380.44","99,557,455.34","193,250,022.69","292,833,095.83","407,220,846.19","101,980,526.60","216,542,503.03","306,212,379.11","438,309,525.01","108,340,858.07","202,628,210.49","292,020,936.62","397,268,085.21","83,545,964.80","182,411,748.81","261,164,454.88","350,210,470.59","63,134,841.00","152,958,118.29","271,158,221.17","508,008,196.96","103,420,706.89","264,663,123.86","438,404,018.32","650,032,206.30","177,324,687.64","353,217,142.45"
投资活动产生的现金流量净额,"-38,964,904.83","-63,511,162.80","-83,183,459.93","-137,295,593.05","-32,732,291.42","-32,693,746.24","51,250,751.73","46,906,157.45","-8,536,538.15","-14,356,890.44","-34,483,193.17","-50,952,802.50","4,669,913.40","-28,591,539.42","-124,762,638.27","-107,472,425.00","-43,800,517.97","-32,493,081.47","-46,415,436.34","-106,758,454.93","-3,664,203.01","-41,664,806.18","-49,170,658.54","-78,298,033.19","-39,560,216.09","-37,535,114.01","-27,113,442.00","53,299,057.13","-27,039,796.38","-33,776,940.41","-50,505,209.46","-55,067,799.57","-12,093,303.19","-26,328,558.06","94,804,824.28","73,965,367.69","-7,676,791.65","114,579,066.55","74,260,355.47","-56,555,281.56","-180,797,816.60","-204,404,092.77","-334,004,068.22","-157,159,338.15","-364,876,006.51","-509,756,916.45"
购买商品、接受劳务支付的现金,"28,415,189.63","66,500,364.15","92,008,488.44","148,674,164.16","63,123,215.89","168,747,179.98","256,716,086.66","349,242,730.10","141,092,732.68","181,903,239.84","285,158,182.90","441,404,848.21","107,610,675.26","227,050,401.37","352,652,698.80","600,891,136.81","91,126,135.66","186,505,535.39","263,395,489.77","380,288,017.80","66,769,959.02","112,279,740.64","166,941,805.07","239,104,806.42","71,234,500.99","143,921,929.48","219,008,009.09","316,742,721.92","81,397,740.91","144,208,863.24","208,598,482.90","267,623,535.83","51,292,976.14","108,892,114.13","144,110,729.26","190,197,194.58","55,393,528.89","100,129,501.27","153,803,308.63","283,712,896.61","67,589,121.98","132,289,648.49","214,290,919.35","272,260,288.45","113,503,558.26","220,918,647.67"
吸收投资收到的现金,"131,437,670.20","131,437,670.20","131,437,670.20","131,048,375.18",,,,"-3,466,854.64","147,475,520.00","147,475,520.00","150,475,520.00","150,475,520.00",,"3,000,000.00","37,856,100.00","50,106,100.00",,"6,000,000.00","13,350,000.00","16,350,000.00",,"400,000.00","400,000.00","321,249,500.00",,,,,,"5,935,000.00","5,935,000.00","5,935,000.00",,,,,,"2,450,000.00","996,939,992.37","1,002,819,992.37",,"980,000.00","9,315,000.00","1,470,000.00",,
