科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"18,184,969.82","16,867,206.16","10,647,331.86","9,324,953.03","5,535,781.00","6,313,105.45","6,128,151.69","13,838,362.06","5,727,312.49","10,590,276.94","10,188,452.93","21,573,905.88","7,663,781.41","8,636,802.53","10,203,511.80","33,622,592.34","23,627,165.66","29,846,359.81","19,537,211.92","10,341,157.21","5,249,666.78","18,827,111.32","31,859,884.86","241,739,248.70","235,674,862.00","231,221,581.23","221,198,175.80","224,471,388.00","183,564,255.90","167,185,089.60","139,707,185.73","137,995,493.51","65,360,511.36","60,573,469.91","108,634,012.53","47,912,664.11","88,652,724.86","99,530,613.94","96,639,900.24","198,683,805.95","234,821,820.40","252,304,014.02","205,039,164.15","150,987,625.71","137,000,644.11","155,751,734.53","122,215,002.88","188,762,957.46","44,500,120.39"
短期借款,"229,755,031.87","242,638,731.87","239,102,261.87","195,964,794.82","178,964,794.82","177,294,794.82","177,092,114.87","150,728,217.87","146,698,217.87","134,408,217.87","134,408,217.87","133,388,217.87","133,388,217.87","131,758,217.87","115,872,217.87","109,772,217.87","109,772,217.87","109,772,217.87","109,772,217.87","109,772,217.87","109,772,217.87","105,772,217.87","105,772,217.87","19,400,831.87","19,400,831.87","19,400,831.87","19,400,831.87",,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,266,000.00","48,686,591.10","39,165,000.00",,"49,000.00","29,155,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"100,000.00","5,124,569.92","4,920,882.43","6,800,130.00","2,880,000.00","5,750,000.00","13,650,000.00","13,650,000.00","10,756,800.00","7,671,800.00","5,346,350.00","13,720,000.00","11,685,000.00","9,943,011.05","14,235,220.00","18,773,803.66","14,441,399.69","6,947,000.00","17,120,000.00","16,151,684.00","25,388,621.50","13,370,552.10","13,330,000.00","18,311,974.00","16,292,356.00","19,410,000.00","25,414,224.00","15,833,918.00","17,428,440.00","23,476,740.00","9,390,858.64","15,933,014.44","4,957,376.99","12,485,749.57","13,900,000.00","8,850,000.00","6,999,392.00","10,118,737.52","8,728,795.44","3,170,000.00","7,148,000.00","5,802,343.00","2,927,207.25","6,301,300.00","8,027,689.60","8,286,800.00","10,743,219.00","24,922,360.49","20,465,704.01"
应付票据,"2,950,000.00","1,357,839.96","2,957,839.96","1,500,000.00",,,"7,800,000.00","13,500,000.00","9,300,000.00","2,456,800.00","756,800.00","1,050,000.00","2,050,000.00","1,000,000.00","3,000,000.00","11,602,745.06","2,700,000.00","2,700,000.00",,,,"800,000.00","8,182,860.00","809,184.00","11,732,274.00","16,270,000.00","12,170,000.00","25,020,000.00","41,700,000.00","23,927,800.00","2,377,800.00",,"1,270,400.00","4,270,400.00","5,700,000.00","4,000,000.00","3,300,000.00","3,800,000.00","3,950,000.00","1,950,000.00",,,"1,357,565.40","5,108,790.40","6,061,321.00","5,326,996.00",,"3,232,513.12",
应收账款,"49,083,250.14","48,326,815.90","44,683,615.23","45,745,903.32","46,090,759.93","43,242,175.69","40,736,182.75","38,257,820.23","31,643,104.70","38,588,438.83","43,410,133.23","37,839,633.15","43,628,459.29","39,554,502.04","34,188,780.33","42,132,459.70","39,745,293.19","44,657,357.39","37,705,835.80","38,219,893.80","29,279,178.75","37,029,329.68","33,209,821.39","37,948,533.30","44,500,728.07","32,386,473.91","32,336,256.91","41,965,933.47","33,715,921.89","34,834,299.42","29,860,526.03","22,626,129.58","29,516,357.69","29,890,780.02","25,855,157.56","21,309,115.75","24,079,971.16","19,109,199.06","21,380,630.80","19,721,009.33","12,501,696.83","18,440,681.37","20,779,843.41","29,645,816.29","29,539,774.54","29,306,110.34","26,409,699.86","29,434,995.37","152,805,526.82"
应付账款,"68,712,653.26","64,818,848.95","64,410,186.38","63,686,695.89","65,528,626.74","66,159,293.53","64,456,562.15","46,895,164.93","45,936,680.62","50,555,007.16","47,320,248.69","55,013,546.99","55,643,836.11","53,527,245.89","50,695,051.11","59,521,175.93","56,706,243.08","64,962,944.30","54,058,279.22","55,930,679.46","48,689,187.22","57,666,412.08","55,731,064.48","55,167,823.13","55,493,926.74","44,903,328.23","45,296,065.38","54,022,290.09","27,680,488.00","40,591,806.96","38,014,246.98","38,394,031.56","35,776,572.58","39,234,510.41","32,840,103.17","30,741,886.83","29,605,783.58","33,127,398.22","35,658,033.72","41,608,336.66","37,897,974.81","36,017,269.50","39,526,988.50","50,593,954.91","50,022,272.21","42,178,492.91",,"32,365,961.00",
预付款项,"23,608,854.28","27,090,188.05","25,230,810.92","23,364,778.92","20,518,971.38","22,380,534.82","19,024,332.39","11,196,634.97","11,741,080.32","7,515,222.51","7,705,217.25","7,379,692.48","7,630,449.80","7,309,276.14","6,471,097.44","6,651,344.40","8,116,375.37","7,826,908.52","6,882,190.37","2,987,252.59","3,061,284.57","3,744,890.66","2,774,048.22","2,190,269.82","3,307,753.14","2,428,899.78","3,605,259.51","5,716,211.24","24,632,358.70","29,571,513.65","27,287,596.09","6,898,450.23","7,500,546.07","8,343,747.77","2,967,419.76","3,396,517.21","2,140,999.96","2,687,331.54","1,830,447.74","1,856,693.30","2,131,025.66","1,424,648.93","2,031,237.61","3,094,608.67","2,176,416.01","13,561,116.51","144,817,338.79","69,171,842.72","28,192,471.42"
预收款项,"16,211,387.70","13,361,826.84","11,388,519.88","17,928,946.58","16,812,085.35","15,086,447.19","11,101,933.78","12,184,541.50","12,320,197.85","13,086,344.04","13,853,588.28","5,470,726.93","6,354,950.79","6,339,208.89","6,376,324.20","5,940,082.36","6,189,001.89","5,254,182.15","5,725,362.93","3,980,329.15","4,065,127.40","3,959,504.30","3,944,354.76","4,029,437.79","3,970,422.55","3,995,192.52","4,847,725.53","2,337,721.92","2,378,585.43","2,462,780.63","3,468,115.88","1,321,574.89","1,388,115.49","1,594,054.89","1,787,199.89","1,736,582.77","1,697,797.77","1,656,581.79","1,566,676.45","1,407,754.52","1,403,264.52","1,508,805.54","1,733,397.52","1,926,786.82","1,261,521.71","37,750,785.84","26,701,823.22","1,148,165.62","1,133,955.62"
其他应收款,"37,167,188.57","27,296,092.10","28,577,302.92","12,781,294.90","13,563,585.56","11,124,106.32","10,004,520.13","8,438,088.82","8,582,796.40","7,496,409.80","7,405,976.58","5,907,923.24","14,042,747.25","5,631,580.83","5,561,521.48","4,631,437.60","5,128,944.10","2,765,558.96","2,608,217.74","1,931,386.10","1,954,455.48","1,514,818.70","1,774,940.16","1,720,599.23","1,823,587.22","1,983,867.20","1,853,966.88","7,300,753.95","26,822,335.07","19,725,084.56","34,077,247.68","24,788,307.82","25,053,896.76","20,922,169.64","21,941,230.54","23,023,949.91","24,671,318.41","22,619,113.00","22,000,930.81","133,599,641.52","85,074,399.05","21,314,417.40","22,628,060.04","17,639,866.03","17,548,268.91","19,377,904.73","19,709,615.87","304,104.64","14,353,664.80"
应付职工薪酬,"43,094,658.24","41,306,545.96","41,339,379.40","37,424,957.64","38,190,318.08","38,717,588.76","38,288,156.33","38,658,205.99","38,752,889.49","39,215,512.12","39,299,841.27","39,364,633.44","39,520,722.93","39,516,069.66","39,499,258.16","39,355,618.37","39,215,311.05","39,317,002.90","39,267,568.92","39,450,076.44","39,462,754.36","39,833,098.02","39,832,832.74","39,223,412.13","39,422,782.63","39,266,303.82","39,145,248.81","38,237,510.02","38,839,066.95","38,699,093.33","38,482,124.46","5,727,371.06","6,004,693.07","5,750,035.77","5,751,786.00","10,335,228.10","10,159,637.93","8,392,374.04","7,447,511.61","7,849,654.76","8,774,789.34","9,132,617.50","8,220,459.99","7,432,319.42","7,253,696.18","6,268,302.55","5,210,279.06","4,448,206.37","4,560,448.67"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"11,325,509.06","12,865,959.43","11,538,802.18","12,655,359.35","13,107,216.87","13,076,956.17","13,098,429.78","13,359,635.72","13,249,545.66","13,234,820.68","14,098,876.61","14,026,403.04","13,902,544.57","14,396,378.70","14,781,362.57","19,468,635.16","18,623,758.99","18,333,518.08","18,427,451.99","19,246,608.01","19,593,827.28","19,755,138.52","19,958,401.46","20,657,842.09","17,312,588.63","13,893,184.26","13,477,882.93","7,629,132.78","6,531,723.31","3,848,954.69","2,462,255.72","7,200,593.26","6,138,969.12","5,789,818.81","5,654,427.22","6,920,738.17","6,740,396.20","5,727,393.42","5,664,071.45","8,893,064.58","8,309,626.59","5,777,621.93","5,659,340.25","5,791,107.98","5,873,422.64","5,678,283.23","18,639,500.19","6,191,346.41","6,081,491.12"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245,000.00",,,,,,,"956,805.56","956,250.00","968,250.00","744,000.00",,,
应付利息,"51,376,840.46","58,233,574.19","62,284,555.61","42,969,852.47","45,814,852.47","48,644,568.40","51,484,568.40","28,290,374.61","30,356,982.72","25,693,348.23","27,853,348.23","29,673,053.95","31,837,731.88","34,004,827.70","30,310,554.38","27,453,344.95","29,249,061.28","31,044,777.61","32,840,493.94","32,877,310.24","34,673,026.57","36,468,742.90","38,264,459.23","12,430,539.14","12,992,539.14","13,382,539.14","13,862,539.14","14,022,539.14","14,022,539.14","14,022,539.14","14,022,539.14","14,000,000.00",,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"744,669.48","1,053,481.68","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48","744,669.48",,"583,387.08","583,387.08"
存货,"34,057,505.98","34,516,587.82","38,733,776.77","39,793,223.51","39,842,497.80","37,013,281.48","38,929,505.27","36,674,343.21","39,108,947.74","40,776,066.78","39,487,324.26","39,518,192.08","44,061,792.96","43,775,681.10","46,378,339.96","46,532,234.76","49,528,252.53","52,235,250.16","47,134,090.86","36,177,972.94","34,908,826.78","32,444,964.14","32,587,446.13","26,964,681.64","31,728,855.00","32,640,714.21","31,706,319.96","33,301,117.30","39,009,356.03","29,731,215.56","33,621,274.86","23,383,478.68","22,640,695.03","23,509,016.22","20,878,411.69","20,438,283.77","19,171,431.44","21,184,964.63","21,035,530.09","23,994,422.76","25,462,594.82","23,134,372.18","23,645,212.32","16,708,471.21","16,490,078.39","17,173,772.05","38,745,483.40","11,821,961.55","12,193,934.49"
其他应付款,"15,979,151.37","16,651,980.47","17,687,507.24","22,129,922.95","27,906,232.00","32,002,165.73","31,673,241.89","62,063,848.10","57,555,393.38","76,992,489.06","77,898,691.07","75,389,188.54","74,773,888.54","67,882,735.24","88,191,042.43","112,974,689.67","111,935,662.77","112,656,457.06","113,372,769.71","107,488,847.35","107,339,844.16","108,061,399.87","107,378,621.05","25,179,698.56","21,334,027.81","19,590,845.62","20,281,409.65","23,234,056.85","20,092,665.53","15,440,999.50","22,660,809.49","22,683,241.83","19,499,332.14","20,970,942.82","21,956,745.31","25,241,642.33","22,435,032.28","19,849,546.76","22,787,008.50","133,982,826.96","129,085,609.91","91,751,364.32","90,487,930.75","89,462,930.92","79,462,596.08","74,538,031.69","70,266,976.98","57,569,711.40","44,706,117.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
