科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"796,141,261.05","1,576,353,857.99","2,393,050,875.57","3,998,893,944.00","1,097,293,876.22","2,006,687,858.84","4,122,609,516.98","2,993,850,564.11","152,879,021.74","309,474,611.13","395,539,206.11","486,978,381.65","22,270,944.63","101,246,536.15","116,644,623.90","162,695,985.71","18,993,102.83","93,193,299.31","102,942,569.61","127,039,460.17","3,589,208.68","38,896,300.23","57,286,007.07","122,405,329.00","28,904,982.30","51,368,382.82","64,771,341.44","74,584,361.88","7,975,485.49","115,377,097.24","118,904,424.95","23,021,771.43","2,953,224.48","4,753,734.23","22,127,351.46","108,375,884.17","4,837,665.63","5,237,167.13","35,459,747.80","92,455,220.84","27,974,913.30","86,538,231.82","190,038,067.12","376,104,586.21","62,808,050.64","177,660,656.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,"528,313,572.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,"16,342,500.00",,,,,,,,,,,"7,453,227.00","7,453,227.00",,"60,000.00","60,000.00","60,000.00",,"323,000.00","323,000.00","323,000.00",,,,,,,,,,,,,,,"292,000.00"
支付其他与投资活动有关的现金,,,,,,,,,"14,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,000.00",,,,,,,
收到其他与经营活动有关的现金,,"241,479.83","450,160.06","557,592.05","130,058,000.00",,"5,643,326.40","142,116,867.99","33,226,671.05","66,710,906.88","93,364,974.31","1,922,296.47","1,104,070.70","71,324,983.50","131,202,842.46","2,095,849.96","11,066,157.28","1,485,732.25","7,280,518.24","4,632,551.82","57,261,194.50","77,847,047.85","84,516,213.52","34,418,476.61","34,042,160.54","259,660,463.97","283,164,955.42","185,444,595.78","76,933,761.67","38,969,215.04","386,991,003.32","314,114,682.29","40,649,256.92","69,120,094.09","80,324,116.48","44,530,106.04","199,730,039.09","7,955,620.83","9,358,754.91","4,892,463.09","7,629,244.47","11,157,896.36","11,130,018.26","15,343,096.16","5,647,679.23","14,352,464.54"
投资活动现金流出小计,"1,576,236.60","3,372,366.24","6,965,398.51","14,790,256.34","8,287,359.82","22,962,682.90","546,147,718.98","670,048,804.20","14,000,000.00","40,000.00","870,655.00","2,311,065.00","1,221,885.00","2,355,200.00","2,369,580.00","4,411,566.94","65,000.00","178,214.00","216,637.00","281,188.00","5,076.00","10,336.00","12,436.00","20,236.00",,"27,500.00","27,500.00","616,847.98","190,040,650.00","190,084,730.00","190,163,885.00","190,105,565.00","190,404,516.11","192,594,821.41","192,644,784.41","1,793,641.41","16,588.00","63,373.00","347,573.00","85,873.00",,"112,790.80","198,083.80","520,877,221.29","99,585,713.53","1,198,251.94"
经营活动现金流入小计,"796,141,261.05","1,576,595,337.82","2,393,501,035.63","3,999,451,536.05","1,227,351,876.22","2,006,687,858.84","4,128,252,843.38","3,135,967,432.10","186,105,692.79","376,185,518.01","505,246,680.42","488,900,678.12","23,375,015.33","172,571,519.65","247,847,466.36","164,791,835.67","30,059,260.11","94,679,031.56","110,223,087.85","131,672,011.99","60,850,403.18","124,196,575.08","149,255,447.59","156,823,805.61","63,007,142.84","311,088,846.79","347,996,296.86","260,028,957.66","85,232,247.16","154,669,312.28","506,218,428.27","337,136,453.72","43,602,481.40","73,873,828.32","102,451,467.94","152,905,990.21","204,567,704.72","13,192,787.96","44,818,502.71","97,347,683.93","35,604,157.77","97,696,128.18","201,168,085.38","391,447,682.37","68,455,729.87","192,305,120.78"
投资活动产生的现金流量净额,"107,923.40","-1,763,466.24","16,471,423.40","6,577,203.62","-8,287,359.82","3,711,662.22","84,682,507.56","-33,905,338.90","-14,000,000.00","-40,000.00","-705,393.64","-629,422.43","506,602.30","581,914.70","631,845.53","289,018.92","-65,000.00","-178,214.00","5,456,144.19","5,391,592.35","-5,076.00","-10,336.00","5,614,344.35","5,606,544.35",,"-27,500.00","6,161,958.40","5,572,610.42","-189,059,828.09","1,686,283.69","1,607,128.69","-186,226,332.13","8,493,634.96","198,659,548.26","198,732,571.37","222,239,805.43","7,103,689.10","7,054,504.10","6,770,304.10","7,032,004.10",,"2,347,809.20","2,262,516.20","-106,409,616.14","-10,990,371.07","119,176,040.45"
购买商品、接受劳务支付的现金,"712,387,661.53","1,447,140,938.36","2,211,198,843.83","3,747,682,837.66","1,145,315,170.38","1,904,513,943.74","4,099,035,248.53","3,195,919,279.45","17,010,659.00","79,323,166.46","182,228,313.59","192,750,323.04","16,211,952.68","41,685,117.05","108,859,619.16","61,875,422.89","2,050,180.23","10,320,705.88","19,717,663.44","28,086,117.74","152,745,447.66","173,626,465.97","178,092,560.65","31,046,534.40","3,764,181.33","120,336,454.65","345,563,953.78","358,972,501.10","-164,002,523.73","134,492,011.98","249,538,986.64","78,602,387.83","36,989,198.96","94,474,344.68","105,724,040.42","244,074,454.58","8,561,621.30","28,121,667.77","92,738,395.97","114,279,302.53","35,464,394.27","80,710,623.06","134,204,927.45","188,592,698.88","62,871,430.53","101,727,888.00"
吸收投资收到的现金,,,,,,,"200,000,000.00","200,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
