科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"208,127,760.57","451,204,553.14","749,574,320.25","1,029,510,332.03","301,804,744.64","544,518,163.01","824,780,673.44","968,886,648.86","130,206,319.89","299,512,400.31","529,666,132.94","743,630,016.09","217,838,736.31","421,216,841.17","569,597,819.46","767,224,209.13","146,767,882.45","287,266,483.95","474,021,583.76","731,404,795.92","31,759,692.39","97,527,729.33","140,045,530.23","212,032,406.56","21,944,357.06","97,826,298.44","158,578,748.07","226,201,000.06","21,630,329.47","97,221,406.80","161,819,191.58","243,740,191.27","20,404,644.78","31,774,089.20","103,667,892.37","154,959,558.86",,"854,700.85","1,387,883.07","12,653,836.16",,"83,411,786.21","420,223,609.86","752,737,593.72","340,299,991.53","655,116,925.91"
二、营业利润,"-1,491,189.03","-20,087,636.97","-34,216,467.51","-62,195,997.34","-7,451,242.00","-21,265,797.60","-30,230,137.10","-65,220,165.49","-9,779,316.63","-22,469,379.63","-29,810,709.27","-98,724,807.15","-9,892,670.18","-26,542,892.79","-36,661,501.83","-80,760,812.69","-8,423,105.74","-18,841,132.76","-26,083,034.55","-51,658,925.17","2,707,557.49","23,949,418.22","37,939,374.83","57,192,242.61","4,556,728.69","33,050,029.27","55,529,614.41","78,843,702.97","3,899,561.38","28,312,507.14","54,478,265.13","98,075,695.78","4,953,605.01","26,346,791.07","55,004,153.29","67,893,794.34","-7,205,623.54","-12,443,290.73","-28,158,792.96","-43,362,132.87","-19,459,523.23","-142,932,031.03","-186,850,442.89","-9,965,200.88","-20,609,272.47","-124,537,102.49"
减:营业成本,"194,561,485.70","435,031,726.00","729,148,030.32","1,006,112,826.20","286,134,467.95","524,836,305.39","795,363,999.02","932,318,973.57","129,922,674.43","300,372,474.25","521,628,746.10","733,681,750.90","214,867,991.36","421,570,313.87","568,937,506.70","759,553,772.40","142,688,865.55","277,310,148.11","461,822,730.21","707,460,089.38","17,429,633.64","47,237,475.41","63,632,336.51","99,865,014.72","8,575,791.71","45,798,409.51","74,272,409.60","106,820,164.61","11,685,051.40","45,334,463.92","73,943,758.64","112,916,066.49","9,705,444.28","13,738,223.53","45,436,272.17","68,708,509.67",,,"657,257.11","6,658,845.38",,"65,130,990.00","319,627,954.15","576,668,734.16","268,656,799.27","533,013,444.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"164,801.82","197,716.61","480,700.38","1,596,919.39","294,854.08","494,301.95","868,762.65","1,131,800.18","41,543.23","130,438.73","274,717.43","403,980.65","77,653.73","160,818.20","188,067.30","218,483.61","117,292.75","168,926.27","222,084.40","234,478.05","1,780,574.24","5,450,049.30","9,257,039.80","12,918,132.09","2,368,274.35","5,813,797.57","9,342,839.04","12,980,209.93","1,482,704.26","5,265,743.58","8,677,475.67","12,295,808.45","1,510,293.70","3,622,766.14","10,687,833.25","16,991,709.12",,,,"1,728,314.60","283,043.70","15,507,252.66","16,988,875.07","21,398,026.30","4,404,846.57","10,224,099.33"
营业外收入,"56,260.00","81,409.83","74,185.83","276,602.40","215,253.48","2,226,177.84","2,244,257.48","3,792,185.51","317,000.00","326,212.42","691,267.49","102,584,249.75","34,230.35","1,454,115.29","2,087,668.54","2,564,589.02","133,654.12","732,482.55","1,321,621.36","1,211,740.80","27,281.31","27,281.31","492,323.72","492,323.72","100,000.00","110,000.00","110,000.00","650,000.00","119,234.95","269,234.95","769,234.95","1,566,195.11","71,700.00","137,573.88","287,573.88","2,061,473.88","343,136.73","458,738.73","460,698.73","2,229,198.24","46,823.00","595,534.00","1,157,120.39","80,002,577.54","366,820.45","3,929,998.47"
销售费用,"6,915,406.70","14,399,748.32","24,004,373.44","31,635,965.72","8,902,438.94","15,217,765.59","23,036,768.89","28,794,697.04","1,358,275.70","4,753,354.32","10,344,856.21","15,811,171.99","4,899,918.11","9,481,817.35","13,170,974.33","17,614,904.66","3,040,473.70","6,244,229.33","10,299,512.42","13,779,721.70","57,208.89","114,417.78","176,732.67","226,832.43","60,620.28","120,509.56","180,133.17","368,347.36","60,549.07","166,200.08","225,149.15","397,951.84","59,449.07","117,299.51","172,664.12","390,190.89","55,364.61","110,843.85","166,712.49","228,472.45","37,354.89","2,376,442.89","9,400,777.08","16,853,117.81","8,775,631.90","16,734,741.05"
减:营业外支出,"17,560.36","20,883.53","20,979.53","1,397,410.42","234,377.49","376,844.53","1,299,046.98","437,064.77","5,000.00","36,607.71","40,649.16","462,489.09","5,590.98","1,051,146.32","1,073,703.00","1,239,070.99","27,077.26","50,219.88","376,077.45","390,095.78",,"1,603.80","4,555.16","4,555.16",,"2,762.39","2,762.39","507,184.87",,"117,300.00","117,700.00","467,837.28","15,000.00","131,851.69","131,851.69","246,472.10",,,"1,800.00","61,800.00",,"3,849,271.00","1,281,555.91","2,723,518.80","3,761,838.30","8,917,117.34"
管理费用,"7,669,921.73","19,511,650.71","27,193,750.17","16,759,885.15","11,193,991.54","20,381,900.74","28,073,477.08","39,513,158.20","7,768,090.06","16,548,903.31","26,001,173.15","40,470,228.52","8,873,058.29","18,410,828.09","27,064,540.52","41,937,631.93","9,122,974.64","17,615,667.58","25,691,837.09","39,883,536.18","8,932,308.02","17,788,451.47","24,411,206.35","31,658,428.33","6,133,943.85","12,887,869.34","19,028,683.51","26,411,048.60","5,020,241.85","14,994,877.36","21,870,052.33","30,751,917.97","5,818,214.49","12,434,973.34","19,064,168.63","28,946,814.62","9,913,067.59","19,955,935.51","36,941,193.07","60,995,857.45","21,951,967.10","91,108,195.13","148,724,595.55","199,583,814.21","62,029,030.40","118,333,022.81"
其中:非流动资产处置净损失,,,,,,,,"-924,142.26",,,,"-347,141.49",,,,"-576,946.76",,"21,876.11",,,,,,,,,,,,,,137.28,,,,,,,,,,,"1,281,555.91",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
