科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"709,845,111.52","1,575,764,395.26","2,328,799,249.43","3,001,436,778.49","729,478,420.57","1,590,039,480.79","2,460,759,067.81","2,879,429,178.44","676,890,149.31","1,400,701,250.11","2,327,968,804.92","2,389,494,606.20","649,681,965.93","1,346,895,047.45","2,052,632,404.77","2,769,174,364.51","683,894,602.20","1,443,582,092.82","2,213,160,121.00","2,978,866,851.52","687,112,503.21","1,471,148,061.59","2,089,355,477.32","2,572,189,390.65","663,492,903.25","1,434,692,839.79","2,156,384,060.32","2,746,043,245.66","695,646,801.54","1,377,468,399.10","1,971,828,225.04","2,518,914,771.00","576,820,699.41","1,151,923,205.25","1,654,611,216.30","2,151,795,747.55","557,265,597.78","1,081,264,684.32","1,562,866,987.50","2,135,197,330.09","492,351,658.50","939,225,719.77","1,461,290,625.00","1,872,659,775.83","511,739,210.90","1,034,720,971.24"
二、营业利润,"47,100,801.93","88,001,011.27","127,604,531.10","140,943,772.89","35,203,404.68","84,114,858.49","154,748,477.12","121,247,223.28","11,201,177.83","30,997,072.10","5,571,245.85","-612,406,891.40","-32,223,851.84","-46,862,484.42","-105,411,165.27","-455,605,601.72","-2,569,272.20","44,964,978.33","76,073,528.40","126,754,688.05","20,518,159.78","44,544,286.86","458,605,716.95","137,511,159.20","-37,463,702.96","-41,280,266.63","-39,805,474.42","-155,134,779.57","-55,265,517.13","-90,255,534.86","-155,431,058.88","-2,888,370.84","-53,662,313.76","-105,494,277.92","-155,354,059.92","-241,113,747.09","-37,231,143.23","-75,449,342.15","-92,273,631.24","11,870,972.22","-38,351,201.97","-157,519,992.50","-244,764,039.84","-408,127,811.10","-41,876,600.23","-109,446,749.26"
减:营业成本,"572,598,468.73","1,262,366,782.23","1,870,900,869.72","2,392,467,223.82","594,041,094.78","1,269,326,017.74","1,942,941,241.04","2,264,205,085.89","555,407,801.34","1,131,894,108.34","1,923,586,250.88","2,052,190,596.31","518,640,987.81","1,052,170,249.77","1,617,026,872.38","2,184,785,099.15","539,229,837.34","1,096,540,964.13","1,707,141,372.59","2,253,860,388.30","524,585,980.72","1,127,548,745.21","1,629,091,150.14","2,096,886,473.72","529,103,416.60","1,117,695,318.85","1,656,160,361.47","2,147,615,923.20","553,008,600.10","1,090,828,289.46","1,564,308,588.16","1,997,237,228.41","463,528,677.09","910,761,659.22","1,323,889,233.72","1,706,221,397.08","425,579,720.78","829,654,215.49","1,195,519,308.35","1,596,825,708.82","386,395,216.05","739,814,947.53","1,151,890,094.58","1,502,072,669.56","389,684,343.80","781,990,664.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,010,370.14","10,901,300.34","15,665,723.33","20,760,676.61","4,419,749.57","10,056,051.67","15,597,039.05","19,697,206.25","4,125,016.81","9,672,588.84","22,528,761.98","28,686,071.41","6,582,168.33","15,441,219.81","23,831,243.22","32,739,343.85","7,164,059.89","16,226,635.79","24,327,566.46","34,771,668.26","7,972,702.75","16,219,411.76","23,671,189.25","31,539,119.99","6,947,336.56","15,640,321.31","22,607,023.99","29,749,210.37","8,104,703.48","15,000,306.14","21,289,035.73","27,968,794.64","7,247,429.58","13,029,519.09","17,635,243.17","21,773,669.36","4,403,209.32","10,094,045.02","14,670,752.28","22,557,800.76","6,647,859.98","16,995,557.14","25,351,542.15","33,965,648.28","8,991,487.52","18,978,527.70"
营业外收入,"914,567.15","972,599.95","2,809,766.31","2,738,037.63","1,075,993.95","2,629,723.11","2,788,339.75","14,218,462.46","1,523,777.89","1,664,976.40","3,390,847.99","15,676,516.14","647,340.02","6,170,343.45","6,352,466.13","10,799,467.47","24,191,569.46","25,927,077.27","28,030,301.64","45,024,966.35","919,997.14","2,536,148.24","4,816,528.15","32,378,087.25","1,228,260.18","6,195,130.62","11,304,476.60","43,064,822.54","117,825.53","2,133,620.40","3,058,643.88","61,287,586.88","356,033.92","5,570,792.88","7,745,432.50","22,151,309.18","1,523,920.89","2,906,265.53","7,725,274.14","19,210,725.26","601,173.29","2,623,899.55","331,127.78","690,703.17","24,599.08","115,055.68"
销售费用,"56,414,625.36","118,610,039.98","170,361,484.28","243,641,846.58","47,855,514.27","104,700,251.66","164,033,890.89","221,706,481.59","57,489,840.00","129,963,612.95","213,093,412.02","431,369,625.72","84,400,597.63","188,202,072.74","300,207,748.96","439,683,789.11","70,473,482.62","158,017,810.69","219,702,827.38","285,629,609.20","65,811,054.42","150,939,347.46","219,930,573.57","352,803,815.78","81,630,346.88","158,575,591.97","243,674,017.13","321,308,864.69","96,699,474.40","187,214,118.05","272,490,336.19","367,612,295.61","91,682,658.95","192,213,554.21","267,433,633.62","369,508,294.08","99,058,031.59","185,319,222.20","261,798,505.75","343,100,667.71","63,158,516.61","179,281,947.59","292,196,066.55","376,448,960.58","77,127,753.80","167,255,668.52"
减:营业外支出,"372,001.23","1,216,030.71","2,881,223.92","4,660,312.81","753,955.76","2,739,335.56","4,211,066.04","8,753,773.14","539,575.51","1,118,323.57","1,803,774.10","73,158,442.13","472,387.44","2,394,497.97","2,888,792.25","19,537,446.35","282,987.12","1,010,469.06","1,462,955.35","2,299,037.39","1,220,969.84","3,279,423.63","3,844,084.62","11,636,604.54","383,044.50","941,606.06","1,200,902.03","2,639,425.78","329,877.48","739,364.13","1,006,301.89","2,294,896.17","282,180.76","318,717.87","595,771.90","1,000,048.94","309,144.81","527,435.56","1,171,682.02","1,748,661.80","225,431.37","278,024.18","629,537.72","4,808,016.85","286,119.37","522,912.46"
管理费用,"11,143,943.92","58,726,344.83","90,456,080.76","135,483,024.09","28,559,488.83","84,793,610.18","124,121,592.02","172,486,937.50","32,043,138.25","67,879,892.19","115,291,264.52","253,246,389.10","49,925,005.52","94,936,100.08","147,639,612.08","217,470,438.62","44,854,637.41","86,702,129.57","115,411,919.58","183,923,955.07","41,711,666.09","73,545,397.38","117,065,130.66","230,957,861.37","52,658,533.54","105,680,619.69","160,020,865.37","217,200,963.64","54,607,154.59","100,177,978.90","155,476,878.95","223,283,894.63","52,591,054.45","95,858,193.49","149,422,527.74","207,778,101.91","47,330,387.72","89,076,646.36","122,376,205.39","175,037,384.54","62,805,351.13","116,800,170.57","166,207,077.91","243,900,923.64","59,792,311.55","115,959,855.79"
其中:非流动资产处置净损失,,,,,,,,"5,550,727.55",,,,"66,475,419.92",,"1,431,063.42",,"16,353,759.96",,"66,046.38","66,046.38","-24,313,546.14",,"1,982,251.10","1,982,251.10","9,390,349.61",,,"341,084.84","1,265,057.66",175.50,"20,776.65",,"730,670.34","29,088.35","29,636.51","181,468.96","209,193.07","25,701.27","32,130.73","225,891.92","545,891.68",,"12,453.06","12,453.06",,,
