科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,176,347,822.48","1,487,119,109.17","1,155,458,439.84","1,810,521,669.92","2,115,239,178.13","1,936,263,667.67","2,668,736,294.33","1,946,278,060.62","2,378,028,911.29","1,250,433,351.13","862,518,610.53","1,195,757,432.59","1,241,493,705.72","1,645,325,716.32","1,758,587,898.66","1,780,250,654.45","4,362,199,231.94","2,634,155,034.03","2,449,686,950.45","1,946,691,289.32","2,072,678,523.02","3,132,918,524.11","2,821,627,086.11","2,166,007,298.57","5,388,755,576.76","3,695,962,464.99","2,597,533,907.56","2,331,434,232.87","1,583,670,590.66","1,994,526,482.62","2,577,261,169.92","3,282,110,064.20","3,093,544,918.59","4,606,744,472.85","4,522,861,581.26","9,030,655,247.76","7,323,981,075.61","6,161,397,866.90","5,492,790,422.34","5,812,948,409.95","6,134,027,210.56","5,750,574,849.56","4,958,484,801.98","6,255,907,593.12","4,363,534,373.41"
短期借款,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,"263,000,000.00","263,000,000.00","853,000,000.00","1,707,000,000.00","1,660,000,000.00","1,403,200,000.00","1,610,000,000.00","1,860,000,000.00","1,640,000,000.00","1,640,000,000.00","1,540,000,000.00","1,809,000,000.00","1,669,000,000.00","1,639,000,000.00","2,179,000,000.00","2,270,000,000.00","2,741,000,000.00","2,626,000,000.00","2,133,000,000.00","1,608,000,000.00","1,298,000,000.00","3,908,000,000.00","3,258,000,000.00","4,464,000,000.00","4,019,000,000.00","3,935,000,000.00","4,046,000,000.00","4,544,000,000.00","4,790,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,"2,224,295.83","2,352,188.50","2,429,221.06",,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"907,269,859.07","869,471,196.34","1,079,530,120.35","1,164,477,951.05","977,011,171.44","529,644,128.84","1,849,451,305.85","1,059,803,514.82","666,338,936.64","549,346,126.29","255,198,714.94","2,458,103,177.77","2,342,616,066.38","827,276,708.21","3,474,960,338.19","3,028,253,602.45","877,750,268.33","1,156,057,953.46","1,823,069,562.79","1,898,272,669.04","2,103,308,725.30","2,018,405,955.51","1,664,719,038.15","3,506,079,897.96","2,248,234,782.53","819,487,905.48","775,896,398.21","2,092,186,345.39","1,606,065,044.24","599,786,163.93","735,438,324.00","2,065,724,866.45","1,233,177,427.00","1,772,617,248.01","1,252,995,397.05","891,183,882.40","1,028,001,658.73","1,403,549,147.98","1,473,177,635.61","1,744,784,378.26","1,053,927,163.44","1,708,154,802.05","1,798,023,453.15","2,396,109,955.10","1,330,110,223.90"
应付票据,,,,,,,,,,,,,,"5,000,000.00","7,290,000.00","2,290,000.00",,,,,,"4,700,000.00","12,282,222.10","45,470,625.38","53,647,000.71","44,128,384.97","61,706,218.60","37,445,576.03","11,429,606.24","84,000,000.00","204,931,374.10","320,000,048.00","323,890,112.00","355,890,112.00","485,890,112.00","361,490,064.00","392,000,000.00","336,300,000.00","251,300,000.00","327,190,636.21","327,678,332.60","296,779,038.88","125,050,150.08","171,036,435.70","156,669,324.50"
应收账款,"162,241,921.76","51,344,815.13","29,826,621.18","29,535,309.19","120,268,263.06","135,376,501.51","125,986,150.61","43,439,231.89","1,082,107,444.88","367,605,695.38","361,733,686.11","254,277,246.47","172,699,865.38","168,405,594.16","27,456,556.95","1,991,054.77","104,497,303.51","88,205,208.79","181,533,248.68","77,094,793.72","77,174,097.59","109,613,163.50","317,309,066.88","150,376,490.93","83,702,560.85","556,058,957.33","517,272,396.83","295,967,809.60","460,199,872.49","778,608,286.15","371,695,422.95","234,643,045.00","366,671,692.39","448,470,063.75","464,195,942.45","493,796,192.97","1,046,626,239.10","609,948,873.33","521,604,823.38","348,788,983.46","517,059,972.45","589,906,739.57","506,664,743.22","359,065,724.00","571,227,298.37"
应付账款,"160,973,178.13","145,667,509.58","127,876,086.78","251,605,511.63","194,844,476.60","236,802,841.57","299,555,894.90","209,631,204.25","256,611,773.85","355,720,762.24","599,512,769.27","312,197,882.38","295,415,587.59","397,304,842.16","455,772,944.07","338,972,709.38","1,548,333,371.83","1,825,680,842.94","2,019,848,405.82","2,128,104,352.06","2,102,082,932.22","2,637,045,858.36","2,798,247,308.83","3,186,199,027.70","3,230,432,675.02","3,883,845,995.68","4,347,860,095.95","4,618,802,721.87","4,603,280,210.37","5,023,394,606.31","4,904,934,790.28","5,528,853,635.82","5,706,367,923.28","5,987,487,506.50","8,004,687,417.80","6,163,991,075.16","6,262,860,646.08","6,414,047,478.94","6,259,986,941.90","6,776,626,933.42","6,579,974,802.02","6,326,438,731.06","6,516,389,972.73","7,064,754,247.88","6,965,083,656.90"
预付款项,"75,817,244.19","63,437,375.30","115,087,241.31","129,312,648.62","150,514,758.82","205,400,303.31","244,439,857.72","397,821,474.65","449,278,746.79","438,813,018.26","470,598,723.31","302,946,169.34","310,508,440.77","373,677,102.24","332,095,839.91","190,938,322.25","1,551,062,226.84","1,855,565,633.14","1,871,222,416.05","2,911,643,315.28","2,918,060,478.23","3,199,941,668.73","3,663,378,259.23","4,305,753,697.54","5,240,682,814.25","4,679,835,237.09","5,491,364,469.02","4,059,500,549.34","5,199,916,084.65","5,308,494,363.49","5,002,062,418.48","359,810,307.13","548,841,032.76","514,376,804.53","687,598,509.09","235,766,605.84","538,010,805.60","300,487,698.55","389,142,231.06","252,419,778.77","294,636,341.12","228,046,194.22","519,648,743.94","337,452,886.39","744,275,901.24"
预收款项,"97,157,472.60","315,875,151.64","585,391,371.41","762,044,691.84","744,793,390.55","774,355,328.12","2,061,777,601.00","1,111,834,942.40","651,239,202.45","543,390,046.93","251,261,600.75","1,868,564,824.45","251,408,482.07","208,930,581.87","2,775,084,636.51","3,014,971,173.69","1,725,197,891.09","1,176,278,602.72","1,110,893,271.18","1,234,245,910.68","1,377,189,781.24","683,754,770.48","585,884,850.55","1,907,744,518.35","1,154,734,736.59","473,736,479.80","454,983,729.81","785,773,280.20","513,004,866.61","408,598,170.34","1,225,667,871.82","1,153,761,476.68","924,462,636.92","1,252,463,970.31","570,512,075.36","523,201,730.70","580,841,250.35","534,213,252.56","733,171,843.76","1,268,355,982.84","756,892,522.62","1,316,272,915.28","1,173,868,517.55","1,576,662,719.77","2,684,143,228.07"
