科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"23,060,517.23","139,908,274.91","41,732,045.36","12,131,819.38","20,952,668.02","90,329,008.65","75,092,819.94","175,801,082.66","322,952,077.00","380,776,175.52","533,345,269.00","415,429,873.93","205,688,375.38","448,332,413.16","387,308,858.47","289,254,965.89","723,109,116.52","661,436,005.46","466,088,602.72","266,734,607.68","310,882,791.25","286,259,328.75","423,075,607.94","368,183,930.39","267,071,911.69","246,691,111.16","199,337,825.68","181,936,643.32","91,271,027.10","144,306,211.37","329,698,107.30","537,171,520.81","540,875,647.80","410,156,764.51","373,160,447.27","329,735,263.50","259,088,401.25","209,267,575.07","188,108,666.17","1,058,837,011.39","872,933,894.15","595,585,870.17","473,099,251.99","254,694,245.91","167,310,510.51"
短期借款,"281,600,000.00","360,100,000.00","336,100,000.00","324,800,000.00","293,600,000.00","436,500,000.00","495,600,000.00","406,600,000.00","494,600,000.00","313,600,000.00","306,600,000.00","405,600,000.00","416,800,000.00","696,800,000.00","644,800,000.00","685,800,000.00","829,000,000.00","349,000,000.00","391,400,000.00","417,400,000.00","433,000,000.00","410,200,000.00","367,900,000.00","387,400,000.00","198,000,000.00","160,000,000.00","160,000,000.00","130,000,000.00","130,000,000.00","169,000,000.00","169,000,000.00","224,000,000.00","224,000,000.00","214,000,000.00","264,000,000.00","269,000,000.00","419,000,000.00","410,000,000.00","410,000,000.00","220,000,000.00","170,000,000.00","150,000,000.00","270,000,000.00","360,000,000.00","360,000,000.00"
交易性金融资产,"500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,"110,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,010,476.00","588,500.00","2,253,307.38","2,690,000.00","1,940,000.00","467,200.00","2,100,100.00","610,000.00","3,430,000.00","11,919,181.24","12,403,693.86","13,485,737.03","8,992,245.00","19,339,048.24","29,413,195.53","7,511,790.00","12,993,386.00","21,011,431.00","23,951,125.60","28,887,269.90","34,271,794.13","44,750,000.00","14,150,000.00","12,500,000.00","17,600,000.00","2,100,000.00","16,344,275.00","16,300,000.00","17,700,000.00","29,335,500.00","32,270,000.00","16,430,000.00","72,950,000.00","59,870,119.36","55,106,798.00","46,003,957.29","60,650,000.00","3,786,530.00","57,583,954.20","17,420,857.82","47,597,118.76","64,785,773.39","106,608,285.51","153,347,600.00","152,160,300.00"
应付票据,,,,,,,,,"6,971,957.82","16,840,479.00","38,670,608.93","3,470,608.93","1,970,608.93","3,270,608.93","1,300,000.00",,"1,267,984.60","71,209,477.55","111,495,867.75","97,833,552.74","46,501,850.00","55,655,310.30","60,528,398.58","26,644,938.28","31,731,715.10","21,251,615.10","36,375,712.00","24,363,872.00","7,000,000.00","7,000,000.00",,,"15,101,580.00","21,101,580.00","6,000,000.00",,,,,,,,,,
应收账款,"133,584,895.59","158,476,154.64","152,076,093.10","173,986,470.15","164,444,339.59","166,459,319.77","147,675,037.05","138,907,077.41","127,777,058.14","184,190,096.76","215,459,773.81","194,747,134.21","340,326,535.24","285,550,087.60","332,012,471.93","274,095,008.82","290,740,686.42","458,142,865.94","535,479,155.61","645,967,708.10","715,319,407.54","482,401,034.95","410,387,681.13","577,245,869.77","620,384,826.22","509,582,722.75","513,936,876.29","378,182,650.49","465,891,019.41","374,407,191.56","423,084,262.52","500,662,010.40","447,744,683.41","408,649,652.48","367,690,680.93","253,765,153.06","256,054,608.16","475,805,809.24","455,664,570.45","660,674,593.51","766,598,313.28","880,758,519.62","927,528,073.21","832,601,154.35","988,950,389.43"
应付账款,"60,674,907.00","118,769,848.66","100,138,533.08","135,822,950.97","129,653,094.80","210,628,156.20","127,834,458.80","114,928,236.30","100,725,421.27","115,738,559.81","139,570,109.18","208,827,953.04","286,373,046.35","462,528,131.10","508,551,933.77","713,864,778.25","670,170,112.10","709,449,236.56","891,460,887.13","1,067,503,477.59","1,130,502,901.90","927,751,623.14","773,672,278.84","670,061,652.39","646,511,442.98","615,707,199.34","604,651,708.28","556,751,661.02","531,910,761.72","499,973,838.37","611,109,957.60","471,323,782.02","425,181,995.15","415,051,531.14","373,112,760.62","348,999,257.93","282,540,232.38","310,739,104.15","283,657,143.67","303,192,179.65","239,116,888.99","203,615,210.77","187,876,086.87","166,892,591.53","159,646,708.68"
预付款项,"14,133,702.47","17,003,237.50","40,657,345.49","25,897,999.04","18,473,248.93","37,595,638.60","34,452,412.58","30,792,409.80","39,359,163.77","25,088,493.20","55,383,884.30","52,183,199.12","43,716,648.23","113,698,187.31","374,189,436.72","297,402,728.94","315,917,967.21","341,805,339.31","396,444,457.04","371,467,257.09","328,991,531.63","279,153,107.02","141,047,375.65","109,312,386.52","132,452,980.00","127,861,015.02","143,051,547.18","57,704,814.81","53,330,069.26","38,704,847.92","47,235,959.39","62,497,228.27","72,866,526.81","57,363,333.55","35,793,164.23","20,971,386.89","24,211,322.09","18,666,950.32","22,093,890.50","14,401,749.57","11,570,902.51","8,210,850.54","12,484,392.20","1,093,605.35","2,424,688.75"
预收款项,"11,099,117.85","10,314,808.94","20,351,081.13","20,125,188.01","62,274,411.66","75,215,875.50","95,255,988.22","60,977,506.49","179,272,140.96","25,510,441.70","38,666,189.10","32,950,919.41","21,029,382.08","35,473,596.61","346,991,951.48","389,825,718.54","324,420,133.23","392,950,529.98","297,196,314.23","96,410,729.76","93,008,670.33","48,933,310.63","20,810,507.50","58,924,563.66","17,676,750.75","63,788,125.03","89,319,993.08","69,969,911.30","54,538,075.40","68,611,121.15","59,891,564.99","4,414,235.90","16,060,615.90","27,623,179.72","19,267,666.22","4,596,716.50","37,051,325.44","9,908,691.61","7,155,532.09","1,433,525.60","1,556,705.60","1,173,094.40","1,172,344.40","1,134,012.50","1,959,504.31"
其他应收款,"52,531,792.28","60,749,444.74","48,366,055.24","45,454,316.05","85,744,734.99","58,417,250.38","31,108,373.90","33,750,028.16","31,100,155.49","33,215,710.18","32,890,468.72","25,422,250.35","25,161,272.52","25,905,565.41","33,017,381.75","11,910,790.22","18,233,487.51","15,943,607.16","18,697,002.33","17,464,894.90","55,247,108.41","16,601,729.03","5,542,520.79","9,751,874.57","15,086,590.28","13,155,145.82","13,421,701.72","34,762,248.80","38,894,392.14","40,586,440.46","30,688,138.18","43,665,349.86","38,049,730.88","36,797,439.42","29,438,434.27","26,141,577.42","28,050,372.07","35,487,080.65","33,804,467.60","21,511,108.61","34,353,635.49","36,562,916.64","28,921,751.71","19,551,509.74","21,435,777.18"
应付职工薪酬,"9,185,849.91","14,588,043.40","12,306,032.13","12,299,577.81","11,070,072.56","11,213,196.00","11,108,917.73","8,089,658.46","9,196,748.25","7,910,319.66","6,846,886.65","9,166,449.29","7,326,852.53","7,188,595.53","3,915,845.80","11,400,561.74","7,293,023.03","5,903,494.81","7,421,881.41","11,484,438.03","7,718,871.15","2,661,807.58","2,618,266.34","3,457,112.87","3,384,744.87","4,070,676.54","4,354,304.21","3,838,936.94","5,945,391.60","4,682,611.73","3,944,164.43","3,497,924.86","4,125,096.99","8,365,388.05","4,851,237.91","7,337,270.08","14,350,978.50","7,420,218.71","6,996,440.82","7,279,324.49","10,710,776.41","6,318,361.65","6,142,450.80","19,421,597.45","7,234,083.80"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
