科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"606,011,004.69","640,708,545.68","606,503,890.91","605,351,128.86","694,261,447.50","893,980,696.19","540,728,788.88","408,363,044.08","393,068,630.02","838,534,093.42","679,709,265.70","1,549,202,999.44","1,706,315,609.64","1,557,717,610.02","1,475,096,766.84","1,464,163,761.03","1,479,144,504.51","1,911,071,819.06","1,955,473,184.51","1,753,294,413.27","1,666,345,139.41","1,737,891,053.29","2,755,761,031.20","3,103,639,442.85","2,517,468,010.30","2,627,132,355.90","2,052,283,007.87","1,134,345,412.95","745,600,789.77","1,050,100,168.29","636,355,042.60","1,108,876,272.38","364,007,834.08","639,054,466.76","615,842,541.48","739,571,994.96","909,061,007.53","946,151,200.33","1,052,239,499.52","1,318,822,610.29","824,121,969.70","981,556,360.74","1,082,147,435.84","961,533,005.61","861,302,406.23","1,081,979,568.34"
短期借款,"1,241,420,000.00","1,303,000,000.00","1,278,030,000.00","1,553,000,000.00","1,235,000,000.00","1,365,000,000.00","1,417,000,000.00","1,162,000,000.00","1,242,000,000.00","1,579,000,000.00","1,394,414,933.34","1,429,414,933.34","1,943,000,000.00","1,975,000,000.00","2,225,000,000.00","2,374,000,000.00","2,239,000,000.00","2,651,000,000.00","2,560,800,000.00","2,573,000,000.00","3,031,750,000.00","2,606,000,000.00","2,896,900,000.00","2,659,500,000.00","2,368,000,000.00","2,278,000,000.00","1,845,000,000.00","1,379,500,000.00","1,209,500,000.00","1,124,500,000.00","1,225,000,000.00","1,858,000,000.00","1,539,500,000.00","1,689,500,000.00","1,380,000,000.00","1,285,000,000.00","1,430,000,000.00","1,130,000,000.00","1,030,000,000.00","980,500,000.00","715,500,000.00","765,500,000.00","1,065,500,000.00","1,050,000,000.00","1,005,500,000.00","1,005,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,"20,000,000.00",,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"470,749.00","1,269,500.00","399,500.00","2,713,550.00","1,829,180.00","10,255,630.00","3,340,000.00","10,620,000.00","10,390,000.00","120,000.00","50,219,741.87","50,339,741.87","300,000.00","20,100,000.00","10,100,000.00","22,150,000.00","19,150,000.00","647,734.40","17,400,000.00","13,100,000.00",,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,"535,920.00","535,920.00"
应付票据,"20,000,000.00","45,850,000.00","39,255,000.00","29,000,000.00","45,968,000.00","41,863,150.00","48,762,250.00","51,671,948.00","55,259,598.00","21,649,900.00","52,000,000.00","52,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,"60,000,000.00","80,000,000.00",,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,
应收账款,"48,614,134.56","49,632,196.19","46,734,837.62","56,138,541.70","55,761,208.03","90,746,366.70","94,651,880.03","100,274,016.54","96,332,578.82","101,905,626.39","139,334,312.91","131,504,736.42","152,765,285.65","183,577,341.72","563,188,780.46","477,008,611.71","465,307,897.28","483,406,486.74","450,276,731.58","386,201,802.48","392,105,485.98","76,577,817.66","82,595,295.40","59,191,112.12","70,246,227.63","121,206,909.60","286,199,969.84","277,413,731.43","275,933,630.42","113,923,138.96","128,269,033.00","104,184,187.78","106,388,500.78","106,291,051.22","109,224,796.89","82,636,786.19","90,266,707.75","90,697,428.64","97,613,878.25","86,244,515.21","95,131,885.64","96,151,892.37","96,015,208.39","91,162,625.58","98,705,493.25","97,092,871.19"
应付账款,"131,674,488.66","110,304,403.94","92,782,786.06","162,162,628.00","118,141,293.33","143,071,278.43","89,537,889.63","161,146,007.95","131,989,314.21","134,360,660.25","122,044,226.70","258,127,096.03","182,540,179.02","146,728,632.92","103,541,336.31","124,257,959.14","92,859,955.26","85,713,804.17","85,014,245.58","404,895,038.84","326,146,126.52","355,842,797.31","350,261,820.61","437,579,182.77","348,218,751.90","328,226,903.24","327,047,966.70","459,232,183.95","465,667,133.22","443,669,574.62","413,192,097.43","438,431,368.63","398,999,417.52","363,755,115.12","399,116,509.75","391,953,659.04","352,161,974.07","355,234,003.41","341,954,422.22","493,337,703.15","458,022,857.12","435,608,983.56","421,990,911.30","403,435,203.27","397,825,744.79","436,353,320.77"
预付款项,"177,908,967.48","239,862,729.46","333,568,170.35","227,357,217.93","43,758,789.43","56,074,210.61","72,265,569.60","42,871,483.88","62,843,839.53","114,656,809.15","166,492,005.76","27,491,606.94","89,521,290.32","359,648,226.00","60,025,602.95","188,068,172.00","259,276,592.02","266,252,760.40","233,268,698.75","289,881,125.56","643,194,974.18","575,009,809.23","611,399,898.02","694,847,081.93","789,726,438.48","837,680,103.90","889,673,498.35","11,011,448.93","38,269,385.64","9,610,448.58","560,777,591.14","7,937,580.21","6,354,290.47","7,473,143.49","32,337,659.10","28,248,075.63","27,037,703.19","17,866,538.02","2,400,954.63","2,094,124.31","5,291,147.54","2,463,856.03","3,650,087.01","2,791,297.59","2,695,708.95","7,175,195.47"
预收款项,"634,727,943.03","604,307,730.28","732,373,364.92","244,883,938.39","178,067,001.72","490,016,006.94","270,607,241.77","184,819,911.64","194,895,640.42","396,682,463.60","698,186,704.57","842,215,106.79","883,921,156.37","964,443,106.57","825,661,291.32","261,002,059.50","236,266,199.10","282,898,241.35","436,807,443.88","539,807,857.80","688,607,013.94","882,181,437.65","988,767,370.21","2,032,235,450.68","2,159,943,783.09","2,614,077,804.62","2,742,862,132.37","1,665,514,151.95","1,275,994,678.58","1,341,399,960.74","1,381,063,891.92","1,450,927,568.25","1,514,850,310.02","1,630,468,993.08","1,530,589,106.74","1,653,287,343.24","1,808,501,650.27","1,904,766,703.47","1,882,415,788.87","1,959,575,783.66","2,082,434,714.11","2,181,735,571.72","1,499,623,575.50","1,657,992,131.78","1,811,777,696.80","2,131,730,844.42"
其他应收款,"280,942,063.57","63,101,089.89","156,910,800.79","171,120,562.86","139,283,218.58","76,786,359.32","169,923,865.58","546,865,820.11","694,320,708.39","751,426,050.08","758,856,481.85","690,201,575.69","716,192,367.98","724,146,195.20","844,631,258.76","192,108,361.21","127,711,440.98","50,454,183.46","51,250,854.86","82,006,586.66","73,767,781.02","87,798,917.54","58,993,268.78","822,245,144.11","828,988,931.21","832,142,205.61","833,959,397.30","753,465,827.44","750,009,414.53","749,550,394.83","862,247,237.91","225,531,827.98","172,094,289.99","195,678,656.80","138,013,416.08","199,133,726.80","190,477,078.74","161,978,975.91","179,769,787.78","19,368,067.77","22,652,972.55","19,903,529.50","19,984,868.55","19,421,187.46","22,905,116.57","17,829,225.37"
应付职工薪酬,"12,511,796.97","9,066,587.52","8,429,545.11","44,337,846.15","12,756,846.63","15,234,473.51","13,416,554.75","22,537,482.73","9,041,130.78","10,667,019.33","11,579,715.64","39,239,844.10","13,430,183.57","16,327,692.12","19,007,767.38","45,380,069.35","12,590,901.77","13,799,762.20","12,162,361.50","21,947,789.77","10,500,124.27","11,454,695.37","11,093,687.47","33,899,583.75","34,471,931.95","15,567,407.97","11,750,957.11","12,947,761.78","11,557,589.09","11,960,082.74","12,639,108.31","21,646,608.86","15,091,345.94","15,142,666.17","16,005,077.56","37,289,667.99","16,752,871.49","17,229,441.35","17,409,800.97","25,313,133.05","18,993,018.27","18,129,494.66","18,702,526.68","29,761,728.52","18,892,819.72","18,589,974.77"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-30,276,198.76","-19,618,541.00","-19,882,257.87","101,633,456.12","124,360,242.25","107,779,505.40","101,616,987.57","112,178,969.68","109,675,319.36","88,908,839.95","91,349,416.55","55,624,652.96","56,757,844.06","42,063,878.83","27,338,615.45","116,753,566.45","106,912,217.21","86,932,979.91","85,125,406.98","76,888,597.39","61,439,539.23","56,782,573.08","24,453,344.23","89,665,061.89","5,344,896.96","-53,083,259.13","-146,872,659.28","-26,054,305.72","59,093,481.18","52,325,790.20","68,337,984.54","126,390,830.36","104,541,926.80","67,430,951.46","61,763,188.46","72,461,722.91","59,813,586.18","84,655,826.08","86,173,547.59","107,601,888.83","99,657,026.19","105,276,638.57","93,180,556.21","109,653,763.63","72,705,036.49","52,437,275.19"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"3,287,390.00","3,182,900.00","3,808,361.00","6,162,417.61","5,043,619.92","4,882,058.36","4,739,600.00","4,709,300.00","4,616,900.00","4,802,300.00","4,325,800.00","8,105,300.00","21,864,700.00","34,171,400.00","47,092,100.00","10,243,299.50","22,361,400.00","35,818,500.00","48,418,500.00","15,434,468.92","25,456,768.92","36,747,255.22","49,491,155.22","13,510,777.44","26,763,166.33","41,274,399.66","54,013,999.66","10,649,488.89","22,645,166.67","36,434,166.67","50,530,066.67","7,634,061.12","5,657,794.45","3,525,711.11","2,512,700.00","5,789,500.00","2,789,107.29","3,036,184.03","4,966,253.28","4,951,909.31","4,235,245.66","4,045,496.94","5,858,248.21","3,766,652.89","3,808,327.35","3,121,006.42"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96","10,582,913.96","10,582,913.96","10,582,913.96","10,582,913.96","10,582,913.96","10,582,913.96","982,913.96","982,913.96","982,913.96","982,913.96","982,913.96"
