科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"876,811,291.27","571,060,977.28","490,728,404.88","523,842,534.22","848,172,936.22","729,118,023.57","449,483,344.59","566,757,906.88","921,757,721.75","587,190,856.07","391,231,927.48","363,202,977.51","613,071,703.19","565,330,023.25","540,454,442.13","263,496,797.35","353,612,824.07","244,679,166.13","194,179,056.60","688,812,625.62","683,975,654.13","2,300,837,551.97","1,596,700,060.07","1,769,724,511.45","2,056,211,244.86","1,245,149,579.20","1,047,838,240.91","1,512,382,199.64","1,348,536,963.68","745,456,288.18","801,098,259.55","618,485,302.48","625,745,951.26","459,834,165.08","262,304,724.83","421,892,245.85","263,964,361.89","399,126,541.60","355,937,459.33","301,703,446.56","282,614,108.27","189,826,581.90","212,129,616.43","187,197,344.19","126,790,409.35","341,006,250.50","84,886,539.25","1,200,275,434.62","973,795,372.65"
短期借款,"110,000,000.00","280,000,000.00","383,000,000.00","917,000,000.00","1,067,000,000.00","1,127,000,000.00","1,225,000,000.00","2,120,500,000.00","2,230,500,000.00","1,477,000,000.00","1,159,000,000.00","1,382,000,000.00","1,572,387,680.00","868,000,000.00","730,211,000.00","896,500,000.00","983,461,266.63","1,093,264,941.34","1,130,658,480.90","1,547,741,015.43","1,584,019,180.38","1,906,614,092.21","2,657,740,558.71","4,148,071,905.38","4,366,171,905.38","3,617,600,000.00","2,601,238,632.32","3,359,358,389.30","3,083,035,819.00","3,649,200,000.00","3,618,100,000.00","3,760,705,119.19","3,778,830,000.00","2,368,100,000.00","1,870,100,000.00","2,371,540,000.00","2,363,100,000.00","2,353,760,000.00","2,003,760,000.00","1,571,500,000.00","1,671,500,000.00","1,481,560,370.34","1,562,500,000.00","1,552,500,000.00","1,532,500,000.00","1,292,499,993.28","536,000,000.00","158,000,000.00","158,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,000,000.00",,,,,,,,,,,,,"50,000.00",,,,,"19,999,958.64",,"5,000,000.00"
交易性金融负债,"696,103,333.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"46,283,786.86","92,902,678.56","162,718,477.39","135,987,018.05","132,889,419.96","268,018,636.42","225,363,439.16","120,636,277.34","45,494,595.97","42,479,288.42","62,557,183.71","97,053,507.73","86,361,665.27","59,787,090.80","140,872,093.93","112,464,399.26","98,906,834.97","179,376,462.28","59,462,223.87","97,916,699.98","92,544,018.75","92,066,562.89","196,825,905.34","307,838,282.82","346,990,984.29","169,169,106.83","169,221,154.39","106,771,551.82","111,869,422.49","160,841,493.31","113,976,125.99","71,969,403.97","99,975,234.92","88,025,346.91","20,948,044.42","8,513,174.43","15,133,720.50","49,615,836.30","23,102,831.85","30,012,205.50","58,404,345.00","19,294,875.87","39,909,259.75","27,207,106.87","106,267,339.63","103,548,980.29","36,541,759.68","19,051,648.44",
应付票据,"100,000,000.00",,"142,457,894.40","131,097,463.95",,,"284,000,000.00","375,000,000.00","216,972,000.00","122,717,525.00","72,201,000.00","304,300,000.00","305,830,000.00","21,438,585.20","3,592,146.60",,,,,"135,926,505.00","669,983,955.00","1,494,057,450.00","349,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","1,078,000,000.00","810,780,000.00","981,123,975.20","184,440,000.00","171,305,119.19","35,710,000.00","35,710,000.00","293,460,000.00","189,210,000.00","130,020,000.00","146,660,000.00","294,420,562.14","289,930,562.14","745,610,000.00","749,825,000.00","673,680,000.00","604,080,000.00","583,000,000.00","547,693,977.25","528,926,509.89",,,
应收账款,"36,633,387.50","59,981,844.33","19,786,142.54","135,248,840.39","149,256,433.76","55,217,106.70","9,227,054.68","63,272,963.02","45,370,761.14","36,158,932.64","49,158,966.66","132,738,873.22","203,938,410.05","41,245,619.12","44,416,373.47","77,386,542.74","80,250,577.74","68,901,359.23","79,806,825.38","103,978,518.84","99,311,334.40","120,810,208.47","172,289,207.61","217,252,145.58","255,366,968.64","277,189,610.22","204,498,895.50","65,220,931.58","58,371,804.24","112,787,219.57","96,387,884.35","134,610,185.49","87,687,600.76","4,211,676.03","930,122.55","3,639,517.51","16,414,622.24","16,658,912.56","12,530,565.47","18,106,812.59","56,449,326.17","13,423,054.54","10,180,403.17","6,740,964.60","27,410,412.45","42,507,956.55","52,883,267.17","15,038,772.77","86,247,763.09"
应付账款,"290,301,589.43","108,726,153.44","287,591,913.14","184,017,759.80","393,203,507.20","347,121,092.05","355,395,167.00","162,145,050.17","160,163,077.62","153,785,860.84","188,446,038.22","122,615,776.83","150,819,099.12","134,907,011.18","160,592,221.97","212,460,168.78","190,092,915.75","255,364,078.72","366,858,231.57","291,674,507.07","297,341,828.24","383,852,543.31","289,580,489.33","211,386,412.99","310,773,685.95","290,301,135.33","194,387,026.86","208,580,701.52","236,562,229.98","415,508,953.93","425,149,404.22","455,532,972.51","566,073,542.35","446,224,677.94","545,911,438.36","530,964,425.39","538,947,700.88","584,347,110.45","574,343,593.03","623,268,272.90","618,060,968.12","617,985,469.97","560,620,081.87","685,075,943.28","663,193,221.23","665,056,875.24",,"514,357,917.86",
预付款项,"388,243,940.84","197,928,239.12","480,565,188.30","400,143,636.07","523,220,430.65","593,173,803.19","563,590,072.76","474,147,070.32","514,594,404.57","392,019,351.63","385,584,112.96","645,454,871.34","580,140,388.36","748,409,734.01","1,014,930,512.49","1,099,231,564.51","1,145,446,321.53","1,522,789,144.15","1,327,403,264.88","1,312,406,288.23","2,042,053,758.53","1,234,547,287.58","1,334,882,693.13","1,470,491,290.99","1,631,769,681.53","1,569,077,855.62","1,608,020,069.12","527,324,532.19","645,627,908.44","429,152,618.71","329,097,121.14","137,006,436.31","203,915,452.03","172,565,027.81","124,100,550.88","78,200,029.09","91,279,318.47","92,841,870.34","33,926,346.87","88,256,967.98","97,379,921.90","118,488,519.43","227,746,182.21","84,761,765.45","169,824,063.29","162,867,607.62","239,441,755.51","213,938,898.83","281,905,849.32"
预收款项,"216,428,233.50","147,801,419.49","79,766,914.05","93,892,921.48","140,700,819.83","324,401,391.73","262,312,623.85","229,607,858.22","275,449,735.04","168,026,632.99","186,242,481.75","161,040,726.66","137,040,671.45","137,044,136.69","177,881,113.57","142,848,100.63","205,024,852.36","117,331,201.71","196,770,477.30","201,449,529.83","341,549,797.63","160,695,666.72","178,065,931.17","114,815,830.04","204,861,584.86","145,243,333.49","230,662,216.37","104,514,845.17","194,890,284.85","140,405,833.94","174,551,040.28","242,320,502.27","238,793,697.37","204,081,225.35","394,908,598.13","146,284,181.07","148,384,928.55","127,479,757.72","163,497,352.16","220,486,629.88","204,260,458.45","160,356,262.83","273,966,364.98","147,283,056.92","211,170,806.48","168,153,773.98","245,966,906.37","233,220,655.36","303,413,425.40"
