科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"428,109,064.61","552,105,732.25","602,514,680.47","593,785,468.34","649,118,687.96","727,445,781.74","689,632,295.23","866,383,140.37","711,034,611.99","441,601,693.39","1,385,159,342.60","1,050,506,429.23","889,565,742.31","860,165,754.79","710,040,747.97","644,528,090.76","582,756,112.87","812,282,248.17","714,373,509.01","486,189,688.33","387,361,389.55","287,035,311.55","641,051,650.82","748,577,457.51","509,953,827.00","364,465,468.36","760,600,552.82","737,394,319.97","673,416,044.47","736,067,129.08","814,131,497.57","523,935,843.75","415,920,329.47","610,546,925.07","586,236,755.74","325,007,383.39","362,848,093.18","248,230,299.25","222,600,834.70","261,490,451.95","262,303,100.08","240,485,101.57","2,403,118,520.63","1,913,850,482.14","1,479,537,939.33","1,323,521,693.94","2,151,087,104.14","2,547,805,240.23","1,751,409,625.68"
短期借款,,,,,,,,,,"93,074,615.48","93,074,615.48","6,261,829.35",,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","150,000,000.00","200,000,000.00",,,,,"284,600,000.00","382,600,000.00","431,600,000.00","531,600,000.00","481,600,000.00","615,700,000.00","735,826,240.00","635,826,240.00","619,264,412.95","542,364,412.95","642,364,412.95","632,364,412.95","808,269,000.00","797,269,000.00","799,087,000.00","1,037,192,761.06","829,792,036.91","2,118,265,082.74","2,335,278,204.99","2,611,933,238.52","3,099,850,044.98","3,922,315,212.78"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,"170,169,534.25",,,,,,,,,,,,,,,,,,,"3,157,703.05","3,105,995.53","3,103,673.75","3,076,087.71","3,075,567.93","3,067,762.17","3,137,211.35"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"503,720.00","2,270,000.00",,"2,760,000.00","9,840,195.00","11,779,008.00","10,590,000.00","4,590,000.00",,"146,712.00","730,155.10",,,"29,010,000.00","33,286,389.00","15,766,389.00","4,137,179.37","12,287,337.00","18,819,119.57","35,052,263.82","39,919,170.55","22,542,198.28","79,061,916.28","119,441,087.65","85,086,970.74","84,562,793.91","55,984,371.40","29,697,648.28","52,871,130.43","107,702,607.30","18,727,577.00","32,807,946.57","47,557,572.25","56,689,307.49","28,294,342.21","28,075,321.31","15,820,704.08","14,557,167.84","46,925,125.54","14,913,660.51","38,916,989.99","43,697,354.24","264,394,375.16","284,815,008.66","244,237,044.59","192,499,338.66","153,970,436.60","453,829,444.52","215,643,848.54"
应付票据,"700,000.00","9,874,216.00","12,558,974.42","6,621,340.00",,,,"2,858,174.00","40,814,770.48","61,377,068.86","96,828,249.15","56,325,366.09","82,076,281.96","25,007,214.15","874,456.00","1,709,550.00","4,159,150.10","2,271,384.00",,"318,600.00","11,000,000.00","25,410,500.00","40,784,581.84","18,410,180.73","24,577,285.70","83,718,871.94","45,602,747.62","37,894,964.52","63,839,012.41","46,748,048.13","20,380,375.09","84,057,925.81","112,820,173.05","338,687,847.66","321,959,879.89","57,013,753.52","251,877,763.47","272,057,081.03","377,792,504.00","229,757,059.81","201,175,352.15","179,072,349.90","1,801,498,329.17","1,866,527,551.29","1,760,473,081.68","1,672,326,487.93",,"1,619,095,620.74",
应收账款,"17,204.91","75,868.27","72,084.23","15,025.20","51,715.20","15,025.20","25,051.50","14,234.40","14,234.40","14,234.40",,,,,,,"1,843,007.91","8,197,650.34","494,378.87","3,345,399.36","5,556,262.80","1,411,047.68","2,549,497.76","2,290,548.01","2,143,087.44","1,364,109.90","1,768,790.12","2,650,488.74","1,421,241.71","2,905,611.07","22,203,523.41","6,970,882.58","30,234,185.67","33,527,518.30","38,018,258.79","78,991,824.32","39,516,940.98","31,975,308.14","28,581,900.51","36,221,657.21","69,496,624.27","44,828,276.37","7,760,229,649.74","7,086,938,482.02","9,322,478,348.29","10,001,982,063.06","9,956,225,271.31","9,913,347,130.74","12,435,240,193.40"
应付账款,"16,201,459.38","15,219,884.66","21,346,019.18","10,935,992.93","37,028,813.82","30,500,524.76","34,302,218.30","24,355,331.75","53,210,410.86","124,028,878.12","211,832,002.72","301,845,062.18","240,453,927.44","242,446,446.42","186,277,545.49","204,502,715.26","161,620,653.21","188,262,710.85","146,732,363.59","158,715,771.25","161,918,435.90","95,095,501.63","73,546,014.42","154,998,953.19","165,598,065.02","524,527,305.76","537,075,502.35","410,442,812.75","381,818,118.65","384,450,863.21","444,098,568.89","304,196,858.08","340,186,839.22","304,160,841.48","303,504,866.02","245,978,801.76","309,723,553.99","236,942,750.90","244,122,574.57","136,955,209.66","183,899,258.58","143,945,353.26","4,601,423,943.26","4,039,193,896.38","4,661,156,388.60","4,745,995,752.87",,"4,416,696,668.85",
预付款项,"26,290,024.31","36,601,005.97","44,404,100.82","35,880,976.52","88,738,546.48","70,554,200.90","75,007,643.18","713,382,399.70","781,165,758.94","877,736,810.70","301,379,082.42","149,844,341.05","53,629,359.25","68,816,082.99","129,660,705.87","237,485,792.95","150,594,855.49","121,104,467.82","114,184,561.59","457,091,581.89","886,773,227.62","439,624,030.41","457,204,954.81","596,457,307.68","650,125,897.47","472,272,514.90","231,842,262.99","422,017,568.44","372,888,252.24","316,045,298.17","481,819,000.87","44,227,223.28","217,153,408.01","74,667,927.68","117,933,699.58","40,016,844.96","51,662,272.66","36,159,421.69","30,560,188.10","39,086,224.25","63,723,664.97","56,424,270.44","342,123,760.63","285,270,480.41","496,179,741.00","479,129,019.52","375,080,576.57","322,249,501.43","521,817,431.77"
预收款项,"156,110,532.59","173,661,867.21","129,183,436.69","78,217,369.80","146,420,932.40","256,062,435.40","223,096,928.89","202,883,322.64","226,536,477.36","195,018,701.81","134,137,539.46","53,748,524.66","103,264,240.69","96,090,156.36","41,073,904.89","115,772,135.28","104,647,930.31","79,833,734.32","85,632,775.29","44,748,684.55","418,680,642.90","71,301,108.51","316,186,511.99","132,433,017.16","152,769,686.73","138,178,871.21","234,956,859.48","214,857,681.67","252,745,361.82","149,737,722.46","161,996,230.28","184,943,590.60","255,605,393.59","179,629,956.94","165,517,878.91","126,611,197.75","173,575,754.00","118,552,340.07","90,651,037.22","158,647,017.41","103,064,736.16","135,074,431.66","45,700,931.48","39,032,625.12","46,113,590.49","43,262,986.83","43,176,774.47","39,764,906.83","62,892,512.34"
其他应收款,"33,536,200.28","832,921.57","1,037,639.63","791,019.24","510,378.25","997,005.30","1,118,192.37","7,858,603.65","1,963,626.69","8,120,754.20","10,775,345.84","5,509,718.08","17,401,759.45","13,604,197.93","8,895,753.53","2,846,262.59","29,067,398.37","39,533,289.44","28,010,973.40","8,429,124.34","10,857,779.51","14,900,288.02","21,676,731.58","1,973,288.83","20,995,561.66","28,493,880.03","17,568,771.57","2,934,982.30","9,453,090.88","23,979,910.59","21,737,376.79","15,238,195.08","11,362,012.41","11,881,005.31","10,106,214.55","10,038,410.22","8,898,516.96","12,895,724.81","8,579,249.67","1,424,317.37","1,810,612.76","14,457,451.90","113,002,288.63","109,552,693.03","214,948,391.54","138,917,284.79","122,597,199.25","181,662,220.20","204,793,429.31"
应付职工薪酬,"18,788,166.25","27,512,766.91","29,477,432.01","16,461,544.27","5,858,474.50","9,742,103.63","6,150,046.89","16,905,647.26","6,033,425.20","10,090,061.81","6,212,645.60","17,009,213.94","8,116,014.64","13,940,310.29","13,791,300.63","19,650,923.28","7,199,530.85","16,512,104.54","11,799,381.93","24,772,050.42","16,253,586.89","14,321,566.08","16,706,618.84","24,412,184.39","13,277,250.67","14,206,042.61","15,218,748.10","21,812,115.69","13,217,791.82","14,937,507.52","18,096,239.53","22,533,917.91","15,222,032.13","18,502,185.83","20,270,823.46","33,881,586.63","25,840,387.88","20,150,561.94","22,272,247.02","27,978,640.93","19,319,831.01","18,006,069.59","20,875,443.73","25,998,397.89","16,558,766.88","17,083,965.44","16,691,338.38","40,158,854.78","24,928,515.06"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"17,719,470.27","9,030,104.63","13,339,109.63","11,121,741.16","-11,073,322.93","-5,055,239.10","4,410,603.38","18,676,242.78","28,697,028.70","-43,448,094.37","-70,681,330.73","-105,732,776.31","-118,682,283.25","-115,129,667.90","-109,129,458.93","-120,318,403.47","-121,188,821.89","-119,798,376.06","-121,318,257.96","-114,716,629.45","-116,633,670.83","-114,512,019.74","-124,426,805.65","-126,428,181.95","-152,355,564.41","-205,189,544.83","-243,915,274.61","525,001.22","300,402.85","168,383.26","200,669.21","3,095,588.99","711,058.24","583,037.42","2,838,936.45","1,241,935.46","1,119,113.73","358,613.17","1,999,316.31","358,492.21","298,319.41","272,313.26","267,557,494.39","284,631,529.52","258,359,914.79","270,947,250.11","251,430,683.72","252,980,440.68","248,065,606.96"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,"1,429,219.18",,,,"3,271,587.62","5,115,368.44","10,309,748.51","13,307,128.49","17,385,979.16","21,038,376.42","25,291,801.08","29,545,225.74","10,416,525.16","4,298,374.48",,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,"10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00",,,,,"2,503,375.85","1,171,590.06","1,497,274.12","2,003,344.68",,"6,318,214.22","5,981,232.30"
应收股利,,,,,,,,,"122,707.52","122,707.52",,,,"293,792.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,662,937.54","13,541,549.70","11,045,349.70","11,460,288.93",,"2,497,684.54","2,497,684.54"
