科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"5,079,029,291.14","3,841,952,949.77","3,788,318,112.95","4,013,832,523.80","4,800,776,133.67","3,974,928,349.12","2,844,192,249.39","2,090,985,885.12","1,991,284,957.81","2,847,529,458.61","2,689,872,546.12","2,887,257,061.87","2,723,860,762.07","2,430,685,698.29","3,363,694,780.06","2,821,997,106.18","2,323,487,223.18","2,624,597,958.07","1,416,626,869.48","1,298,236,005.91","1,031,600,168.11","686,803,473.38","620,108,950.78","613,832,971.87","514,175,073.22","390,795,699.07","456,720,040.77","394,466,126.97","482,192,735.50","680,122,111.58","608,157,022.60","547,752,522.37","458,881,956.82","620,470,614.37","905,178,581.40","454,955,452.27","340,702,627.32","1,657,851,557.04","3,315,872,619.92","1,923,148,683.29","1,115,039,651.86","1,471,865,550.16","2,891,744,403.39"
短期借款,"1,751,461,000.00","1,501,461,000.00","1,501,461,000.00","1,489,686,000.00","1,489,686,000.00","1,489,686,000.00","1,489,686,000.00","1,487,911,000.00","1,487,911,000.00","1,487,911,000.00","1,487,911,000.00","1,487,911,000.00","1,487,911,000.00","1,417,911,000.00","1,417,911,000.00","1,407,911,000.00","1,407,911,000.00","1,407,911,000.00","1,407,911,000.00","1,437,911,000.00","1,467,911,000.00","1,517,911,000.00","1,547,911,000.00","1,547,911,000.00","1,547,911,000.00","1,547,546,700.00","1,542,744,210.22","134,927,486.77","3,104,587,815.30","2,917,587,815.30","3,518,679,000.00","5,438,090,000.00","6,757,780,000.00","6,757,780,000.00","7,157,763,127.05","8,960,109,000.00","8,960,109,000.00","17,098,500,000.00","18,819,520,250.00","19,887,470,250.00","19,523,870,250.00","20,689,070,250.00","21,893,320,000.00"
交易性金融资产,"44,796,125.00",,"2,428,145.00",,,"432,430.00","156,935,340.00","108,673,891.00","176,596,712.00","195,302,663.00","149,421,576.24","26,712,000.00","25,539,119.00","16,259,119.00","17,344,000.00","17,088,000.00","18,144,000.00","16,222,500.00","21,511,000.00","18,277,000.00","17,885,000.00","17,297,000.00","16,513,000.00","17,689,000.00","16,317,000.00","12,593,000.00","13,083,000.00","12,691,000.00","11,613,000.00","12,985,000.00","15,190,000.00",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"144,017,463.43","656,522,033.14","978,770,304.04","679,332,312.98","25,958,655.70","21,458,430.23","331,910,716.83","1,155,056,076.76","1,167,628,779.84","1,352,435,783.63","1,506,743,471.21","898,020,900.47","1,063,628,447.44","823,197,391.71","1,199,107,490.16","794,071,911.91","668,532,935.45","178,250,987.78","898,101,570.44","919,362,282.21","1,092,799,111.27","982,538,729.43","1,027,743,080.08","625,356,955.32","441,021,478.81","427,956,750.70","416,876,227.87","36,837,706.00","339,156,173.44","262,650,777.62","725,155,614.11","376,839,486.67","336,946,874.68","369,285,953.62","196,734,469.84","84,160,722.78","258,966,796.26","1,812,913,926.49","2,522,801,414.90","3,088,010,863.83","5,692,688,187.52","8,200,094,473.85","7,032,093,659.17"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,"19,630,000.00","19,630,000.00","15,500,000.00","28,660,000.00","10,260,000.00","11,100,000.00","11,000,000.00",,,"15,000,000.00",,"15,000,000.00",,,"52,350,000.00","745,100,000.00","1,191,217,900.00","1,236,469,389.91","1,434,994,247.65","964,994,541.91"
应收账款,"1,403,660,616.74","1,499,401,614.65","1,390,185,303.87","1,141,403,930.93","882,202,898.15","831,709,852.21","620,522,394.80","801,249,799.22","731,904,921.84","748,219,284.84","773,390,803.40","509,298,688.34","603,786,409.92","756,077,927.59","584,616,343.89","366,431,470.70","385,072,527.44","485,385,969.56","365,566,240.71","354,783,225.09","397,982,168.48","323,427,918.46","218,191,383.46","115,305,850.89","147,565,749.51","121,630,531.13","126,112,892.19","148,032,335.83","808,078,220.00","783,904,394.98","705,592,989.03","681,602,981.18","772,280,816.32","732,271,348.40","678,276,915.03","413,806,540.33","472,892,630.02","1,144,598,875.42","1,436,453,114.43","976,261,055.92","2,025,084,692.77","1,007,857,583.77","1,186,367,908.78"
应付账款,"1,031,821,040.04","1,793,348,004.53","1,829,327,185.15","1,769,443,226.97","1,909,869,386.30","2,347,250,151.88","2,256,690,851.51","1,843,390,563.78","2,302,338,616.20","2,651,305,001.17","2,798,322,038.71","2,749,621,774.50","2,822,836,336.31","2,981,408,262.78","2,877,469,930.85","1,907,031,445.36","1,799,224,861.96","2,146,989,598.29","1,721,576,844.68","1,858,197,141.71","1,926,696,510.70","2,222,707,438.76","1,969,549,269.81","1,736,770,825.94","1,878,598,151.78","2,057,471,160.09","2,026,766,540.55","1,453,709,431.71","12,133,568,422.09","11,586,174,009.46","11,773,727,899.89","12,486,706,094.10","11,727,220,315.64","12,163,472,216.98","12,225,906,162.87","12,787,135,061.88","12,783,098,651.78","18,711,746,654.32","18,006,056,074.83","20,183,490,440.09","22,338,116,365.74","23,721,123,364.70","21,904,408,343.62"
预付款项,"106,347,249.47","65,713,905.67","141,731,408.24","229,317,486.04","201,659,784.31","221,442,395.97","164,991,194.05","211,015,247.57","146,711,556.59","109,469,653.18","171,491,863.24","447,247,782.34","315,056,561.58","118,408,416.43","245,555,220.54","319,804,492.06","174,683,375.66","179,908,681.99","105,784,630.47","98,561,336.49","84,517,223.68","117,000,446.15","94,609,746.27","53,664,173.01","40,180,467.76","60,543,409.63","67,307,616.32","42,585,927.31","198,699,324.97","139,834,012.87","113,243,115.56","51,684,883.02","119,297,732.95","118,651,551.83","175,270,342.07","138,870,346.70","191,272,119.15","2,461,248,598.60","2,145,169,102.52","1,962,610,346.55","1,827,798,704.84","2,978,647,052.01","2,713,887,150.00"
预收款项,"1,085,042,647.53","1,238,262,611.02","1,566,226,719.56","1,361,408,075.58","1,422,279,950.18","1,389,742,029.22","1,503,957,117.01","1,838,953,666.50","1,795,252,125.41","1,889,412,273.83","1,843,984,370.14","2,242,795,005.13","2,348,498,186.14","2,202,320,225.22","2,318,210,214.95","1,473,276,619.98","1,302,999,536.23","1,140,761,176.97","1,169,183,294.02","1,007,714,604.39","1,099,769,376.71","750,747,221.41","856,751,024.10","1,010,831,941.79","770,665,363.95","465,098,145.79","600,702,246.38","438,395,842.87","1,614,382,259.20","1,653,235,579.04","1,637,914,462.81","1,446,107,111.26","1,208,024,492.49","780,611,477.74","1,048,314,367.55","852,213,634.91","933,951,927.16","1,845,571,981.91","2,650,550,857.25","3,496,162,939.05","2,543,422,073.76","2,635,411,376.48","3,109,181,450.71"
其他应收款,"8,115,874.44","3,357,884.70","2,536,351.82","10,059,376.24","6,984,367.37","6,558,026.36","7,228,629.57","11,705,234.35","10,940,786.19","9,421,058.59","9,867,283.27","15,980,963.91","37,634,043.25","30,374,474.02","38,257,128.73","20,042,666.00","39,063,314.59","82,129,035.01","25,240,202.05","50,193,223.42","25,034,411.21","28,781,910.38","17,074,951.33","12,480,081.09","2,667,596.34","3,083,584.70","3,058,372.91","29,018,203.52","15,792,279.37","22,103,799.57","26,817,652.61","19,336,977.36","19,929,072.24","20,244,894.91","20,939,713.86","8,272,306.92","5,508,272.58","72,217,131.40","67,490,851.01","69,249,476.90","92,430,359.08","24,953,395.87","46,446,465.44"
应付职工薪酬,"141,507,203.10","146,523,329.11","151,474,238.20","96,593,037.42","81,456,657.67","70,126,568.72","76,799,065.76","78,244,431.13","79,299,393.49","88,910,729.45","91,861,459.84","100,227,635.07","89,113,040.77","91,938,093.70","95,111,741.15","109,312,824.37","104,043,790.78","97,919,914.74","84,229,210.84","105,017,420.78","88,017,658.27","88,824,870.52","89,428,502.89","90,136,010.60","91,189,163.55","95,734,181.22","96,750,254.98","22,380,383.72","84,076,169.13","94,628,508.37","97,569,128.32","64,880,697.61","89,321,760.74","96,896,074.86","106,008,778.60","53,705,505.62","82,126,937.88","225,495,812.74","245,107,476.76","214,784,840.70","258,542,190.63","272,424,793.30","292,033,942.91"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
