科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"421,169,683.26","852,400,461.88","1,222,385,438.46","2,142,790,115.22","509,454,513.82","898,998,541.01","1,199,657,888.30","1,967,529,628.75","326,477,689.97","665,246,784.46","993,811,318.97","1,660,020,991.35","315,324,329.89","668,330,731.45","1,241,430,910.60","1,511,963,570.21","330,576,564.88","769,315,217.29","1,060,196,585.40","1,424,785,535.73","239,612,728.21","634,912,218.95","987,881,401.33","1,245,962,132.20","230,315,570.56","601,721,781.07","938,184,855.25","954,944,330.50","131,551,082.39","201,249,182.93","280,287,644.27","416,772,255.27","147,851,921.28","249,952,477.09","394,708,321.14","682,896,707.47","112,072,369.04","173,239,674.47","311,646,857.50","588,176,013.79","68,892,620.64","175,970,904.72","367,582,592.19"
二、营业利润,"11,899,297.06","27,176,476.10","26,591,127.99","20,932,508.24","41,607,706.23","44,776,728.74","31,633,051.41","-52,929,857.76","24,714,573.11","31,657,092.28","3,012,935.59","-9,931,385.00","-29,753,195.51","-247,741,743.50","-286,680,161.59","-336,025,780.37","-78,227,906.54","-213,738,679.96","-358,448,864.13","-1,269,233,174.97","-93,024,071.88","-211,034,747.18","-366,936,157.51","-567,282,724.92","-56,035,061.26","-111,094,692.63","-173,228,175.25","-481,608,675.66","-7,079,828.90","-29,164,274.30","-54,747,276.79","-236,567,543.73","-10,358,061.01","-53,096,964.22","-95,001,360.63","-176,221,632.71","-22,291,238.76","-57,391,509.02","-99,304,527.92","-275,056,854.81","-21,537,597.50","-39,429,017.92","-64,800,468.44"
减:营业成本,"332,191,782.29","632,073,037.60","925,145,593.50","1,738,449,653.41","388,895,569.38","656,965,524.91","874,655,333.35","1,477,014,848.78","234,708,003.51","473,001,834.50","778,009,124.73","1,306,353,486.26","263,537,598.08","637,211,261.52","1,199,538,368.61","1,636,947,100.89","347,605,433.32","745,422,167.75","1,071,912,067.27","1,396,819,317.43","223,616,587.47","584,873,134.53","943,970,871.31","1,020,082,417.16","203,887,992.69","533,731,880.59","817,028,786.70","846,248,507.81","115,556,348.01","180,494,483.22","249,430,960.36","365,160,205.64","129,048,909.22","230,373,365.58","366,906,127.52","619,767,657.25","99,809,448.45","161,195,903.90","295,772,130.07","538,230,447.92","64,119,241.68","149,872,074.14","321,779,234.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"240,000.24","2,812,691.19","3,788,995.96","7,972,472.25","458,159.13","2,965,535.65","3,651,004.54","3,569,323.50","3,827,400.71","5,699,098.29","6,471,930.45","7,496,607.23","429,497.08","1,669,591.62","2,263,806.84","4,251,666.27","1,133,129.35","1,938,238.08","2,845,166.79","9,166,610.43","264,904.75","1,692,081.86","2,172,931.53","2,574,651.56","578,959.63","1,925,356.39","3,806,827.34","7,054,574.90","476,051.72","1,333,323.95","1,772,474.94","2,633,752.41","347,019.91","743,288.75","1,379,718.04","2,076,772.90","358,054.89","515,523.97","608,420.93","5,451,721.82","88,162.53","3,317,129.82","4,725,829.24"
营业外收入,"2,149,743.21","4,440,472.38","4,494,885.06","49,836,074.25","5,076,257.58","9,403,210.63","11,436,954.23","21,940,815.10","2,539,823.59","4,707,382.44","17,480,145.86","37,045,908.31","1,072,856.86","4,139,088.23","7,664,947.29","26,706,634.72","7,599,822.31","9,751,872.10","11,898,695.80","19,423,659.48","1,093,982.62","2,829,879.81","5,075,913.38","654,910,688.79","603,226.14","2,998,963.91","8,172,501.24","29,913,710.56","35,904.64","2,927,961.95","4,644,021.68","348,372,166.89","17,939.73","22,230,317.37","22,545,923.89","117,662,520.87","361,969.81","382,127.01","5,940,868.74","8,472,970.85","289,198.96","649,504.66","225,654,969.31"
销售费用,"20,851,685.21","48,733,795.99","55,616,039.41","95,964,656.67","12,071,227.71","45,903,646.53","55,226,397.24","114,954,140.04","11,532,781.63","17,840,491.26","25,631,968.13","123,522,572.41","16,920,036.83","29,162,035.40","62,048,772.69","164,570,000.95","18,054,457.69","51,874,013.28","82,794,803.68","131,896,859.30","17,980,637.70","44,214,976.94","91,747,711.04","142,727,882.37","20,319,553.54","41,904,460.29","84,848,281.15","155,451,863.44","12,373,670.16","13,353,631.81","32,970,686.58","56,827,151.27","13,360,519.73","17,812,456.43","51,611,371.62","93,250,606.06","9,590,602.35","16,536,587.17","41,822,023.66","98,696,516.75","7,828,506.73","17,401,249.13","39,187,796.37"
减:营业外支出,"756,443.33","2,819,183.80","4,415,260.70","8,188,895.21","147,931.44","764,830.51","1,063,195.98","13,409,995.39","292,432.48","748,255.17","1,540,999.92","10,560,921.12","164,720.58","3,685,865.16","4,374,675.92","31,177,926.90","2,039,483.09","2,317,137.99","2,618,330.00","2,571,755.96","116,649.56","1,217,965.35","2,957,686.64","13,191,692.33","746,495.32","1,271,285.63","3,863,132.90","16,003,414.65","400,688.88","3,512,717.63","3,912,881.56","3,001,652.04",219.20,"3,853.81","107,215.16","540,563.50","785,990.70","1,198,655.41","1,257,119.62","2,449,896.15","90,264.76","596,727.86","1,681,160.36"
管理费用,"25,684,447.90","85,913,021.90","93,683,399.19","71,147,326.61","17,872,310.30","88,506,561.43","104,020,507.09","108,827,886.75","19,599,154.06","76,050,420.20","89,875,236.23","81,279,942.09","23,083,134.49","61,890,236.51","81,994,072.63","111,133,421.11","31,456,009.84","71,542,190.22","88,372,769.46","122,506,900.00","17,302,971.87","83,392,508.53","136,209,409.90","193,368,714.47","40,090,966.10","75,158,072.09","126,009,196.08","160,759,320.97","9,688,892.42","20,560,813.43","28,047,634.02","38,827,997.92","8,231,054.65","20,622,469.58","34,536,757.77","55,552,248.18","18,536,798.12","36,421,197.45","50,484,844.56","77,949,240.74","11,160,810.27","24,108,685.21","36,442,928.14"
其中:非流动资产处置净损失,,"39,400.00","39,400.00",,,"4,922.30","4,922.30",,,"182,956.91","182,356.91",,,"-37,165.78","39,337.35","2,827,494.72",,,,"68,297.42",,"77,782.00",,"572,457.35",,,,"124,833.29",,,,,,,,"30,391.85",,,,"58,404.60",,,
