科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"278,570,479.49","427,091,973.93","456,167,505.49","510,596,050.69","496,683,637.71","418,904,425.88","354,482,249.53","372,054,397.19","229,025,121.08","232,417,669.21","208,304,237.74","207,229,285.69","180,161,193.06","278,419,094.99","225,723,835.02","223,834,781.54","186,456,719.84","196,328,540.67","433,806,424.57","314,315,937.95","176,747,827.25","94,947,606.61","243,256,677.93","292,752,372.99","131,945,050.37","283,647,295.88","297,158,649.07","261,698,823.48","1,408,515,310.00","892,273,014.44","649,468,342.01","924,002,144.02","530,469,806.22","749,674,082.15","931,514,075.39","988,525,333.54","1,102,597,189.00","449,947,462.75","575,667,582.34","1,322,580,515.91","1,559,489,340.84","1,398,921,461.64","2,089,001,215.07","2,409,834,489.37","2,456,537,562.44","3,034,259,940.99"
短期借款,"116,271,660.76","189,940,607.22","230,401,649.12","287,750,000.00","279,802,950.40","240,025,332.61","252,386,174.00","183,543,250.00","83,543,250.00","23,543,250.00",,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","270,000,000.00","140,000,000.00","90,000,000.00","170,000,000.00","270,000,000.00","340,000,000.00","400,000,000.00","790,000,000.00","1,355,704,686.36","1,648,567,994.24","1,863,885,005.25","2,129,836,326.95","2,077,004,040.70","2,129,056,251.97","2,958,781,852.52","2,758,782,530.76","2,923,506,484.56","2,951,216,156.80","2,742,765,257.91","2,098,259,431.64","1,737,140,637.04","2,376,374,567.06","2,740,000,000.00","3,627,852,000.00","4,091,915,605.50","3,582,568,864.41","6,519,655,598.87","10,524,015,133.13"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"17,936,459.50","15,178,400.50","1,954,760.00","9,967,867.00","15,493,384.00","10,258,571.00","1,979,100.00","1,845,544.00","7,218,106.00","10,184,264.00","14,118,477.00","1,555,881.00",,"6,880,956.00","3,626,640.00","7,922,778.98","916,800.00","15,477,475.26","13,980,136.00","9,700,746.40","9,579,591.80","9,293,609.24","52,525,035.95","30,506,704.80","23,706,239.38","49,835,082.76","89,588,153.22","66,050,191.65","58,754,147.30","96,119,555.11","117,885,400.77","169,306,483.73","127,062,433.30","71,620,889.19","117,167,517.95","277,798,249.14","296,715,643.64","236,481,527.84","295,670,894.26","280,339,066.04","216,016,802.75","274,141,855.98","391,339,311.53","243,194,287.30","141,019,177.47","39,346,174.65"
应付票据,"18,579,249.99","34,057,646.28","28,154,996.00","39,192,449.40","28,796,731.40","19,292,332.80","7,454,988.40","28,878,708.02","34,785,845.00","9,405,550.00","19,973,638.68","26,180,362.00","24,385,761.80","24,978,354.00","17,328,577.00","3,388,858.85","3,517,972.99","7,260,699.39",,"600,000.00","2,507,400.00","46,479,004.00","24,110,650.00",,,"8,850,198.93",,,,,,,,,,,,,,,,,,"47,887,982.74",,
应收账款,"75,592,509.01","111,248,795.83","138,480,558.88","100,916,666.87","76,605,446.50","143,119,593.10","133,496,617.54","80,165,061.81","93,332,081.84","83,437,371.13","106,239,782.26","77,361,990.92","78,267,428.02","106,207,717.56","147,309,800.57","133,087,344.12","139,136,598.30","220,374,709.41","125,075,708.58","134,443,559.26","200,492,772.75","330,274,082.73","232,537,688.80","366,363,936.10","427,288,447.70","520,310,889.57","539,510,988.07","667,075,376.43","808,117,517.32","983,751,818.93","1,149,171,090.97","1,068,006,701.37","1,211,621,716.28","1,506,843,079.82","1,918,006,732.44","1,681,157,979.34","1,830,270,193.31","2,382,382,621.23","1,960,145,496.38","1,739,826,436.88","1,865,028,430.45","3,136,653,090.08","3,980,591,748.48","3,938,733,573.11","5,500,723,149.96","7,219,533,384.65"
应付账款,"110,868,958.43","144,018,921.42","154,442,710.84","90,869,633.13","69,284,650.54","202,923,233.66","151,554,830.46","106,958,980.48","68,656,451.20","99,861,322.77","139,371,862.51","65,237,529.03","66,807,544.76","88,560,675.62","148,214,080.89","248,009,358.31","210,294,624.31","221,669,817.41","251,706,404.93","293,078,861.83","364,758,462.63","392,531,451.65","493,553,713.85","499,927,512.10","471,048,919.23","502,603,393.93","405,685,427.48","356,620,858.38","712,080,698.23","589,155,201.52","1,051,735,445.73","1,061,900,054.74","1,458,819,014.34","655,590,599.30","1,098,091,314.02","1,269,411,234.29","1,048,600,800.99","1,312,590,399.54","1,140,844,194.92","1,532,208,089.75","1,645,984,953.76","2,129,403,190.83","2,771,792,425.46","5,435,668,041.64","3,878,431,900.80","4,610,112,985.10"
预付款项,"103,775,501.84","39,068,923.03","43,887,361.48","34,887,567.09","32,070,032.27","35,831,724.91","39,492,611.26","42,475,474.09","53,906,271.60","51,150,348.94","59,315,080.72","23,458,363.82","30,614,105.84","35,464,637.01","53,950,239.55","33,373,006.62","48,604,454.73","38,825,915.95","45,951,733.85","37,615,019.71","38,965,876.18","49,199,194.17","41,331,001.76","14,607,438.09","76,367,091.27","33,478,712.26","25,609,598.47","50,216,901.33","67,459,345.54","68,267,538.26","107,869,091.56","50,589,877.04","131,849,018.55","117,402,365.38","216,818,040.21","149,652,028.31","129,042,162.65","420,340,085.65","406,304,456.63","131,507,036.55","248,890,609.07","196,389,925.46","324,118,640.57","64,153,774.81","265,002,683.06","255,766,602.03"
预收款项,"32,338,061.18","26,259,665.28","43,553,631.04","34,666,477.37","30,790,948.88","38,448,172.36","35,656,863.88","41,261,305.82","44,756,756.08","45,074,086.18","43,701,296.29","33,756,921.99","23,278,223.15","30,386,740.35","27,820,603.58","51,823,652.05","33,625,794.91","64,682,364.61","65,990,607.45","119,876,720.83","74,440,094.49","43,028,778.37","65,342,957.04","70,388,779.05","50,849,376.64","46,030,550.74","78,292,486.87","123,106,024.73","122,143,675.79","123,982,014.36","199,017,455.01","263,675,791.61","146,318,354.42","160,675,418.99","338,797,369.09","504,558,831.96","425,974,610.01","455,099,637.44","414,849,194.64","646,882,892.76","380,054,942.70","415,190,545.05","860,509,536.78","781,921,179.00","449,504,065.55","690,087,496.60"
