科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"192,646,315.00","213,348,979.00","123,867,460.29","432,265,875.21","507,717,315.74","417,991,933.22","237,101,569.26","331,960,084.22","321,858,170.89","329,040,341.26","215,568,905.59","608,266,741.85","390,317,448.14","364,266,078.49","310,505,143.34","549,704,860.95","536,178,262.81","524,752,627.39","325,712,071.19","487,074,987.75","896,555,736.70","441,973,799.91","402,477,596.63","433,800,669.56","394,519,878.98","261,693,363.50","366,314,829.41","578,620,981.11","443,958,031.05","394,300,502.95","369,324,809.53","569,880,062.01","472,527,442.37","468,855,019.04","570,492,891.95","632,390,700.27","1,632,728,779.27","1,275,134,292.00","883,863,158.26","1,167,812,036.91","744,491,578.45","1,212,073,691.96","960,925,703.98","881,778,976.48","1,564,786,220.08"
短期借款,"346,700,000.00","275,000,000.00","369,000,000.00","409,000,000.00","507,000,000.00","461,000,000.00","459,000,000.00","456,500,000.00","468,800,000.00","424,300,000.00","521,300,000.00","680,300,000.00","526,300,000.00","542,000,000.00","731,500,000.00","687,800,000.00","459,800,000.00","326,800,000.00","384,100,000.00","491,200,000.00","376,200,000.00","134,500,000.00","305,700,000.00","326,500,000.00","296,500,000.00","276,500,000.00","585,500,000.00","480,755,040.00","561,435,040.00","540,235,040.00","790,235,040.00","647,770,400.00","666,390,400.00","711,381,760.00","1,302,985,280.00","1,003,800,000.00","262,822,300.00","743,800,000.00","760,000,000.00","615,000,000.00","1,122,000,000.00","1,322,500,000.00","1,497,000,000.00","1,978,000,000.00","2,679,400,000.00"
交易性金融资产,"41,110,800.88","15,566,883.00","27,912,309.96","21,060,196.23","35,171,108.03","45,255,966.75","38,386,839.43","17,593,256.73","47,477,583.49","27,387,151.33","53,002,313.01","9,572,035.49","33,554,378.80","25,414,326.67","41,485,762.34","14,335,094.84","10,607,700.96","14,573,154.64","11,811,746.84","15,683,961.79","12,347,561.04","20,403,399.46","11,853,063.29","12,027,814.15","7,137,525.90","6,861,695.43","4,744,954.93","11,053,887.58","34,944,670.87","28,551,380.04","5,883,171.90","2,764,633.95",,,,,"16,108,884.08","40,672,026.01","75,429,000.00",,"116,924,222.03","90,048,725.00","122,215,697.88","59,805,000.00","95,726,703.50"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,190,000.00",,,"115,538.16",,,,,"1,800,000.00","975,866.00","1,800,000.00","200,000.00","400,000.00",,,"533,595.00","116,250.00","2,320,000.00","500,000.00","494,089.51","180,000.00","313,896.00","3,135,502.35","5,350,000.00","1,006,356.05",,,,,,,"50,000.00","1,000,000.00","300,000.00",,,,,"660,000.00",,,,,,
应付票据,"22,795,200.00","16,644,600.00","4,923,600.00","8,776,597.62","4,546,170.18","1,269,572.56","840,000.00","32,050,000.00","33,050,000.00","1,000,000.00","4,000,000.00","7,160,000.00","8,160,000.00","15,800,000.00","14,800,000.00","27,200,000.00","23,200,000.00","14,250,000.00","14,250,000.00",,,"50,000.00",,"50,200,000.00","71,600,000.00","71,550,000.00","50,150,000.00","112,900,000.00","112,900,000.00","83,500,000.00","84,500,000.00","84,700,000.00","95,500,000.00","96,500,000.00","85,500,000.00","83,500,000.00","83,500,000.00","83,500,000.00","83,500,000.00",,,,,,
应收账款,"61,121,478.96","67,684,767.42","82,720,148.27","101,906,079.97","147,081,943.20","122,347,123.79","145,571,398.51","116,770,022.20","105,519,056.93","87,107,633.41","94,645,649.30","106,157,112.23","148,481,735.82","99,223,632.75","88,580,270.02","158,068,356.57","123,885,765.80","123,943,802.84","108,496,349.49","154,405,232.74","136,067,740.23","99,153,168.08","120,671,775.38","145,011,171.50","221,696,949.48","125,409,247.34","77,076,965.32","165,275,726.61","217,960,289.16","195,969,332.27","161,765,395.15","259,691,467.48","306,935,089.55","281,636,088.19","209,595,397.34","303,928,439.75","370,262,895.79","280,218,060.81","223,005,860.64","333,608,532.61","581,932,413.63","430,426,065.38","386,501,064.39","540,800,038.22","786,327,310.44"
应付账款,"91,904,105.19","67,954,210.92","57,886,709.29","123,486,427.27","82,007,078.06","49,024,560.07","48,103,553.34","112,909,484.98","93,645,039.25","50,900,452.01","62,051,316.30","108,708,911.73","167,956,334.54","64,555,404.92","49,048,782.95","106,309,563.61","103,635,327.03","58,160,220.54","77,059,096.59","242,508,168.01","163,304,388.95","111,835,651.95","111,552,910.79","386,430,715.95","216,635,439.02","167,457,807.50","96,203,360.69","336,322,701.50","198,555,486.21","98,062,482.45","97,896,783.90","303,013,097.14","169,164,193.04","112,808,091.21","114,803,843.47","232,400,428.56","128,911,931.64","87,159,383.29","112,412,654.39","313,937,621.10","199,393,332.06","219,992,272.99","246,222,381.32","463,052,287.45","275,167,353.51"
预付款项,"396,666,717.62","401,847,651.45","354,549,524.14","237,594,779.09","325,364,523.37","247,356,188.19","347,150,307.75","276,669,538.53","292,845,828.09","297,985,642.44","339,447,529.99","129,308,238.53","227,468,816.49","181,297,832.52","324,506,481.96","130,019,735.85","217,422,056.28","240,275,007.69","384,575,266.77","246,493,774.05","239,318,725.17","311,610,701.14","393,784,405.57","100,315,003.82","183,439,990.27","179,096,595.12","167,143,174.07","95,783,908.02","132,478,870.75","135,255,446.54","166,784,302.92","119,176,029.99","150,635,216.18","214,692,699.07","263,341,390.23","84,704,736.56","178,206,438.44","240,220,747.07","225,512,534.76","99,027,577.70","271,767,400.89","326,055,155.48","267,696,148.94","141,596,635.67","441,002,547.13"
预收款项,"74,743,554.19","71,507,855.82","41,708,299.96","111,555,973.74","79,744,896.23","92,072,504.92","72,511,672.15","77,546,166.76","90,956,612.22","100,217,879.79","83,116,039.70","109,499,422.85","134,666,475.75","103,495,604.06","95,217,415.38","175,577,865.97","209,231,735.96","128,424,130.27","139,093,631.63","296,789,820.69","115,843,292.17","203,526,587.10","265,858,532.54","348,149,573.49","243,078,927.86","333,839,756.86","156,016,869.80","268,855,773.56","161,209,894.26","260,586,475.23","225,279,692.10","230,209,681.35","187,938,546.91","216,964,668.85","220,096,032.64","259,300,686.86","118,914,054.86","227,484,573.92","422,668,783.75","350,180,998.86","223,168,422.50","376,268,237.55","805,920,151.41","475,141,397.99","340,109,198.50"
其他应收款,"57,746,897.73","56,928,686.55","73,918,139.88","85,938,892.29","99,945,369.67","91,994,789.61","74,584,301.30","75,091,722.00","85,586,671.53","105,217,013.64","94,557,366.59","58,272,000.79","69,851,447.24","73,107,557.97","86,462,216.32","86,790,867.13","110,391,563.83","92,970,465.12","47,020,835.60","64,930,781.14","82,526,464.28","104,794,499.06","98,142,977.69","76,189,291.59","84,791,834.22","124,579,277.40","140,720,491.27","150,969,191.08","178,243,963.39","184,094,705.70","171,071,394.39","184,499,029.33","212,038,038.53","207,667,043.66","243,229,517.55","260,309,539.63","352,563,347.14","222,247,930.10","308,179,846.40","189,717,973.14","222,957,816.39","228,407,529.94","225,728,749.39","336,703,409.18","296,698,950.15"
应付职工薪酬,"27,470,761.27","24,983,497.99","23,286,049.21","33,058,009.26","26,654,442.53","23,510,985.67","19,973,169.24","40,466,011.48","25,913,005.57","24,629,031.22","22,376,512.31","58,962,417.05","42,295,368.99","41,283,714.09","37,529,497.09","73,608,717.07","50,610,687.14","54,720,009.25","44,707,843.17","97,775,168.64","72,417,255.83","64,487,667.49","61,712,291.90","102,046,081.36","74,300,023.07","59,624,694.85","52,893,651.80","82,775,313.82","47,664,337.48","41,388,045.35","40,751,858.84","66,775,154.40","37,275,678.66","38,956,391.22","40,952,628.44","72,381,199.91","42,684,904.76","42,277,146.96","49,250,357.81","97,378,129.65","47,503,571.89","45,406,366.10","51,106,045.53","115,310,975.55","79,426,173.22"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-15,250,823.78","-13,431,125.07","-12,779,185.54","-336,129.14","11,930,887.26","-743,186.82","-636,143.68","-9,390,651.02","-12,629,523.71","-11,628,101.37","-8,324,176.14","-12,484,615.87","-9,400,850.59","1,557,601.60","1,553,276.83","-10,807,626.88","-16,307,332.97","-8,529,041.57","-1,843,661.74","9,894,070.67","10,451,884.32","9,047,912.16","12,029,412.26","15,348,397.70","12,597,660.59","13,488,200.88","13,258,312.38","4,674,381.72","4,009,167.94","3,808,694.85","4,471,729.22","1,014,648.35","1,866,318.44","4,925,557.37","3,496,086.69","12,457,459.80","5,309,100.05","25,293,635.32","4,273,348.97","4,744,103.53","1,713,500.76","2,640,815.04","4,118,330.64","86,704,690.70","69,969,873.81"
应收利息,"360,000.00","36,000.00","144,000.00","631,500.00","739,500.00","468,000.00","144,000.00","443,500.00","505,856.60","36,000.00","144,000.00","294,250.00","402,250.00","36,000.00","144,000.00","252,000.00","360,000.00","36,000.00","144,000.00","252,000.00","360,000.00",,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,"252,505.00",,,,,,,"11,826,794.51","9,670,869.86","17,748,369.86","25,825,869.86","1,603,369.86","9,680,869.86","17,758,369.86","26,055,765.97","1,895,074.74","9,907,241.41","17,984,741.41","26,127,574.74","2,674,157.74","9,972,574.74","18,050,074.74","25,946,927.95","1,714,424.95","9,791,924.95","17,465,424.95","25,946,927.95",,,,"11,122,736.63","18,946,618.85"
应收股利,,,,,,,,,,"1,200,000.00",,,,"1,400,000.00",,"1,783,000.00","1,783,000.00",,,"822,563.14","100,183.82",,,"1,280,000.00",,,,,,,,,,,,,,,,,,,,,
应付股利,,"19,671,185.08",,"999,857.67",,,,"1,195,064.77","11,612,064.77","24,189,064.77","647,148.77","647,630.70","944,951.77","2,373,852.02","2,651,924.02","957,146.92","956,924.02","14,817,146.92","-23,700.09","2,371,092.38","1,788,900.15","1,637,274.51","1,637,274.51","1,586,581.85","9,101,345.70","72,181,238.61","66,191,670.62","66,701,457.23","50,701,457.23","50,695,037.59","54,037,894.69","18,687,316.61","18,687,316.61","18,687,316.61","34,299,316.61","22,937,316.61","18,687,316.61","22,651,994.26","21,770,716.61","22,628,187.40","22,628,187.40","22,653,187.40","22,653,187.40","53,547,212.66","33,401,566.66"
存货,"579,275,614.66","513,082,804.01","662,605,412.80","687,663,342.76","488,088,122.40","448,956,530.51","439,356,324.68","575,595,712.15","539,244,245.64","470,484,501.37","505,764,950.69","678,059,970.47","674,299,897.12","618,322,005.45","606,849,593.73","760,735,910.75","625,527,549.19","504,792,335.00","553,956,314.34","1,016,162,605.96","819,591,203.11","746,917,727.97","771,028,042.55","1,396,279,762.61","1,083,073,121.86","1,124,029,850.22","1,149,981,353.46","1,343,419,700.28","1,190,192,086.88","1,146,526,765.23","1,198,046,691.93","1,201,547,141.51","1,047,203,918.26","1,011,392,520.44","1,074,608,323.20","1,297,821,080.16","1,085,400,057.25","1,176,310,671.44","1,234,201,669.12","1,520,740,614.72","1,351,429,086.47","1,468,724,638.32","1,742,244,732.57","2,196,082,301.36","1,953,651,635.17"
其他应付款,"65,484,462.91","65,136,170.39","106,102,108.34","140,748,498.76","70,108,802.54","53,301,179.99","44,567,625.32","66,082,140.54","75,390,152.38","81,203,951.98","45,621,698.46","48,063,660.39","72,169,978.89","48,489,054.06","35,019,470.60","111,545,270.64","166,803,170.15","161,402,403.25","81,361,111.50","150,583,605.43","229,762,991.60","175,788,856.40","99,821,769.94","155,871,538.79","146,258,404.54","124,334,944.52","199,509,833.39","161,528,622.54","164,860,398.38","159,757,867.43","108,524,251.12","169,753,249.15","139,703,361.91","174,042,953.59","288,134,924.75","327,439,194.88","257,592,696.89","208,776,195.94","202,243,481.92","206,255,867.70","169,098,662.22","126,495,805.36","122,123,701.99","659,418,286.07","375,688,520.73"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,"10,000,000.00","10,141,310.75","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"54,000,000.00","44,000,000.00","34,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,,,,,,,,,,,,,,,,,,,,"14,000,000.00","7,000,000.00","14,000,000.00","14,000,000.00","16,000,000.00","14,000,000.00","14,000,000.00","14,000,000.00","14,649,360.00","14,649,360.00","14,663,120.00","14,333,890.00","10,405,500.00","10,003,985.00","9,857,680.00","9,647,140.00",,
其他流动资产,,,,"100,000.00","100,000.00",,,,,,,,,,,,,"12,515.97","12,515.97","24,955,356.66","23,352,971.95","17,658,786.63","114,941,263.47","150,456,453.54","151,376,960.63","145,767,390.25","20,348,544.09","35,298,155.61","35,928,613.02","29,032,858.82","23,323,154.88","19,052,134.69","17,103,768.29","13,843,117.40","12,545,304.02","15,166,529.56","1,015,205,818.18","1,606,439,096.23","1,958,899,902.16","1,650,999,914.89","1,454,183,815.34","1,278,041,859.95","1,602,033,100.63","1,596,926,735.55","638,515,999.31"
其他流动负债,"1,296,185.08",,"1,725,541.05","1,004,000.00","2,003,634.77","2,334,694.77","3,159,374.77","919,000.00","2,624,800.00",,,,,,,,"5,467,662.00","200,000,000.00","200,000,000.00","207,341,369.86","200,000,000.00",,,,,,,"3,807,000.00","1,275,000.00",,,,,,,,,,,,,,,,
流动资产合计,"1,334,117,824.85","1,268,495,771.43","1,325,716,995.34","1,567,276,203.71","1,604,207,882.41","1,374,370,532.07","1,282,294,740.93","1,394,123,835.83","1,394,837,413.17","1,319,434,149.45","1,304,930,715.17","1,590,130,349.36","1,544,775,973.61","1,363,067,433.85","1,458,533,467.71","1,702,223,421.09","1,626,272,148.87","1,513,675,908.65","1,442,370,410.95","2,021,275,352.74","2,220,400,586.30","1,742,825,978.25","1,916,034,626.93","2,320,710,166.77","2,127,042,617.39","1,967,437,419.26","1,926,330,312.55","2,380,421,550.29","2,233,706,525.12","2,113,730,991.55","2,096,198,920.70","2,356,660,498.96","2,207,443,473.18","2,198,386,487.80","2,373,812,824.29","2,594,321,025.93","4,650,476,220.15","4,841,242,823.66","4,909,751,971.34","4,961,906,649.97","4,743,686,333.20","5,033,777,666.03","5,307,345,197.78","5,753,693,096.46","5,776,709,365.78"
流动负债合计,"669,143,444.86","571,466,395.13","625,853,122.31","832,293,235.18","787,995,911.57","685,770,311.16","651,519,251.14","778,277,217.51","789,362,150.48","694,812,278.40","730,788,539.40","1,000,857,426.85","943,092,259.35","819,807,735.75","967,320,366.87","1,172,190,937.33","1,003,398,173.33","950,044,868.66","938,704,321.06","1,498,463,295.68","1,181,595,507.53","710,544,819.47","876,060,561.80","1,411,958,759.00","1,071,675,170.64","1,128,657,513.08","1,237,482,068.54","1,558,376,056.34","1,311,505,856.24","1,261,940,884.31","1,437,681,991.28","1,564,051,121.74","1,333,199,973.31","1,398,239,313.59","2,122,318,187.34","2,054,812,574.57","934,786,089.76","1,465,397,974.64","1,687,918,658.40","1,646,477,336.19","1,795,509,661.83","2,125,814,364.44","2,758,790,938.29","3,842,297,587.05","3,872,109,305.28"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,576,500.43","123,864,597.38","121,792,597.38","121,792,597.38","176,792,597.38","120,792,597.38","125,792,597.38","131,217,697.38","123,604,261.66","198,355,425.66","207,323,425.66","201,967,425.66","198,087,264.66","146,118,018.41","146,118,018.41"
长期借款,"4,000,000.00","54,000,000.00","54,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,"45,000,000.00","60,000,000.00","65,000,000.00","70,000,000.00","90,000,000.00","90,000,000.00","66,000,000.00","66,000,000.00","59,000,000.00","52,000,000.00","49,000,000.00","35,000,000.00","35,000,000.00","28,000,000.00","37,740,400.00","50,350,640.00","60,615,240.00","53,682,810.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","2,631,265,020.00","2,527,122,060.00"
持有至到期投资,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,"443,821,916.67","444,124,866.67","443,964,233.34","443,968,746.60","456,136,163.27","444,724,063.27","457,183,013.27","445,279,287.20","445,628,237.20","445,977,187.20","446,326,137.20","446,589,827.80","446,938,777.80","447,287,727.80","447,636,677.80","447,985,627.80","448,334,577.80","448,683,527.80","449,032,477.80","449,381,427.80",,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
