科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"250,494,958.85","505,455,913.49","785,072,294.96","1,045,570,737.09","293,562,003.80","599,559,226.50","944,284,118.01","1,219,428,116.36","283,360,991.37","532,168,138.88","801,217,997.96","1,054,575,342.49","324,074,925.12","612,477,232.63","932,449,842.95","1,276,392,235.13","377,901,924.01","740,225,250.01","1,129,801,027.38","1,513,086,127.13","353,390,632.13","700,656,619.26","1,088,339,120.55","1,521,013,203.61","391,862,411.11","736,127,014.06","1,143,330,296.99","1,618,458,051.15","363,324,645.13","738,463,343.89","1,190,996,647.67","1,668,452,272.54","406,917,319.44","836,206,967.11","1,283,130,414.24","1,783,867,801.24","402,827,166.67","842,587,598.72","1,351,998,630.30","1,904,193,777.06","424,814,960.43","896,582,143.24","1,435,410,779.96","2,008,242,605.84","506,491,059.31","1,047,504,690.02","1,659,610,268.24","2,332,267,545.29","568,104,691.30"
二、营业利润,"17,905,314.31","36,283,485.39","51,649,870.48","69,431,720.27","19,957,254.77","41,406,255.24","64,255,663.47","83,027,098.17","21,979,335.15","48,936,007.78","74,039,825.69","121,455,580.23","27,681,770.12","57,730,263.54","90,617,396.10","131,477,179.34","35,165,630.97","73,201,111.23","115,900,425.93","160,268,143.97","41,309,678.92","85,005,651.66","132,048,260.15","189,951,711.43","46,400,704.25","81,246,885.88","130,551,424.90","192,179,084.90","38,480,644.22","71,887,537.46","112,749,023.52","165,225,473.87","41,420,531.30","89,207,803.31","139,009,321.71","200,929,677.96","47,119,566.18","100,683,051.33","166,701,263.31","228,694,534.11","47,729,765.61","100,705,933.42","164,661,271.81","242,511,963.44","51,512,181.45","110,402,874.05","179,889,367.93","261,338,388.71","59,626,313.96"
减:营业成本,"210,949,049.83","426,888,620.99","667,791,236.42","883,840,896.84","243,587,578.31","501,864,010.61","789,301,924.29","1,012,398,361.98","231,207,240.01","423,205,926.27","643,240,502.15","817,049,258.83","258,668,670.40","495,241,563.85","756,366,059.39","1,025,292,849.54","303,065,769.41","595,784,890.90","911,682,758.94","1,210,645,252.47","273,126,913.42","541,436,456.47","847,752,159.96","1,183,941,371.80","304,387,747.24","579,733,715.54","913,121,868.85","1,284,772,351.45","293,701,840.94","602,000,603.29","975,136,922.52","1,354,187,191.30","322,009,099.15","665,988,619.79","1,024,070,443.19","1,405,015,913.02","312,592,910.10","652,561,272.15","1,042,718,489.41","1,460,111,043.61","329,947,258.48","704,946,660.70","1,123,599,155.27","1,552,279,026.82","400,554,714.44","824,236,717.89","1,300,922,100.53","1,820,298,270.01","431,438,180.37"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,"55,399.95","169,245.32","257,352.65","422,899.97","673,935.49","267,708.01","415,791.69","515,026.52","552,178.10","258,032.95","335,032.76","335,392.76","461,156.06","1,381,606.88","2,886,743.11","4,200,962.13","5,306,071.64","1,092,213.51","2,750,832.26","3,919,488.23","5,199,526.88","1,304,264.82","2,889,913.04","4,285,487.46","6,010,550.25","1,522,930.24","2,471,433.09","3,716,418.48","5,393,582.57","1,248,486.14","2,608,752.68","7,747,061.10","9,977,587.10","2,594,146.08","4,487,071.66","6,651,787.44","15,433,003.38","3,978,388.89","8,215,428.21","12,667,440.89","16,566,956.34","4,478,261.08","7,584,109.64","11,757,164.80","14,851,887.86","4,202,956.04"
营业外收入,"22,560.89","105,850.10","153,119.68","1,473,520.39","53,050.00","104,932.70","200,769.38","3,048,979.11","95,746.30","349,506.92","648,640.45","3,765,523.42","371,004.00","723,334.57","871,301.87","11,958,424.96","59,601.65","148,402.65","575,178.09","14,372,284.60","3,507,375.27","10,756,432.19","12,102,958.19","22,923,786.84","4,942,602.18","9,121,708.31","10,024,615.96","15,928,102.93","2,122,083.87","5,331,001.85","8,213,275.84","16,071,348.32","1,790,585.18","4,511,208.60","7,932,919.61","12,946,353.69","1,827,477.49","5,676,678.00","10,440,761.92","17,929,193.38","2,750,292.32","654,898.36","1,018,529.76","4,090,563.88","57,950.00","224,129.00","574,361.01","5,447,542.93","407,061.80"
销售费用,"10,206,063.74","18,302,757.49","31,357,666.46","44,932,045.72","12,775,160.80","26,941,031.78","41,464,382.73","58,191,785.96","11,997,778.31","27,185,351.77","37,340,189.81","55,952,590.97","12,224,732.89","24,503,943.16","39,153,656.80","55,652,731.77","15,482,067.83","31,001,165.37","48,935,624.18","68,067,204.99","14,240,925.70","29,430,047.66","46,906,083.52","64,741,143.93","17,550,770.86","30,942,628.31","45,811,297.51","62,239,544.48","12,443,242.10","30,120,634.79","49,551,424.08","74,877,214.36","19,280,621.95","35,698,402.08","55,581,309.53","81,114,652.07","18,328,323.54","38,560,207.70","60,492,885.84","89,421,679.44","18,483,120.69","37,262,740.17","60,893,489.68","88,295,461.40","18,106,106.71","40,657,265.29","65,260,315.91","98,728,156.15","25,442,760.78"
减:营业外支出,"38,765.70","111,077.10","329,444.49","1,734,793.49",,"404,680.34","1,726,226.43","1,862,249.35","1,550.00","195,157.62","210,157.62","2,970,690.52","4,205.14","4,505.14","14,237.64","304,025.94","6,633.59","106,633.59","107,217.09","764,435.80","6,006.03","578,866.63","611,219.00","654,550.02","63,019.43","141,802.82","151,802.82","2,043,718.04","788,078.04","985,812.85","992,517.42","2,184,835.10","297,989.27","352,041.95","386,616.85","1,095,786.83","817,561.59","1,428,568.63","2,380,113.83","3,467,607.44","53,953.87","74,478.89","224,558.89","297,350.19","20,150.73","32,641.57","517,691.65","723,065.84","32,136.10"
管理费用,"8,170,481.95","19,730,312.01","28,756,658.72","42,549,008.65","12,968,327.26","23,774,078.16","36,851,108.42","51,298,482.16","13,690,685.72","27,488,528.06","41,172,020.97","55,370,649.55","17,896,378.02","28,954,543.93","41,537,583.81","62,175,007.51","15,605,343.51","30,362,900.31","43,681,765.56","66,431,389.13","23,303,161.53","40,207,221.88","56,571,042.59","76,870,052.30","23,509,330.59","44,487,430.84","58,179,710.85","82,435,694.46","19,628,657.16","35,657,798.83","54,391,466.42","75,985,741.49","21,873,946.02","43,787,336.54","60,227,023.22","86,506,954.97","23,918,689.81","51,353,399.27","79,163,519.72","103,820,756.56","26,828,807.87","52,052,311.64","83,452,409.02","121,884,114.63","34,074,646.51","73,782,339.16","66,284,410.76","84,235,528.63","24,344,800.34"
其中:非流动资产处置净损失,"35,896.20","47,907.60","262,574.99",,,830.34,"1,322,376.43","169,282.40",,"25,690.12","25,690.12","2,758,058.62",,300.00,"2,032.50","176,440.16","6,633.59","6,633.59","7,217.09","595,685.79","6,006.03","475,934.63","498,287.00","541,618.02","23,019.43","101,723.44","101,723.44","1,993,638.66","46,153.84","46,153.84","51,333.72","507,560.91","258,162.80","303,630.02","336,320.01","900,105.18","804,029.77","1,277,188.81","2,208,358.70","3,068,002.31","46,999.65","47,520.63","132,550.14",,,,,,
