科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"69,842,211.12","160,139,212.85","235,213,626.83","299,914,032.24","99,006,381.82","174,544,582.02","251,481,712.52","330,834,045.00","78,118,801.09","164,958,481.47","237,750,249.30","335,629,504.72","105,391,161.56","158,715,708.34","297,854,121.22","440,142,397.47","72,466,125.85","210,989,216.32","331,750,201.32","490,458,840.14","69,290,133.17","154,188,095.14","236,173,264.95","482,572,286.05","126,619,047.41","287,485,845.18","496,106,423.27","664,007,512.64","130,692,713.34","329,462,640.66","501,127,577.36","697,117,758.76","88,619,748.72","262,573,177.23","423,171,526.71","729,016,245.84","160,242,098.47","362,562,374.30","556,783,631.82","807,865,620.95","267,086,219.11","531,181,890.81","791,332,165.29","1,196,945,042.08","253,104,446.33","540,311,561.02","883,709,631.55","1,375,109,332.52","395,042,190.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,778,849.96","19,778,849.96","19,778,849.96",,,,,,,,,"441,642,111.55","441,642,111.55","441,642,111.55","441,642,111.55",,,,,
收到的税费返还,,"13,467,011.70","19,164,217.38","19,164,217.38",,"7,318,959.71","13,248,030.39","13,248,030.39",,"8,287,826.97","14,376,647.62","14,376,647.62",,,,"2,400,000.00","500,000.00","700,000.00","1,400,000.00","1,481,759.44",,,,,,,,,,,,,,,,,,,"2,877,369.92","5,869,508.37",,"7,743,118.99","7,743,118.99","20,577,217.38",,"3,615,935.60","7,132,437.76","10,109,493.66","3,527,637.18"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"1,173,931.26","1,651,891.53","1,651,891.53",,,,,"31,366,129.25","25,405,841.35","37,444,366.89","36,908,686.03","7,989,064.57",,,"11,544,445.35",,,,,"431,703.13",,"60,000.00","168,054,166.68","162,283,204.44",,"34,701,350.76","349,386,349.52","413,867,706.91","38,078,931.18","183,434,103.62","1,211,992,288.49","1,268,902,080.19","373,998,143.51","112,137,171.91","28,517,143.44","72,064,635.07",
收到其他与经营活动有关的现金,"2,474,425.98","4,742,459.69","6,847,607.31","12,021,969.26","4,036,292.86","7,594,391.59","9,426,049.15","14,823,388.81","2,867,936.01","3,484,037.23","11,269,646.27","38,670,091.71","1,954,449.25","13,752,370.73","32,319,246.06","17,263,036.55","4,634,997.07","6,974,160.39","14,331,732.56","32,874,778.96","2,076,442.48","36,998,350.42","51,231,074.28","61,326,557.65","5,525,841.04","9,672,581.38","29,940,094.59","37,082,379.32","4,303,271.78","7,982,565.32","12,132,842.58","17,604,324.33","13,590,801.70","16,839,870.75","31,917,627.07","41,398,705.21","5,985,832.87","28,603,518.54","85,212,643.78","82,154,156.70","26,129,735.75","29,018,417.04","51,537,272.77","94,087,859.88","11,026,795.06","18,831,657.85","29,022,299.11","80,889,189.32","40,117,763.60"
投资活动现金流出小计,"35,477,289.83","59,387,559.08","93,524,305.50","172,619,962.13","20,272,863.38","49,756,174.78","60,575,914.84","94,201,170.70","6,041,551.68","25,700,045.45","44,015,624.58","140,602,968.95","25,157,199.94","57,958,288.83","88,273,780.07","144,477,024.38","14,545,798.60","24,986,479.12","93,562,156.44","153,512,710.16","43,887,393.35","82,721,776.61","115,221,366.31","111,057,260.25","11,426,188.06","51,600,306.34","95,308,932.02","90,010,522.54","5,313,823.77","32,674,851.76","51,393,834.59","431,828,579.54","434,377,278.84","616,203,258.68","1,260,611,735.80","1,639,878,600.07","337,518,673.03","1,938,923,286.02","3,828,399,614.79","4,827,409,288.59","1,787,273,722.29","3,966,630,104.22","7,682,458,073.56","10,159,724,080.04","2,417,721,818.29","4,393,499,047.82","6,780,918,461.67","8,322,888,093.46","375,035,778.58"
经营活动现金流入小计,"72,316,637.10","178,348,684.24","261,225,451.52","331,100,218.88","103,042,674.68","189,457,933.32","274,155,792.06","358,905,464.20","80,986,737.10","176,730,345.67","263,396,543.19","388,676,244.05","107,345,610.81","172,468,079.07","330,173,367.28","459,805,434.02","77,601,122.92","218,663,376.71","347,481,933.88","524,815,378.54","71,366,575.65","191,186,445.56","287,404,339.23","543,898,843.70","132,144,888.45","297,158,426.56","526,046,517.86","701,089,891.96","134,995,985.12","337,445,205.98","513,260,419.94","714,722,083.09","102,210,550.42","279,413,047.98","455,089,153.78","770,414,951.05","166,227,931.34","391,165,892.84","644,873,645.52","895,889,286.02","293,215,954.86","567,943,426.84","850,612,557.05","1,311,610,119.34","264,131,241.39","562,759,154.47","919,864,368.42","1,466,108,015.50","438,687,591.01"
投资活动产生的现金流量净额,"-35,477,289.83","-59,234,559.08","-93,371,305.50","-172,466,962.13","-20,254,863.38","-49,736,174.78","-60,550,129.68","-93,541,485.54","-5,963,296.16","-25,621,589.93","-43,937,169.06","-140,596,268.95","-25,139,199.94","-57,933,988.83","-88,244,480.07","-144,470,724.38","-14,545,798.60","-24,986,479.12","-93,364,296.33","-153,183,081.05","-43,868,093.35","-65,890,719.72","-98,610,843.72","-108,249,087.62","-9,848,019.88","-49,936,284.54","-82,563,317.90","-86,512,021.22","-4,772,041.36","-31,826,881.31","-50,216,142.26","-430,305,563.83","-22,125,289.95","-61,268,002.39","-239,399,090.16","-267,439,771.64","2,507,810.92","-970,524,288.37","-1,141,045,796.88","-1,077,268,500.46","-142,256,593.68","-512,083,944.51","-1,438,176,929.33","-1,231,142,361.37","-576,812,456.69","21,172,819.82","-162,240,716.44","-71,631,856.54","115,824,459.93"
购买商品、接受劳务支付的现金,"42,956,671.40","75,893,236.97","97,221,851.80","154,224,479.61","41,495,023.31","66,035,386.45","88,229,267.53","122,349,122.31","10,878,971.00","23,460,971.43","59,165,407.28","108,214,743.29","34,122,602.54","68,978,436.02","153,218,261.37","242,593,606.35","63,674,108.13","145,776,570.62","195,722,471.68","241,169,019.25","26,743,459.04","51,177,057.40","105,956,599.92","161,250,987.65","36,459,360.08","70,184,318.78","140,905,362.24","364,647,888.52","78,683,654.27","151,103,008.99","274,588,366.26","303,668,956.93","212,297,590.68","236,028,579.64","388,696,798.64","483,123,718.84","69,560,702.88","149,228,919.75","246,872,431.33","376,337,680.04","124,070,517.85","256,155,850.29","431,921,513.99","596,166,811.50","149,120,039.08","263,994,486.93","440,953,901.27","558,365,641.97","123,752,122.57"
吸收投资收到的现金,,"200,000,000.00","200,000,000.00",,,,,,,,,,,,,,,,,,"58,492,386.03","58,953,000.00","58,953,000.00","58,653,000.00",,,,,,,,"981,169,993.30",,,"73,999,500.00","73,999,500.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"8,581,974.71","14,878,957.70","21,831,427.45","29,694,687.36","8,097,839.55","15,970,994.41","24,061,979.47","31,567,490.93","9,030,940.30","17,258,606.77","25,701,100.39","32,702,320.27","12,557,451.17","25,752,005.14","40,105,193.61","51,368,431.10","17,271,410.98","33,114,356.05","51,249,796.96","69,311,122.78","18,695,169.13","36,548,269.05","57,195,144.30","80,945,518.05","24,206,281.69","48,177,530.00","73,798,717.50","101,565,475.78","31,389,918.95","64,974,738.10","100,034,737.93","137,060,240.03","37,717,571.02","75,206,580.62","111,840,855.34","146,186,223.27","33,909,029.21","70,136,032.21","106,915,875.87","142,706,382.02","46,393,410.06","96,199,190.54","147,989,629.70","196,385,080.01","53,029,422.02","108,849,563.63","167,977,744.38","223,029,674.72","64,305,774.34"
取得借款收到的现金,"65,700,000.00","190,300,000.00","315,500,000.00","459,100,000.00","89,800,000.00","162,400,000.00","260,500,000.00","439,105,529.82","138,500,000.00","371,329,496.39","526,329,496.39","651,329,496.39","290,000,000.00","504,674,059.31","716,647,189.97","799,630,000.00","357,924,210.10","580,761,356.39","741,011,733.10","1,222,823,260.00","287,276,918.07","497,324,944.11","621,265,726.71","927,200,000.00","270,000,000.00","393,000,000.00","591,000,000.00","676,000,000.00","489,000,000.00","772,476,000.00","1,096,060,800.00","1,357,039,800.00","50,000,000.00","572,920,332.70","912,348,952.31","1,055,765,459.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","408,217,600.00","638,217,600.00","1,295,217,600.00","1,970,217,600.00","505,000,000.00","868,655,210.00","1,191,166,400.00","1,705,344,202.60","683,201,097.50"
支付的各项税费,"9,620,161.49","20,505,826.84","28,661,219.32","39,150,236.05","14,496,939.25","25,026,106.92","32,266,216.11","49,178,996.22","10,944,596.88","19,494,670.66","32,156,709.57","52,060,659.48","8,925,889.57","15,790,088.59","20,829,848.84","51,167,070.34","9,129,561.69","16,106,124.24","31,273,676.17","58,027,574.39","13,989,636.48","23,086,150.71","40,293,797.78","60,570,015.78","7,790,140.22","30,070,797.07","46,834,201.61","74,131,169.79","10,571,042.73","36,192,197.13","60,253,974.11","85,690,590.13","22,040,377.93","39,419,694.86","60,766,656.47","107,202,219.81","12,344,481.24","27,867,074.71","40,064,657.62","63,653,523.85","14,885,270.30","29,780,407.84","50,621,007.14","78,852,500.16","25,327,433.23","48,718,490.70","73,375,727.53","125,184,499.37","39,842,308.26"
收到其他与筹资活动有关的现金,"193,180,000.00",,,,,,,"263,913.52","320,965.92","24,793.12","24,793.12","24,793.12",,,,"8,923,252.00",,"3,831,451.97","15,912,920.79","2,475,169.47",,"1,231,360.00","1,731,360.00","2,711,918.44","352,344.07","364,294.08","1,140,100.50","76,305,425.08","19,590,291.66","22,067,070.66","22,735,635.06","86,030,666.67","11,408,335.69","16,920,910.91","42,343,219.73","31,857,020.75","15,284.59","22,994,400.46","43,676,108.24","26,764,144.16","1,243,728.25","74,886,659.10","386,905,237.60","336,827,520.41","1,106,367.47","2,006,128.37","98,108,596.99","98,252,860.89","46,138,590.23"
支付其他与经营活动有关的现金,"4,949,428.11","17,205,616.19","23,447,331.15","30,276,668.41","10,376,055.55","16,689,786.08","29,215,302.97","33,266,902.70","7,804,502.65","17,085,671.49","29,457,093.32","38,551,669.21","12,772,312.00","40,119,144.75","59,165,008.38","35,568,110.05","10,343,516.45","19,821,729.62","45,735,619.55","38,953,889.72","7,207,378.81","43,193,632.65","51,870,406.32","52,847,947.81","9,791,536.82","25,836,614.59","30,196,628.84","29,010,826.68","8,806,233.67","17,981,749.41","30,452,154.09","29,786,242.35","15,145,910.76","27,637,331.37","40,732,937.24","45,772,781.56","14,664,150.26","26,650,530.97","50,504,671.49","72,293,849.01","24,061,584.06","44,558,766.03","66,244,108.68","81,290,207.75","21,493,578.27","50,357,791.58","77,528,519.12","110,202,649.10","28,920,912.47"
筹资活动现金流入小计,"258,880,000.00","390,300,000.00","515,500,000.00","659,100,000.00","89,800,000.00","162,400,000.00","260,500,000.00","439,369,443.34","138,820,965.92","371,354,289.51","526,354,289.51","651,354,289.51","290,000,000.00","504,674,059.31","716,647,189.97","808,553,252.00","357,924,210.10","584,592,808.36","1,096,639,653.89","1,225,298,429.47","345,769,304.10","557,509,304.11","681,950,086.71","988,564,918.44","270,352,344.07","393,364,294.08","592,140,100.50","752,305,425.08","508,590,291.66","794,543,070.66","1,118,796,435.06","2,424,240,459.97","61,408,335.69","589,841,243.61","1,028,691,672.04","1,161,621,979.75","1,210,015,284.59","1,232,994,400.46","1,253,676,108.24","1,236,764,144.16","409,461,328.25","713,104,259.10","1,682,122,837.60","2,307,045,120.41","506,106,367.47","870,661,338.37","1,289,274,996.99","1,803,597,063.49","1,029,339,687.73"
经营活动现金流出小计,"66,108,235.71","128,483,637.70","171,161,829.72","253,346,071.43","74,465,857.66","123,722,273.86","173,772,766.08","236,362,512.16","38,659,010.83","77,299,920.35","146,480,310.56","231,529,392.25","68,378,255.28","150,639,674.50","273,318,312.20","380,697,217.84","100,418,597.25","214,818,780.53","323,981,564.36","407,461,606.14","66,635,643.46","154,005,109.81","255,315,948.32","355,614,469.29","78,247,318.81","174,269,260.44","291,734,910.19","569,355,360.77","129,450,849.62","270,251,693.63","465,329,232.39","556,206,029.44","287,201,450.39","378,292,186.49","602,037,247.69","782,284,943.48","130,478,363.59","273,882,557.64","444,357,636.31","654,991,434.92","209,410,782.27","426,694,214.70","696,776,259.51","952,694,599.42","248,970,472.60","471,920,332.84","759,835,892.30","1,016,782,465.16","256,821,117.64"
偿还债务支付的现金,"60,800,000.00","178,800,000.00","279,800,000.00","413,900,000.00","59,800,000.00","217,400,000.00","269,000,000.00","458,004,037.89",,"279,100,000.00","453,100,000.00","628,100,000.00","180,500,000.00","252,068,564.86","422,568,564.86","573,858,680.68","198,900,000.00","510,719,600.00","566,576,357.70","640,000,000.00","275,883,150.00","697,820,698.00","812,540,698.00","974,700,000.00","285,299,887.50","462,299,887.50","685,523,699.31","765,523,699.31","253,200,872.50","588,821,293.52","798,821,280.34","1,475,379,840.94","110,000,000.00","361,350,000.00","441,350,000.00","645,350,000.00","921,914,820.00","953,668,880.00","980,540,650.00","985,803,451.72",,"4,967,835.03","129,954,820.03","933,355,461.87","206,955,302.10","844,868,581.93","1,227,870,208.73","1,595,503,974.39","1,806,288,484.62"
经营活动产生的现金流量净额,"6,208,401.39","49,865,046.54","90,063,621.80","77,754,147.45","28,576,817.02","65,735,659.46","100,383,025.98","122,542,952.04","42,327,726.27","99,430,425.32","116,916,232.63","157,146,851.80","38,967,355.53","21,828,404.57","56,855,055.08","79,108,216.18","-22,817,474.33","3,844,596.18","23,500,369.52","117,353,772.40","4,730,932.19","37,181,335.75","32,088,390.91","188,284,374.41","53,897,569.64","122,889,166.12","234,311,607.67","131,734,531.19","5,545,135.50","67,193,512.35","47,931,187.55","158,516,053.65","-184,990,899.97","-98,879,138.51","-146,948,093.91","-11,869,992.43","35,749,567.75","117,283,335.20","200,516,009.21","240,897,851.10","83,805,172.59","141,249,212.14","153,836,297.54","358,915,519.92","15,160,768.79","90,838,821.63","160,028,476.12","449,325,550.34","181,866,473.37"
分配股利、利润或偿还利息支付的现金,"4,214,427.50","8,788,089.99","13,932,760.73","19,053,196.87","6,275,335.07","15,414,498.00","43,843,188.27","49,828,308.49","7,714,328.25","32,163,437.44","37,945,533.95","43,808,465.79","4,475,956.38","29,765,671.44","37,555,761.02","50,641,588.26","9,477,590.12","36,444,544.19","47,897,908.82","53,865,505.46","13,476,430.49","26,932,240.36","45,582,240.95","57,085,970.90","11,290,080.62","22,899,175.47","61,646,871.26","56,597,481.55","13,683,330.81","50,912,212.46","67,538,394.65","73,155,680.13","9,088,393.67","45,906,935.90","58,326,583.09","55,488,705.29","8,305,661.40","82,271,003.32","82,653,806.20","84,221,947.04","64,980,392.31","82,245,769.49","90,250,659.09","100,322,656.17","73,945,959.96","88,297,516.84","101,838,904.24","142,308,642.13","81,872,339.37"
收回投资收到的现金,,,,,"18,000.00",,,"538,000.00",,,,,,,,,,,,,,,,"688,788.94",,,,,,,,,"410,000,000.00","551,000,000.00","1,003,660,000.00","1,351,410,000.00","287,890,000.00","955,740,000.00","2,660,870,000.00","3,620,610,000.00","1,448,610,000.00","3,440,800,700.00","6,222,209,700.00","8,900,786,700.00","1,836,973,000.00","4,141,610,000.00","6,427,514,900.00","8,076,402,000.00","386,331,000.00"
