科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"152,517,768.28","362,675,877.33","518,703,389.24","723,645,130.05","161,892,032.84","391,828,964.52","567,396,159.15","724,982,813.75","97,879,648.91","252,400,673.40","435,734,518.23","653,774,294.34","193,539,630.41","413,836,414.56","649,898,804.21","973,218,557.26","309,225,607.81","694,845,123.58","1,104,359,366.31","1,509,846,148.37","297,787,134.20","668,505,739.33","1,078,575,463.81","1,553,934,695.39","354,612,549.67","862,167,168.65","1,387,945,050.01","2,070,039,314.32","497,541,631.16","1,201,643,929.42","1,892,601,977.77","2,634,867,552.08","750,212,726.17","1,651,649,112.87","2,457,550,801.40","3,037,786,771.55","892,902,016.46","1,989,294,263.42","3,180,595,721.86","4,583,529,186.58","1,169,430,670.26","2,410,014,101.36","3,816,709,719.46","5,851,032,309.31","1,704,064,325.81","3,634,510,274.09"
二、营业利润,"7,109,712.44","21,624,325.29","38,775,189.36","51,505,921.91","7,660,711.06","21,305,352.65","26,254,401.41","33,021,681.20","1,763,530.69","11,967,001.84","26,656,994.70","39,149,351.50","8,057,588.74","15,645,937.75","42,093,950.20","78,036,029.17","24,123,334.03","49,829,848.36","99,369,987.43","140,581,702.12","23,334,943.93","44,495,330.07","89,020,186.74","110,775,695.46","20,263,512.57","50,722,866.77","97,991,116.51","128,656,087.42","22,183,767.25","61,307,433.30","110,610,202.24","92,618,340.45","23,005,776.12","57,005,509.82","95,913,793.08","58,321,425.09","8,728,043.79","16,529,173.66","17,075,786.39","-60,925,024.27","25,901,372.95","40,425,651.39","71,409,971.95","148,331,065.28","31,449,321.76","52,223,577.51"
减:营业成本,"134,898,278.12","318,652,297.03","445,532,956.23","617,376,877.00","137,050,413.11","334,276,114.79","486,395,835.14","617,394,720.46","80,798,413.40","206,039,532.06","355,687,195.44","531,908,878.37","165,727,128.31","352,904,006.24","538,636,003.03","790,062,904.55","255,260,257.33","575,541,930.78","899,631,890.51","1,220,315,056.84","237,473,049.25","547,008,886.44","874,825,296.32","1,268,518,011.92","276,778,116.61","697,355,930.49","1,111,309,028.06","1,653,722,150.73","402,517,339.37","975,521,152.52","1,526,457,591.50","2,134,893,270.69","638,825,499.08","1,399,082,133.74","2,060,712,855.35","2,491,200,322.95","722,298,587.75","1,635,755,917.26","2,625,389,456.83","3,874,901,211.98","991,671,146.24","2,060,406,367.53","3,256,684,553.45","4,987,875,026.07","1,466,438,935.76","3,131,938,338.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"138,710.72","497,848.16","601,862.26","853,053.96","308,925.02","809,136.40","1,146,928.24","1,610,148.18","110,306.99","797,539.48","1,413,622.19","1,905,329.57","537,572.95","879,011.10","1,188,181.77","1,603,174.52","667,747.44","1,682,404.83","3,569,011.28","5,791,386.66","1,289,718.98","3,052,878.22","4,862,676.83","7,951,666.81","1,104,383.10","4,728,713.93","7,116,920.03","9,744,434.20","1,602,061.52","5,139,678.80","8,140,148.89","11,760,320.96","2,164,723.70","4,782,113.35","9,043,994.70","14,681,358.53","2,769,922.81","6,769,033.84","11,722,827.52","24,591,134.28","5,046,857.81","11,004,274.21","17,491,622.63","32,731,627.72","6,619,380.66","18,486,188.61"
营业外收入,"346,893.24","893,724.35","2,015,355.18","4,465,945.45","965,832.31","2,140,137.49","4,096,474.55","5,949,265.50","462,458.73","1,182,267.23","2,705,008.17","4,873,545.01","705,199.19","1,094,630.31","1,241,184.18","2,670,050.78","1,899,918.08","3,308,085.48","3,393,387.75","5,317,583.78","1,215,453.94","3,078,871.60","3,799,824.52","13,900,987.52","4,795,847.39","11,064,056.15","12,856,334.14","18,566,201.32","651,499.79","3,673,294.52","7,891,456.16","11,777,870.35","2,239,441.49","4,021,095.04","9,026,625.98","11,664,904.72","3,154,618.61","20,282,762.27","32,455,091.17","57,338,769.95","7,354,289.44","46,843,504.89","54,505,684.53","13,238,297.73","4,292,212.39","4,189,332.57"
销售费用,"2,845,083.30","6,017,376.39","8,934,106.54","12,891,558.18","3,064,893.98","6,452,941.10","9,527,559.61","13,827,185.66","2,759,216.25","5,718,992.10","9,162,135.37","13,432,300.80","3,873,340.22","8,405,889.67","12,496,079.20","18,445,670.78","5,926,448.28","13,450,795.99","21,044,307.14","28,955,696.11","8,768,538.28","15,668,931.79","24,531,864.13","34,086,897.17","17,824,658.27","26,040,595.47","42,262,311.38","82,519,695.00","20,428,285.39","42,708,770.31","64,408,080.55","101,094,856.40","23,474,552.09","43,253,687.14","69,777,160.33","114,739,851.45","37,622,946.81","63,829,438.62","116,191,536.58","176,078,827.00","31,319,219.89","68,193,591.12","104,325,266.63","147,194,211.77","41,014,369.52","84,956,480.94"
减:营业外支出,"109,197.04","274,807.17","408,083.48","648,446.86","471,549.18","1,159,947.20","1,975,702.20","1,764,117.29","762,181.15","949,305.62","1,194,096.04","1,443,761.25","404,437.90","984,332.17","1,474,596.94","2,912,748.65","184,274.79","356,928.59","646,106.29","1,615,247.98","209,670.64","757,793.07","1,211,574.21","1,952,244.88","401,230.58","867,192.15","2,351,788.84","4,124,174.91","481,643.11","2,508,398.97","3,795,858.61","11,028,083.83","908,233.31","1,585,282.99","2,276,734.88","4,387,494.93","1,917,016.21","1,764,065.97","2,516,317.93","7,077,717.31","1,530,301.66","4,270,837.73","7,512,331.45","10,577,051.77","562,509.61","2,140,036.46"
管理费用,"7,318,015.86","15,404,757.38","23,436,075.90","33,735,231.02","10,450,064.81","20,221,734.85","31,084,179.83","42,750,037.70","9,803,192.15","22,162,524.03","34,520,562.55","54,400,580.80","11,401,679.87","26,756,026.77","40,529,247.70","58,814,085.69","16,814,366.73","41,037,778.28","61,411,086.14","88,186,244.95","24,472,660.49","49,617,055.02","72,875,984.74","108,802,467.10","32,081,815.99","64,951,197.69","101,954,390.84","150,538,274.94","41,791,240.92","91,491,763.51","141,677,858.09","214,483,829.96","52,224,913.79","115,242,808.38","165,927,980.43","268,407,214.61","99,978,029.29","225,212,474.08","327,027,999.45","441,687,750.16","109,592,473.27","230,578,875.68","339,707,524.35","532,723,868.03","129,269,062.69","295,232,958.35"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,"446,394.26","-214,223.65",,,,"-41,112.92","772,671.91","67,294.67","1,788,327.01",,,,,,,,"913,012.29",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"154,253.96","874,146.93","2,416,996.29","5,533,560.56","3,827,158.69","7,739,856.87","12,798,529.96","14,731,039.04","3,008,654.52","5,887,354.08","8,104,364.81","10,652,214.88","4,281,327.76","8,596,912.85","14,076,680.61","22,351,980.49","5,936,983.19","11,195,910.85","17,139,512.15","22,969,737.65","3,404,601.34","8,133,444.11","12,015,394.34","19,388,007.68","8,414,478.49","18,121,980.87","26,335,116.40","39,637,878.89","10,949,878.16","23,776,622.21","40,179,860.17","71,096,250.11","12,976,781.31","28,389,053.04","46,127,253.08","73,262,412.08","17,993,628.07","40,555,457.76","68,997,596.57","104,291,311.41","24,292,759.10","34,206,132.74","70,555,393.32","118,721,535.46","38,446,954.24","91,788,936.03"
三、利润总额,"7,347,408.64","22,243,242.47","40,382,461.06","55,323,420.50","8,154,994.19","22,285,542.94","28,375,173.76","37,206,829.41","1,463,808.27","12,199,963.45","28,167,906.83","42,579,135.26","8,358,350.03","15,756,235.89","41,860,537.44","77,793,331.30","25,838,977.32","52,781,005.25","102,117,268.89","144,284,037.92","24,340,727.23","46,816,408.60","91,608,437.05","122,724,438.10","24,658,129.38","60,919,730.77","108,495,661.81","143,098,113.83","22,353,623.93","62,472,328.85","114,705,799.79","93,368,126.97","24,336,984.30","59,441,321.87","102,663,684.18","65,598,834.88","9,965,646.19","35,047,869.96","47,014,559.63","-10,663,971.63","31,725,360.73","82,998,318.55","118,403,325.03","150,992,311.24","35,179,024.54","54,272,873.62"
资产减值损失,"53,713.88","-394,873.85","-993,797.34","1,748,927.42","-470,133.83","1,023,827.86","188,724.96","1,648,001.51","-363,665.09","-172,270.19","189,643.17","2,325,638.42","-339,007.44","648,630.18","878,661.70","4,122,996.31","496,470.81","2,106,454.49","2,193,571.66","3,046,324.04","-656,378.07","529,213.68","444,060.71","4,411,949.25","-1,854,415.36","245,883.43","976,166.79","3,942,118.33","-1,930,941.45","969,851.38","860,412.26","5,664,536.69","-723,129.63","4,984,675.89","9,712,482.49","14,452,400.78","-2,629,100.06","654,294.45","11,714,760.37","27,395,352.71","4,840,027.43","7,290,423.54","5,279,838.46","20,586,295.93","2,288,866.52","6,479,617.46"
减:所得税,"1,285,515.22","3,304,196.49","5,759,486.11","7,474,034.62","1,599,916.62","4,245,345.04","5,350,932.34","5,696,250.97","1,372,257.29","4,705,220.69","9,024,014.30","11,970,749.53","2,442,011.11","5,147,377.06","11,385,815.55","18,642,447.92","5,270,399.28","10,588,087.51","19,326,286.72","23,688,632.37","3,570,402.44","2,214,047.57","9,240,535.12","17,226,753.55","4,642,295.35","7,980,434.41","12,766,714.84","20,297,177.57","2,220,793.77","8,281,493.28","14,494,779.34","5,571,670.25","1,712,203.49","5,719,879.92","7,706,817.34","4,794,843.98","672,416.34","-4,586,124.20","-3,648,232.82","2,783,310.62","8,223,730.10","13,725,515.14","23,681,660.20","3,036,952.47","8,129,054.79","421,299.75"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,990,104.27","-5,026,442.74","-3,323.91","-619,446.72","3,570,261.51","-1,966,540.62","-12,268,327.05","-6,837,554.47","-8,233,670.18","-2,937,086.29","4,617,769.86"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,"218,284.25",,,,,,,,,,,,"-1,278,674.81",,"-728,657.39","-267,824.07","-3,256,146.82","1,736,390.29","1,090,868.49","-335,281.94","-4,711,890.33","-1,113,515.26","14,850.16","-1,856,311.43","921,115.18","25,199,727.05","53,109,471.64","50,449,264.41","82,975,093.06","12,427,786.62","33,375,969.91"
四、净利润,"6,061,893.42","18,939,045.98","34,622,974.95","47,849,385.88","6,555,077.57","18,040,197.90","23,024,241.42","31,510,578.44","91,550.98","7,494,742.76","19,143,892.53","30,608,385.73","5,916,338.92","10,608,858.83","30,474,721.89","59,150,883.38","20,568,578.04","42,192,917.74","82,790,982.17","120,595,405.55","20,770,324.79","44,602,361.03","82,367,901.93","105,497,684.55","20,015,834.03","52,939,296.36","95,728,946.97","122,800,936.26","20,132,830.16","54,190,835.57","100,211,020.45","87,796,456.72","22,624,780.81","53,721,441.95","94,956,866.84","60,803,990.90","9,293,229.85","39,633,994.16","50,662,792.45","-13,447,282.25","23,501,630.63","69,272,803.41","94,721,664.83","147,955,358.77","27,049,969.75","53,851,573.87"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,278,674.81",,,,"-3,256,146.82",,,,"-4,711,890.33","-1,113,515.26",,,"908,678.11",,"30,603,422.11","36,475,195.88","30,086,020.46","12,423,376.04","30,852,357.31"
归属于母公司所有者的净利润,"4,723,148.31","13,473,665.52","25,361,743.19","36,014,643.50","4,725,723.92","13,693,062.00","18,212,979.60","26,475,104.77","836,258.57","7,603,309.99","18,638,093.81","31,603,677.41","6,181,172.11","11,657,958.56","31,762,167.70","60,508,850.08","20,065,408.86","40,315,266.67","78,823,422.07","116,482,245.23","20,263,822.37","43,727,173.36","79,386,931.26","102,082,255.12","19,807,041.30","52,505,089.53","95,094,496.07","122,730,586.97","19,930,023.37","52,584,559.84","95,198,739.39","98,614,072.77","23,945,261.33","52,815,675.75","95,263,685.32","85,183,653.37","21,778,156.40","53,287,987.13","76,496,622.64","38,675,585.13","31,980,291.39","91,640,328.16","122,584,078.20","174,755,807.96","32,988,504.41","52,453,815.34"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,338,745.11","5,465,380.46","9,261,231.76","11,834,742.38","1,829,353.65","4,347,135.90","4,811,261.82","5,035,473.67","-744,707.59","-108,567.23","505,798.72","-995,291.68","-264,833.19","-1,049,099.73","-1,287,445.81","-1,357,966.70","503,169.18","1,877,651.07","3,967,560.10","4,113,160.32","506,502.42","875,187.67","2,980,970.67","3,415,429.43","208,792.73","434,206.83","634,450.90","70,349.29","202,806.79","1,606,275.73","5,012,281.06","-10,817,616.05","-1,320,480.52","905,766.20","-306,818.48","-24,379,662.47","-12,484,926.55","-13,653,992.97","-25,833,830.19","-52,122,867.38","-8,478,660.76","-22,367,524.75","-27,862,413.37","-26,800,449.19","-5,938,534.66","1,397,758.53"
