科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"381,513,255.20","278,894,300.82","272,046,577.12","410,459,484.24","432,643,587.98","275,352,823.25","329,510,995.89","369,569,504.30","330,542,868.89","228,259,646.73","301,527,494.51","274,342,964.65","259,763,046.19","282,326,651.39","257,064,340.04","242,722,651.77","217,953,626.66","192,874,344.96","195,383,019.14","170,602,079.92","232,556,881.47","182,665,055.39","216,684,207.70","295,331,613.46","95,498,159.78","118,574,218.34","94,470,916.66","395,141,542.26","370,254,295.02","457,541,405.75","343,820,146.09","490,862,204.20","259,147,980.69","451,972,692.28","371,103,421.00","446,762,109.53","333,940,425.65","252,583,352.26","412,684,682.77","348,805,323.80","402,184,508.29","542,141,444.59","708,486,172.70","675,542,297.11","442,262,042.05"
短期借款,"40,000,000.00","120,000,000.00","60,000,000.00","65,000,000.00","125,000,000.00","125,000,000.00","125,000,000.00","125,000,000.00","125,000,000.00","75,000,000.00","75,000,000.00","90,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","50,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","22,000,000.00","33,800,000.00","83,900,000.00","40,000,000.00","110,000,000.00","60,000,000.00","115,000,000.00","118,185,000.00","105,000,000.00","105,000,000.00","183,000,000.00","220,000,000.00","85,000,000.00","85,000,000.00","60,000,000.00","60,000,000.00","280,000,000.00","530,000,000.00","510,000,000.00","510,000,000.00","860,000,000.00","860,000,000.00","880,000,000.00","1,093,120,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450,000.00","5,188,977.20","5,700,000.00","1,000,000.00","1,850,000.00","8,598,461.85","7,758,461.85","12,100,000.00","10,283,472.00","5,433,472.00","4,133,472.00","1,700,000.00","2,000,000.00","1,000,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,041,650.00","4,301,650.00","7,905,510.00","7,905,510.00","3,525,370.00","3,525,370.00","4,308,720.00","4,654,829.00","9,716,920.00","9,764,870.00","2,006,620.00","1,267,070.00","1,267,070.00","1,267,070.00","1,266,790.00","3,566,790.00","2,300,000.00",
应收账款,"1,397,715.28","729,831.95","729,831.95","2,950,625.56","3,413,100.48","1,262,154.48","1,429,101.14","413,169.56","591,294.56","598,702.79","742,713.28","258,674.69","576,679.98","515,496.73","229,822.94","201,120.00","509,581.75","517,667.67","516,414.68","2,267,785.78","2,589,336.56","2,267,854.26","18,036,729.05","13,719,217.58","13,378,437.58","22,141,964.22","29,536,151.64","41,493,334.47","45,278,055.24","49,262,338.46","76,921,648.95","433,356,440.79","358,983,638.16","358,275,518.89","354,767,624.94","422,161,589.90","390,259,690.05","302,109,504.98","300,475,034.87","394,542,533.33","377,738,680.33","363,558,279.56","347,147,132.49","400,034,060.36","321,929,334.15"
应付账款,"3,616,424.01","2,689,064.93","3,359,666.28","74,661,421.78","74,148,753.92","3,048,119.84","2,830,872.64","48,768,121.15","48,524,657.00","46,363,632.52","45,538,849.90","206,408,442.75","206,189,702.87","206,119,886.67","206,626,232.16","127,097,008.47","129,056,994.35","128,857,762.03","129,345,758.90","75,721,724.72","80,094,070.67","80,285,025.46","83,569,048.64","86,025,567.35","82,843,340.42","74,359,622.16","78,427,783.92","79,650,817.12","78,758,132.90","88,819,409.94","197,751,177.91","653,688,821.04","525,267,640.92","656,514,590.47","702,439,299.68","711,650,054.95","615,438,190.08","640,510,259.00","613,076,388.70","597,935,068.86","526,404,023.02","537,483,421.48","534,016,001.61","622,762,835.31","501,702,288.12"
预付款项,"13,820,974.40","14,576,951.24","14,547,018.91","2,115,176.29","5,545,736.73","3,945,102.56","16,433,028.81","6,620,604.10","11,132,887.32","9,289,970.25","9,912,482.97","6,377,542.41","6,076,611.56","3,104,179.30","3,127,269.19","4,203,960.88","5,365,242.60","7,422,407.78","9,034,901.94","10,444,310.13","15,684,512.34","17,892,752.04","12,678,083.13","11,196,330.39","10,627,949.51","16,859,770.36","24,362,234.49","51,941,269.54","63,587,850.24","71,755,392.96","49,292,564.32","45,825,302.60","43,986,151.17","38,348,685.29","45,685,349.49","30,525,472.36","49,908,393.13","28,711,301.70","31,771,877.85","27,970,850.29","29,941,558.32","34,633,133.02","70,951,869.36","37,365,772.73","47,731,255.98"
预收款项,"61,604,089.74","108,934,171.85","230,433,439.08","221,243,794.40","264,275,030.24","182,350,075.86","291,631,026.04","178,184,664.42","214,720,759.68","249,604,648.61","313,051,085.68","117,613,678.05","157,876,930.01","167,828,768.76","143,924,926.61","72,604,477.88","113,380,853.27","106,546,852.44","65,912,744.71","51,530,053.87","153,726,840.94","147,759,634.82","80,655,644.04","51,936,677.08","52,681,171.26","55,830,966.70","45,227,163.30","46,787,898.96","56,663,300.92","67,446,726.54","79,653,955.09","90,962,745.56","97,486,369.06","96,016,778.50","110,391,261.03","98,235,867.61","110,350,793.27","41,511,724.52","37,344,584.73","36,049,332.59","58,783,175.31","64,504,452.21","373,619,657.16","305,005,878.95","402,362,756.36"
