科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"332,396,642.49","707,950,791.12","1,064,191,065.90","1,433,510,728.24","263,140,391.42","539,711,156.40","823,571,209.94","1,015,677,181.86","192,590,795.46","514,863,684.73","854,964,833.93","1,195,881,538.81","418,588,687.94","825,287,713.04","1,183,964,171.53","1,627,850,608.97","399,800,219.55","697,622,680.83","1,052,676,762.25","1,414,125,413.81","343,993,343.47","764,188,301.40","1,224,717,753.06","1,727,313,773.90","487,901,931.36","1,138,384,397.72","1,792,904,095.85","2,372,442,215.00","537,771,859.14","1,186,800,913.61","1,746,003,000.08","2,361,537,482.91","518,789,499.73","1,219,273,255.47","1,889,867,806.28","2,547,361,902.85","579,990,057.64","1,224,485,978.92","1,957,732,516.87","2,844,228,368.43","977,315,378.22","1,845,869,744.76","3,034,370,577.41","4,149,684,213.89","999,901,651.17","2,204,992,558.09"
二、营业利润,"113,758,672.19","277,702,582.60","421,961,352.72","542,763,484.74","71,344,395.42","124,424,479.91","130,382,646.76","70,106,501.41","-29,138,762.49","845,898.20","58,817,020.72","105,834,962.31","84,655,660.97","203,353,609.62","273,510,305.84","358,170,611.38","84,828,352.88","108,146,010.74","89,850,812.23","46,497,299.32","-28,885,504.48","-35,885,595.14","-30,702,688.31","-22,658,179.19","19,311,776.89","83,797,996.01","187,430,907.49","300,719,395.72","107,130,877.72","244,510,008.91","351,703,697.90","464,978,414.14","109,203,307.16","219,438,547.00","297,664,450.55","307,628,819.99","29,308,075.25","-404,517,966.54","-348,971,194.78","-295,692,023.04","115,518,610.41","225,520,078.14","329,594,384.11","421,321,136.41","130,582,906.54","294,208,469.70"
减:营业成本,"201,633,868.32","390,543,333.68","583,212,533.04","794,620,957.28","174,200,666.51","377,770,616.60","636,148,215.97","831,991,292.25","207,197,355.95","482,247,783.86","734,014,626.05","966,940,731.07","298,142,151.20","547,105,604.03","799,301,655.75","1,102,515,063.40","279,075,142.01","513,643,747.96","851,293,598.14","1,200,937,952.87","334,944,326.03","709,005,856.71","1,115,992,728.88","1,554,711,596.32","415,808,138.02","945,152,333.15","1,428,831,006.84","1,827,992,181.50","368,885,876.83","815,774,443.87","1,203,961,319.00","1,614,235,687.98","344,919,222.49","847,081,891.54","1,342,947,391.20","1,874,778,158.76","472,531,755.33","1,020,476,378.77","1,623,600,360.44","2,345,616,262.68","779,943,975.27","1,447,442,389.07","2,429,350,400.38","3,292,087,035.99","764,788,186.29","1,674,552,249.29"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,313,915.54","4,949,547.14","6,021,619.50","9,024,280.99","2,084,558.38","4,168,091.24","5,286,301.40","6,867,267.44","1,137,887.06","2,038,470.69","3,069,500.53","5,705,538.89","2,548,780.67","5,790,199.89","7,151,728.44","10,101,758.80","2,795,372.57","3,228,519.26","3,242,882.66","3,450,442.27","130,743.71","120,053.42","1,100,805.02","3,117,325.58","1,964,082.85","7,580,809.11","11,876,295.29","14,847,694.67","3,037,031.46","8,747,841.03","12,176,010.64","17,448,937.39","2,728,931.90","8,254,358.21","12,213,090.84","15,605,508.74","1,596,508.24","4,435,715.16","6,431,602.01","19,607,268.03","3,285,091.88","10,047,805.54","16,844,955.61","23,143,654.79","1,920,417.98","9,507,658.41"
营业外收入,,"1,315,000.00","2,511,663.00","14,168,469.57",,"1,537,916.00","4,142,566.64","7,009,055.80","3,238,378.19","9,144,846.60","14,154,662.56","19,293,427.28","7,010,144.13","7,055,336.44","8,666,462.44","19,037,748.44","210,500.00","6,319,074.08","7,351,751.58","10,241,861.78","1,913,271.87","5,692,322.03","50,761,383.80","54,716,977.02","3,862,981.47","7,866,646.62","10,077,449.99","15,569,355.57","3,053,488.39","5,663,266.86","7,281,678.83","12,804,540.25","1,416,236.10","1,722,124.10","3,067,450.81","11,782,834.76","401,958.31","814,110.50","4,313,217.29","17,506,370.83","1,020,000.00","15,280.18","187,188.99","24,424,853.58","13,665.42","119,122.26"
销售费用,"2,532,887.25","8,223,288.60","11,213,666.18","19,082,803.69","4,083,558.01","8,913,893.59","12,921,276.27","20,266,819.25","3,941,041.01","8,292,722.88","15,050,532.20","24,187,822.21","5,589,435.51","11,104,486.61","16,645,400.78","25,864,136.34","4,947,000.97","9,602,055.50","15,484,116.16","22,435,710.74","6,966,823.99","11,792,186.64","18,811,035.80","26,287,860.28","8,209,776.18","14,842,791.87","20,933,520.93","32,741,340.55","7,896,170.48","13,612,315.41","23,353,239.91","36,776,197.28","6,298,937.84","15,224,972.27","29,408,319.32","57,334,803.32","14,836,097.74","36,596,876.69","53,022,504.48","88,608,910.12","22,537,465.48","42,155,803.49","58,723,445.66","82,715,128.78","17,886,676.67","40,295,570.77"
减:营业外支出,"1,020,000.00","1,050,000.00","1,944,396.35","2,144,396.35","1,500,000.00","1,500,000.00","1,520,000.00","1,033,935.83",,"5,316.80","1,025,316.80","1,510,536.00","32,082.66","561,115.44","2,061,115.44","5,885,544.21","422,244.04","722,271.68","-43,327.49","320,301.60","381,562.77","803,247.56","246,667.75","5,561,206.74","498,102.44","1,152,690.65","3,616,473.27","4,258,036.49","539,453.06","1,188,869.61","3,965,221.50","3,371,177.33","475,131.05","2,030,257.69","2,562,955.47","3,143,797.17","426,218.16","739,390.31","1,053,741.01","2,366,307.86","5,923.18","119,930.94","203,740.38","354,596.91","146,221.55","223,475.04"
管理费用,"10,999,002.41","20,991,206.01","33,605,016.29","55,475,610.27","13,231,431.73","30,050,183.50","45,196,536.81","77,002,360.86","12,611,203.34","28,642,959.69","47,779,897.81","76,840,083.43","25,273,796.74","51,450,297.62","79,715,782.19","122,709,524.71","27,637,319.94","50,190,555.87","74,578,441.15","110,132,253.32","29,421,896.73","63,738,538.72","94,022,216.57","135,134,889.64","34,626,931.85","72,180,842.03","124,107,782.17","174,957,922.68","39,887,994.65","80,983,467.52","128,507,401.01","207,694,628.69","46,706,169.58","104,337,330.39","166,333,373.31","233,232,419.20","45,192,790.53","95,969,230.26","155,208,815.05","211,390,760.19","52,824,554.10","106,766,215.27","173,896,330.56","263,332,680.29","64,199,699.60","154,400,862.37"
其中:非流动资产处置净损失,,,,,,,,,,,,"5,604.78",,,,"31,722.11",,,,"22,728.96",,"2,561.33",,"3,646.53",,"4,302.50",,"19,546.56",,"2,068.70",,"5,795.33","4,967.68","9,052.41","18,277.41","20,888.91","2,085.00","8,246.21","10,107.96","14,281.13","1,280.34","6,340.12","86,356.85",,,
