科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"433,735,585.02","628,650,956.78","582,395,663.15","520,223,653.28","568,074,601.59","410,983,076.71","205,525,422.75","25,174,238.90","23,409,366.07","20,702,154.47","20,550,688.06","32,976,051.39","32,476,752.13","27,667,850.53","22,563,192.29","2,139,670,930.21","2,926,728,519.46","2,450,152,363.39","1,167,498,827.37","1,137,225,713.43","1,279,754,808.62","967,300,558.89","754,158,591.92","678,493,543.82","446,250,746.31","438,719,040.53","381,206,648.07","436,449,770.26","365,395,014.82","446,758,823.09","473,571,363.66","330,612,386.96","471,394,743.65","317,848,534.73","418,154,802.98","689,129,947.11","433,952,797.81","290,624,368.32","265,093,105.42","310,926,278.52","378,327,012.61","523,794,100.29","541,749,295.30","420,484,608.52","249,347,685.09"
短期借款,"787,000,000.00","817,000,000.00","861,931,650.00","771,936,245.08","869,012,668.90","700,350,095.59","564,954,383.65","644,766,111.54","639,282,811.45","631,798,054.76","617,488,199.83","597,542,309.19","581,096,889.22","677,429,521.42","675,991,432.86","2,422,101,489.03","1,979,003,490.71","2,023,529,506.35","2,443,569,857.87","2,633,880,362.50","2,925,848,518.00","2,056,000,000.00","1,753,339,448.20","1,365,339,448.20","853,000,000.00","1,073,000,000.00","1,674,464,800.00","1,501,000,000.00","1,324,000,000.00","1,440,000,000.00","993,000,000.00","663,000,000.00","763,000,000.00","448,000,000.00","368,000,000.00","248,000,000.00","298,000,000.00","180,000,000.00","100,000,000.00","80,000,000.00",,,,"100,000,000.00",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,"1,227,989.24",,,,"1,528,330.01",,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"43,907,336.57","346,335,101.33","62,773,919.38","30,900,960.16","61,116,024.63","61,230,173.17","7,953,082.51","13,842,000.62","11,807,630.38","8,718,174.55","14,869,575.50","21,544,672.65","2,829,207.33","261,516,818.00","260,040,000.00","988,636,811.64","980,101,768.36","1,492,699,282.00","1,702,415,732.75","1,234,419,539.72","1,184,647,597.69","991,070,644.19","1,069,361,476.98","923,323,693.23","458,669,593.89","850,781,611.05","1,357,516,568.39","913,536,135.48","975,365,540.90","1,031,561,900.11","745,204,986.64","810,728,734.70","742,609,570.08","621,346,572.48","542,124,992.99","539,077,579.57","654,926,908.43","666,709,505.74","591,320,469.71","679,901,549.57","747,653,820.66","1,071,547,065.01","1,088,900,294.65","1,027,928,812.37","1,157,786,953.05"
应付票据,"318,000,000.00","322,185,621.10","295,000,000.00","723,814,378.90","690,000,000.00","461,000,000.00","311,000,000.00",,,,,,"75,915,632.39","76,334,100.99",,"1,586,559,166.04","2,530,748,139.50","2,437,518,205.22","1,282,167,038.77","761,819,314.40","685,120,752.38","755,120,752.38","467,506,500.00","150,000,000.00","400,000,000.00","440,000,000.00","100,000,000.00",,"192,000,000.00","312,000,000.00","312,190,144.07","370,440,144.07","298,250,000.00","367,145,557.00","516,139,290.49","390,811,587.53","300,000,000.00","178,987,029.22","168,967,029.22","334,250,433.63","432,000,000.00","449,580,000.00","620,107,476.07","531,063,701.56","454,350,000.00"
应收账款,"364,270,499.38","213,956,667.93","388,622,719.38","307,224,930.99","367,681,996.91","291,147,491.17","253,587,149.71","123,223,564.15","99,962,787.05","85,241,094.36","59,761,826.79","24,582,166.18","21,972,336.04","16,321,575.16","15,282,922.36","42,159,024.34","50,361,321.80","53,881,690.20","51,981,373.41","41,262,690.54","39,381,533.27","74,447,872.74","53,115,289.57","63,891,850.01","66,999,925.35","60,474,944.70","38,884,422.58","53,260,849.89","125,442,001.84","119,591,536.13","68,934,398.31","121,459,899.76","47,411,860.17","159,429,579.34","71,315,841.02","120,937,170.18","21,271,755.78","26,844,840.50","55,978,720.07","40,612,152.87","64,970,762.48","73,964,510.64","22,585,178.82","61,163,336.94","41,603,945.26"
应付账款,"288,559,898.14","493,824,722.32","407,492,843.95","250,904,673.55","220,362,082.46","201,568,803.17","104,643,915.94","85,444,877.21","83,455,048.75","83,224,733.04","81,148,343.04","80,139,733.37","14,115,880.46","13,846,131.44","74,674,393.85","1,518,930,071.50","1,469,548,030.60","1,703,045,583.77","1,906,900,098.33","1,298,182,461.33","1,248,407,176.51","1,200,329,049.62","1,067,211,934.87","1,108,210,860.78","1,478,570,740.23","1,242,217,214.68","1,391,351,828.29","1,342,777,165.24","1,387,313,825.65","1,235,197,713.68","1,377,845,327.82","1,205,799,922.63","1,449,279,289.02","1,337,624,272.65","1,226,987,068.85","1,084,051,500.08","1,198,755,352.35","1,324,562,361.61","1,173,991,015.41","1,300,918,180.36","1,621,688,867.84","1,434,799,344.64","1,266,050,155.01","1,227,389,512.93","1,526,217,705.73"
预付款项,"138,650,687.83","79,603,763.05","151,041,698.92","23,362,738.65","40,714,693.36","32,566,285.79","32,638,923.84","2,974,569.05","1,901,359.92","2,461,972.65","2,553,511.13","2,533,128.27","1,522,580.22","1,444,614.24","1,348,583.45","353,418,111.98","480,080,199.29","441,467,997.49","675,639,330.54","339,472,868.27","253,422,442.40","313,147,645.16","307,990,068.77","165,997,711.11","460,879,374.28","158,351,435.31","196,319,010.01","417,818,612.85","206,029,821.53","271,183,037.94","333,161,021.20","160,121,910.82","303,490,942.81","283,135,807.90","235,146,537.60","150,655,769.28","221,392,612.69","271,159,205.94","281,806,076.76","167,433,048.58","502,044,357.86","151,180,496.94","333,486,265.45","238,002,378.01","379,975,846.38"
预收款项,"78,573,652.90","48,082,742.69","51,395,389.34","24,850,724.97","56,109,462.93","19,220,580.20","39,169,808.85","16,546,423.49","17,420,863.62","14,439,405.33","16,353,572.30","14,663,147.29",,,"14,021,690.73","660,079,102.16","494,879,781.03","607,992,753.89","404,656,189.86","477,984,717.04","530,214,495.90","335,080,430.01","442,891,989.41","366,975,967.99","286,445,917.87","282,770,660.49","304,775,098.48","324,900,321.67","300,436,756.34","297,000,163.37","297,744,366.67","277,327,686.77","252,043,825.70","214,132,454.71","250,187,207.11","269,852,700.75","439,655,178.01","432,021,141.23","449,618,615.72","677,666,622.30","646,832,486.43","723,180,187.21","785,950,103.89","773,709,534.63","588,669,938.35"
