科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"240,261,061.48","183,008,904.22","223,202,783.23","263,394,936.67","189,011,997.07","188,488,558.69","145,113,421.87","154,968,342.68","149,394,798.85","129,278,559.72","140,083,429.37","192,409,692.26","169,141,676.58","169,601,845.96","162,721,988.48","222,483,749.02","160,249,820.05","130,893,460.56","124,511,823.09","208,563,460.41","173,686,379.55","197,533,631.72","124,094,726.58","254,927,576.01","112,950,409.14","90,926,307.99","217,426,804.87","292,933,170.62","274,289,835.00","198,858,051.06","218,737,999.16","605,515,477.78","331,126,617.11","411,478,920.19","215,115,204.96","541,067,662.93","611,539,902.21","545,579,581.50","646,311,530.76","736,131,721.29","347,373,603.54","124,193,723.70","135,932,217.97","355,855,614.47","351,447,394.19","475,724,573.70","505,415,451.24","774,995,915.93","636,396,140.19"
短期借款,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","10,000,000.00","10,000,000.00",,,,"20,000,000.00",,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,,"37,816,109.28","219,009,595.18",,,,,,,,,,,,,,,"40,000,000.00","131,607,006.22","83,812,641.05","10,447,575.16",,"20,000,000.00",,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"5,203,520.00",,,"7,652,000.00","14,900,000.00","2,380,645.96","15,000.00","2,272,838.38","4,870,309.25","4,170,784.25","1,192,650.00","1,527,450.00","1,190,116.00","165,000.00","167,409.04","1,981,550.76",,"864,581.00",,,,,"60,000.00",,"100,000.00","221,537.00","138,230.00","6,158,103.40","2,394,914.06","38,240.00","17,149,641.10","14,954,870.10","62,974.02","63,159.00","100,454.02","3,092,634.02","231,233.17","231,233.17","10,034,189.21","5,214,278.87","2,750,838.58","5,804,486.51","3,594,275.60","4,602,516.21","51,820.94","23,681.74"
应付票据,"11,775,000.00",,"21,108,288.42","19,480,000.00","14,133,231.61","14,045,000.00","15,101,130.00","18,017,216.40","20,140,000.00","3,375,000.00","6,778,602.25","9,179,525.00","12,299,093.00","18,467,029.20","10,985,450.00",,,"3,432,397.25","3,901,248.03",,,,"2,767,406.00","1,014,034.60",,"3,640,575.76",,"1,200,000.00","535,000.00","7,628,434.11","8,941,516.77","31,827,824.41","18,136,404.76","28,313,416.00","18,849,366.00","20,626,533.00","34,503,936.00","29,948,302.00","10,605,483.00","12,582,499.00","8,366,187.50","21,779,344.23",,,,,,,
应收账款,"49,132,171.86","78,541,131.36","97,614,486.39","53,883,578.55","95,014,303.25","130,071,556.13","128,018,280.80","47,708,361.66","98,506,961.81","122,465,710.52","113,706,242.26","68,825,419.87","102,164,965.57","129,048,622.18","131,570,765.36","83,091,550.75","118,267,570.27","149,681,817.27","175,260,890.63","116,748,600.49","159,522,856.80","211,207,667.54","234,115,915.78","128,355,585.14","223,739,347.56","226,966,676.65","220,484,645.28","86,557,012.86","238,729,873.25","229,447,018.54","258,847,353.18","107,038,182.48","298,250,898.77","319,841,286.09","401,032,716.67","252,904,733.02","423,987,872.63","400,109,811.10","342,692,556.28","190,842,730.42","314,674,861.55","397,973,496.00","352,117,419.47","215,491,640.23","264,811,528.16","223,883,927.93","191,478,652.38","90,851,198.76","145,846,712.35"
应付账款,"28,556,779.00","43,773,291.19","38,544,824.54","39,724,891.14","53,316,226.97","60,499,876.06","61,979,041.98","29,587,033.29","31,368,549.78","39,012,344.20","29,411,662.70","26,504,424.48","33,688,689.16","38,611,040.47","56,967,966.66","80,442,535.71","97,325,738.86","115,207,561.62","128,001,190.23","125,677,363.56","172,794,698.52","187,776,132.82","238,734,484.51","237,352,491.52","291,748,280.49","345,148,523.77","356,589,938.80","228,474,579.70","278,536,850.04","287,724,286.72","273,554,040.17","253,214,883.45","279,636,742.21","302,586,360.22","290,424,073.55","196,992,451.96","195,770,656.97","181,789,288.60","247,228,822.43","191,789,121.03","230,397,680.75","157,435,068.99","136,629,627.19","96,091,087.92","172,284,022.68","98,333,536.85",,"179,104,736.62",
预付款项,"16,070,862.32","44,687,285.17","58,502,860.51","24,885,482.03","86,446,358.63","63,981,708.33","53,076,206.15","35,942,233.92","43,537,968.26","31,226,997.60","40,385,124.01","44,622,327.41","46,213,688.06","45,270,873.38","51,530,590.31","50,441,660.58","62,251,652.64","53,023,461.95","49,176,391.62","30,964,426.70","37,768,422.94","22,163,040.54","28,014,193.78","27,008,163.53","17,654,816.67","35,985,430.33","27,987,768.54","15,642,358.71","16,318,125.68","19,319,175.38","15,729,757.58","10,037,343.67","12,588,438.73","18,171,527.93","19,873,478.06","35,399,408.63","43,182,142.00","35,280,920.20","45,569,944.43","25,468,746.80","425,048,094.88","598,338,856.68","663,493,811.38","609,917,046.12","510,350,695.67","289,733,649.58","207,494,854.18","308,783,403.76","422,079,330.45"
预收款项,"767,399.78","2,489,893.15","4,859,093.47","2,035,492.00","4,311,019.98","4,287,454.91","3,447,482.69","3,323,240.86","3,732,513.76","3,780,607.59","2,754,152.74","1,643,324.05","3,151,238.59","5,181,670.96","5,418,941.64","4,900,906.74","7,048,468.52","3,146,658.75","4,255,424.72","6,086,794.79","6,841,703.73","3,591,675.29","6,767,338.15","7,075,128.83","8,546,526.57","3,622,030.67","6,642,029.77","6,271,998.69","5,073,515.45","6,471,878.17","10,662,971.53","11,925,306.06","7,656,559.60","8,063,868.79","6,426,981.14","21,234,485.72","16,375,676.84","21,890,488.75","25,461,806.93","37,870,065.72","55,345,093.29","64,960,075.88","46,110,979.93","73,766,771.63","56,831,145.41","43,169,863.26","37,990,827.54","43,438,836.07","41,008,131.38"
其他应收款,"8,481,395.07","35,846,850.71","9,183,729.31","3,206,542.95","5,324,911.42","4,010,972.22","5,393,563.77","50,295,179.38","8,151,114.86","8,549,073.32","5,495,495.63","5,015,632.32","16,110,049.53","21,278,925.47","4,873,131.65","5,092,374.38","6,515,866.00","5,936,590.67","5,187,219.68","6,162,477.29","7,937,347.72","8,328,500.15","8,338,615.62","6,281,450.51","9,695,037.62","9,529,832.24","8,507,795.79","7,102,486.58","8,289,702.17","7,432,764.49","9,350,962.43","5,291,733.27","6,263,555.37","7,900,739.49","13,414,396.38","8,487,587.77","8,686,786.45","9,706,456.43","10,393,523.16","8,407,035.65","10,835,173.01","8,713,867.84","9,834,809.15","7,696,399.46","9,577,382.73","9,650,590.24","8,808,071.06","8,364,104.07","6,004,715.18"
应付职工薪酬,"2,476,717.59","1,710,246.42","1,604,367.32","1,219,307.06","1,104,270.30","1,079,157.23","1,461,459.93","282,309.65","412,231.59","368,935.73","240,321.18",,,,,"373,262.91","388,306.48","378,107.44","443,332.63","466,917.55","578,151.17","547,797.23","580,647.08","798,298.05","663,418.23","627,595.98","620,564.98","907,916.17","1,023,203.72","666,219.85","619,839.70","887,731.75","684,679.38","725,507.11","721,771.56","4,294,250.16","2,513,321.47","2,004,794.69","1,511,082.19","4,430,193.92","2,530,810.74","1,668,431.03","1,624,987.28","4,118,491.36","2,487,932.66","2,884,241.56","2,190,016.74","4,275,089.12","2,387,483.93"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,050,540.45","11,341,134.35","13,375,655.69","4,496,294.67","9,679,261.12","8,522,989.04","4,686,853.75","-799,139.15","3,590,712.11","1,749,632.59","8,020,274.15","2,650,400.70","3,967,604.34","3,185,801.33","5,348,396.40","3,591,682.39","5,446,738.14","2,696,698.36","8,708,835.62","1,842,595.22","4,589,765.40","9,002,402.30","7,184,670.73","12,859,499.19","13,558,483.97","8,463,520.06","9,353,723.56","16,527,214.82","20,410,451.27","19,864,575.77","19,776,433.53","26,138,993.31","29,504,023.88","25,477,963.56","24,931,138.57","32,044,134.74","28,376,134.47","8,950,630.21","10,392,193.11","15,972,817.08","16,645,763.40","14,866,475.36","11,717,098.55","9,762,441.01","4,395,951.51","11,103,286.71","9,890,478.20","6,323,848.64","12,528,688.63"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"42,074,606.09","31,378,463.45","18,333,561.52","47,621,604.83","42,873,743.91","32,817,308.44","53,738,345.09","58,845,601.07","76,412,599.27","74,204,803.15","73,311,793.88","79,646,272.35","90,427,879.74","98,844,892.84","102,312,648.34","124,817,086.32","170,469,444.06","162,231,664.22","183,195,041.74","210,957,079.07","230,763,215.93","221,533,294.04","248,416,730.98","228,956,730.64","268,496,531.82","326,080,603.20","420,280,050.61","278,806,286.02","284,216,070.26","329,960,124.46","340,317,386.78","245,981,996.95","287,467,483.47","346,179,511.91","359,203,748.93","280,718,647.71","283,464,951.22","308,076,786.68","349,235,597.02","278,887,847.28","265,851,927.11","217,628,992.68","252,291,616.62","162,833,035.04","209,908,395.64","209,817,417.22","233,931,901.18","196,152,735.29","187,162,701.63"
其他应付款,"679,809.06","2,319,110.30","1,233,610.13","976,505.98","1,273,701.42","835,228.42","1,031,258.70","1,314,006.74","917,869.21","887,626.48","1,424,308.77","327,308.28","690,594.77","758,447.76","905,423.85","990,444.30","1,728,738.38","3,843,920.29","972,313.24","974,516.18","698,073.20","693,829.08","1,075,892.82","903,871.15","441,467.83","1,447,439.54","754,980.81","2,991,805.09","2,528,184.81","2,107,113.35","2,274,746.69","2,773,157.98","3,180,546.79","39,775,505.85","39,974,565.54","59,396,344.13","64,145,685.89","71,594,586.99","76,600,060.94","46,295,184.75","46,604,855.52","45,547,121.30","37,193,299.38","17,028,090.73","16,108,521.41","16,138,055.68","16,522,815.39","16,939,453.26","13,976,152.03"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"20,000,000.00","20,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"130,000,000.00","220,000,000.00","220,000,000.00","170,000,000.00","120,000,000.00","80,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","320,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,,,"52,765,279.17","32,660,654.57","85,600,000.00","91,300,000.00","67,987,669.52","100,550,000.00","204,050,000.00","315,800,000.00","238,961,910.72","260,750,000.00"
其他流动负债,"16,755,802.91","18,523,859.94","10,528,046.59",,,,,"10,618,045.75","8,650,564.43","14,248,000.41","14,404,922.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"356,020,096.82","373,462,634.91","406,837,420.96","398,195,665.03","418,671,314.28","419,370,103.81","392,991,817.68","362,659,718.71","378,384,089.01","365,740,144.31","375,254,923.53","395,389,653.46","428,229,043.73","465,237,809.83","454,536,574.14","487,116,537.05","517,919,353.02","501,934,403.71","539,312,917.52","573,396,043.96","610,542,803.94","660,766,133.99","642,980,182.74","775,529,505.83","852,536,142.81","909,548,850.41","1,064,687,065.09","801,141,314.79","902,065,143.36","985,155,363.93","1,049,141,562.53","1,176,259,648.21","1,255,735,233.45","1,320,721,626.71","1,223,594,415.10","1,318,641,014.08","1,370,924,813.51","1,298,854,009.93","1,397,295,785.67","1,292,734,593.78","1,396,675,547.83","1,442,483,126.11","1,510,184,153.46","1,422,532,243.42","1,452,449,882.90","1,416,454,434.27","1,467,531,446.25","1,618,161,089.47","1,658,263,281.54"
流动负债合计,"85,062,048.79","100,157,535.35","101,253,886.16","77,932,490.85","103,817,711.40","109,269,705.66","107,707,227.05","82,342,713.54","78,812,440.88","73,422,147.00","63,034,243.81","40,304,982.51","53,797,219.86","86,203,989.72","79,626,178.55","90,298,832.05","111,937,990.38","128,705,343.71","146,282,344.47","135,048,187.30","205,502,392.02","221,611,836.72","277,110,439.29","260,003,323.34","314,958,177.09","400,765,795.06","592,970,833.10","256,373,514.47","308,107,205.29","324,462,507.97","315,829,548.39","326,767,896.96","338,798,956.62","404,942,621.53","381,327,896.36","334,588,199.71","341,685,411.64","316,178,091.24","371,799,448.60","308,939,881.50","359,890,391.20","346,256,516.79","364,882,998.55","284,579,523.70","262,555,148.83","171,628,984.06","187,416,814.69","250,081,963.71","256,933,683.56"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,030,000.00","21,030,000.00",
长期借款,"10,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","21,634,100.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00",,,"1,000,000.00","3,500,000.00","193,304,027.23","53,685,340.53","53,685,340.53","54,178,956.01","54,178,956.01","200,745,676.26","200,745,676.26","201,682,264.69","201,629,582.22","202,599,736.97","205,697,156.97","208,829,825.17","208,895,860.67","209,435,048.81","208,698,342.41"
专项应付款,,,,"16,019,386.58","13,725,719.91","12,453,831.61","13,514,071.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,
固定资产,"133,782,771.17","131,324,441.10","128,145,564.00","132,021,949.08","134,548,092.33","154,090,775.20","183,937,084.39","177,848,147.85","173,580,483.10","174,173,700.19","171,697,607.99","170,637,074.59","172,649,248.65","168,960,892.09","169,221,425.77","175,403,397.76","175,473,689.94","186,795,921.39","188,556,231.98","228,063,652.49","230,359,942.85","232,035,377.26","237,516,125.47","246,456,443.24","254,154,729.87","282,198,301.66","365,488,162.70","367,820,065.64","361,645,794.78","355,537,903.71","349,071,710.09","345,090,942.55","338,217,274.16","333,979,874.93","332,231,016.69","346,658,565.52","352,213,537.15","349,934,401.69","345,432,063.55","336,493,886.85","327,804,214.14","322,171,309.47","314,049,575.68","307,853,308.66","299,400,381.96","290,440,357.98","280,990,373.59","194,067,865.01","190,440,666.00"
递延所得税负债,"5,272,716.70","4,666,300.53","4,363,092.45","3,076,309.60","3,076,309.60","2,800,839.45","2,633,280.76","1,184,718.00","1,028,413.67","872,118.80","715,814.47","675,424.92","489,736.29","535,877.22","450,188.60","270,164.34","277,797.31","135,082.17","277,797.30","42,629.59","42,616.92","42,675.67","42,706.58","12,068.16","12,036.30","11,863.10","11,804.16","11,706.05","11,812.03","11,813.38","11,812.80","106,763.91","11,793.02","57,028.27","69,861.52","269,242.11","110,146.83","422,274.72","442,099.89","500,051.48","538,162.09","537,922.33","499,475.29","18,669,440.45","18,029,013.60","17,377,144.32","16,725,148.51","16,015,975.30","15,376,403.62"
在建工程,"1,545,543.89","2,252,250.49","3,756,168.39","23,859,140.05","46,113,798.85","30,357,128.14","50,000.00",,,,,,,,"15,792,703.63","29,001,631.66","32,644,601.57","33,217,863.29","34,803,836.12",,,,,,,,,,,,,,,,,"4,370,222.77",,,,"378,356.07","378,356.07",,,,,,,,
其他非流动负债,,,,,,,,,,,,"4,444,592.92","11,017,197.19","4,303,332.61","6,303,332.61","7,221,028.26","2,052,414.19","5,219,253.43","5,219,253.43","10,704,459.17","8,618,575.67","13,252,459.17","6,479,624.25","8,785,239.80","10,985,239.80","10,985,239.80","10,985,239.80","7,799,783.47","7,799,783.47","7,799,783.47","7,799,783.47",,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"15,272,716.70","14,666,300.53","24,363,092.45","39,095,696.18","36,802,029.51","15,254,671.06","16,147,352.58","1,184,718.00","1,028,413.67","872,118.80","715,814.47","5,120,017.84","11,506,933.48","4,839,209.83","6,753,521.21","7,491,192.60","2,330,211.50","5,354,335.60","5,497,050.73","10,747,088.76","8,661,192.59","13,295,134.84","6,522,330.83","8,797,307.96","10,997,276.10","10,997,102.90","10,997,043.96","7,811,489.52","7,811,595.50","7,811,596.85","7,811,596.27","5,423,275.15","5,328,304.27","5,373,539.52","5,386,372.77","18,281,346.20","18,023,769.83","17,437,416.63","9,164,740.77","61,115,092.36","54,517,256.30","54,517,016.54","51,530,516.17","21,229,261.70","20,165,123.60","18,653,009.74","17,056,636.01","17,709,751.55","17,052,468.62"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"100,334,765.49","114,823,835.88","125,616,978.61","117,028,187.03","140,619,740.91","124,524,376.72","123,854,579.63","83,527,431.54","79,840,854.55","74,294,265.80","63,750,058.28","45,425,000.35","65,304,153.34","91,043,199.55","86,379,699.76","97,790,024.65","114,268,201.88","134,059,679.31","151,779,395.20","145,795,276.06","214,163,584.61","234,906,971.56","283,632,770.12","268,800,631.30","325,955,453.19","411,762,897.96","603,967,877.06","264,185,003.99","315,918,800.79","332,274,104.82","323,641,144.66","332,191,172.11","344,127,260.89","410,316,161.05","386,714,269.13","352,869,545.91","359,709,181.47","333,615,507.87","380,964,189.37","370,054,973.86","414,407,647.50","400,773,533.33","416,413,514.72","305,808,785.40","282,720,272.43","190,281,993.80","204,473,450.70","267,791,715.26","273,986,152.18"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"115,200,000.00","195,840,000.00","195,840,000.00","195,840,000.00","195,840,000.00","195,840,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","713,200,000.00","713,200,000.00","713,200,000.00","713,200,000.00","713,544,000.00","713,544,000.00","713,544,000.00","713,504,000.00","713,648,000.00","713,648,000.00","713,648,000.00","713,648,000.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
