科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"48,635,435.44","126,175,980.67","213,627,239.09","377,703,348.76","65,807,769.97","166,042,452.59","255,824,026.80","419,075,379.38","69,766,059.36","170,926,003.38","307,696,742.94","477,180,862.50","91,527,797.02","226,680,408.95","439,348,892.71","761,656,309.03","102,540,042.83","346,023,387.14","547,004,978.91","853,701,465.31","167,663,871.06","381,155,234.87","631,817,529.19","963,428,617.35","182,359,028.87","419,741,302.50","849,636,791.38","1,435,762,304.64","183,743,693.04","502,873,406.50","958,166,186.94","1,720,019,284.45","218,729,071.32","615,576,336.04","1,098,306,193.57","1,959,829,316.44","227,311,575.46","540,580,670.34","945,706,790.38","1,602,577,245.27","231,834,883.31","546,894,758.25","872,938,178.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"24,194,786.30",,,,,,,,"2,747,405.40",,,,,,,,,,,,"132,907,578.75",,"16,020,000.00","16,020,000.00",,,,
收到的税费返还,"1,018,508.21","2,840,648.02","7,207,674.11","11,796,651.30",,"1,561,822.09","3,680,650.28","7,514,404.96",,,"3,635,711.33","6,085,840.65","958,558.73","2,958,558.73","4,517,104.92","12,481,849.51",,"473,893.83","473,893.83","1,403,489.13","4,862,046.88","5,567,542.55","6,363,639.68","14,056,763.07","1,621,488.60","4,419,859.28","7,894,233.66","17,084,906.91","1,924,166.97","5,807,270.65","14,674,973.79","42,360,815.69","10,612,850.96","14,744,419.34","22,067,084.10","50,507,003.63","10,887,636.15","12,154,438.15","29,409,023.78","43,816,927.58","7,680,221.91","16,681,707.83","24,805,326.96"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"10,289.95",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"41,916,483.36","6,441,153.73","11,120,582.69","3,166,053.48","1,300,682.62","6,459,714.44","16,032,153.45","14,436,641.07","61,813,418.63","62,114,523.79","62,498,880.65","30,144,280.11","15,811,771.46","15,385,001.43","25,280,111.21","16,537,177.25","11,523,512.14","10,584,304.56","16,782,468.78","9,263,347.87","13,608,147.56","8,523,502.16","14,368,418.16","4,460,618.30","10,805,069.58","13,432,378.81","18,486,971.62","9,532,976.77","10,303,604.65","11,294,889.53","28,471,849.30","9,658,621.53","14,743,630.43","51,609,645.51","49,821,963.82","63,028,564.00","20,438,773.42","15,922,732.79","27,299,586.75","15,743,910.05","18,945,432.92","17,133,221.10","28,018,583.56"
投资活动现金流出小计,"2,239,245.77","27,585,061.61","33,170,749.10","51,715,794.13","60,967,152.52","65,788,188.48","66,793,617.55","47,129,391.75","3,858,676.81","6,481,013.66","10,604,767.32","19,304,286.84","17,048,886.06","33,857,969.88","59,666,229.67","95,934,107.59","16,958,713.68","40,517,147.87","43,841,202.51","69,054,208.51","61,317,816.98","66,989,120.71","143,856,635.53","194,366,502.01","147,674,162.23","179,361,904.29","286,493,724.12","302,148,350.20","82,742,844.44","204,628,317.13","206,502,512.61","220,837,833.56","210,135,418.00","225,392,665.67","424,741,362.45","448,017,723.78","20,500,060.50","44,181,887.02","45,634,152.89","406,992,464.94","54,766,090.68","167,644,940.69","191,906,303.69"
经营活动现金流入小计,"91,570,427.01","135,457,782.42","231,955,495.89","392,666,053.54","67,108,452.59","174,063,989.12","275,536,830.53","441,026,425.41","131,579,477.99","233,040,527.17","373,831,334.92","513,410,983.26","108,298,127.21","245,023,969.11","469,146,108.84","790,675,335.79","114,063,554.97","357,081,585.53","564,261,341.52","864,368,302.31","186,134,065.50","395,246,279.58","652,549,587.03","981,945,998.72","194,785,587.05","437,593,540.59","876,017,996.66","1,462,380,188.32","195,971,464.66","519,975,566.68","1,001,313,010.03","1,772,038,721.67","244,085,552.71","681,930,400.89","1,170,195,241.49","2,073,364,884.07","258,637,985.03","568,657,841.28","1,002,415,400.91","1,662,138,082.90","258,460,538.14","580,709,687.18","925,762,088.56"
投资活动产生的现金流量净额,"-2,239,245.77","-27,585,061.61","-33,170,749.10","-51,715,366.78","-60,967,152.52","-65,753,038.48","-66,758,467.55","-48,860,107.79","-3,858,676.81","-6,481,013.66","-10,601,767.32","7,657,495.47","-17,048,886.06","-33,857,969.88","-59,573,717.92","-93,634,940.95","-16,958,713.68","-40,517,147.87","-43,768,832.51","-68,911,360.79","-61,234,816.98","-66,758,234.04","-143,624,698.86","-185,678,759.80","-96,139,888.90","-127,827,630.96","-183,825,745.23","-138,151,445.16","49,678,488.89","-72,206,623.80","-67,000,655.56","-78,336,819.57","-122,043,188.46","-11,613,784.57","-196,622,545.43","-187,086,308.61","184,279,167.28","161,847,382.07","160,662,031.53","-43,878,718.16","19,744,715.81","-33,122,464.40","-38,329,870.80"
购买商品、接受劳务支付的现金,"35,961,341.19","87,894,989.57","114,024,710.40","218,746,557.75","64,562,240.56","97,818,345.41","170,713,381.80","281,906,825.06","94,515,643.10","118,392,113.11","230,048,545.78","322,301,797.98","74,791,307.79","149,337,238.18","305,399,259.10","508,144,882.35","105,418,428.95","263,962,089.53","445,109,423.41","566,450,875.17","115,832,708.04","232,731,580.07","397,593,816.50","495,268,020.86","156,027,717.65","320,396,809.82","660,792,378.14","930,281,156.40","161,580,946.70","357,820,177.05","674,647,928.93","932,356,699.52","270,571,040.06","543,917,836.12","931,367,258.39","1,377,337,982.27","229,961,770.03","420,442,703.05","665,885,239.20","883,896,818.81","560,658,322.77","984,980,413.35","1,305,600,367.58"
吸收投资收到的现金,,,,,"8,600,000.00","8,600,000.00","8,600,000.00","8,600,000.00",,,,,,,,,,,,,,,,,,,,,,,"42,188,160.00","42,188,160.00",,,"3,618,880.00","3,618,880.00",,"12,199,000.00","13,699,480.00","13,699,480.00",,,
