科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"147,033,193.93","131,626,987.94","54,319,965.56","57,194,091.30","169,477,759.52","63,398,272.46","67,618,026.74","58,412,333.33","142,496,973.17","140,228,651.77","150,699,101.22","183,294,595.47","104,268,616.84","135,163,123.54","86,781,864.91","159,773,954.25","47,874,259.90","66,795,786.74","80,019,704.36","111,832,411.36","106,338,202.56","185,146,226.32","222,280,703.30","265,024,221.32","260,354,175.78","203,823,970.68","138,971,248.87","218,091,247.11","182,124,001.56","251,845,870.82","161,240,086.83","436,032,688.30","281,999,143.72","342,181,181.56","292,447,037.71","156,768,653.53","236,040,352.69","284,506,254.69","265,709,056.54","620,389,134.24","601,948,272.32","546,031,238.26","362,571,063.35","324,671,221.16","199,159,757.86"
短期借款,"79,000,000.00","106,000,000.00","76,000,000.00","91,000,000.00","189,700,000.00","236,712,814.80","207,907,731.35","151,000,000.00","103,000,000.00","190,000,000.00","259,900,000.00","288,899,994.08","262,523,595.64","302,720,856.84","306,104,561.49","256,900,000.00","303,488,067.18","349,225,238.71","410,186,416.37","329,263,940.55","406,419,276.19","283,000,000.00","382,065,607.04","387,736,673.46","444,728,115.22","379,179,670.63","494,532,018.68","563,744,069.49","594,813,587.74","594,917,871.14","582,078,307.48","501,216,062.73","388,027,361.48","650,860,108.54","638,099,360.15","363,000,000.00","571,731,900.45","745,886,626.18","664,742,117.57","308,760,000.00","398,208,866.63","539,245,493.95","422,369,956.65","142,168,248.95","127,079,261.11"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,447,236.03","2,383,386.10",,,
应收票据,"2,018,500.00","6,948,706.42","11,196,371.42","17,982,053.47","8,882,844.94","7,962,748.00","11,904,560.00","31,908,143.59","15,145,958.29","17,715,822.85","53,502,294.88","57,083,173.33","49,858,136.32","33,572,765.11","62,122,112.07","84,886,694.40","85,197,489.94","88,395,248.67","76,472,808.69","123,958,940.74","85,498,397.97","86,361,086.40","130,874,484.39","190,767,152.11","136,042,855.17","145,683,105.66","136,871,260.16","262,634,088.68","170,983,719.85","240,579,027.31","259,236,958.64","334,498,938.16","223,675,398.71","168,734,127.21","187,611,924.05","196,420,277.70","217,698,548.22","335,889,996.75","374,065,161.47","412,493,522.60","370,095,356.97","461,683,360.00","543,102,614.69","547,609,804.10","347,993,289.32"
应付票据,"27,900,000.00","32,400,089.00","27,600,000.00",,"700,000.00",,"8,130,000.00","3,000,000.00",,,"2,500,000.00",,"9,000,000.00",,,,"13,914,800.00","20,120,100.00","13,660,100.00",,,,"3,500,000.00","7,700,000.00","5,450,000.00","20,051,346.74","24,383,336.01","8,327,909.27","3,426,327.55","3,714,443.65","2,943,293.35","3,781,975.80","3,602,872.16","3,115,525.40","2,960,357.27","2,450,552.77","2,143,596.46","2,220,848.94","2,754,819.64","3,293,125.18","2,935,024.87","2,723,334.10","2,915,585.81","20,849,295.91","36,279,205.01"
应收账款,"89,517,291.10","82,997,167.21","106,738,589.43","81,399,364.60","83,265,046.95","112,467,292.36","113,264,916.83","90,062,279.96","92,732,032.01","125,954,049.95","148,073,329.14","123,125,542.04","144,431,281.01","206,261,409.24","249,112,420.90","192,386,979.14","240,722,439.87","340,402,860.67","428,154,320.88","314,268,052.37","357,732,382.53","496,886,886.13","576,355,642.83","441,455,618.03","497,295,386.57","614,372,358.99","709,886,524.64","556,786,687.60","629,289,358.57","634,097,150.60","691,994,223.84","501,686,515.27","568,720,340.78","707,495,663.25","763,708,872.02","627,961,480.69","749,378,519.20","798,469,290.40","970,302,554.88","728,099,988.21","979,134,843.75","1,061,751,244.69","1,020,733,920.95","755,422,847.65","841,444,260.60"
应付账款,"43,824,734.90","31,303,667.73","47,237,866.47","26,256,656.60","46,926,499.89","43,856,094.26","40,841,926.61","16,666,670.05","48,985,449.14","52,797,693.27","163,056,929.01","32,872,581.72","67,187,121.74","115,188,708.56","78,954,430.49","142,079,798.91","133,964,944.95","125,400,114.28","79,606,659.34","83,512,242.45","79,121,195.47","173,160,174.45","122,151,758.46","114,325,526.23","100,589,100.54","177,321,636.46","174,807,604.38","116,267,795.18","97,710,345.51","159,427,844.65","156,395,307.22","172,847,023.73","160,295,777.20","154,108,416.71","176,612,046.85","158,273,511.54","146,982,094.96","148,045,880.64","182,418,737.00","178,037,049.42","238,433,058.59","257,654,128.26","245,869,565.95","236,191,146.24","246,736,291.21"
预付款项,"67,175,563.01","29,974,647.10","41,515,100.21","10,591,128.13","14,146,425.93","11,971,575.87","18,280,178.71","9,912,593.16","12,037,366.20","26,100,571.89","55,362,296.92","52,403,966.02","103,210,588.00","46,747,986.63","20,486,312.28","30,952,065.05","66,441,010.88","63,124,201.42","46,554,265.28","47,156,716.17","72,713,266.47","61,726,729.42","97,572,175.80","48,018,002.73","44,285,958.16","58,176,758.23","108,757,952.54","34,038,110.65","60,414,267.05","74,263,449.21","95,472,011.39","20,763,032.89","34,580,239.27","40,603,960.71","46,785,610.39","36,906,703.08","31,375,017.53","36,075,132.95","39,302,241.99","57,406,212.83","28,410,246.23","44,109,478.49","94,103,459.01","42,424,525.32","70,836,228.15"
预收款项,"8,493,764.64","2,654,554.17","8,508,229.79","9,162,027.10","11,456,436.82","22,469,667.52","18,387,695.21","8,417,431.53","10,623,694.46","14,123,348.46","24,754,136.73","15,477,598.92","12,496,473.24","9,150,636.48","28,697,217.18","8,068,913.74","15,107,281.91","19,870,732.52","17,549,130.26","8,444,155.65","14,896,956.56","12,803,747.34","25,333,048.78","29,688,888.26","27,748,330.76","33,425,694.64","28,586,319.05","18,727,246.45","28,453,874.68","15,569,562.90","22,606,439.20","15,909,359.91","18,038,561.71","18,092,573.05","26,313,824.60","18,159,307.64","38,825,128.46","28,780,023.89","36,405,555.34","19,696,356.73","37,673,197.67","35,980,851.43","42,716,242.70","14,983,457.93","21,191,528.69"
