科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"355,228,920.06","338,352,692.93","331,311,272.62","269,413,034.96","194,178,668.30","164,451,809.43","185,210,183.79","146,559,410.10","166,689,758.85","152,265,041.23","135,314,641.30","113,987,136.98","200,282,680.12","151,901,951.24","147,677,141.26","82,783,869.51","117,225,146.28","113,580,885.17","118,936,141.76","181,958,890.86","165,037,052.62","162,954,753.15","113,271,488.53","124,785,812.13","201,065,465.16","166,243,022.51","154,328,818.40","139,104,981.70","115,222,964.84","100,266,238.21","141,394,393.49","127,142,610.30","74,923,446.61","117,133,780.74","128,491,958.56","91,795,543.41","112,234,138.10","98,326,277.41","118,564,533.64","157,739,958.68","146,702,240.94","133,885,044.47","127,392,984.37","127,973,321.77","119,695,007.11"
短期借款,"147,925,927.48","132,369,694.00","150,697,742.00","187,500,000.00","192,500,000.00","237,500,000.00","237,500,000.00","233,500,000.00","226,500,000.00","245,500,000.00","252,000,000.00","264,000,000.00","274,000,000.00","265,500,000.00","307,500,000.00","304,500,000.00","313,000,000.00","363,000,000.00","448,012,145.22","518,987,158.24","514,815,519.79","513,800,000.00","513,900,000.00","591,500,000.00","618,500,000.00","582,323,391.41","596,823,391.41","582,992,600.00","562,339,984.70","549,492,600.00","522,675,816.65","501,780,415.00","494,400,023.50","506,613,139.01","494,630,900.00","471,456,160.00","505,851,250.00","480,146,350.00","489,838,070.00","474,648,810.00","472,363,720.00","540,744,040.00","557,680,000.00","529,000,000.00","524,000,000.00"
交易性金融资产,"133,282.10","153,101.00","172,820.81","102,122.11","82,253.45","65,004.84","56,172.12","53,393.29","60,042.64","70,463.26","69,570.07","695,478.59","293,897.49","73,539.83","303,749.22","1,197,382.00","2,703,034.76","3,032,974.76","9,269,709.76","7,727,999.99",,"4,129,699.99","9,545,020.00","1,639,394.00","14,175.00","1,242,665.00",,,"37,750.00","79,050.00","77,925.00","349,725.00",,,,,,"218,250.00","215,150.00",,"125,560.00",,"114,178.90","5,700.00",
交易性金融负债,,,,,,,,,,,,,,"586,400.00",,"33,533,583.33","17,185,116.66","117,151,156.42","136,002,876.51","146,040,690.01","137,352,910.02","90,072,815.01","83,227,170.02","1,788,195.00","3,612,445.00","4,842,200.00","738,090.00","1,760,595.00","434,100.00","325,350.00","860,600.00","890,100.00","1,283,975.00","2,259,950.00","1,687,450.00","1,639,700.00","1,019,700.00",,"25,000.00","285,850.00",,"84,560.00","109,950.00","140,910.00","1,130,210.00"
应收票据,"37,406,627.72","34,301,292.39","32,180,869.62","49,978,108.24","53,949,437.80","53,911,041.21","59,515,870.38","73,754,763.04","67,689,829.26","58,329,362.01","35,380,558.85","25,974,344.03","64,465,485.43","59,507,943.85","76,220,500.67","141,126,230.50","73,228,625.53","188,538,350.21","192,591,431.30","204,935,278.79","182,687,911.47","144,806,108.27","173,040,261.03","183,277,300.91","164,579,329.66","173,259,250.47","182,681,011.08","188,510,023.63","166,865,501.12","144,511,776.04","96,056,543.08","101,845,837.30","56,713,358.21","78,846,067.98","71,082,817.08","72,776,367.05","94,252,727.05","86,832,813.97","105,550,251.13","100,307,489.68","92,344,173.74","132,099,086.96","150,469,951.78","89,186,128.69","71,631,355.21"
应付票据,"125,940,000.00","136,014,816.34","100,318,255.40","106,418,925.00","59,000,000.00","95,000,000.00","69,570,000.00","22,525,082.36","21,815,726.24","53,293,794.63","44,929,341.31","59,494,803.50","92,387,117.50","56,491,000.00","85,361,500.00","43,247,830.05","97,907,728.85","112,288,356.49","89,621,410.60","113,194,880.46","132,148,465.84","147,709,121.12","140,845,110.89","110,512,485.53","76,140,853.73","133,373,449.67","114,067,055.35","66,821,990.33","56,053,495.79","57,462,823.59","84,675,789.86","93,588,106.22","51,069,473.55","79,377,394.62","122,486,776.76","95,243,016.88","104,153,238.59","97,371,256.42","97,781,320.16","128,909,139.20","153,315,863.77","164,636,558.04","155,307,373.35","139,166,152.29","124,052,151.61"
应收账款,"148,791,175.15","182,455,208.85","225,250,189.51","209,175,194.31","220,515,501.23","267,926,309.34","245,426,154.57","159,654,493.57","143,357,020.96","216,761,154.07","234,762,037.79","229,052,421.16","246,331,549.04","288,488,702.36","311,148,749.58","245,406,095.24","252,354,451.47","312,121,600.93","390,219,695.07","322,594,015.02","321,053,533.45","378,032,854.57","366,898,268.58","301,116,941.17","287,825,260.67","313,353,385.75","313,062,213.79","260,412,592.84","266,232,796.35","290,666,129.87","275,392,813.11","257,568,548.60","252,301,840.90","251,915,337.67","256,936,683.34","238,060,743.03","238,217,775.42","241,215,950.62","271,749,797.36","285,576,527.12","295,388,788.62","325,840,135.93","331,920,524.83","350,339,252.34","348,673,226.34"
应付账款,"35,276,060.27","67,805,888.33","87,287,106.23","23,136,578.68","45,552,326.43","23,762,916.22","41,284,061.89","37,164,876.85","52,434,843.58","65,128,589.78","62,388,797.74","67,546,397.12","127,028,391.94","170,759,441.42","147,148,013.16","137,595,178.14","102,700,819.38","146,750,605.72","169,794,689.52","103,477,449.82","110,599,338.08","134,409,037.91","96,793,497.75","99,580,779.75","113,272,307.51","114,986,268.32","99,357,460.88","111,330,397.41","108,610,697.59","119,384,862.23","121,974,091.90","118,276,843.42","97,318,811.53","106,773,909.96","100,805,906.82","92,256,174.77","81,638,994.42","95,697,741.74","106,221,954.36","111,331,739.20","96,955,981.89","109,181,377.30","93,878,982.35","97,778,061.50","84,241,183.45"
预付款项,"1,313,849.71","373,261.68","331,940.77","15,391,012.48","13,487,132.00","8,033,845.14","3,789,033.26","3,814,084.34","8,135,953.89","10,016,315.44","27,413,586.70","24,289,216.75","28,640,085.71","39,603,738.05","44,257,473.93","23,725,591.37","32,912,220.34","66,565,301.31","67,512,887.56","18,694,434.12","27,508,586.54","31,490,057.56","27,985,378.72","11,851,216.19","20,517,363.07","40,921,713.02","34,496,579.40","19,980,506.15","23,670,498.99","31,018,646.66","42,785,021.79","18,602,078.01","18,820,977.41","10,899,049.02","16,520,625.18","14,165,057.43","16,805,368.88","16,311,519.15","23,189,317.30","23,023,718.20","24,610,450.13","30,911,428.28","19,202,852.63","26,743,049.01","29,785,756.72"
预收款项,"700,616.89","694,354.10","691,724.04","1,308,422.44","976,107.79","2,649,156.80","1,268,454.16","2,192,761.25","1,469,009.22","1,439,069.32","1,173,037.81","3,483,922.01","1,763,332.60","32,098,642.92","34,832,867.85","5,627,191.08","6,087,235.21","8,896,648.68","10,991,280.03","4,470,455.30","5,878,033.16","13,086,766.62","7,673,835.01","4,109,077.40","5,255,265.59","7,448,206.02","7,987,772.97","3,527,077.21","8,232,753.06","7,895,457.97","15,311,833.12","9,800,599.83","7,536,539.55","7,534,886.72","7,938,209.41","7,264,511.09","7,104,793.47","5,714,638.41","6,360,428.02","2,834,527.66","5,318,785.80","5,286,521.00","6,034,623.33","3,774,033.38","5,332,955.18"
