科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"119,453,107.91","378,101,508.43","663,423,415.10","1,189,299,706.67","215,865,244.82","664,058,063.22","1,186,160,628.70","1,507,002,777.54","225,609,263.41","589,826,935.69","1,063,660,405.94","1,665,088,574.43","276,461,722.52","496,048,686.76","908,896,952.91","1,288,861,503.00","341,616,244.21","932,838,250.87","1,737,774,330.47","2,553,699,621.50","466,773,813.16","920,593,039.48","1,637,395,994.80","2,642,730,198.07","469,398,648.53","1,020,361,236.77","1,567,797,020.00","2,265,388,326.30","885,035,047.36","1,647,007,779.83","2,247,625,748.34","3,276,504,491.59","134,735,349.19","745,157,121.17","1,102,790,811.09","2,235,086,590.06","299,039,242.13","1,011,442,237.96","1,342,894,531.36","2,021,077,571.35","263,167,246.42","1,148,526,321.16","1,700,290,902.26","3,189,181,324.46","364,056,210.37","916,310,144.06","1,446,788,601.05","2,492,301,581.00","393,759,587.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"646,757.52","1,898,959.84","2,634,299.90","2,785,188.78",,"574,786.37","574,786.37","574,786.37","5,663,279.22","9,977,795.03","9,977,795.03","15,326,474.07","546,337.40","546,337.40","579,337.40","546,337.40",,,,"77,587.84",,,"256,464.97","851,557.92",,,"4,900,880.49","9,704,857.46","774,900.90","2,902,023.35","2,902,023.35","2,957,640.20",,"47,749.53","47,749.53","1,490,428.62","737,008.84","737,008.84","930,898.51","935,129.28","2,252,933.76","2,927,502.76","2,927,502.76","2,930,862.70","2,758,411.91","13,121,066.79","13,203,481.92","17,650,508.86","34,777,244.61"
支付其他与投资活动有关的现金,,,,,,,,"56,000,000.00",,,,,,,,,,,,,,,,,,,,,"2,699,924.54","2,699,924.54","2,699,924.54","2,240,022.22",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,562,602.00","4,292,048.74","6,514,542.48","10,760,450.15","102,500.00","2,198,237.43","5,678,377.97","23,985,177.93","2,100,118.42","9,334,046.99","10,680,782.81","1,953,110.22","2,180,276.46","7,402,412.26","12,156,887.70","5,318,613.19","3,758,644.73","5,974,779.67","12,382,832.80","11,341,317.29","4,802,684.88","2,969,506.31","6,061,912.14","13,255,886.01","10,963,982.11","19,385,415.22","50,778,254.79","19,728,102.32","13,431,295.60","13,495,787.88","23,720,128.17","50,328,806.26","37,241,154.81","46,197,435.33","58,908,064.69","56,752,513.13","10,753,227.22","24,971,274.04","48,814,912.15","65,902,177.83","147,278,294.81","164,153,442.61","175,989,759.35","226,684,319.65","75,112,006.62","108,119,902.72","124,298,567.91","155,947,064.93","22,585,228.54"
投资活动现金流出小计,"509,611.00","1,450,640.00","3,662,233.00","56,575,980.02","16,194,660.70","49,652,371.90","80,457,281.98","104,096,481.06","8,666,334.02","31,824,326.94","41,981,276.18","76,736,593.11","31,119,859.11","36,915,861.74","51,453,524.83","61,131,754.25","27,398,439.48","34,794,903.19","44,091,508.75","52,355,229.70","12,818,168.18","122,684,203.54","127,132,192.34","140,030,605.80","2,661,372.70","7,732,888.38","13,173,984.38","51,539,565.50","4,965,736.09","15,917,793.82","17,888,511.82","18,455,005.64","4,651,276.97","5,879,243.97","8,307,129.97","19,162,002.74","6,437,885.00","7,877,479.36","18,726,460.40","31,718,871.59","36,595,491.89","210,848,992.13","231,194,531.81","776,327,818.29","110,640,695.80","93,277,668.23","104,399,576.22","200,166,256.67","38,155,991.03"
经营活动现金流入小计,"122,662,467.43","384,292,517.01","672,572,257.48","1,202,845,345.60","215,967,744.82","666,831,087.02","1,192,413,793.04","1,531,562,741.84","233,372,661.05","609,138,777.71","1,084,318,983.78","1,682,368,158.72","279,188,336.38","503,997,436.42","921,633,178.01","1,294,726,453.59","345,374,888.94","938,813,030.54","1,750,157,163.27","2,565,118,526.63","471,576,498.04","923,562,545.79","1,643,714,371.91","2,656,837,642.00","480,362,630.64","1,039,746,651.99","1,623,476,155.28","2,294,821,286.08","899,241,243.86","1,663,405,591.06","2,274,247,899.86","3,329,790,938.05","171,976,504.00","791,402,306.03","1,161,746,625.31","2,293,329,531.81","310,529,478.19","1,037,150,520.84","1,392,640,342.02","2,087,914,878.46","412,698,474.99","1,315,607,266.53","1,879,208,164.37","3,418,796,506.81","441,926,628.90","1,037,551,113.57","1,584,290,650.88","2,665,899,154.79","451,122,061.04"
投资活动产生的现金流量净额,"-187,077.91","-775,339.49","156,239.00","-50,883,199.72","-14,844,836.29","-46,944,129.24","-74,946,008.83","-85,434,728.68","-7,736,636.33","-29,655,269.78","-38,926,683.85","-72,347,327.19","-27,788,657.09","-31,638,662.82","-44,597,981.58","-49,495,522.27","-26,435,269.43","-32,738,989.85","-40,582,573.25","-37,412,941.80","-11,248,597.20","-118,800,403.13","-116,540,631.48","-127,000,611.71","-1,542,787.18","-3,702,516.52","-1,144,765.83","-33,713,012.43","-2,951,763.78","-5,961,377.03","-3,951,704.80","-12,433,987.64","-4,660,276.97","-5,746,493.97","-8,161,329.97","-12,802,357.54","-6,406,885.00","-7,880,090.60","-10,000,462.64","-13,515,662.79","-36,519,781.70","-210,771,381.94","-231,112,471.62","-776,244,745.28","-99,198,739.00","-81,796,651.43","-92,918,409.42","-188,684,889.87","-38,155,991.03"
购买商品、接受劳务支付的现金,"144,969,043.06","301,647,691.96","529,572,908.30","702,647,194.93","289,147,260.04","600,500,263.73","955,153,913.72","1,175,638,469.53","253,376,195.60","510,632,957.43","830,843,491.11","1,183,929,287.12","282,490,673.77","543,533,762.05","825,298,248.00","1,116,645,573.11","297,391,251.08","752,229,612.00","1,162,051,690.96","1,712,949,934.79","331,984,559.66","660,613,239.40","1,208,812,367.36","1,927,756,317.95","296,240,023.01","613,513,968.70","1,004,626,065.91","1,718,157,047.82","375,916,184.12","1,109,036,875.50","1,909,260,188.24","2,429,084,629.55","342,519,205.15","599,850,731.85","871,203,877.08","1,900,081,643.28","265,685,536.05","520,799,835.76","921,196,729.74","1,322,307,123.48","297,492,310.91","813,987,391.44","1,578,307,238.03","2,486,065,834.45","660,423,354.97","1,256,262,782.20","1,740,882,822.24","2,430,009,096.88","468,222,645.16"
吸收投资收到的现金,,,"322,092,000.00","319,442,000.00",,,"4,900,000.00","4,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000.00","300,000.00","300,000.00","3,120,000.00","8,920,000.00","10,420,000.00","12,220,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",
