科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"141,482,772.52","486,245,259.38","454,728,452.30","408,262,384.63","462,240,037.71","447,646,269.37","423,555,321.60","435,623,309.60","492,519,293.91","415,153,631.43","361,972,105.88","351,896,700.70","306,656,628.19","233,011,211.88","270,183,396.14","155,548,323.39","84,310,019.49","168,495,401.60","165,228,031.91","72,510,254.73","57,209,046.47","53,235,953.34","89,445,727.07","47,116,839.20","56,256,445.56","44,216,705.84","124,226,690.70","48,160,929.96","352,621,802.08","210,503,448.46","299,166,094.50","183,987,438.02","334,784,831.13","188,148,439.90","474,055,928.16","237,962,892.57","244,864,237.67","167,665,449.99","1,554,805,266.03","252,142,261.63","579,230,140.22","370,379,523.06"
短期借款,"273,500,000.00","255,030,000.00","226,700,000.00","301,600,000.00","231,000,000.00","225,000,000.00","116,000,000.00","79,000,000.00","28,000,000.00","106,000,000.00","116,000,000.00","245,000,000.00","171,000,000.00","206,000,000.00","254,880,159.81","284,967,965.21","303,812,361.41","378,493,481.38","347,950,000.00","375,686,804.27","403,394,323.82","306,298,043.66","389,487,702.50","336,003,176.30","294,321,346.40","376,196,177.37","356,304,195.51","347,782,080.59","572,900,000.00","481,000,000.00","583,000,000.00","653,000,000.00","658,840,000.00","801,500,000.00","610,000,000.00","509,000,000.00","577,000,000.00","583,000,000.00","734,000,000.00","544,400,000.00","575,000,000.00","748,000,000.00"
交易性金融资产,,,,,,,"11,102,070.00",,"2,893,210.00",,"2,657,121.00","2,034,120.00","9,248,260.00",,,,"24,407,615.00",,,,,,,"14,242,730.00","7,258,500.00","15,819,000.00","15,832,400.00","4,668,000.00","13,405,225.00","36,307,645.00","4,767,520.00","25,777,902.00","8,169,108.53","8,470,270.50","6,987,047.24","9,338,189.33","2,534,073.85","9,278,135.00","7,773,500.00","6,975,025.00","5,501,245.00","14,816,413.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,468,735.58","1,969,091.36","12,841,838.05","7,086,731.39","8,260,881.87","4,440,548.54","5,332,048.00","8,230,009.71","2,615,000.00","5,549,925.63","5,144,331.68","1,313,527.19","1,341,451.16","2,798,395.72","10,420,531.00","9,472,267.14","17,093,943.63","33,471,689.77","33,166,560.11","21,342,727.27","16,801,694.28","20,788,570.60","31,968,601.42","33,993,287.71","32,810,464.14","50,311,621.02","54,371,031.81","32,140,373.79","100,375,163.90","72,814,189.31","112,378,518.11","51,066,389.41","128,652,747.97","114,814,929.70","87,466,795.77","50,680,515.33","63,978,481.85","49,949,256.19","67,259,317.87","70,424,416.14","117,768,046.46","126,172,955.88"
应付票据,"152,000,000.00","152,000,000.00","90,100,000.00","106,000,000.00","86,000,000.00","116,000,000.00","80,000,000.00","138,000,000.00","272,000,000.00","214,000,000.00","108,000,000.00","126,000,000.00","68,000,000.00","10,000,000.00",,"6,273,981.63","6,273,981.63","10,000,000.00",,"10,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00","112,090,000.00","110,614,257.45","79,308,384.85","51,540,641.36","42,846,513.96","134,383,131.98","252,403,450.00","13,780,100.00","8,528,600.00","186,237,400.00","18,603,490.00","66,003,944.07","59,931,754.07","6,397,800.00","12,214,500.00","11,000,000.00","5,000,000.00","1,500,000.00","1,500,000.00"
应收账款,"74,921,128.60","67,910,253.08","52,706,884.52","79,174,703.16","89,885,369.13","87,958,083.87","20,190,295.56","39,448,413.31","58,399,699.55","53,480,037.06","38,496,954.86","93,074,601.12","88,671,000.85","83,538,387.73","61,647,519.18","107,490,819.66","111,023,876.32","97,792,500.61","68,500,807.56","110,101,558.01","116,362,361.18","140,748,777.49","142,779,325.44","204,310,746.63","202,747,804.80","206,606,607.81","159,028,204.72","266,183,183.65","429,871,411.41","463,720,121.48","296,568,348.20","517,957,342.53","540,375,869.42","573,039,991.47","322,941,441.53","475,987,681.81","537,199,562.79","578,881,012.60","441,050,126.58","667,421,648.83","756,456,906.57","786,000,358.82"
应付账款,"44,687,864.62","41,835,475.21","36,396,280.95","19,071,038.03","28,504,800.44","12,888,028.59","18,482,793.49","20,937,114.70","18,311,016.35","14,676,433.61","22,376,314.11","22,599,533.08","15,320,709.88","17,765,607.55","66,753,721.46","31,641,133.25","32,122,597.11","30,409,535.94","86,870,582.60","84,547,778.52","75,063,861.20","74,764,313.13","103,614,026.34","55,693,416.72","76,944,265.18","45,336,346.42","64,899,243.40","50,775,557.04","88,493,097.05","73,308,524.62","80,495,647.73","102,942,373.21","116,460,854.61","100,233,036.38","86,324,821.13","98,578,959.60","114,223,867.73","152,198,476.66","170,766,063.35","145,216,385.99","125,396,053.61","188,100,377.02"
预付款项,"69,087,913.98","92,966,787.40","41,059,033.93","90,041,742.97","69,662,035.62","41,030,735.94","15,265,564.37","33,358,720.32","46,163,598.51","82,706,775.57","71,102,547.89","108,351,672.87","132,045,531.22","145,704,884.80","145,915,860.41","173,690,455.72","203,825,383.80","178,539,748.69","51,449,149.98","46,877,107.45","28,377,246.20","103,779,081.92","55,556,867.71","38,620,710.01","28,762,433.67","49,325,138.35","57,899,061.78","73,877,481.36","58,358,616.73","80,669,030.93","30,997,404.98","93,741,145.26","52,926,074.95","86,638,826.65","59,402,031.75","101,926,127.79","74,564,550.36","152,054,187.15","77,107,864.71","145,428,778.73","94,181,063.20","265,657,479.89"
预收款项,"9,649,758.86","11,513,535.40","7,520,095.62","13,191,248.29","10,309,956.88","12,020,963.70","3,964,936.48","4,869,962.69","6,853,589.53","6,707,971.74","7,095,269.57","5,926,545.30","11,223,036.13","5,909,255.25","4,491,295.92","2,347,615.61","1,483,768.08","6,459,157.60","4,518,783.10","2,144,366.13","4,818,196.37","7,157,364.01","6,991,378.88","4,069,634.51","1,810,841.80","4,641,865.04","9,161,609.62","4,078,108.32","25,114,813.84","19,686,395.04","21,017,343.47","31,490,067.36","28,030,082.62","37,570,857.63","44,147,641.90","72,849,323.37","47,622,333.32","54,448,615.61","40,678,904.27","52,292,073.13","38,194,394.68","64,702,754.50"
其他应收款,"4,393,183.36","9,509,009.22","9,508,527.70","6,375,805.04","5,396,482.85","16,072,993.43","23,397,133.60","10,387,868.81","14,009,111.91","14,192,389.58","10,410,003.60","21,844,234.10","24,697,653.03","21,833,683.88","18,994,647.23","16,231,191.08","14,575,906.47","42,340,896.19","21,980,649.74","25,641,668.58","30,331,476.08","17,663,123.55","31,638,119.99","16,564,081.28","21,153,883.41","22,932,127.61","13,598,971.99","36,999,112.84","34,133,610.55","19,591,803.85","44,701,688.17","31,522,782.43","40,439,800.09","50,575,467.52","56,894,328.62","45,312,988.18","52,400,115.33","43,677,322.33","49,789,254.73","45,915,921.53","46,198,668.11","38,675,979.16"
应付职工薪酬,"3,164,331.27","3,512,832.39","3,895,017.82","4,442,855.22","4,741,825.01","4,117,529.25","5,598,860.63","6,033,745.11","6,233,466.99","6,306,185.26","18,031,076.94","12,754,203.98","18,896,491.64","19,712,934.14","24,917,231.65","17,716,413.92","22,116,510.51","22,237,043.22","28,788,398.66","19,582,801.90","25,677,087.86","25,353,069.13","41,219,749.77","25,119,194.40","32,541,527.95","31,372,245.78","49,127,769.38","29,711,088.84","49,265,027.85","50,398,878.61","64,410,406.50","39,395,285.71","51,342,015.04","49,502,804.31","60,232,172.65","41,781,793.27","54,845,860.63","53,732,299.78","70,425,458.80","51,712,825.65","59,364,463.20","65,433,445.52"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
