科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"147,292,831.20","306,666,800.00","484,205,597.52","682,078,926.24","152,019,659.70","354,935,999.58","576,779,848.65","742,498,154.65","105,832,169.96","301,884,845.46","529,080,439.75","777,436,881.45","251,507,452.94","548,603,324.35","865,089,443.69","1,161,237,632.02","288,446,248.26","646,881,942.90","1,014,506,185.20","1,308,920,880.27","256,640,158.78","632,539,228.33","1,110,767,430.54","1,623,202,273.50","446,548,809.57","1,084,772,562.54","1,737,684,196.17","2,447,163,304.12","651,233,839.55","1,562,768,258.82","2,466,559,252.21","3,305,481,665.85","737,199,681.27","1,722,220,142.60","2,833,541,485.62","3,874,017,127.37","1,101,717,101.40","2,477,886,642.76","3,987,079,901.32","5,475,027,849.36","1,485,799,873.44","3,312,310,698.79","5,323,762,885.43","7,009,887,112.79","1,927,998,369.81","3,785,884,856.52"
二、营业利润,"18,677,734.19","39,622,900.00","70,090,621.49","92,869,545.31","18,913,118.56","46,205,383.83","76,136,839.62","79,236,242.35","-3,610,298.37","21,120,725.16","56,989,514.62","85,415,000.65","28,569,732.63","66,945,147.29","113,373,993.20","122,696,013.75","29,657,077.12","75,280,141.40","101,567,399.07","49,372,005.37","7,891,767.97","47,155,701.53","86,383,861.97","78,835,334.01","35,837,662.43","109,900,553.45","168,161,358.51","189,320,325.49","41,927,159.08","140,536,123.40","231,014,589.29","282,178,648.07","59,226,864.19","147,391,613.72","231,736,333.77","249,520,575.15","84,108,901.10","198,628,207.32","315,788,639.19","416,013,733.71","137,515,952.86","327,080,509.61","491,220,552.71","629,173,824.01","110,527,438.33","276,990,941.40"
减:营业成本,"114,953,437.23","238,249,300.00","371,473,172.78","520,562,577.08","120,701,446.78","277,375,305.58","446,447,056.44","582,278,870.43","93,403,678.53","236,929,387.83","403,389,747.04","596,822,003.91","203,117,573.96","425,728,696.21","655,332,360.60","893,103,586.27","227,024,536.64","498,300,506.68","793,416,459.29","1,062,957,377.99","207,589,065.33","489,783,758.77","874,444,453.23","1,316,972,151.95","357,750,931.94","852,154,225.93","1,358,742,775.38","1,920,188,995.93","519,665,036.32","1,209,625,575.61","1,921,379,650.87","2,581,946,965.63","577,422,524.80","1,335,044,392.92","2,223,645,803.22","3,078,962,312.91","921,172,081.04","2,071,520,766.63","3,311,389,710.56","4,487,174,700.68","1,212,553,092.55","2,684,033,443.52","4,384,652,752.42","5,755,359,914.43","1,677,980,914.83","3,167,232,897.14"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"506,708.59","1,329,300.00","2,223,529.96","3,496,602.90","799,523.47","1,882,770.16","3,075,168.95","4,290,399.69","713,862.46","1,701,411.36","2,501,072.44","3,477,559.31","271,421.97","1,185,295.16","2,074,299.95","2,927,565.18","1,104,350.10","3,039,004.29","3,267,276.38","3,820,373.41","417,560.32","1,407,011.92","2,368,531.67","3,811,781.52","678,323.04","1,541,130.92","3,312,759.40","5,422,036.59","4,020,872.07","9,884,482.90","13,173,169.34","14,814,692.20","1,509,851.11","3,272,139.95","5,214,321.72","5,798,832.51","4,696,977.53","6,884,341.61","8,669,053.84","19,533,091.06","4,961,277.03","14,575,504.16","19,835,670.80","30,944,199.92","6,057,185.18","17,397,394.78"
营业外收入,"1,530,736.31","2,063,100.00","2,172,835.68","3,296,474.59","102,920.80","242,574.66","1,327,857.28","830,864.47","2,147,747.01","3,216,824.79","3,583,927.14","4,468,961.29","199,092.94","4,592,803.34","5,125,227.46","10,051,283.38","1,179,582.12","12,457,330.52","19,297,219.16","37,335,869.09","22,344,353.97","38,675,981.63","47,090,435.30","60,202,054.83","4,175,775.76","9,108,667.85","12,345,185.76","37,717,056.14","13,945,325.28","25,561,445.43","37,556,020.39","66,154,467.01","19,938,737.92","66,852,956.39","95,615,231.76","131,375,418.30","13,145,494.64","26,559,318.40","51,513,998.90","76,146,005.03","9,220,153.50","1,791,087.92","13,950,872.40","4,023,766.87","639,984.16","1,305,152.00"
销售费用,"1,911,156.50","4,399,300.00","7,101,902.74","11,261,633.86","2,391,032.26","5,521,039.10","9,045,166.61","13,601,353.90","1,732,328.03","5,278,490.81","8,910,979.68","16,354,641.82","4,145,824.82","8,866,535.67","14,278,160.45","23,229,677.32","5,259,441.38","10,567,214.21","16,297,009.57","27,858,180.09","2,752,029.26","7,991,253.04","14,981,103.10","27,452,183.36","5,726,889.02","14,435,001.19","22,693,320.22","36,438,094.82","9,117,771.26","20,092,451.00","29,470,326.98","42,090,148.61","8,794,073.61","23,081,809.19","36,235,938.28","54,945,555.54","11,434,442.27","25,722,373.89","44,076,269.05","61,428,220.29","18,296,554.11","35,849,216.72","55,330,357.80","73,891,506.01","15,268,978.35","34,951,485.20"
减:营业外支出,"78,388.69","165,300.00","176,714.85","68,901.30",500.00,"255,426.22","257,746.22","423,834.00","1,000.00","27,452.67","126,977.95","312,896.30",,"439,873.72","1,450,641.16","1,802,147.19","52,836.78","91,403.60","94,401.62","94,540.08",,"3,000.00","28,058.11","30,930.28","33,334.99","35,129.68","443,438.54","474,895.65","3,844.41","6,498.68","7,061.11","86,555.59","2,885,459.87","2,958,837.70","3,509,587.22","3,732,169.68","58,323.58","64,984.49","2,301,832.90","13,814,089.61","177,630.30","987,539.78","3,686,521.19","2,053,165.82","13,626.17","43,999.25"
管理费用,"9,183,888.08","15,994,200.00","22,815,361.84","39,616,546.30","11,064,037.55","25,146,197.27","44,683,824.27","67,006,328.36","13,356,606.55","35,058,834.44","55,913,999.03","73,608,269.09","14,619,739.47","41,073,736.45","74,316,807.39","112,455,265.62","20,939,614.68","49,527,278.71","83,028,796.24","136,928,555.01","31,041,543.37","68,861,915.32","109,369,836.85","160,083,288.65","40,665,376.54","92,083,974.31","144,793,593.25","241,791,327.60","66,291,734.11","157,197,160.54","236,977,979.39","352,118,706.93","83,123,297.97","195,407,339.00","292,486,571.58","423,350,236.58","85,129,252.14","182,663,401.82","318,809,096.04","501,846,396.78","111,379,976.32","257,450,538.04","400,429,333.26","584,038,482.64","119,880,276.56","291,479,168.58"
其中:非流动资产处置净损失,,"66,300.00","66,291.51","66,291.51",,"4,886.09","4,886.09","4,886.09",,"25,723.44","109,159.57","126,373.69",,"412,837.60","412,837.60","415,569.60","7,834.82","50,041.64","53,039.66","53,178.12",,,"18,058.11","21,930.28","3,334.99","5,129.68","6,236.54","33,850.65","3,844.41","6,041.19","6,041.19","7,789.22","2,697,860.05","2,746,146.02","2,987,301.54","2,982,554.73","6,505.73","7,968.64","2,209,374.32","2,902,558.43","170,954.28","867,590.99","3,525,777.50",,,
