科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"21,319,778.63","50,967,631.16","166,812,365.87","25,435,801.65","51,087,597.72","107,175,221.32","176,350,621.79","26,693,378.70","55,558,713.10","92,450,694.51","175,916,888.06","33,260,407.22","74,132,222.24","106,134,377.33","172,079,312.81","31,841,089.82","78,287,049.39","134,588,735.93","213,678,407.05","39,941,311.93","90,323,322.92","142,228,604.74","225,656,864.69","68,139,875.45","131,183,790.38","218,556,758.19","348,155,525.69","70,338,939.25","162,158,946.50","253,966,613.45","399,399,939.34","99,364,711.17","181,327,270.22","284,414,766.88","430,963,822.44","74,193,543.88","148,613,586.68","240,221,787.13","406,222,130.65","71,370,518.85","129,650,361.78","209,916,527.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"98,210.45",,"6,789,442.69","781,202.56","1,775,020.67","2,625,461.72","3,718,793.07","2,657,006.63","4,117,823.84","4,722,047.70","5,968,341.87","1,385,276.04","1,949,129.03","5,549,912.54","5,549,912.54","2,213,724.60","2,213,724.60","4,228,251.26","6,890,040.53",,,,"8,881,941.22",,,"6,166,451.87","8,076,701.78","398,952.55","3,930,313.09","5,803,567.72","7,488,587.71","2,007,798.97","3,587,489.52","4,799,323.26","8,477,060.78","599,427.37","1,952,396.39","2,661,043.41","5,884,917.26","281,650.82","2,060,843.67","6,020,155.33"
支付其他与投资活动有关的现金,,,,,,,"516,795,500.00","20,000,000.00","234,968,000.00","120,000,000.00",,,"65,000,000.00","85,085,682.76",,,,"40,000,000.00","54,000,000.00","23,710,000.00","100,000,000.00","191,000,000.00","256,000,000.00","84,000,000.00","304,000,000.00","514,000,000.00",,"148,000,000.00","15,000,000.00","144,000,000.00",,"173,000,000.00","173,000,000.00","257,780,163.73",,"3,855,083.00","30,000,000.00","30,000,000.00",,,,
收到其他与经营活动有关的现金,"55,232.93","91,142.75","959,790.43","491,956.97","3,313,336.54","5,207,264.15","10,142,061.44","2,879,279.37","6,546,220.95","14,647,918.51","13,176,791.90","3,636,865.64","7,741,758.92","14,086,644.14","5,127,997.44","3,438,250.52","22,031,068.30","57,339,841.30","57,816,870.96","7,738,621.65","14,216,621.42","24,260,958.60","49,471,485.65","27,573,920.86","36,121,099.58","47,718,102.31","57,685,822.48","9,699,810.83","11,450,961.81","33,023,153.88","38,183,568.49","2,419,322.83","16,331,248.96","46,184,699.98","46,497,388.43","6,287,993.67","52,158,087.50","61,194,753.20","73,166,915.31","8,070,241.29","43,305,089.64","67,425,960.87"
投资活动现金流出小计,"201,581.20","14,256,270.00","14,705,677.44","1,398,995.33","2,283,326.06","3,859,530.84","532,445,354.48","25,190,781.44","241,162,827.13","139,297,963.56","23,987,289.16","5,495,435.46","78,588,620.22","105,010,986.40","40,078,381.73","6,627,204.89","15,455,932.30","77,574,970.60","101,681,288.90","25,909,076.41","102,962,261.69","194,364,624.19","259,681,639.29","90,346,732.18","311,510,256.23","523,107,545.49","690,025,577.01","148,388,029.28","227,346,381.10","423,329,158.62","49,203,845.16","174,319,972.26","185,807,616.13","270,639,199.41","247,893,509.55","4,954,009.31","31,832,437.09","32,676,992.12","27,177,502.69","15,960,250.65","25,497,224.38","45,099,247.01"
经营活动现金流入小计,"21,473,222.01","51,058,773.91","174,561,598.99","26,708,961.18","56,175,954.93","115,007,947.19","190,211,476.30","32,229,664.70","66,222,757.89","111,820,660.72","195,062,021.83","38,282,548.90","83,823,110.19","125,770,934.01","182,757,222.79","37,493,064.94","102,531,842.29","196,156,828.49","278,385,318.54","47,679,933.58","104,539,944.34","166,489,563.34","284,010,291.56","95,713,796.31","167,304,889.96","272,441,312.37","413,918,049.95","80,437,702.63","177,540,221.40","292,793,335.05","445,072,095.54","103,791,832.97","201,246,008.70","335,398,790.12","485,938,271.65","81,080,964.92","202,724,070.57","304,077,583.74","485,273,963.22","79,722,410.96","175,016,295.09","283,362,643.66"
投资活动产生的现金流量净额,"-201,581.20","-14,256,270.00","-14,705,677.44","-1,398,995.33","-2,283,326.06","-3,858,730.84","-312,815,132.66","7,453.01","25,756,357.32","17,741,495.89","13,142,790.01","-5,495,435.46","11,635,522.42","1,796,491.59","2,497,891.90","-6,627,204.89","-15,456,895.37","-12,246,308.07","7,794,851.10","-2,140,813.78","46,071,350.73","65,536,482.67","87,295,456.27","-50,346,732.18","-44,507,992.49","-52,156,661.19","10,310,419.62","-29,334,596.91","39,051,720.03","-6,625,482.37","20,697,620.59","-184,379.20","-4,193,309.47","-14,830,502.68","-33,961,250.65","-4,347,444.03","28,884,853.51","28,040,498.48","16,210,057.31","-15,944,261.80","-25,494,742.38","-45,096,765.01"
购买商品、接受劳务支付的现金,"21,455,097.65","39,042,650.08","90,925,445.94","35,856,818.34","70,028,902.33","110,941,004.16","145,985,189.13","27,958,637.50","51,907,790.22","76,994,504.55","113,315,779.49","28,489,020.65","65,668,311.49","98,834,004.05","136,000,444.77","20,356,099.81","42,571,001.52","79,547,188.15","122,701,216.30","36,577,509.72","77,224,944.11","120,145,128.62","171,724,804.19","49,617,985.09","97,112,515.03","145,252,370.13","196,769,957.61","71,033,852.80","143,803,192.28","215,183,321.39","275,143,056.41","68,199,529.13","112,745,146.34","183,697,904.70","265,426,020.31","105,679,653.11","162,453,610.54","216,670,334.36","277,219,490.82","37,278,362.41","89,389,272.30","150,064,046.37"
吸收投资收到的现金,,,,,"375,395,825.16","375,395,825.16","375,395,825.16",,,,,,,,,"500,000.00","500,000.00","500,000.00","500,000.00",,,,"500,000.00",,,,"9,026,200.00",,"1,500,000.00",,"6,675,702.75","3,309,268.87","3,429,613.83","3,429,613.83","27,375,312.78","3,126,993.65","8,706,631.22","8,201,872.42","10,262,475.46",,,
