科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"255,842,621.67","668,338,642.19","1,256,995,934.83","298,987,413.36","905,114,896.76","1,472,869,879.86","2,127,643,318.37","500,583,517.33","895,170,039.04","1,561,179,404.00","2,489,990,685.70","674,680,867.69","1,655,853,323.95","3,190,010,512.43","4,954,520,850.26","1,688,802,627.40","4,049,117,499.45","6,836,711,475.35","9,349,121,383.66","1,864,595,336.35","3,868,773,825.61","6,597,209,277.48","10,543,831,106.65","2,469,473,042.62","5,445,048,156.15","8,376,911,571.75","11,842,671,700.96","2,888,796,686.30","6,233,303,443.25","10,187,773,996.27","15,384,933,002.41","3,347,526,426.21","6,673,409,692.64","10,282,459,884.43","14,144,005,974.74","3,423,050,248.01","7,528,134,232.29","11,697,151,173.94","16,397,424,177.50","4,923,881,947.54","10,249,313,260.88","16,317,607,349.57"
二、营业利润,"32,588,211.96","52,915,443.14","120,265,239.37","47,100,328.16","139,923,496.21","213,171,557.02","237,403,040.45","48,399,680.17","94,386,927.26","146,725,194.71","184,147,292.61","30,020,523.57","102,839,605.82","166,366,372.74","250,671,212.31","80,147,204.14","169,137,811.95","241,058,272.26","286,456,391.29","68,903,494.92","161,580,775.59","257,556,208.57","328,314,192.83","97,954,264.97","169,772,927.90","232,860,781.95","267,839,762.60","38,560,092.88","142,895,335.56","252,453,924.11","285,688,509.25","71,123,498.13","132,619,867.08","187,634,399.25","200,736,527.06","44,012,808.91","131,680,979.17","232,029,303.72","369,553,925.61","85,722,220.05","234,811,570.29","356,425,592.84"
减:营业成本,"206,422,947.44","567,849,270.98","1,030,824,583.91","226,149,945.81","710,452,337.35","1,179,569,401.52","1,735,495,106.36","424,753,189.08","752,640,680.38","1,317,908,654.79","2,148,106,356.73","588,133,171.23","1,441,771,148.41","2,846,592,614.27","4,382,998,274.97","1,504,705,835.90","3,657,428,021.51","6,116,395,865.94","8,464,998,593.89","1,705,910,486.97","3,513,671,954.94","6,021,487,010.69","9,583,075,472.64","2,239,657,990.99","4,937,964,208.18","7,736,749,950.98","11,050,887,352.14","2,705,739,559.60","5,798,291,362.87","9,469,752,786.45","14,443,174,728.56","3,178,270,399.04","6,283,319,220.93","9,655,593,097.71","13,273,309,604.95","3,268,294,881.53","7,096,132,473.69","11,005,401,755.24","15,285,573,547.26","4,640,524,591.56","9,596,199,771.95","15,322,745,735.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"514,497.74","1,252,627.83","2,901,241.88","920,867.98","2,735,135.82","4,600,170.28","5,090,333.67","46,826.54","247,223.70","291,613.13","593,980.70","24,848.43","1,151,852.31","2,257,107.32","3,446,491.72","604,286.01","2,700,786.76","4,745,754.68","6,427,917.03","946,633.17","2,423,442.37","4,073,683.00","6,478,001.01","730,111.30","1,023,106.53","2,011,403.38","3,161,419.83","240,759.60","164,747.21","1,779,160.34","3,620,921.60","246,563.80","1,030,535.73","2,140,785.15","1,829,238.28","419,132.81","1,201,917.69","3,624,458.62","31,320,179.42","862,750.98","24,227,464.55","32,400,124.79"
营业外收入,"85,400.94","43,632.31","492,616.72","121,003.08","354,840.40","397,769.90","1,838,049.84","115,853.25","648,210.85","1,008,612.00","16,932,102.11","650,700.00","3,861,500.61","4,084,479.35","5,218,097.59","1,583,527.00","3,609,513.66","14,886,411.97","5,025,075.81","835,869.10","3,793,695.31","4,215,143.33","14,264,454.30","1,217,082.03","3,256,735.57","3,445,219.88","10,202,272.27","21,930,915.51","24,200,185.86","31,294,391.52","30,322,918.13","2,076,546.70","3,974,287.82","11,091,078.20","13,427,060.14","4,121,240.30","9,053,676.48","9,752,221.19","10,507,172.44","472,838.45","2,750,883.54","3,823,337.83"
销售费用,"1,702,468.97","2,550,098.64","4,896,320.22","1,436,145.76","1,889,629.24","3,964,787.32","5,156,281.98","2,870,218.83","6,621,248.02","10,810,089.40","16,765,266.19","3,863,052.46","10,010,617.85","12,853,993.27","15,353,554.76","4,719,690.81","7,562,398.64","11,714,060.93","16,992,544.04","2,094,994.14","6,485,919.84","9,301,273.70","14,455,043.87","2,564,648.06","14,111,744.31","19,200,300.15","41,010,798.88","2,826,066.71","12,271,944.02","22,266,494.81","37,406,208.78","8,845,662.41","18,762,248.29","27,897,660.13","35,348,705.68","5,311,917.55","18,934,783.02","23,562,958.45","45,176,027.61","24,110,707.32","52,075,803.72","83,079,724.37"
减:营业外支出,"35,414.82","297,733.61","386,322.95","256,404.78","444,101.46","821,558.41","1,934,520.91","2,758.75","170,500.83","344,965.84","402,212.99","14,600.24","128,385.64","259,475.40","727,174.41","37,340.00","177,358.12","498,640.49","1,345,769.02","12,732.63","93,704.38","216,013.62","3,235,023.87","37,000.00","372,496.76","483,601.76","563,215.93","40,852.83","242,606.07","712,515.32","4,753,652.34","13,996.00","382,204.47","603,520.51","15,670,337.80","138,793.11","573,507.53","858,191.15","126,981,861.98","823,201.15","1,136,145.28","1,306,145.28"
管理费用,"9,479,482.91","33,590,180.35","71,008,755.90","18,526,541.73","35,914,008.95","55,210,474.64","86,864,036.98","20,782,342.17","47,154,972.65","64,299,471.95","100,939,941.28","27,785,435.70","60,802,670.60","94,923,382.74","138,768,502.17","37,106,449.06","80,415,593.77","143,089,877.78","214,598,179.56","54,012,797.80","118,403,535.47","185,420,309.26","304,077,035.42","60,966,895.66","147,926,305.95","212,406,116.72","315,827,235.92","72,588,091.10","146,971,265.28","226,024,306.99","336,381,605.43","83,154,185.46","175,161,544.74","278,610,957.94","378,375,011.55","90,088,957.86","179,144,852.24","269,143,357.97","354,138,706.59","105,885,426.79","199,666,721.98","317,321,621.45"
其中:非流动资产处置净损失,,"212,823.79",,,"266,097.13",,"511,492.79",,,,"18,110.83",,,,"102,476.41",,,,"934,403.51",,,,"2,464,142.91",,,,"41,725.59",,,"313,089.07","618,448.31","1,000.00","59,283.70","124,400.09","11,014,795.65",,"162,225.67","250,151.76","276,995.22",,"783,840.83","783,840.83"
