科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"34,209,804.79","18,733,264.90","338,990,395.96","298,540,238.77","231,218,258.37","228,084,055.26","232,823,337.11","223,453,637.10","186,191,045.47","156,179,299.72","167,397,222.14","188,466,579.79","188,218,671.91","109,920,541.91","160,985,833.49","84,728,515.50","96,064,629.76","38,900,306.90","68,689,789.07","66,746,277.50","82,310,275.25","42,036,662.09","704,237,563.65","179,648,526.36","135,359,878.95","74,961,824.25","77,097,565.11","84,100,598.07","125,944,960.63","61,172,891.27","109,303,368.40","91,116,517.21","111,107,554.36","116,700,318.30","195,274,671.67","211,538,170.81","161,730,331.71","173,224,308.82","228,431,538.10","456,208,810.07","927,073,032.63","355,911,984.05","328,939,502.29","301,780,548.30","446,973,486.88","448,679,334.14"
短期借款,"80,000,000.00","110,000,000.00","110,000,000.00","77,000,000.00",,,,,,"8,500,000.00",,,,,"90,000,000.00","50,000,000.00","20,000,000.00",,"30,000,000.00","10,000,000.00","30,000,000.00","40,000,000.00","160,000,000.00","125,000,000.00","127,000,000.00","72,000,000.00","42,000,000.00",,"12,000,000.00","12,000,000.00","22,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"17,577,866.26","4,701,865.00","4,821,350.50","3,036,504.00","20,737,462.40","19,601,380.00","14,240,390.26","14,580,592.00","13,402,906.15","4,521,278.30","35,879,153.05","16,041,051.12","4,190,017.00","23,200,040.75","40,293,891.70","52,650,755.20","74,336,520.23","60,714,598.72","58,485,779.39","43,967,662.04","60,006,077.79","30,465,374.08","55,990,866.46","97,717,162.56","116,937,438.75","56,678,541.40","46,705,252.37","45,833,088.25","97,642,461.75","80,566,522.75","94,205,296.42","71,265,112.32","89,529,956.60","50,910,760.36","93,904,827.88","123,856,479.31","143,273,711.99","90,866,810.23","115,682,129.64","164,837,358.06","211,872,768.59","143,143,592.09","116,473,626.15","127,651,928.23","171,012,325.16","161,821,890.56"
应付票据,"7,100,000.00","10,000,000.00","10,000,000.00",,,,,"3,000,000.00",,"2,400,000.00",,,,,,,,,"6,000,000.00",,,,,"115,804,660.14","103,062,863.73","81,399,120.35","42,497,051.67","73,390,180.42","115,283,773.37","88,279,584.60","62,066,897.38","26,816,074.64","9,568,124.84","17,620,989.88","35,724,989.88","50,669,000.00","7,060,000.00","10,000,000.00","21,900,000.00","113,453,000.99","174,042,299.53","166,836,453.69","144,464,428.62",,"171,308,924.88",
应收账款,"75,798,363.77","91,815,404.51","121,511,754.27","116,951,266.88","80,501,033.30","79,640,217.39","99,678,334.68","108,610,399.63","79,895,646.81","96,784,519.93","80,196,602.58","114,582,255.00","51,602,292.51","78,353,220.32","94,049,126.70","119,393,620.68","64,723,466.22","88,757,992.50","95,023,417.73","114,362,486.77","68,747,401.16","92,121,017.09","83,873,236.49","361,972,052.36","295,981,937.68","366,069,296.27","368,077,504.80","390,918,404.56","256,142,665.55","326,882,150.24","342,679,209.09","381,906,854.44","283,847,684.87","363,626,345.01","350,134,943.83","388,513,005.88","283,167,515.79","347,680,405.83","333,783,454.54","531,391,556.55","430,401,409.28","466,301,041.39","589,222,365.87","697,980,705.67","590,307,415.50","504,142,615.43"
应付账款,"58,115,918.95","56,167,072.80","52,154,364.15","40,362,292.28","29,255,957.99","30,521,967.33","30,992,036.96","34,400,969.06","61,475,672.73","39,795,458.20","73,961,026.66","79,300,575.78","48,742,321.13","140,298,266.90","66,550,123.90","45,288,354.33","43,258,841.28","42,730,642.63","56,001,641.87","57,736,087.35","46,097,882.79","69,750,391.51","75,780,814.96","235,509,614.50","201,432,223.54","242,831,612.73","255,332,078.47","258,774,143.17","217,607,615.79","225,087,212.65","259,751,862.14","244,695,024.06","242,164,519.36","228,000,833.92","222,006,631.99","231,679,678.85","224,436,199.42","278,107,286.13","239,132,843.79","488,396,055.53","444,032,105.72","402,145,357.30","433,828,862.11",,"505,762,193.80",
预付款项,"27,256,401.73","43,234,224.33","18,034,382.13","17,084,734.62","16,493,466.67","21,901,249.31","24,643,041.78","41,096,845.05","75,568,115.73","68,389,787.28","68,382,623.39","74,055,887.65","102,724,435.50","141,363,889.96","88,877,665.22","72,931,234.73","42,135,014.35","55,158,834.57","61,696,203.81","51,545,341.81","58,325,532.84","48,454,329.54","45,504,136.44","79,561,256.57","69,590,998.75","50,249,978.56","63,905,913.07","61,721,384.55","49,022,201.49","33,445,932.71","34,525,051.24","21,230,723.37","52,973,931.97","37,859,235.03","14,542,403.04","25,053,886.43","28,135,242.29","91,216,767.37","22,638,485.23","64,558,133.32","54,185,312.07","61,242,796.55","60,683,332.35","72,990,646.19","64,617,053.12","72,201,583.37"
预收款项,"976,424.16","760,550.18","792,716.22","4,497,502.05","541,631.25","2,681,176.36","4,206,034.78",,"1,797,194.80","1,254,922.40",,"15,025,097.30","67,278,544.21","28,133,161.71","50,016,637.05","38,337,571.38","32,263,675.27","40,699,686.49","34,778,606.73","38,991,367.31","26,951,747.71","16,527,172.41","29,806,703.77","49,066,697.65","37,507,630.37","50,893,487.28","58,234,423.70","53,686,570.26","54,213,907.64","37,423,005.26","59,029,575.69","26,537,915.61","32,476,485.32","21,196,822.47","32,735,351.69","28,273,734.95","23,050,885.01","23,989,740.47","39,407,003.63","117,892,383.01","58,631,432.01","79,602,007.37","63,307,902.25","104,689,091.21","59,860,377.00","68,633,029.51"
其他应收款,"5,604,282.62","8,508,358.73","2,389,551.43","7,073,224.88","2,392,682.48","2,404,809.52","3,837,289.63","3,735,469.96","2,408,975.54","2,913,379.46","5,170,765.96","5,330,931.72","3,085,050.54","5,057,362.41","3,921,975.16","9,414,772.34","3,855,026.63","5,281,836.87","4,277,514.09","4,014,097.61","3,687,774.97","4,659,211.80","3,477,416.18","13,122,121.38","10,706,543.00","15,932,448.66","15,242,772.77","21,401,253.10","8,070,152.67","8,995,358.60","10,481,840.89","11,820,097.29","6,045,514.59","7,917,803.22","7,487,654.50","6,205,419.69","4,986,400.77","6,769,685.40","7,815,787.29","8,421,974.60","11,811,116.52","41,152,502.15","32,653,792.19","16,199,458.32","14,808,028.02","33,946,494.76"
应付职工薪酬,"26,465,635.82","22,510,491.60","25,473,349.67","22,632,757.31","7,155,451.20","10,248,389.64","16,367,296.99","15,432,236.29","4,650,738.72","5,783,574.62","10,682,136.97","14,410,255.64","15,730,615.53","19,459,499.71","26,993,084.12","25,995,899.73","14,986,568.34","9,738,090.54","17,590,876.49","20,614,616.37","12,197,312.92","5,831,432.74","8,254,108.56","17,601,413.82","5,189,605.90","7,980,654.24","12,505,555.70","18,545,669.25","5,275,523.38","10,646,807.43","18,199,874.91","20,020,655.77","14,765,857.52","20,800,266.81","25,103,901.81","25,255,928.08","13,862,785.27","26,472,643.41","35,102,365.23","132,916,259.16","121,623,050.46","114,784,910.18","114,842,578.96","98,018,680.10","117,631,371.74","128,541,967.40"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,583,121.34","3,627,535.12","6,968,175.54","2,856,049.42","337,518.33","-1,678,094.40","3,622,625.32","-240,526.37","-3,138,696.31","-4,655,454.39","-366,886.75","8,844,488.90","8,590,359.63","5,712,375.99","5,114,980.54","9,123,290.75","9,841,205.18","5,282,402.67","846,287.94","7,244,104.14","5,419,339.16","41,942.95","-1,258,237.57","6,190,747.59","10,992,542.98","7,421,086.28","7,997,577.26","11,151,221.00","5,864,519.85","1,259,821.14","9,360,567.44","5,079,474.87","5,279,876.21","5,133,102.52","17,068,292.12","11,126,493.92","5,426,456.53","6,440,661.68","3,989,294.51","13,783,550.54","17,651,250.62","-4,223,307.42","11,603,300.89","6,217,659.12","17,977,406.83","14,838,621.65"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,"181,500.00","172,500.00",,,,"10,680.00",,,,,,,,,,"133,833.33","302,500.00","456,500.00","456,500.00",,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"167,846.62","167,846.62",,,"167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","167,846.62","430,595.15","430,595.15","702,036.41",,,,,,,,,,,,,,,,,,,"4,949,880.22","2,474,940.11","2,474,940.11","2,908,277.44",,,
存货,"138,151,850.91","161,668,310.35","171,431,584.65","162,018,578.71","120,648,703.33","115,662,697.52","93,990,742.79","78,279,492.36","105,701,655.97","114,699,872.34","108,428,907.44","98,640,457.81","115,694,314.10","171,748,909.14","164,849,319.10","133,706,062.23","116,354,342.97","121,307,702.88","119,628,863.31","114,695,515.21","105,966,032.81","164,388,142.69","159,054,708.91","319,789,366.42","306,856,522.84","364,070,960.06","339,363,651.42","302,388,597.92","325,778,868.79","329,727,177.51","282,179,929.99","242,763,274.72","281,791,632.29","266,005,669.35","235,087,800.18","201,404,468.33","288,815,025.00","304,666,351.29","299,423,948.32","556,839,076.30","446,227,953.30","509,238,695.43","460,734,696.61","477,248,868.12","443,018,579.45","478,120,504.39"
