科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,140,204,832.72","2,030,598,730.62","4,184,425,098.17","1,532,753,300.85","2,711,139,834.34","3,896,661,307.57","5,201,345,306.94","1,631,799,841.44","2,930,118,700.11","4,261,686,987.19","5,725,333,525.94","1,865,032,737.32","3,358,133,841.03","4,974,961,789.83","6,770,265,925.98","2,397,103,666.69","4,257,402,315.73","6,283,216,298.05","8,439,186,388.01","2,788,431,554.15","5,002,503,784.05","7,377,511,702.33","10,005,654,563.45","3,159,177,445.64","5,780,989,239.86","8,450,291,568.47","11,387,894,647.21","3,670,085,785.30","6,437,554,894.42","9,286,294,503.85","12,296,788,271.67","4,446,183,113.46","8,060,868,350.47","11,680,420,666.30","15,451,608,970.31","4,477,965,404.47","7,915,310,174.15","11,572,160,114.85","15,470,401,198.73","4,730,264,990.95","8,687,075,820.23","12,712,345,673.33","17,250,410,196.54","5,389,943,489.66","9,568,158,155.08","13,847,769,763.60","18,397,871,068.95","5,618,860,546.47"
二、营业利润,"56,562,960.74","75,809,429.16","162,477,698.08","85,261,405.82","118,864,369.00","154,482,150.79","206,010,566.13","98,882,282.96","132,532,641.83","161,466,396.83","215,376,929.15","97,705,909.70","135,209,963.05","164,470,047.06","219,587,488.18","137,024,790.73","198,918,083.64","234,632,280.49","324,811,147.82","170,869,995.52","250,714,668.99","302,488,220.33","418,569,157.46","211,200,990.91","311,781,057.76","380,635,711.68","528,897,161.29","249,543,924.93","340,061,400.03","413,247,724.53","429,928,166.28","220,990,596.57","264,171,603.46","246,776,187.16","202,000,129.91","153,287,672.30","190,517,586.53","175,369,044.95","135,265,913.49","214,379,063.49","264,844,121.18","252,630,468.21","216,932,473.80","228,619,988.09","274,481,687.22","252,703,579.98","240,184,507.09","251,720,583.85"
减:营业成本,"914,732,264.99","1,635,007,221.51","3,368,472,380.10","1,239,307,139.63","2,195,676,270.35","3,145,731,622.31","4,175,336,641.57","1,308,548,367.01","2,361,130,681.96","3,438,283,841.25","4,602,460,103.30","1,492,613,878.29","2,663,784,347.38","3,960,084,742.63","5,383,578,768.44","1,925,446,787.28","3,392,037,729.44","5,003,585,120.06","6,697,687,640.15","2,208,938,828.54","3,952,141,684.94","5,847,073,750.05","7,877,351,397.86","2,470,629,634.16","4,526,602,568.10","6,635,865,979.29","8,847,586,133.57","2,845,915,408.44","4,960,119,350.61","7,154,060,813.31","9,533,717,401.58","3,475,153,785.68","6,275,313,447.90","9,106,543,033.58","12,063,983,343.86","3,526,791,853.02","6,198,243,677.00","9,091,507,183.43","12,156,791,847.74","3,726,057,319.40","6,809,389,516.94","9,965,798,455.87","13,538,150,219.64","4,190,966,643.55","7,379,398,254.53","10,689,597,106.45","14,161,047,835.60","4,289,345,744.25"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,230,024.72","8,971,739.65","17,367,051.69","7,165,598.52","10,947,975.92","19,012,630.88","25,452,678.52","10,945,492.35","20,840,781.44","27,171,189.54","34,262,311.60","14,117,719.77","24,829,456.65","39,062,610.74","50,901,759.64","15,571,278.59","31,510,836.95","49,952,415.53","67,292,678.94","25,212,721.65","47,075,244.36","68,820,455.88","90,475,788.51","31,146,203.68","64,831,677.56","90,199,108.38","114,884,617.08","35,253,775.79","62,325,142.14","87,697,826.73","117,882,539.98","36,307,118.00","70,791,039.69","103,171,100.92","132,083,888.95","33,935,662.49","53,389,959.46","63,937,467.70","108,852,594.73","30,411,142.68","60,618,491.04","87,322,044.56","122,703,939.50","38,721,905.68","72,380,305.88","100,523,544.37","140,973,221.21","31,824,853.12"
营业外收入,"1,788,988.17","2,426,010.52","8,587,124.62","5,721,787.89","6,498,316.49","8,143,680.59","12,578,509.08","5,643,584.11","7,294,828.55","11,670,606.53","18,758,156.56","7,198,490.62","8,556,125.78","12,894,269.80","25,056,360.47","4,246,240.07","7,776,597.66","11,680,056.38","20,403,037.61","8,234,568.13","9,330,987.66","15,481,443.15","34,552,686.36","6,989,207.12","11,388,428.23","17,774,816.53","27,260,287.12","2,017,764.75","20,293,752.10","25,137,172.11","34,796,134.94","8,346,290.90","46,331,438.50","54,756,644.43","78,411,614.23","7,620,092.76","43,694,238.13","77,738,821.08","100,821,213.90","4,890,390.88","21,192,347.81","20,855,509.76","27,410,599.59","3,963,857.56","15,991,190.24","22,401,308.82","33,457,969.63","3,826,656.35"
销售费用,"143,211,468.57","275,108,623.88","568,542,563.00","177,594,783.70","341,042,960.67","518,481,232.52","723,854,569.80","192,270,136.91","375,696,660.94","578,174,140.95","777,547,408.39","233,439,198.57","472,816,423.37","726,412,895.44","997,820,224.90","277,427,819.41","552,848,545.64","870,879,962.65","1,176,164,913.28","328,124,868.82","640,648,750.35","987,868,328.67","1,402,018,101.22","397,039,867.91","776,716,017.21","1,193,155,762.64","1,690,393,296.93","495,983,252.11","977,715,534.57","1,472,125,862.04","2,007,939,769.26","641,823,582.66","1,296,508,584.93","1,973,073,957.73","2,699,610,547.86","694,938,085.66","1,325,966,461.45","2,020,402,829.59","2,752,482,935.11","686,792,163.27","1,405,836,412.39","2,187,317,947.90","3,060,612,998.20","824,446,077.67","1,602,685,100.58","2,446,982,061.33","3,329,806,058.12","905,176,116.89"
减:营业外支出,"1,271,761.64","1,587,868.65","2,883,737.70","456,482.40","1,848,804.68","2,284,872.16","5,261,215.84","371,375.35","1,149,619.31","2,867,410.78","4,841,338.93","722,950.04","1,308,139.12","6,517,709.70","9,943,755.25","473,300.87","1,871,335.95","3,520,690.13","4,393,342.15","563,311.51","1,543,391.90","2,917,238.90","5,812,115.62","602,125.24","1,736,794.29","2,748,119.04","14,544,468.74","543,917.87","1,462,663.41","4,060,823.59","6,230,148.57","1,242,245.98","3,108,064.92","5,176,719.34","16,054,263.45","2,627,356.29","9,444,387.70","20,217,072.13","35,962,038.55","13,670,662.28","16,557,240.52","27,518,653.71","28,340,341.96","7,185,877.79","14,157,688.07","24,418,202.75","53,074,036.97","7,649,576.53"
管理费用,"18,495,102.52","32,676,367.00","60,490,291.64","23,462,499.25","44,081,980.88","65,000,635.70","82,486,290.04","25,057,866.83","50,699,980.68","74,771,339.15","113,207,673.97","31,173,379.38","66,385,056.79","97,417,291.76","130,675,507.68","41,102,903.95","84,794,256.07","129,748,270.49","175,913,064.50","51,040,780.35","95,728,187.63","147,474,343.59","194,609,929.96","58,472,850.83","117,132,753.52","171,214,911.94","237,276,281.37","49,546,854.56","98,976,890.85","153,570,983.15","208,024,681.82","66,908,664.54","136,610,757.53","217,739,664.36","307,398,436.48","65,153,994.94","134,417,239.08","203,267,382.77","272,658,807.18","64,462,598.95","129,801,949.49","200,339,067.06","299,866,755.83","98,164,652.33","204,310,208.93","297,554,044.61","421,583,835.62","93,365,111.26"
其中:非流动资产处置净损失,,"163,573.83","659,930.71","320,052.07","428,252.31","685,448.49","1,871,610.87","132,681.58","542,403.98","1,597,450.94","2,649,239.16","467,953.04","915,931.19","1,706,268.80","3,795,852.06","328,534.46","843,965.68","2,007,259.79","2,519,592.62","404,902.70","782,409.97","1,159,133.40","1,889,830.57","162,202.68","438,726.43","1,017,491.71","1,286,668.22","328,783.95","975,642.17","3,285,922.76","4,827,826.08","260,419.87","1,053,515.10","1,677,636.51","4,161,249.56","505,518.93","1,621,190.63","2,561,719.24","7,114,487.43","591,848.87","2,493,701.39","4,724,558.59",,,,,,
