科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"92,243,218.84","236,101,231.49","399,447,544.71","98,932,281.07","223,873,324.22","292,683,824.49","387,056,692.98","56,099,361.02","157,152,650.91","270,583,987.84","423,469,211.35","90,527,304.76","248,228,636.25","395,768,885.10","577,538,145.47","119,607,585.39","258,507,831.90","409,561,804.79","593,669,706.57","122,593,470.22","358,064,048.73","532,141,735.94","803,241,338.87","63,484,902.03","254,145,863.61","441,264,106.94","474,118,230.87","257,481,404.31","633,981,757.45","855,830,568.35","1,179,875,114.78","378,859,527.68","862,047,683.46","1,412,873,615.17","1,961,905,969.05","476,982,619.06","931,412,441.64","1,450,415,588.48","1,912,802,242.57","324,469,056.55","817,569,999.83","1,391,151,198.14"
取得子公司及其他营业单位支付的现金净额,,"2,293,453.31","5,790,722.53",,,,"-551,597.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,072,670.11",,,
收到的税费返还,,,"84,999.00",,,,,,,"3,385,386.37","3,385,386.37",,"1,025,539.37","1,025,539.37","1,025,539.37",,"1,072,695.62","1,072,695.62","1,415,356.68",,"1,795,228.82","2,814,008.33","2,814,008.33",,"1,646,306.76","2,253,672.30","3,262,081.97","867,927.28","867,927.28","867,927.28","867,927.28",,,,,,"75,200.00","172,767.00","172,767.00","96,767.12","875,931.68","987,296.45"
支付其他与投资活动有关的现金,"8,214,025.11","11,753,235.31","1,964,535.31",,,,,,,,,,"6,400,000.00","12,237,843.33","13,055,686.06",,,,,,,,,,,"1,000,000.00","1,000,000.00","860,000.00",,,,,"208,170.00","262,170.00","14,331,410.77","19,515.22","28,030.84","28,030.84","43,261,096.98",,"100,294,768.18","100,294,768.18"
收到其他与经营活动有关的现金,"2,561,123.36","1,138,007.79","5,113,362.53","1,497,781.35","3,984,207.00","4,733,886.32","7,024,508.92","3,151,257.69","4,679,758.02","15,022,100.28","15,565,972.17","1,257,132.37","3,473,149.77","9,954,293.39","11,448,849.34","3,899,851.15","5,686,710.95","8,214,719.83","4,518,819.74","3,873,174.40","6,451,488.88","8,489,372.11","7,057,248.33","7,566,927.80","9,529,801.10","11,727,257.16","25,301,275.73","27,070,611.00","34,730,480.88","78,953,539.44","43,650,213.86","6,091,824.29","23,478,729.24","36,712,014.52","49,286,256.74","13,842,679.46","26,619,996.02","50,072,380.61","74,469,924.22","18,928,474.34","29,517,822.94","59,065,119.15"
投资活动现金流出小计,"10,542,173.11","19,437,417.50","32,213,101.22","3,123,204.80","5,245,565.37","13,594,759.12","28,675,814.37","34,899,940.94","47,650,924.87","54,530,744.40","60,994,238.62","4,172,333.13","47,154,305.61","85,517,597.93","102,270,177.12","10,857,493.27","34,418,467.76","98,062,496.52","177,972,287.03","32,475,351.86","92,501,031.62","113,716,363.56","149,699,504.47","55,829,059.25","233,451,267.82","261,836,791.13","272,679,809.49","68,228,946.50","90,211,405.09","697,881,231.19","712,058,976.55","530,372,914.77","739,191,531.67","978,606,190.34","1,033,618,756.98","98,879,650.56","770,091,630.95","853,570,041.46","2,127,972,437.17","409,456,068.73","2,112,468,707.40","2,139,454,359.41"
经营活动现金流入小计,"94,804,342.20","237,239,239.28","404,645,906.24","100,430,062.42","227,857,531.22","297,417,710.81","394,081,201.90","59,250,618.71","161,832,408.93","288,991,474.49","442,420,569.89","91,784,437.13","252,727,325.39","406,748,717.86","590,012,534.18","123,507,436.54","265,267,238.47","418,849,220.24","599,603,882.99","126,466,644.62","366,310,766.43","543,445,116.38","813,112,595.53","71,051,829.83","265,321,971.47","455,245,036.40","502,681,588.57","285,419,942.59","669,580,165.61","935,652,035.07","1,224,393,255.92","384,951,351.97","885,526,412.70","1,449,585,629.69","2,011,192,225.79","490,825,298.52","958,107,637.66","1,500,660,736.09","1,987,444,933.79","343,494,298.01","847,963,754.45","1,451,203,613.74"
投资活动产生的现金流量净额,"-10,542,173.11","-17,937,117.50","-29,142,774.62","-3,123,204.80","-5,245,565.37","-13,593,859.12","-28,653,299.37","-34,896,009.44","-47,646,993.37","-54,526,812.90","-50,990,307.12","-4,172,333.13","-39,954,305.61","-78,317,597.93","-93,570,177.12","-10,857,493.27","-34,418,467.76","-98,061,551.52","-171,338,535.86","-32,475,351.86","-92,496,031.62","-100,411,363.56","-135,034,300.97","-55,829,059.25","-233,450,811.82","-261,836,335.13","-272,679,353.49","-20,840,385.00","-47,567,748.59","-608,237,574.69","289,877,655.56","-509,637,676.62","-676,802,720.52","-912,486,153.24","-818,741,754.62","-98,839,650.56","-553,865,954.73","-506,758,521.32","-765,645,860.31","-404,446,068.73","-930,217,451.96","-833,700,624.66"
购买商品、接受劳务支付的现金,"24,029,341.17","43,582,824.17","91,863,570.27","24,527,955.28","53,727,116.19","82,883,687.95","124,125,740.41","27,959,932.97","60,200,827.50","95,086,695.78","148,516,539.73","41,549,470.17","79,063,819.33","120,936,828.31","162,305,964.76","37,986,100.95","74,401,583.51","116,351,085.95","157,395,560.36","58,283,096.66","119,348,709.89","177,564,033.53","233,313,340.36","60,302,459.61","106,348,738.31","185,439,121.10","260,247,366.09","79,191,724.03","175,897,728.16","276,594,655.90","404,352,162.54","139,112,198.80","293,461,605.68","449,259,937.65","629,417,518.60","139,410,601.14","298,508,278.34","499,392,403.02","698,715,624.87","181,941,493.68","378,907,194.59","606,460,034.40"
吸收投资收到的现金,,"440,000.00","980,000.00",,"488,342,000.00","488,342,000.00","488,342,000.00",,,,,"750,000.00","1,500,000.00","2,250,000.00","3,000,000.00",,,"750,000.00","6,990,000.00",,"750,000.00","750,000.00","4,310,000.00",,,,,,"477,235,200.00","477,235,200.00","528,824,100.00",,"640,999,960.69","640,999,960.69","680,843,098.53",,,,"2,400,000.00","40,184,784.90","37,457,835.24","37,457,835.24"
支付给职工以及为职工支付的现金,"12,187,145.93","14,236,565.86","30,654,441.02","11,896,230.01","23,364,411.14","33,509,914.49","49,504,716.33","12,914,715.43","22,377,692.78","36,272,758.68","49,965,263.47","25,392,713.30","44,657,869.84","60,042,134.61","79,046,375.42","29,201,084.48","51,342,706.76","67,097,353.33","82,476,481.67","27,655,676.48","57,916,165.65","81,550,552.61","101,852,355.86","36,044,136.80","71,217,602.05","97,184,052.66","120,722,405.30","32,133,630.03","71,494,774.85","111,861,626.87","159,857,966.32","73,417,668.08","121,778,437.90","175,958,934.16","244,222,372.44","90,371,115.73","149,323,786.68","214,506,020.38","272,538,309.29","105,642,674.80","180,848,140.15","247,333,810.42"
取得借款收到的现金,"53,000,000.00","53,000,000.00","59,000,000.00","43,896,614.81","43,070,367.09","43,070,367.09","44,035,586.64",,"20,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"300,000,000.00","300,000,000.00","450,000,000.00","666,000,000.00","666,000,000.00","666,000,000.00"
支付的各项税费,"20,373,482.43","33,525,557.78","52,930,483.90","21,453,291.38","41,778,617.79","59,846,028.38","70,053,154.88","19,349,517.86","35,473,501.67","57,965,630.79","80,173,869.78","28,549,438.05","46,239,117.48","69,751,066.04","94,749,875.65","44,959,150.03","66,977,928.42","87,863,180.63","117,178,563.79","40,040,949.09","54,664,997.14","90,459,551.28","133,755,475.89","51,021,676.41","65,638,106.18","111,579,908.06","136,013,550.11","12,350,661.23","67,611,909.16","97,108,656.23","134,435,713.52","80,744,792.06","144,133,597.52","211,357,246.39","272,955,203.96","81,042,349.74","142,676,558.48","217,391,270.05","267,104,879.83","157,735,323.99","172,950,433.02","274,585,184.05"
收到其他与筹资活动有关的现金,,,,,,"977,374.58",,,,,,,,,,,,,"6,299,272.99",,,,"2,850,067.20","54,878.97","123,539.91","201,270.75","201,298.04","1,608.25","4,814,613.00","55,580,121.25","7,715,016.99",,"714,842.71","1,615,853.71","1,633,545.46","35,775.00","8,703,996.11","8,873,121.11","12,653,740.11",,"1,051,435.95","1,355,652.91"
支付其他与经营活动有关的现金,"14,292,253.15","28,509,032.28","53,486,842.39","17,154,627.24","28,726,640.68","46,134,338.35","42,755,538.17","13,645,300.29","26,880,609.90","41,986,431.17","47,753,775.28","10,165,709.02","24,298,154.83","41,743,691.84","53,700,778.51","13,619,379.16","26,503,234.61","43,536,763.35","64,524,731.93","19,097,096.63","34,900,912.31","53,416,490.79","80,726,734.47","15,523,207.10","34,479,196.68","55,994,940.09","75,806,339.03","28,837,920.79","36,701,266.54","62,593,321.22","59,786,248.96","21,713,716.63","43,517,450.30","94,391,098.96","102,176,162.20","29,226,271.24","59,862,233.46","86,604,315.21","110,862,692.45","36,115,024.94","64,903,872.64","109,251,990.33"
筹资活动现金流入小计,"53,000,000.00","53,440,000.00","59,980,000.00","43,896,614.81","531,412,367.09","532,389,741.67","532,377,586.64",,"20,000,000.00","35,000,000.00","35,000,000.00","750,000.00","1,500,000.00","2,250,000.00","3,000,000.00",,,"750,000.00","13,289,272.99",,"750,000.00","750,000.00","7,160,067.20","356,054,878.97","356,123,539.91","356,201,270.75","356,201,298.04","1,608.25","482,049,813.00","532,815,321.25","536,539,116.99",,"641,714,803.40","642,615,814.40","682,476,643.99","35,775.00","308,703,996.11","308,873,121.11","465,053,740.11","706,184,784.90","704,509,271.19","704,813,488.15"
经营活动现金流出小计,"70,882,222.68","119,853,980.09","228,935,337.58","75,032,103.91","147,596,785.80","222,373,969.17","286,439,149.79","73,869,466.55","144,932,631.85","231,311,516.42","326,409,448.26","105,657,330.54","194,258,961.48","292,473,720.80","389,802,994.34","125,765,714.62","219,225,453.30","314,848,383.26","421,575,337.75","145,076,818.86","266,830,784.99","402,990,628.21","549,647,906.58","162,891,479.92","277,683,643.22","450,198,021.91","592,789,660.53","152,513,936.08","351,705,678.71","548,158,260.22","758,432,091.34","314,988,375.57","602,891,091.40","930,967,217.16","1,248,771,257.20","340,050,337.85","650,370,856.96","1,017,894,008.66","1,349,221,506.44","481,434,517.41","797,609,640.40","1,237,631,019.20"
偿还债务支付的现金,"31,000,000.00","45,000,000.00","78,000,000.00","32,000,000.00","32,000,000.00","52,000,000.00","52,000,000.00","28,947,981.04","28,947,981.04","28,947,981.04","63,947,981.04",,,,,,,,,,,,,,,,,"12,000,000.00","72,110,000.00","72,110,000.00","72,110,000.00",,,,,,,,,"24,000,000.00","324,000,000.00","324,000,000.00"
经营活动产生的现金流量净额,"23,922,119.52","117,385,259.19","175,710,568.66","25,397,958.51","80,260,745.42","75,043,741.64","107,642,052.11","-14,618,847.84","16,899,777.08","57,679,958.07","116,011,121.63","-13,872,893.41","58,468,363.91","114,274,997.06","200,209,539.84","-2,258,278.08","46,041,785.17","104,000,836.98","178,028,545.24","-18,610,174.24","99,479,981.44","140,454,488.17","263,464,688.95","-91,839,650.09","-12,361,671.75","5,047,014.49","-90,108,071.96","132,906,006.51","317,874,486.90","387,493,774.85","465,961,164.58","69,962,976.40","282,635,321.30","518,618,412.53","762,420,968.59","150,774,960.67","307,736,780.70","482,766,727.43","638,223,427.35","-137,940,219.40","50,354,114.05","213,572,594.54"
分配股利、利润或偿还利息支付的现金,"25,884,743.13","90,157,957.04","93,323,448.46","50,578,300.00","51,148,240.00","51,520,420.00","52,550,972.79","975,186.74","129,113,309.94","129,475,053.69","129,730,559.71","386,675.00","120,525,675.00","120,525,675.00","120,525,675.00",,"92,011,626.15","109,200,535.00","109,200,535.00",,"136,000,000.00","136,000,000.00","136,000,000.00",,"24,480,000.00","24,480,000.00","24,480,000.00","21,469,882.60","80,465,235.19","80,466,743.59","80,516,419.40","20,160,000.00","156,684,181.00","156,684,181.00","156,782,999.83","20,160,000.00","162,051,077.76","166,966,146.25","172,431,956.76","27,196,115.18","151,335,012.15","204,297,832.78"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000,000.00","787,100,000.00","2,000,000.00","2,000,000.00","2,000,000.00","128,000,000.00",,"204,000,000.00","334,950,000.00","638,695,484.07","5,000,000.00","784,303,450.92","904,761,950.92"
支付其他与筹资活动有关的现金,"10,286.66","30,195.58","2,506,091.96","866,019.91","21,255,729.29","4,824,272.00","4,947,763.76",,"750,000.00","750,000.00","750,000.00",,,,,,,,,,,,"434,006.35",,"122,000.00","122,000.00","122,000.00","60,000.00","546,000.00","546,000.00","18,746,000.00","250,000.00","1,772,888.11","1,772,888.11","1,772,888.11",,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,348.00","10,348.00","32,860,585.40","2,301.37","2,301.37","2,301.37","10,921,179.58",,"4,308,509.91","3,940,327.83","715,509,724.76",,"284,161,126.56","287,182,505.87"
筹资活动现金流出小计,"56,895,029.79","135,188,152.62","173,829,540.42","83,444,319.91","104,403,969.29","108,344,692.00","109,498,736.55","29,923,167.78","158,811,290.98","159,173,034.73","194,428,540.75","386,675.00","120,525,675.00","120,525,675.00","120,525,675.00",,"92,011,626.15","109,200,535.00","109,200,535.00",,"136,000,000.00","136,000,000.00","136,434,006.35",,"24,602,000.00","24,602,000.00","24,602,000.00","33,529,882.60","153,121,235.19","153,122,743.59","171,372,419.40","20,410,000.00","158,457,069.11","158,457,069.11","158,555,887.94","20,160,000.00","162,051,077.76","166,966,146.25","172,431,956.76","51,196,115.18","475,335,012.15","528,297,832.78"
