科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"65,928,500.00","52,510,088.05","875,789,299.82","789,278,906.95","759,762,733.37","424,077,130.44","370,619,101.03","443,280,458.18","514,770,140.39","430,548,097.37","309,939,987.09","522,912,539.98","527,481,735.17","535,249,265.57","813,294,200.16","413,508,773.32","576,322,209.12","661,821,893.64","584,503,831.19","931,267,121.96","929,533,912.17","917,877,341.83","488,315,047.87","906,337,556.36","727,570,706.36","569,220,095.55","1,536,841,053.77","1,309,396,744.55","1,151,477,426.03","795,696,252.56","862,137,541.76","1,048,381,274.01","1,356,321,529.29","1,008,764,093.11","1,033,785,148.84","883,496,844.26","816,818,331.14","702,533,097.17","634,164,614.37"
短期借款,"400,000,000.00","500,000,000.00","400,000,000.00","370,000,000.00","270,000,000.00","200,000,000.00","260,000,000.00","360,000,000.00","390,000,000.00","510,000,000.00","384,178,358.87","546,445,181.62","569,961,962.47","609,961,962.47","508,516,780.85","1,215,000,000.00","1,390,000,000.00","1,100,000,000.00","1,380,000,000.00","1,179,536,326.00","1,240,196,626.20","963,319,010.38","1,073,319,010.38","1,008,782,684.38","700,000,000.00","755,000,000.00","440,000,000.00","210,000,000.00","130,000,000.00","220,000,000.00","220,000,000.00","720,000,000.00","720,000,000.00","630,000,000.00","970,000,000.00","1,314,000,000.00","1,284,000,000.00","1,309,000,000.00","1,574,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"143,000.00",,,,"500,000.00","2,850,000.00","550,000.00",,"10,000,000.00","1,500,000.00","2,000,000.00","2,000,000.00",,"3,259,152.27","1,100,000.00","39,538,599.87","42,700,000.00","43,200,000.00","17,000,000.00","48,100,000.00","17,950,000.00","61,430,000.00","55,960,500.00","131,090,480.00","124,189,995.00","70,114,063.40","53,079,965.12","66,385,969.12","102,800,534.25","51,214,904.80","46,025,378.98","36,158,007.31","78,737,909.10","7,000,000.00","16,960,000.00","67,155,228.12","26,343,224.05"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,"19,828,000.00","49,828,000.00","45,000,000.00","10,000,000.00",,,"49,800,000.00","49,800,000.00","30,000,000.00","32,291,910.00","2,291,910.00","124,000,000.00","154,000,000.00","30,000,000.00",
应收账款,"25,393,300.00","36,484,756.64","38,231,369.67","63,924,446.30","102,725,260.08","66,312,479.84","83,932,744.47","80,960,250.44","131,430,296.77","73,979,937.63","82,604,574.65","126,693,667.08","206,574,560.57","149,372,090.29","92,510,644.23","154,371,571.12","278,038,992.93","139,787,321.74","183,353,040.81","305,437,801.00","186,419,468.35","166,594,189.33","221,178,573.52","197,337,720.24","228,542,207.06","152,073,435.07","169,552,474.63","346,207,971.70","487,056,844.78","391,443,360.67","553,098,514.19","552,509,655.77","642,252,909.46","726,285,291.20","811,060,930.75","409,649,514.99","845,541,795.82","768,333,972.30","781,407,782.22"
应付账款,"34,948,100.00","18,476,543.04","13,973,941.97","89,685,706.71","100,239,600.12","82,667,456.04","71,892,299.78","94,552,873.66","84,677,458.88","210,601,391.00","201,293,825.05","421,496,488.23","289,579,255.17","331,252,099.41","476,618,284.97","306,032,741.21","542,736,236.73","311,196,819.56","354,245,655.88","577,866,338.88","346,949,358.72","367,235,268.92","397,033,319.74","337,957,857.62","419,304,375.78","434,757,783.68","437,065,685.12","482,405,888.64","593,124,972.34","635,570,186.48","963,333,182.02","1,076,711,682.13","1,166,955,489.40","1,009,069,473.81","1,156,004,864.44","918,799,178.58","1,140,561,674.87","1,174,646,799.65","1,071,597,111.10"
预付款项,"85,477,100.00","30,649,955.80","89,046,769.04","135,279,062.07","93,863,722.94","95,395,472.60","89,462,687.22","52,447,966.27","84,457,345.87","106,084,937.54","124,284,025.81","67,692,219.17","63,185,109.58","87,123,064.76","359,121,098.38","319,292,723.95","324,322,694.77","118,149,409.53","157,917,812.18","195,811,758.67","235,800,852.20","305,469,590.03","328,135,916.09","98,673,677.45","169,850,246.59","166,470,397.53","197,547,048.16","70,201,888.14","177,090,026.50","183,321,848.29","165,856,673.20","153,112,471.87","182,435,473.11","190,696,209.06","205,105,517.49","176,229,221.50","191,199,629.77","171,415,548.19","178,044,027.28"
预收款项,"8,166,900.00","2,565,143.98","6,576,808.03","9,432,572.15","7,298,868.23","9,036,072.62","10,499,266.42","8,425,861.40","7,199,710.38","13,974,107.18","13,358,691.32","11,810,552.56","15,313,570.31","25,458,167.62","25,571,088.23","24,429,323.74","23,319,053.06","25,034,167.37","43,164,158.84","26,382,604.68","26,171,589.09","26,183,447.96","47,983,809.71","76,654,491.22","59,134,567.88","101,193,835.02","116,394,712.94","117,345,909.38","117,709,301.09","177,656,810.09","138,176,859.68","185,033,161.20","145,212,284.76","143,770,284.78","172,160,607.53","232,817,617.87","203,208,743.68","185,510,791.09","218,562,147.73"
