科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"135,286,595.48","178,464,315.55","217,154,797.90","914,650,907.19","968,034,103.63","1,040,979,567.47","963,241,119.86","893,956,390.22","1,022,580,673.90","911,560,433.95","816,887,674.84","812,083,143.69","895,061,180.43","780,797,093.11","674,563,458.77","778,696,292.08","1,019,364,355.55","828,198,424.82","802,885,753.31","854,459,797.77","958,460,010.94","840,120,722.94","598,554,852.15","897,652,794.41","790,782,844.62","1,098,550,271.02","2,509,143,880.21","2,572,281,077.62","2,926,144,765.79","2,805,898,977.50","3,009,247,065.42","3,354,865,852.74","3,271,492,298.59","3,074,226,612.31","2,812,642,216.04","2,535,291,116.56","2,521,842,674.25","2,662,592,804.90","2,912,201,015.76"
短期借款,,,,,,,,,,,,,,,,"26,000,000.00","25,500,000.00","8,000,000.00",,,"1,000,000.00","10,800,000.00","105,000,000.00","374,200,000.00","424,200,000.00","725,200,000.00","901,000,000.00","1,126,000,000.00","1,176,000,000.00","1,050,000,000.00","865,000,000.00","720,000,000.00","480,000,000.00","740,000,000.00","2,000,000,000.00","2,338,500,000.00","2,447,332,673.57","3,022,268,381.90","3,515,328,325.25"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"500,000.00",,,"50,000.00","50,000.00","1,000,000.00","1,040,000.00","1,600,000.00","600,000.00",,"1,357,252.38","3,474,507.00","3,008,861.64","2,479,772.54","2,423,298.63","3,035,526.09","478,000.00","1,066,000.00","1,480,000.00","1,600,000.00","3,576,063.46","10,293,783.79","14,235,735.39","21,959,394.57","68,497,902.33","86,922,816.42","81,417,046.51","108,791,649.95","140,114,875.18","169,294,051.70","203,613,745.65","220,584,021.38","116,993,523.94","34,358,780.41","169,852,632.25","309,973,522.18","295,179,023.36","568,637,068.35"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"12,665,594.73","36,850,410.43","34,909,421.51","29,285,648.42","32,615,166.00","41,383,855.31","68,841,143.81","72,668,417.11","82,410,882.01","113,226,321.28","160,816,684.19","164,781,472.31","234,530,504.22","212,485,039.03","276,456,982.90","263,935,984.36","386,460,863.05","336,086,464.62","386,991,262.26","367,428,079.80","462,820,001.81","446,788,483.11","527,124,868.28","520,767,618.73","678,862,116.09","669,808,718.28","732,168,145.14","722,903,857.66","881,193,779.05","749,843,384.45","852,309,549.75","770,010,052.89","959,021,100.83","916,260,392.24","1,246,867,274.86","1,156,625,432.55","1,845,185,216.23","1,611,822,000.44","1,806,455,196.10"
应付账款,"7,625,824.15","5,898,425.57","7,863,315.09","8,432,637.47","12,668,470.27","19,525,249.86","9,932,296.29","7,627,050.42","33,187,428.08","12,092,165.46","9,977,112.40","7,998,987.52","6,075,687.63","7,105,364.29","2,747,858.61","14,819,354.91","19,567,571.17","17,868,208.13","13,527,257.92","12,699,679.68","28,143,908.46","21,298,836.07","19,229,902.77","17,900,471.07","18,730,893.01","10,854,151.57","12,285,603.57","14,369,874.94","27,081,650.05","17,346,130.74","15,677,750.03","15,916,665.13","24,297,747.03","30,754,261.10","61,577,715.93","44,039,659.26","220,517,664.99","178,053,266.73","356,160,465.42"
预付款项,"2,830,391.22","244,881.05","568,413.45","3,523,528.16","30,677,904.89","2,000,497.72","4,734,688.89","82,944,790.31","49,685,797.20","50,724,273.96","48,361,060.15","47,756,651.68","46,489,027.61","66,419,893.67","71,047,276.67","37,651,588.57","38,813,828.36","41,143,624.76","46,434,922.91","50,537,790.29","17,726,608.52","18,042,812.14","21,933,985.12","23,452,883.38","25,854,243.80","21,275,363.07","18,099,174.79","24,284,192.15","62,634,781.65","72,318,851.24","94,223,093.07","260,565,645.56","225,028,648.54","251,837,957.89","342,292,663.82","517,102,241.26","456,202,541.07","592,532,520.07","579,934,359.17"
预收款项,"1,079,000.00","5,398,589.55","6,981,239.69","11,126,217.40","10,372,476.99","14,545,567.92","20,243,125.37","22,947,640.37","16,643,337.45","19,545,616.78","14,766,980.88","17,948,818.55","11,707,811.21","12,889,540.86","14,030,139.50","19,869,071.21","18,616,148.67","24,544,944.92","29,044,213.06","33,514,353.77","34,891,856.38","39,146,065.04","61,905,402.62","65,456,059.18","77,572,989.65","68,744,475.79","50,759,736.35","75,506,929.26","104,450,044.46","87,604,406.30","70,848,819.33","70,837,253.77","72,974,776.85","73,126,078.40","133,109,467.93","367,970,412.92","353,300,595.39","283,253,102.43","239,867,089.55"
