科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"227,256,792.21","191,183,002.37","265,541,000.59","197,272,436.41","1,041,546,006.78","899,569,771.29","741,732,326.56","940,245,231.21","1,027,209,089.53","941,057,915.03","792,126,617.76","737,010,498.76","950,394,017.36","878,200,775.14","802,860,874.24","852,252,657.70","759,842,437.67","706,060,327.48","573,069,808.83","615,537,684.32","755,946,403.34","557,046,210.14","346,905,190.59","449,419,750.94","378,813,860.59","351,561,058.20","1,238,867,287.85","1,814,851,673.21","2,503,506,070.22","3,992,543,972.18","2,671,484,828.10","1,774,013,124.29","3,575,059,484.04","2,910,502,262.41","3,841,061,745.57","3,695,245,747.71"
短期借款,"351,690,000.00","573,000,000.00","490,000,000.00","430,000,000.00","90,000,000.00","20,000,000.00","90,000,000.00","290,000,000.00","290,000,000.00","270,000,000.00","350,000,000.00","457,000,000.00","614,000,000.00","670,000,000.00",,,,,"60,000,000.00","60,000,000.00",,,,,,,,,,,,"314,000,000.00","800,000,000.00","800,000,000.00","800,000,000.00","500,000,000.00"
交易性金融资产,,,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,686,946.97","9,901,650.66","8,401,979.90","7,631,005.50","8,752,269.76","23,103,209.64","26,948,064.95","16,611,327.33","38,447,027.11","46,100,245.07","43,398,800.60","54,478,370.61","99,879,425.08","38,386,098.11","71,581,455.07","54,823,248.75","71,742,420.60","37,159,689.81","41,894,753.34","58,773,688.92","87,415,325.64","78,172,138.74","66,870,481.67","53,937,906.69","67,223,146.60","74,765,464.76","56,317,250.49","52,119,099.24","76,014,016.35","50,327,306.06","38,173,533.01","24,293,778.42","55,318,299.52","37,419,092.53","46,667,562.26","44,872,505.21"
应付票据,"72,809,668.48","160,924,101.26","153,068,285.29","261,514,881.02","309,929,001.65","241,512,594.76","242,151,591.31","274,145,838.37","268,310,519.86","312,464,288.50","328,557,664.12","217,965,803.60","109,390,725.82","43,885,493.32","85,944,643.77","137,700,093.43","76,285,640.29","39,258,712.36","109,498,078.64","167,854,104.79","112,019,304.54","88,148,985.22","85,020,483.45","56,782,858.51","56,671,523.27","38,156,724.41","67,388,467.13","73,918,113.71","44,409,745.80","58,904,696.13","45,308,645.81","24,613,246.29","35,715,459.26","63,434,239.44","110,650,983.77","209,848,530.85"
应收账款,"364,464,449.69","523,017,709.64","553,599,987.19","587,330,629.72","546,736,827.56","541,554,360.83","651,218,229.60","696,183,686.45","563,570,645.69","598,649,733.54","752,791,707.94","813,464,446.41","672,986,837.54","652,448,822.76","794,250,065.13","846,769,584.83","688,132,904.37","666,496,007.59","800,592,349.70","841,755,216.71","773,916,919.00","682,077,556.48","716,612,524.12","758,423,105.74","672,275,606.98","514,004,916.44","654,864,730.51","651,641,133.03","544,495,458.79","487,132,771.71","537,018,445.42","538,295,566.99","464,531,038.89","476,341,306.97","536,918,081.92","577,063,157.79"
应付账款,"144,951,843.07","198,851,990.64","215,140,972.79","215,259,980.88","233,135,221.86","256,893,955.97","277,472,166.63","275,114,589.16","252,756,941.28","266,957,939.63","341,532,349.52","353,957,300.89","444,088,571.06","379,669,503.57","388,118,857.94","387,906,642.36","349,721,274.80","342,478,773.40","378,825,452.18","373,656,368.77","347,011,884.07","278,185,992.46","290,065,630.07","339,816,692.61","326,007,308.39","259,767,955.22","321,173,571.01","315,978,132.45","886,197,687.36","768,770,998.79","545,368,006.61","526,743,911.90","562,233,487.91","459,966,486.65","442,589,674.05","380,862,300.92"
预付款项,"79,883,431.12","138,885,927.52","100,682,309.75","119,496,493.51","106,007,315.75","115,611,832.33","106,507,876.68","132,456,114.88","88,724,960.10","169,471,001.05","155,046,916.22","122,707,784.81","79,298,856.90","80,588,364.93","98,339,418.42","102,011,016.86","39,114,616.43","67,994,032.39","75,930,660.09","80,568,209.31","40,080,676.80","59,795,702.46","51,552,793.92","87,038,303.11","28,294,496.33","64,727,874.99","60,175,624.03","44,805,442.24","25,413,934.73","44,428,350.06","53,213,362.91","362,280,904.23","47,343,040.71","78,614,234.34","64,066,079.95","81,625,664.16"
预收款项,"276,525,729.75","349,645,228.08","279,597,744.02","307,718,266.25","308,175,885.68","343,134,221.21","341,097,945.07","352,052,012.33","318,184,550.38","350,449,605.87","342,492,434.09","328,583,774.53","261,644,023.87","256,188,034.24","241,005,633.26","239,907,529.09","210,649,049.22","213,834,884.32","177,885,469.77","159,953,869.00","155,159,154.14","171,296,661.76","132,496,370.98","193,692,641.53","102,131,141.90","123,291,414.47","2,627,184,904.55","3,024,800,900.28","2,272,694,786.97","2,258,859,829.73","2,275,536,263.18","2,588,502,335.76","4,224,605,051.90","4,852,842,627.52","4,357,909,084.12","5,811,002,731.16"
其他应收款,"32,767,516.86","26,110,658.00","28,322,409.28","25,080,683.32","23,127,468.27","27,139,030.30","26,454,603.48","26,754,012.33","15,408,192.63","26,538,865.36","30,946,025.11","27,979,686.42","25,303,092.51","42,586,689.00","41,433,133.00","50,557,447.16","27,941,906.37","48,833,583.15","44,543,587.26","48,619,929.75","29,494,739.00","46,882,290.01","36,095,014.29","46,259,201.34","33,653,117.51","40,832,803.32","276,871,984.41","263,521,729.86","455,658,432.29","280,634,338.96","602,617,797.47","392,110,035.53","340,734,965.07","778,794,712.31","513,661,559.24","449,005,734.67"
