科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"85,948,954.11","60,569,055.86","56,220,665.68","59,738,914.95","110,045,300.43","839,700,038.29","815,984,212.15","773,485,045.01","749,348,018.75","693,389,143.91","653,502,044.58","624,472,221.26","543,464,693.10","575,241,412.49","506,247,024.23","519,100,890.81","471,903,000.59","486,407,411.51","314,999,979.85","287,886,583.62","401,579,274.84","367,974,371.90","246,450,789.67","444,331,539.30","474,037,774.35","209,994,489.71","229,973,042.76","154,962,913.33","292,714,352.59","285,621,433.40","267,014,016.59","277,516,172.68","285,186,356.86","279,578,758.47","296,360,286.96","268,977,616.24","295,628,282.91","280,565,870.17","285,354,188.03","264,403,163.99","138,926,551.22","201,319,081.60"
短期借款,"120,000,000.00","76,500,000.00",,,"80,000,000.00",,,"5,265,257.87","5,063,151.24",,,,,,,,,,,,,,,,,"10,000,000.00","4,560,000.00","6,160,000.00","67,200,000.00","31,400,000.00","33,400,000.00","37,100,000.00","16,300,000.00","15,300,000.00","14,300,000.00","16,300,000.00","13,400,000.00","10,200,000.00","13,000,000.00","7,800,000.00","7,800,000.00","7,800,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,427,215.52","135,034,736.82"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"73,487,260.00","69,048,000.00","52,564,866.18","79,242,697.15","60,633,284.38","99,898,172.14","87,643,302.04","80,954,112.40","173,895,843.13","168,617,313.13","154,416,661.84","178,639,648.87","112,962,600.00","98,350,244.79","88,347,233.79","120,581,699.43","167,648,309.21","135,017,199.66","279,897,110.28","262,024,759.92","135,247,814.22","169,114,102.72","217,994,043.73","193,970,386.52","200,836,816.12","184,616,805.27","141,102,487.12","152,597,576.72","97,731,224.46","74,262,490.70","36,477,776.22","96,398,213.44","155,752,441.98","200,260,617.20","85,151,019.69","86,173,569.92","140,331,993.96","145,247,725.70","90,294,378.74","89,761,758.38","64,731,652.05","47,122,937.11"
应付票据,"104,647,442.87","151,940,633.42","67,546,142.62","100,675,049.61","92,707,746.86","94,800,385.19","114,875,828.19","117,603,716.65","96,664,460.86","81,263,253.82","80,792,844.61","71,940,017.26","85,083,892.92","79,787,017.48","69,277,164.87","99,225,028.61","102,473,630.96","125,924,567.63","122,773,720.23","107,211,486.93","118,677,874.74","138,546,885.54","148,193,312.94","146,266,394.93","134,900,880.61","122,231,155.37","104,534,809.01","69,690,480.98","54,022,350.98","53,194,079.54","44,037,404.41","41,757,422.57","62,919,818.93","71,482,986.66","74,493,560.88","87,582,401.87","87,950,712.66","72,976,454.92","66,498,264.43",,"71,741,153.56",
应收账款,"171,657,451.19","117,838,881.54","148,369,711.07","149,000,917.23","180,507,643.56","216,511,312.46","218,892,307.36","229,203,535.08","153,153,096.85","194,337,266.29","192,677,935.56","212,118,813.98","244,238,904.31","283,741,755.42","253,176,488.25","282,944,915.13","216,912,717.57","221,620,318.81","205,298,790.89","211,358,807.03","190,330,295.83","233,970,161.99","260,132,564.96","262,861,984.02","225,854,507.23","352,243,875.14","351,979,998.86","368,689,147.49","377,639,950.21","380,774,834.09","391,873,658.12","404,372,938.29","414,333,381.72","321,213,367.88","368,438,685.38","407,005,434.70","388,859,216.38","385,718,175.82","374,563,744.42","370,596,827.63","352,472,319.76","315,677,437.75"
应付账款,"108,675,279.55","157,100,621.70","163,992,265.44","173,622,129.61","141,776,684.89","138,071,474.44","132,738,221.72","122,200,468.87","131,397,153.49","151,777,966.32","178,056,203.96","158,884,423.72","150,537,153.18","175,247,323.21","153,216,138.55","148,164,169.20","154,604,618.13","130,905,614.17","173,654,355.74","202,436,797.01","198,227,443.69","186,024,828.68","184,567,684.41","175,946,631.15","137,096,797.88","128,874,044.50","119,209,282.36","147,026,894.58","98,519,211.64","108,892,181.44","118,565,928.13","145,549,022.69","123,137,541.66","116,775,463.09","119,230,146.83","131,222,565.14","107,781,992.10","105,663,709.70","106,490,367.36",,"96,960,461.20",
预付款项,"55,194,841.39","54,388,540.00","18,356,463.47","50,643,891.27","20,991,087.86","47,774,018.90","44,906,337.75","68,026,296.88","47,624,059.37","54,612,746.74","67,526,206.70","52,230,580.17","35,373,815.13","31,662,001.70","44,066,215.74","35,159,953.21","36,084,520.56","24,162,887.13","40,079,662.68","27,710,303.73","21,599,782.63","17,410,003.04","18,979,074.48","12,983,687.78","45,875,895.16","18,643,233.87","19,766,562.02","34,097,213.45","14,502,344.73","17,425,362.22","18,754,468.21","20,923,037.37","12,902,648.91","17,686,048.12","13,339,307.19","18,717,114.86","12,819,590.17","17,016,272.64","15,464,952.87","9,086,492.12","11,543,419.66","23,051,559.16"
预收款项,"185,789,739.72","219,546,225.15","151,192,604.71","135,254,220.54","91,601,277.11","71,903,899.89","73,950,218.11","85,607,501.26","94,278,946.41","104,803,390.42","99,881,450.25","156,502,061.23","95,782,742.64","106,688,559.18","71,341,811.54","122,274,797.38","137,760,383.72","109,325,724.81","187,857,949.71","183,678,735.14","135,477,442.47","150,596,398.54","130,730,004.22","158,278,465.48","90,526,430.78","66,834,064.66","71,752,000.50","74,982,646.12","72,389,001.30","71,481,583.98","86,538,040.40","122,973,364.00","122,136,217.45","202,466,256.99","152,222,507.64","102,253,196.35","60,552,554.62","76,396,726.34","104,464,374.30","92,055,995.46","15,676,956.69","66,434,663.01"
其他应收款,"3,119,579.92","5,657,241.82","5,697,292.65","7,159,816.94","6,943,296.79","4,360,709.33","12,087,606.22","11,125,840.62","8,303,893.22","13,120,180.16","8,812,325.25","9,123,475.51","6,432,409.76","6,622,358.15","6,439,117.74","10,162,416.30","7,596,705.07","7,816,067.52","7,651,503.73","8,945,660.85","3,192,293.56","4,481,886.81","5,574,525.54","5,560,426.97","5,147,076.43","12,972,629.48","38,290,021.21","40,433,822.09","10,267,148.87","9,856,624.94","11,201,006.06","14,886,885.34","8,529,366.55","8,574,218.95","10,177,057.56","12,464,287.06","7,682,236.82","9,891,111.80","8,485,410.55","10,486,981.73","9,996,719.87","9,967,025.36"
应付职工薪酬,,,,,"93,557.23",,,,"3,121,580.84","183,792.10","2,471.36","9,107.60","1,133,936.93","22,161.22","6,637,462.83","6,370,282.70","6,694,860.71","5,038,436.47","3,833.51","15,466.86","7,096,244.47","78,058.41","9,746.13","20,511.28","6,230,354.32","6,203,469.43","25,000.00","25,000.00","4,038,796.54",,,,"7,745,404.49",,,,"6,853,424.20",,,,"10,878,028.98",
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,927,382.45","-4,009,246.26","8,134,620.86","4,346,943.32","21,836,439.95","11,399,283.45","5,275,843.48","270,516.70","-2,518,136.94","-1,381,610.72","-6,978,150.00","-10,613,085.10","-8,201,612.79","-14,886,083.75","-11,808,182.37","-9,521,240.30","152,241.93","69,822.38","2,481,785.30","2,403,502.60","3,814,606.20","4,483,196.88","13,251,112.51","3,282,446.10","11,277,827.07","25,073,978.03","12,164,163.77","13,487,597.82","15,681,997.27","8,807,576.80","3,086,662.99","1,954,386.03","8,674,433.49","3,706,666.50","1,035,326.17","779,402.81","16,060,456.62","5,151,275.37","676,152.61","1,467,356.85","10,254,359.13","11,775,219.67"
应收利息,,,,,,,,,"6,706,602.24","3,115,240.92","5,736,934.14","7,531,955.32","8,588,239.89","6,763,654.00","11,515,716.05","15,797,275.66","10,907,896.02","7,959,455.88","8,332,589.95","7,704,951.79","4,233,524.75","4,876,666.68","5,710,833.35","6,554,166.69",,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,"70,476.23","70,476.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"230,403,741.25","349,212,865.18","262,619,898.17","234,191,151.61","153,029,922.39","136,229,037.42","133,366,682.68","169,905,697.15","175,424,084.25","197,689,524.99","231,376,029.47","251,115,796.99","272,599,043.84","280,178,730.44","283,344,233.05","295,752,372.93","322,840,917.22","309,254,569.54","309,505,017.49","349,022,565.25","355,279,757.68","340,850,857.13","323,434,313.16","350,627,497.95","255,657,383.14","237,334,534.06","290,259,602.04","282,414,041.60","260,504,869.19","264,571,598.02","307,724,336.55","330,316,291.20","324,012,457.25","376,322,904.57","375,611,569.73","319,249,599.65","277,287,535.54","284,054,110.31","326,300,466.37","331,575,721.63","319,998,627.45","330,945,223.21"
其他应付款,"335,655.00","382,939.60","40,402,591.14","3,372,826.14","359,933.59","3,870,047.59","1,870,047.59","326,703.00","329,557.58","411,622.70","500,518.01","374,775.19","359,113.86","346,839.63","412,449.76","488,420.68","6,231,334.39","5,926,703.00","5,930,597.03","6,008,754.15","9,688,282.60","9,478,869.69","9,597,298.29","10,160,672.78","31,465,153.92","40,116,289.75","19,856,702.58","23,050,731.78","26,883,958.04","27,056,228.43","27,052,090.72","13,707,554.31","15,437,307.82","12,845,304.03","11,967,206.94","11,705,931.78","6,151,166.09","7,433,782.74","5,891,443.76","6,734,401.91","7,071,431.42","8,089,083.83"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,"65,000,000.00","40,000,000.00","60,000,000.00","60,000,000.00","128,190,544.92","141,512,441.84","276,121,410.14","315,045,898.64","396,745,270.79","403,109,249.34","433,514,289.98","263,828,944.96","187,619,163.90","181,826,006.59","38,345,098.74","95,935,934.08","45,342,976.45","46,329,737.58","91,869,944.61","46,752,029.09","28,913,514.94","106,916,812.74","127,085,428.52","161,902,479.38","137,604,627.43","104,551,277.41","131,459,985.84","123,371,720.49","188,320,055.85","116,450,651.74"
其他流动负债,,,,,,,,,,,,,,"79,671.00","79,671.00","79,311.00",,"80,000.00","80,000.00","78,560.00",,"280,000.00","180,000.00","130,000.00",,,,,,,,"240,576.92",,"390,000.00","953,226.00","1,192,636.23",,,"484,300.00","484,300.00",,"338,393.10"
