科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"246,502,003.45","274,337,626.95","113,224,912.64","173,969,924.99","302,581,061.99","36,191,092.44","131,917,818.25","213,314,455.28","394,649,482.36","47,191,608.07","156,110,420.53","262,801,312.49","547,849,659.69","101,137,419.11","244,316,549.18","482,886,323.00","834,187,024.02","108,999,980.45","270,003,084.19","533,927,810.82","885,778,890.90","114,304,301.15","305,399,867.00","597,931,818.49","1,108,751,708.46","137,250,959.32","406,595,719.30","735,916,500.51","1,285,785,547.23","167,789,153.65","521,700,974.23","903,195,513.06","1,421,634,976.13","102,081,731.33","442,782,167.79","863,426,520.21","1,618,513,019.91"
二、营业利润,"27,351,031.39","29,741,737.55","6,195,386.31","10,972,099.88","32,872,312.90","-15,445,773.90","8,345,042.61","16,650,773.95","42,442,621.15","-6,387,597.70","8,891,254.11","23,920,602.08","65,918,941.99","2,264,921.22","12,815,131.85","36,991,504.03","105,457,458.92","-5,705,040.90","5,257,949.00","37,974,467.63","88,612,511.43","-7,137,094.79","15,374,387.76","60,424,323.71","116,226,174.16","-13,955,213.63","23,449,900.13","79,980,396.04","151,755,584.77","-42,387,464.12","14,965,081.74","79,212,206.27","85,211,994.46","-60,298,709.34","-6,652,812.41","42,053,761.73","111,466,496.47"
减:营业成本,"139,445,623.46","147,739,863.10","58,006,166.39","89,933,184.71","169,669,185.01","20,725,489.01","69,695,831.30","119,922,103.00","231,420,932.20","25,017,538.34","87,078,840.63","144,684,263.60","333,356,392.36","63,471,480.75","151,851,577.37","311,203,731.60","532,513,009.29","67,837,242.59","166,027,802.44","343,702,525.43","576,628,243.77","72,551,831.18","186,020,924.15","370,871,047.84","722,078,198.15","86,258,392.64","243,602,389.02","435,171,202.99","801,999,049.94","104,164,582.07","297,098,672.22","514,856,968.51","926,433,706.31","53,006,753.66","250,072,187.51","513,920,591.61","1,034,602,204.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,585,303.26","2,930,931.59","729,919.59","1,049,137.61","2,314,956.56","80,810.28","598,558.82","1,103,248.48","2,838,245.84","232,066.06","591,819.15","921,816.79","4,245,084.32","304,452.49","1,272,554.05","3,588,966.69","6,692,979.64","508,709.40","1,505,962.98","3,943,065.80","7,401,271.29","470,495.90","1,131,582.68","3,097,161.11","7,132,502.79","700,294.97","3,458,871.82","5,602,145.09","11,722,637.27","757,919.03","3,808,394.21","7,532,185.55","13,309,954.31","1,727,398.55","4,397,044.21","8,389,850.33","16,277,102.44"
营业外收入,"8,312,359.45","11,505,265.44","7,894,524.91","12,446,373.68","17,670,684.40","4,274,199.43","5,530,487.32","10,960,001.79","20,469,699.95","2,934,316.45","6,813,772.86","7,000,566.43","16,696,321.85","102,655.94","9,044,026.36","17,928,340.51","28,626,996.29","15,697,888.45","19,991,659.75","27,029,560.45","48,284,141.23","3,880,589.41","8,256,901.90","15,190,635.15","41,192,441.92","2,316,008.65","6,178,228.13","17,732,869.22","37,270,810.45","4,102,629.75","11,702,149.55","19,191,214.16","35,814,161.99","4,487,624.80","2,013,667.15","4,456,481.58","6,058,528.45"
销售费用,"35,577,687.36","36,982,657.00","17,944,144.69","27,972,263.99","38,561,011.61","14,987,335.33","25,312,340.63","37,055,604.05","53,586,179.15","10,825,620.51","21,632,599.40","35,153,392.26","55,339,062.86","11,487,469.42","28,594,444.45","48,293,090.46","71,281,878.91","14,702,197.25","30,759,101.41","47,046,266.76","70,617,905.04","15,753,001.47","34,738,085.31","52,962,859.78","86,685,170.87","22,389,506.92","43,248,311.33","69,277,745.66","103,717,357.24","34,865,479.42","73,080,931.17","110,054,633.22","131,164,489.05","34,704,103.18","67,517,119.28","100,875,549.59","155,932,907.74"
减:营业外支出,"57,056.89","130,185.02","106,637.00","118,690.70","118,690.70","2,594.09","102,594.09","142,074.57","187,852.25",200.00,"149,181.51","929,181.51","1,101,586.71","15,081.25","15,081.25","20,081.25","1,278,862.26",,"2,611.32","41,056.57","1,126,926.19",,"287,645.44","289,020.44","1,642,686.29",15.33,815.33,"4,848.72","122,361.12","300,079.34","362,611.00","352,753.60","1,218,740.71","339,677.06","452,718.82","587,896.27","612,145.25"
管理费用,"36,433,949.31","47,945,803.22","26,589,918.70","39,361,733.78","52,057,948.16","15,602,312.35","29,740,019.14","43,019,812.13","65,848,177.77","17,353,839.25","36,386,512.74","56,046,496.51","85,628,599.20","22,908,963.44","46,710,027.92","75,770,839.19","114,137,396.75","29,464,867.15","62,905,788.32","94,944,288.81","137,851,719.36","31,523,357.33","66,655,047.70","106,348,819.62","168,074,792.48","40,388,707.48","87,781,849.49","137,478,328.94","198,455,293.09","63,450,646.97","120,565,211.54","181,279,538.11","242,131,431.33","64,810,806.33","119,512,426.53","177,877,366.77","280,968,399.87"
其中:非流动资产处置净损失,"44,453.87","49,210.17","24,483.93","36,537.63","36,537.63","2,594.09","2,594.09","37,074.57","82,852.25",,"1,181.51","1,181.51","1,181.51","15,081.25","15,081.25","15,081.25","23,862.26",,"2,611.32","40,110.97","126,326.19",,"287,145.44","287,145.44",,,,"2,430.85","49,779.57",,"9,343.05","11,522.54","864,660.70",,"39,677.04","48,691.94",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,354,650.19","7,471,794.81","3,429,901.32","4,352,029.38","5,701,853.71","61,060.10","-2,522,865.89","-4,046,355.73","-5,285,296.10","-587,720.52","-382,279.15","-45,690.63","810,160.82","183,249.88","176,511.19","876,089.41","1,249,109.18","28,940.22","-35,486.32","-3,155.64","-181,619.03","-745,166.38","-1,250,633.67","-1,035,880.35","-721,358.66","851,203.34","2,307,535.30","5,381,422.86","9,117,211.45","3,970,340.38","8,580,476.42","14,410,283.38","21,496,704.10","7,340,119.52","18,205,477.70","34,711,458.82","38,905,760.34"
三、利润总额,"35,606,333.95","41,116,817.97","13,983,274.22","23,299,782.86","50,424,306.60","-11,174,168.56","13,772,935.84","27,468,701.17","62,724,468.85","-3,453,481.25","15,555,845.46","29,991,987.00","81,513,677.13","2,352,495.91","21,844,076.96","54,899,763.29","132,805,592.95","9,992,847.55","25,246,997.43","64,962,971.51","135,769,726.47","-3,256,505.38","23,343,644.22","75,325,938.42","155,775,929.79","-11,639,220.31","29,627,312.93","97,708,416.54","188,904,034.10","-38,584,913.71","26,304,620.29","98,050,666.83","119,807,415.74","-56,150,761.60","-5,091,864.08","45,922,347.04","116,912,879.67"
资产减值损失,"753,758.48","1,524,839.68","329,475.64","329,475.64","1,403,794.04","179,859.27","748,891.64","-372,840.93","3,991,685.50","773,189.33","2,102,337.05","2,431,682.07","3,429,490.67","447,091.11","2,988,494.11","6,322,646.10","4,051,334.43","2,271,194.15","4,611,544.96","8,249,579.91","7,377,029.25","1,829,076.44","3,424,765.17","5,957,778.88","9,479,463.79","618,067.60","2,722,923.89","2,727,237.98","8,565,045.30","2,830,377.58","4,473,688.10","4,783,984.27","11,314,167.36","1,726,813.29","3,652,978.34","4,182,162.13","19,786,320.80"
减:所得税,"5,875,850.71","3,889,184.18","2,932,358.43","3,830,600.71","4,957,462.54","-21,116.43","1,934,259.01","3,585,880.80","5,594,648.44","19,066.02","2,523,323.26","4,475,202.19","12,239,470.58","352,550.29","2,951,940.22","4,722,072.09","17,393,016.42","-295,640.62","789,407.23","4,527,662.11","12,346,710.59","376,115.01","2,574,362.31","6,939,410.64","14,652,586.28","-57,326.92","10,581,499.06","20,454,748.93","25,919,056.75","-434,141.19","3,246,027.83","10,171,471.41","15,529,122.13","-1,262,858.49","2,102,853.23","6,707,401.39","17,485,085.64"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,"17,889.67","193,063.15","35,327.20","190,663.40","311,250.19","878,072.53","-69,790.80","92,191.76","160,544.48","1,196,143.10","108,129.41","1,029,578.60","1,929,227.88","2,528,170.21","-58,800.00","694,292.10","694,292.10","203,235.12",,"-23,938.32","-298,020.95","-453,368.17","-137,272.32","871,481.17","8,934,286.25","9,427,470.79","935,553.86","3,928,830.19","590,821.43","2,772,386.47"
四、净利润,"29,730,483.24","37,227,633.79","11,050,915.79","19,469,182.15","45,466,844.06","-11,153,052.13","11,838,676.83","23,882,820.37","57,129,820.41","-3,472,547.27","13,032,522.20","25,516,784.81","69,274,206.55","1,999,945.62","18,892,136.74","50,177,691.20","115,412,576.53","10,288,488.17","24,457,590.20","60,435,309.40","123,423,015.88","-3,632,620.39","20,769,281.91","68,386,527.78","141,123,343.51","-11,581,893.39","19,045,813.87","77,253,667.61","162,984,977.35","-38,150,772.52","23,058,592.46","87,879,195.42","104,278,293.61","-54,887,903.11","-7,194,717.31","39,214,945.65","99,427,794.03"
其中:对联营企业和合营企业的投资权益,,,,,,,,"17,889.67","193,063.15","35,327.20","190,663.40","311,250.19","878,072.53","-69,790.80","92,191.76","160,544.48","1,196,143.10","108,129.41","1,029,578.60","1,929,227.88","2,528,170.21","-58,800.00","694,292.10","694,292.10","-60,099.81",,"-23,938.32","-298,020.95","-453,368.17","-137,272.32","471,481.17","681,439.25","982,388.71","-327,594.13","3,928,830.19","590,821.43","2,772,386.47"
归属于母公司所有者的净利润,"29,249,234.60","36,732,489.79","10,616,771.26","18,611,457.96","44,076,665.71","-11,154,232.73","11,553,658.02","22,502,713.91","54,603,317.19","-4,023,270.34","11,314,375.11","22,780,189.40","63,241,687.83","1,855,738.47","16,516,747.96","44,697,630.49","102,765,584.69","9,760,623.85","21,346,635.41","57,319,674.05","114,147,181.08","-4,821,223.27","16,936,184.25","63,013,490.95","129,690,268.71","-10,009,920.93","19,529,564.99","72,284,008.08","144,105,659.88","-34,298,318.99","20,066,228.50","79,648,853.01","78,984,466.07","-51,040,091.75","-7,783,834.08","33,151,256.29","71,528,907.65"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"481,248.64","495,144.00","434,144.53","857,724.19","1,390,178.35","1,180.60","285,018.81","1,380,106.46","2,526,503.22","550,723.07","1,718,147.09","2,736,595.41","6,032,518.72","144,207.15","2,375,388.78","5,480,060.71","12,646,991.84","527,864.32","3,110,954.79","3,115,635.35","9,275,834.80","1,188,602.88","3,833,097.66","5,373,036.83","11,433,074.80","-1,571,972.46","-483,751.12","4,969,659.53","18,879,317.47","-3,852,453.53","2,992,363.96","8,230,342.41","25,293,827.54","-3,847,811.36","589,116.77","6,063,689.36","27,898,886.38"
