科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"178,120,831.58","254,942,020.47","143,044,022.96","212,704,736.81","312,648,874.40","72,189,616.69","130,168,648.60","193,486,024.88","281,758,135.26","80,827,165.52","175,336,993.66","280,723,702.39","403,247,232.13","101,417,261.11","222,936,431.43","339,996,447.32","406,746,701.27","122,351,793.02","180,862,188.21","263,233,848.67","358,019,290.86","94,769,128.95","179,844,861.53","264,491,649.86","373,042,529.08","86,090,117.26","183,267,766.34","271,240,337.31","375,840,131.63","82,359,505.48","177,415,123.82","271,370,044.30","366,846,800.17","83,035,739.85","181,602,332.60","299,303,053.44","438,258,841.18","123,391,897.13"
二、营业利润,"54,603,264.86","60,634,980.19","37,660,603.77","53,819,534.51","76,570,572.42","19,916,032.86","27,285,314.42","42,675,619.22","54,774,720.11","21,837,904.12","38,336,551.62","57,762,310.19","74,377,288.14","19,293,415.76","40,516,013.77","56,448,165.02","46,834,349.69","21,359,011.14","24,218,731.02","22,587,580.28","15,445,756.70","13,264,764.66","11,375,160.51","9,258,469.90","755,258.25","2,745,354.43","4,715,003.18","-332,047.87","-1,220,232.86","3,709,308.73","8,035,894.99","8,339,855.35","5,212,070.77","3,379,363.72","7,853,585.21","9,835,868.21","-93,950,325.65","5,266,466.23"
减:营业成本,"100,640,391.09","155,934,175.48","85,299,623.76","126,755,896.14","186,272,194.03","40,934,577.15","79,117,094.80","117,129,177.91","177,069,697.47","48,376,311.19","105,001,590.18","169,925,521.91","255,825,417.74","63,398,766.40","136,246,354.73","207,858,894.27","245,361,435.75","75,830,443.78","112,431,443.38","164,931,403.64","217,020,247.53","61,498,362.48","116,328,590.47","171,561,048.56","250,367,836.05","55,748,494.06","119,008,937.57","176,782,101.78","240,600,621.23","53,501,983.98","115,902,033.89","177,776,399.95","235,605,867.53","54,102,801.11","118,701,520.40","193,826,792.50","288,740,129.74","84,468,191.93"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"758,735.27","554,529.89","1,292,236.24","1,926,113.18","2,898,940.83","290,369.08","520,356.00","815,103.03","1,252,103.06","149,232.24","621,851.65","1,291,267.35","2,016,935.62","500,877.59","1,161,609.89","2,044,517.52","2,786,675.11","1,068,351.70","1,337,689.23","1,692,548.18","2,319,801.44","668,040.01","1,488,620.37","1,854,612.04","2,597,113.14","332,890.92","1,076,657.08","1,622,469.86","2,818,638.71","784,905.69","1,660,153.68","2,504,736.75","7,477,294.07","374,230.07","3,734,422.56","4,443,807.16","8,304,507.37","1,970,351.72"
营业外收入,"10,150,000.00","11,949,336.50","24,000.00","260,190.49","498,020.49","2,063,500.00","2,383,036.39","2,394,536.39","1,540,936.39","403,415.06","531,297.06","1,421,994.17","8,130,132.87","1,052,127.05","2,594,907.05","4,238,504.05","7,407,154.05","1,365,950.00","2,870,811.50","3,632,661.50","5,008,458.39","3,367,751.21","5,692,521.21","7,799,521.21","11,753,947.21","709,100.00","4,564,056.00","13,967,758.90","17,913,077.71","1,305,760.80","4,836,583.80","10,156,697.55","13,662,883.92","706,499.60","3,452,007.40","7,169,199.88","17,670.83",
销售费用,"7,655,669.78","13,395,297.48","8,796,305.94","12,535,517.60","16,984,516.14","4,377,656.38","9,762,901.70","14,721,380.20","18,921,143.77","5,511,416.98","13,450,125.90","22,830,731.69","31,338,458.71","8,231,169.68","18,500,522.79","32,921,346.89","41,024,681.41","7,516,998.89","15,294,630.61","26,645,784.45","45,216,087.32","7,422,837.25","16,053,812.56","27,117,105.04","39,065,967.19","10,814,140.89","20,959,492.16","30,220,342.14","40,490,608.70","9,790,382.48","19,567,065.67","27,837,368.16","36,373,953.79","9,872,878.76","22,447,988.23","37,746,018.40","56,879,349.27","8,935,566.94"
减:营业外支出,"88,115.06","352,728.97","36,314.38","403,271.58","1,284,202.37","500,000.00","553,776.20","553,776.20","554,870.20","700,000.00","837,246.40","839,022.77","839,079.60","63,985.31","750,744.93","991,289.18","994,630.00","1,852,139.58","1,852,139.58","2,447,639.58","1,550,665.55","1,718,887.63","1,718,887.63","3,816,520.88","3,658,098.69","572,677.30","599,043.19","603,395.93","1,217,436.83","696,358.61","1,120,413.67","2,603,412.52","3,576,307.18","962,558.66","1,717,786.57","2,654,657.69","10,927,401.02","515,013.23"
管理费用,"10,526,176.74","18,988,233.04","9,682,473.07","17,743,403.25","27,334,134.24","5,985,483.65","11,057,306.49","16,083,998.53","23,832,465.20","6,787,149.19","16,770,452.89","27,914,736.82","46,971,259.48","9,827,700.26","24,129,615.76","36,018,213.56","51,681,220.98","9,649,852.85","21,146,451.06","34,548,524.88","53,509,396.91","9,309,904.41","21,130,142.02","34,951,184.26","53,796,980.15","7,947,236.10","23,267,319.29","38,434,667.75","56,629,264.20","10,423,282.12","26,876,540.08","37,741,107.04","51,930,671.68","11,062,654.80","26,082,588.99","45,406,916.64","65,091,041.17","20,456,622.59"
其中:非流动资产处置净损失,,,,,"917,245.17",,,,"14,870.20",,,640.00,640.00,,"68,826.65","68,826.65","98,839.63",,,,"51,224.24",,,,,,"8,747.33","8,747.33","228,019.46",,"30,512.68","591,999.75","582,720.45",,,,,
