科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"231,023,661.05","238,797,219.12","125,482,851.14","189,432,672.51","269,627,857.42","65,953,877.90","133,968,984.98","218,830,574.68","279,275,428.33","73,845,888.44","149,225,694.78","219,649,252.10","308,846,332.85","127,662,059.21","284,676,120.51","455,302,317.18","618,249,877.08","184,106,908.00","351,052,300.56","506,723,323.50","642,482,520.64","159,692,483.49","306,110,989.56","444,991,228.72","583,314,346.67","135,397,552.19","316,551,176.86","466,511,021.65","611,614,224.80","264,475,810.64","522,930,674.62","744,086,744.93","1,035,583,492.91","251,194,189.31","501,832,970.26","735,429,193.13","982,290,306.35","244,298,762.48","569,918,595.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"59,814,100.58","59,814,100.58","63,114,550.38",,,,,,,,,,,,,,,,"23,177,098.59",,,,,"6,458,500.00",
收到的税费返还,"228,900.45",,,"1,670,872.34","1,670,872.34",,,,,,,,,,"457,822.10","902,712.85","3,444,327.48","280,406.79","1,888,049.90","2,246,243.32","4,059,902.06","1,108,255.27","2,887,835.42","5,527,582.91","7,132,879.12","3,108,811.02","4,033,789.34","5,674,395.37","7,085,698.92","649,231.89","828,921.22","2,176,161.30","4,506,437.42","2,511,395.23","4,732,092.36","6,133,187.33","6,682,536.57","364,569.19","2,699,730.13"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"181,886.90",,,,,,,"15,035,708.34",,,,,"920,008.68",,,,"90,492.92",,,"30,244.20",,,,,,,
收到其他与经营活动有关的现金,"1,196,703.64","2,458,496.04","1,208,780.45","13,590,334.81","2,426,033.20","1,837,887.53","1,517,325.40","1,559,268.40","8,206,228.40","28,509,035.70","30,374,201.91","36,211,883.74","30,322,843.07","57,594,590.82","63,496,410.00","57,568,994.33","58,794,878.39","43,307,978.31","36,196,690.80","70,519,978.42","60,535,575.26","3,314,843.08","6,437,195.68","7,669,502.56","14,807,921.75","4,721,999.89","17,914,972.89","19,978,262.92","86,797,545.42","15,620,450.84","27,805,779.40","33,614,493.84","74,127,267.58","11,987,175.20","15,990,277.32","18,017,343.50","44,522,336.96","11,295,481.41","27,869,967.07"
投资活动现金流出小计,"4,444,406.54","2,362,666.25","733,490.34","1,308,005.26","4,403,476.35","1,470,065.93","23,355,557.42","33,426,508.68","35,893,229.99","21,722,456.13","25,969,070.18","47,387,789.73","101,068,217.63","55,008,075.59","176,736,214.09","219,396,393.63","253,373,944.60","19,585,940.48","35,851,823.86","65,091,686.97","57,800,495.15","26,122,948.58","33,753,406.23","55,624,919.92","44,754,506.23","83,235,794.93","80,297,332.26","99,073,641.33","416,069,111.52","14,701,824.03","95,093,084.98","196,674,541.54","317,415,064.55","101,087,001.63","138,344,535.12","343,573,159.06","441,179,076.05","30,100,328.74","44,872,362.92"
经营活动现金流入小计,"232,449,265.14","241,255,715.16","126,691,631.59","204,693,879.66","273,724,762.96","67,791,765.43","135,486,310.38","220,389,843.08","287,481,656.73","102,354,924.14","179,599,896.69","255,861,135.84","339,169,175.92","185,256,650.03","348,630,352.61","513,774,024.36","680,489,082.95","227,695,293.10","389,137,041.26","579,489,545.24","707,077,997.96","164,115,581.84","315,436,020.66","458,188,314.19","605,255,147.54","143,228,363.10","338,499,939.09","492,163,679.94","705,497,469.14","280,745,493.37","551,565,375.24","779,877,400.07","1,114,217,197.91","265,692,759.74","522,555,339.94","759,579,723.96","1,033,495,179.88","255,958,813.08","600,488,292.49"
投资活动产生的现金流量净额,"8,833,375.41","-2,362,666.25","-733,490.34","-1,308,005.26","-4,403,476.35","-1,470,065.93","-23,355,557.42","-33,401,158.25","-35,659,801.87","-21,717,456.13","-11,463,108.29","-32,795,827.84","-69,478,056.59","-55,008,075.59","-135,736,214.09","-178,399,693.63","-212,317,648.44","-19,580,940.48","-24,658,823.86","-53,896,165.60","-43,509,806.02","-18,250,348.58","-18,809,153.24","-40,680,666.93","-23,704,743.34","-83,235,794.93","-80,116,311.66","-98,943,641.33","-378,807,666.83","-14,701,324.03","-95,078,084.98","-196,659,541.54","-314,142,580.92","-101,087,001.63","-138,151,035.12","-343,024,459.06","-440,970,398.85","-29,895,253.81","-43,896,950.72"
购买商品、接受劳务支付的现金,"99,024,822.43","97,149,239.44","47,585,011.71","61,950,206.74","92,468,007.93","26,714,310.70","57,385,751.92","101,493,647.93","115,901,403.80","44,837,693.46","72,454,228.22","128,458,077.37","148,124,040.55","37,547,517.51","185,927,492.35","261,655,211.05","395,967,743.40","151,512,626.49","264,083,335.97","380,662,585.30","462,941,002.76","84,431,580.86","156,458,188.67","220,997,938.62","303,187,246.17","59,497,478.34","167,614,387.79","247,680,695.76","395,260,502.05","60,690,734.13","134,701,061.20","180,556,968.32","368,915,985.32","198,100,808.80","313,735,435.24","396,717,302.18","492,886,844.60","123,270,407.97","315,782,762.99"
吸收投资收到的现金,,,,,,,,"20,000,000.00","379,952,000.00",,,,"200,000.00",,,,,,,,,,,,"683,823,600.00","3,000,000.00","3,000,000.00","3,000,000.00","102,110,525.60","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","76,608,100.71","76,608,100.71","76,608,100.71","166,928,152.34",,
