科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"606,269,455.55","678,920,427.71","337,137,658.63","503,289,229.64","680,219,353.49","187,319,451.30","346,931,103.78","522,678,854.67","718,884,289.52","204,474,659.53","413,385,610.95","615,727,455.63","830,587,303.35","182,621,575.47","379,756,576.33","582,879,683.05","792,961,679.36","194,546,737.39","367,882,685.59","554,748,344.82","734,310,075.22","175,069,050.56","336,157,711.64","507,107,565.64","681,418,080.27","147,973,791.18","311,158,542.60","462,366,919.39","661,471,341.91","152,627,733.58","314,914,038.25","476,685,339.04","726,172,574.60","209,341,084.74","425,492,657.02","636,985,148.31","900,790,383.60","195,860,961.21","431,033,080.44"
二、营业利润,"87,425,991.65","85,050,866.15","64,446,374.93","99,697,428.91","135,271,373.97","34,682,622.99","66,513,204.67","96,826,059.85","117,570,739.75","34,607,425.32","66,248,081.15","96,518,646.06","118,591,734.39","26,419,471.30","58,591,281.06","90,996,124.05","120,912,247.33","36,380,316.55","63,568,937.75","87,491,057.36","103,145,606.29","29,035,856.47","58,696,517.84","87,720,833.85","114,149,403.64","32,159,508.08","65,898,452.24","96,989,166.87","124,535,327.69","32,096,009.91","55,905,032.44","73,269,715.20","96,898,040.69","46,564,780.63","88,275,057.66","125,783,731.13","145,620,684.59","26,672,760.93","50,299,301.04"
减:营业成本,"485,409,740.34","518,892,933.84","231,145,906.95","341,822,200.60","461,674,965.08","129,445,381.86","238,633,402.56","359,892,446.03","500,520,401.28","146,834,060.96","295,334,880.75","438,844,921.64","594,605,739.23","132,061,986.37","271,025,121.42","414,318,151.22","562,183,859.37","136,284,406.51","258,913,866.74","393,331,376.10","525,051,396.64","128,877,254.33","242,686,665.69","362,369,262.36","483,764,062.46","102,531,250.00","214,504,573.56","318,018,448.37","452,712,170.10","101,215,914.13","212,143,582.43","318,705,564.19","483,000,585.50","135,811,516.24","278,349,848.72","419,773,375.82","590,260,858.59","137,370,434.31","300,051,333.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,543,965.06","1,955,307.42","1,279,226.98","1,889,537.79","2,796,587.79","1,242,304.97","1,939,704.54","2,855,532.46","3,964,566.51","1,541,195.89","1,911,436.77","2,542,027.16","3,961,912.69","756,020.44","2,665,620.56","5,555,285.82","7,169,933.61","1,060,160.23","2,450,036.71","3,859,999.03","5,116,783.66","1,412,595.80","2,480,457.58","4,268,760.36","5,601,769.39","874,184.26","2,431,602.10","4,039,512.09","5,544,671.14","380,338.77","1,629,270.23","3,083,169.68","7,337,084.69","2,261,985.63","4,028,114.25","6,322,487.97","8,848,016.17","2,260,029.23","4,777,809.02"
营业外收入,"338,448.16","405,517.19","248,189.89","234,849.82","248,324.92","935,802.00","985,304.12","1,529,036.24","2,799,972.38",198.95,"29,424.34","265,603.84","1,300,266.93","613,576.96","620,839.33","819,163.16","753,261.29","25,098.91","158,132.20","2,268,869.45","4,403,501.83","5,539.33","2,495,585.06","3,020,668.86","3,008,451.34","147,829.31","208,773.29","487,831.39","567,328.69","15,040.90","473,292.66","606,301.38","5,381,729.98","98,747.05","239,487.12","388,671.64","209,974.23","55,298.08","139,736.11"
销售费用,"15,556,028.65","31,870,003.59","16,054,195.60","22,423,958.08","31,880,656.60","8,857,987.60","16,482,519.03","25,402,854.51","38,831,356.12","11,714,982.39","26,879,031.77","42,768,406.48","65,092,241.62","15,083,313.92","29,771,430.77","43,945,376.66","59,930,965.46","12,596,559.66","24,955,376.85","42,324,761.18","58,382,958.24","11,646,776.07","23,120,853.08","35,353,455.38","47,927,754.94","9,964,742.58","19,294,911.90","28,776,053.57","47,414,016.36","10,814,783.18","24,333,245.13","43,017,822.64","68,140,410.62","15,404,483.59","33,523,233.38","53,444,754.55","87,695,078.98","15,399,175.80","39,496,185.03"
减:营业外支出,"1,170,188.81","1,238,847.62","536,469.02","656,469.02","1,970,154.85","522,341.31","765,163.06","2,465,171.67","3,602,372.31","33,370.41","85,794.08","388,661.83","500,432.98","60,527.93","44,670.50","76,946.43","233,975.52","1,089,086.16","1,110,593.20","1,375,834.83","1,428,839.57","156,729.86","86,503.97","296,152.82","1,368,073.33","44,107.28","54,919.79","1,063,866.22","1,196,719.56","18,757.51","132,426.69","1,921,848.83","1,988,418.17","41,625.36","96,436.18","1,116,496.04","1,315,321.32","126,160.05","144,510.28"
管理费用,"9,143,072.90","37,689,671.18","22,109,742.55","34,911,960.75","46,131,731.18","16,972,989.81","32,530,781.15","52,250,078.44","78,585,820.85","15,349,828.29","34,514,557.96","53,953,620.91","77,097,186.62","21,037,560.93","42,447,479.93","65,509,564.72","91,296,207.05","19,297,910.75","40,558,046.04","61,486,229.90","87,589,821.43","19,769,434.79","41,396,747.71","64,000,819.94","89,813,201.78","18,551,741.49","38,986,427.17","60,183,449.78","86,334,289.60","19,559,443.62","43,085,713.14","65,469,639.07","100,518,772.45","18,877,489.37","41,204,344.37","65,527,568.62","107,950,672.73","25,844,386.37","57,567,137.03"
其中:非流动资产处置净损失,"3,131.45","78,017.62","36,469.02","36,469.02","71,869.89","22,328.15","28,257.97","1,576,628.39","1,604,790.08",,"13,828.12","13,828.12","49,498.10",,,,"71,328.24",,,,"35,717.30",,,,"42,025.06",,"42,940.85","42,940.85","184,600.33","5,326.02","50,533.11","839,579.84","879,645.85",80.39,"24,330.69","33,516.33",,,
