科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"88,556,099.55","85,055,672.62","107,086,839.98","140,069,383.39","189,866,380.36","775,822,240.91","569,499,592.00","374,895,951.74","497,073,782.70","412,603,828.95","306,645,699.53","386,968,602.85","280,106,425.00","254,398,835.23","799,673,302.23","868,004,107.08","736,636,954.18","798,954,757.41","616,851,429.96","739,897,354.40","280,660,337.24","647,250,913.10","347,854,841.05","301,331,301.96","420,976,058.60","392,518,675.95","386,248,052.24","254,764,788.67","342,397,939.45","478,342,303.41","253,006,444.74","208,111,309.48","601,772,517.25","545,564,874.58","333,044,298.83","478,673,803.03","378,817,345.97","349,327,249.89","1,113,296,892.90"
短期借款,"20,000,000.00","108,600,000.00","95,000,000.00","124,900,000.00","62,700,000.00","42,700,000.00","2,700,000.00","32,700,000.00","190,000,000.00","250,000,000.00","334,000,000.00","490,000,000.00","524,000,000.00","680,000,000.00","730,000,000.00","828,001,370.00","577,581,235.00","612,478,950.00","530,804,150.00","789,829,200.00","642,000,000.00","834,333,715.00","659,713,856.00","625,000,000.00","673,000,000.00","694,326,082.00","709,031,216.00","876,610,430.00","902,078,960.00","982,534,400.00","859,574,400.00","1,001,178,668.00","1,285,633,420.00","1,058,442,650.00","1,032,131,200.00","1,133,525,275.00","1,180,037,450.00","1,268,758,467.83","1,180,425,677.31"
交易性金融资产,"282,840.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"9,180,249.00","14,772,471.90","35,121,426.39","23,498,636.40","42,222,382.93","37,628,238.74","71,737,961.59","114,478,952.66","46,296,921.52","89,109,251.44","76,365,557.82","89,271,513.87","119,830,504.16","107,529,252.00","117,031,436.20","87,208,036.45","92,839,942.50","130,595,375.89","146,951,740.13","130,787,951.99","128,091,716.06","171,221,138.60","159,804,531.11","111,011,017.82","87,253,629.77","117,572,868.44","153,361,880.47","128,025,110.50","132,101,898.82","99,959,730.08","145,107,873.76","146,817,973.44","158,580,531.91","149,733,048.35","134,042,296.75","112,274,362.51","118,895,910.15","177,944,874.72","178,344,949.00"
应付票据,"145,000,000.00","153,000,000.00","168,000,000.00","163,000,000.00","200,000,000.00","220,000,000.00","220,000,000.00","192,700,000.00","97,500,000.00","199,000,000.00","167,500,000.00","144,500,000.00","126,500,000.00","96,000,000.00","68,000,000.00","24,000,000.00","118,000,000.00","279,500,000.00","224,500,000.00","134,000,000.00","157,000,000.00","122,100,000.00","91,100,000.00","27,800,000.00","75,312,650.00","112,470,000.00","77,360,000.00","61,897,450.00","45,716,162.85","75,483,451.40","84,462,538.46","87,317,268.51","170,703,813.95","286,308,580.16","213,047,028.82","258,389,975.04","221,067,381.37","241,176,139.49","184,039,443.00"
应收账款,"57,332,946.18","53,557,847.15","63,598,318.62","71,882,529.68","58,329,557.39","62,439,205.38","74,120,766.10","73,874,619.78","87,652,727.29","96,553,372.68","128,397,351.20","152,849,293.82","168,381,862.74","214,049,075.70","191,403,135.25","194,805,041.50","206,640,438.67","262,708,809.44","222,422,754.08","169,987,729.00","184,206,746.19","165,257,618.92","189,931,738.69","187,237,236.01","179,520,346.75","206,049,615.65","225,478,747.20","243,164,340.08","294,853,513.05","343,551,686.83","317,253,284.84","336,675,810.13","348,667,184.53","397,038,800.96","441,592,313.25","424,070,954.12","479,287,704.83","507,422,688.01","468,591,012.71"
应付账款,"60,009,540.91","47,364,046.55","63,079,470.75","93,037,022.37","105,985,609.94","115,969,746.14","180,537,973.14","137,909,409.11","161,064,790.83","158,184,303.18","141,518,109.42","122,734,883.01","104,721,600.46","169,707,790.09","147,796,374.27","104,820,027.23","106,158,898.54","131,897,507.25","107,511,766.07","87,458,159.65","109,443,353.18","156,779,820.73","158,080,010.56","138,778,478.47","123,353,736.45","163,644,231.51","156,774,978.64","133,994,425.02","129,874,476.11","159,300,880.30","157,954,918.58","175,806,805.49","129,055,830.60","143,502,570.25","182,416,672.22","188,618,583.62","215,120,434.18","195,776,556.84","194,492,855.66"
预付款项,"78,230,585.51","106,970,886.51","96,278,701.67","108,057,156.95","54,658,030.25","114,706,026.04","62,725,644.71","95,694,856.68","132,811,286.74","179,030,171.82","202,665,753.72","201,812,660.47","200,920,372.32","227,128,744.67","244,493,429.71","106,689,612.65","107,585,134.63","169,938,936.99","164,109,587.99","168,061,172.40","132,394,784.64","181,985,386.98","125,337,355.18","117,073,927.51","170,267,869.48","75,247,819.85","92,590,057.46","51,320,550.78","33,097,091.93","62,444,941.25","64,973,137.12","36,935,903.98","101,713,085.61","114,033,524.30","69,861,964.94","117,856,629.00","134,726,163.64","129,570,311.79","168,353,533.45"
预收款项,"21,849,123.00","9,490,097.39","9,142,293.66","10,855,657.15","14,441,087.90","20,559,566.75","12,146,501.25","12,061,759.89","103,906,820.07","21,277,930.94","13,495,754.56","20,367,818.29","18,079,197.62","17,048,512.70","14,535,935.55","15,790,167.64","18,161,388.16","626,832.64","13,353,987.91","21,923,130.31","16,873,429.71","19,373,958.87","25,852,677.51","21,050,302.08","17,272,100.91","18,908,336.63","21,837,026.31","18,616,722.18","21,830,441.61","23,066,747.58","20,603,830.50","21,257,317.73","32,875,036.82","36,578,749.64","39,265,406.50","38,363,754.62","32,026,830.23","27,888,637.05","37,032,465.35"
