科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"332,542,168.90","414,758,856.91","219,081,573.86","321,185,809.37","428,304,730.10","78,824,473.54","202,024,496.14","270,147,883.85","391,622,255.02","104,602,403.37","204,864,294.38","272,998,827.65","394,645,381.28","87,832,384.05","243,204,950.99","398,724,175.73","597,326,004.08","164,902,156.59","352,802,462.34","479,373,063.05","693,641,669.28","118,570,520.92","259,146,559.92","411,673,682.97","590,404,400.20","148,495,486.43","349,878,836.61","479,448,823.78","661,564,256.45","144,490,863.79","382,548,143.48","605,759,003.86","940,127,834.20","243,860,541.88","688,812,454.86","1,433,024,673.70","2,095,872,420.50"
二、营业利润,"33,363,796.70","40,850,532.65","26,249,570.25","36,737,284.11","51,317,776.20","12,921,941.80","28,799,839.75","32,402,885.41","35,367,975.37","12,252,145.20","21,260,469.06","19,434,863.91","18,504,409.72","2,465,268.17","9,669,673.39","14,367,537.13","20,840,848.23","3,367,178.60","8,802,964.59","9,977,477.73","-3,643,872.93","-7,966,861.55","-18,231,392.43","-21,387,542.18","-85,119,126.20","-11,669,359.47","186,067.62","961,228.23","10,129,156.62","6,859,857.68","22,602,432.99","40,239,027.67","43,133,465.79","-3,990,467.48","73,104,264.49","232,223,807.95","338,806,722.14"
减:营业成本,"268,823,629.54","336,816,189.02","173,463,355.18","253,061,372.87","332,308,521.88","56,395,670.96","150,095,043.07","206,250,504.26","305,563,620.89","82,422,470.24","164,014,324.26","221,115,003.40","324,887,585.62","71,918,352.55","199,848,634.51","327,065,251.90","483,789,038.77","132,061,828.75","289,503,920.27","388,304,888.75","582,464,900.86","103,103,541.53","218,849,636.26","345,617,723.56","508,115,885.58","124,608,836.14","279,987,606.25","376,601,026.58","505,388,626.41","105,283,212.02","282,346,099.59","443,997,004.75","688,778,351.38","198,557,162.20","510,219,038.88","985,652,452.52","1,419,554,397.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,410,749.26","1,722,622.38","1,080,677.31","1,496,201.19","2,148,325.46","141,112.38","746,014.24","1,113,621.55","1,337,943.99","98,730.90","488,410.81","723,558.19","1,512,629.70","652,060.05","1,407,026.99","2,068,892.34","2,822,196.70","416,655.78","1,231,323.37","1,541,383.11","2,758,253.83","432,878.36","974,649.83","1,701,510.90","2,871,683.31","351,280.01","1,767,728.72","2,607,929.28","3,279,506.08","521,314.37","1,628,746.61","3,060,049.17","13,987,777.04","4,408,674.44","9,277,479.11","15,337,442.52","20,005,939.15"
营业外收入,"257,600.65","1,235,847.33","201,000.00","342,235.40","494,757.33","39,500.00","58,650.00","144,178.14","1,014,933.20","517,417.16","900,189.33","9,587,992.88","13,383,528.78","7,991,207.46","8,494,385.71","9,044,148.39","11,353,085.82","5,591,874.07","10,563,861.24","11,570,793.65","12,038,365.82","2,906,643.30","3,368,041.83","3,530,204.92","2,547,816.07","861,042.62","982,938.84","1,378,927.68","1,523,142.91","247,906.78","775,939.33","976,501.31","1,965,547.62","610,865.00","856,591.74","3,260,004.38","2,873,128.59"
销售费用,"9,648,793.26","11,856,227.53","5,530,959.81","8,990,693.58","12,803,672.72","1,150,088.98","3,411,205.27","6,470,221.55","11,251,092.81","2,168,092.52","4,183,552.91","7,038,038.97","10,925,842.42","2,136,821.45","6,167,368.18","11,907,903.28","28,053,339.09","6,078,812.04","18,601,668.97","26,286,591.12","34,644,581.73","5,837,760.93","12,954,545.26","23,558,819.60","45,095,859.43","11,845,315.41","21,141,656.03","31,095,265.68","43,371,701.79","10,113,842.34","28,066,410.56","44,042,713.46","78,144,940.51","16,543,113.30","33,265,000.68","59,799,039.24","88,359,896.69"
减:营业外支出,"25,018.44","116,080.54",,"8,850.00","8,850.00","10,980.00","71,396.84","96,452.24","826,630.95","43,451.08","529,098.71","736,528.60","1,220,237.30","1,048,635.22","1,072,020.55","1,072,020.56","1,073,338.48",,"16,595.00","393,187.57","461,899.92","8,337.43","45,046.10","45,246.10","248,151.07",521.41,"255,427.08","268,371.04","487,686.61","13,977.39","79,015.20","104,488,690.41","110,503,539.57","2,260,275.98","2,462,695.94","2,847,534.02","3,827,631.36"
管理费用,"9,457,872.75","14,499,116.98","9,701,273.24","16,782,810.31","23,522,953.65","7,520,407.04","14,579,523.50","20,115,991.29","33,506,196.90","6,459,055.07","13,567,353.53","22,852,452.35","34,977,048.49","9,062,733.23","18,300,249.26","30,351,689.34","44,382,011.12","14,978,524.36","29,634,038.27","45,207,185.41","63,317,917.38","14,159,303.50","31,290,924.21","46,081,948.38","80,751,192.43","19,390,569.83","37,727,995.75","56,572,910.89","79,347,730.18","18,925,280.55","38,175,604.44","61,170,044.85","93,842,583.26","21,612,669.80","49,881,545.52","85,360,433.49","128,863,524.11"
其中:非流动资产处置净损失,,,,,,,,,,,,,"549,372.63",,"1,048,606.16",,"1,049,898.62",,,,"1,160.36",,,,"82,321.61",,447.31,"11,011.27","217,811.27",,"37,676.02","207,017.50","216,650.97","424,355.98","185,805.29","441,292.05",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,839,697.04","7,766,997.89","2,617,985.40","3,679,694.64","5,277,830.77","695,252.38","579,514.48","183,713.01","-417,758.17","-677,859.25","-453,635.27","848,306.26","1,780,352.34","1,950,353.20","4,508,746.90","8,273,787.52","12,181,645.20","6,456,317.91","12,595,935.33","17,475,794.09","22,137,762.20","4,937,406.95","8,676,564.37","13,103,620.93","10,736,425.40","2,983,128.35","5,573,046.89","7,678,797.27","9,833,123.23","4,180,419.11","6,188,476.11","9,525,106.03","11,518,467.40","5,494,045.63","12,242,214.56","45,806,270.29","85,334,769.97"
三、利润总额,"33,596,378.91","41,970,299.44","26,450,570.25","37,070,669.51","51,803,683.53","12,950,461.80","28,787,092.91","32,450,611.31","35,556,277.62","12,726,111.28","21,631,559.68","28,286,328.19","30,667,701.20","9,407,840.41","17,092,038.55","22,339,664.96","31,120,595.57","8,959,052.67","19,350,230.83","21,155,083.81","7,932,592.97","-5,068,555.68","-14,908,396.70","-17,902,583.36","-82,819,461.20","-10,808,838.26","913,579.38","2,071,784.87","11,164,612.92","7,093,787.07","23,299,357.12","-63,273,161.43","-65,404,526.16","-5,639,878.46","71,498,160.29","232,636,278.31","337,852,219.37"
资产减值损失,"997,630.35","1,247,170.46","437,752.67","437,752.67","925,649.42",,"3,813,355.83","3,610,946.78","5,013,183.23","1,879,768.69","1,803,819.08","986,604.57","2,049,958.93","-453,525.23","2,728,839.50","3,983,172.80","5,101,937.63","1,130,459.15","-8,150,497.67","-7,457,715.76","-5,710,010.34","-1,904,521.33","4,685,460.47","3,058,697.73","28,522,742.84","985,716.16","3,550,882.87","3,987,813.37","10,270,559.66","-1,393,062.28","3,540,373.18","3,725,057.93","10,722,248.82","1,235,343.99","822,911.62","8,845,227.69","9,242,427.63"
减:所得税,"3,666,736.73","7,837,419.55","6,627,980.83","5,560,600.43","8,209,427.49","1,942,569.27","3,822,595.68","4,307,739.46","4,667,486.68","1,651,847.95","2,974,364.19","4,812,781.27","5,007,445.09","2,198,473.54","2,015,741.93","3,513,598.91","5,153,052.44","1,442,701.81","4,159,098.41","4,967,001.61","5,207,967.37","597,267.45","-121,289.86","1,340,355.99","-405,380.96","90,009.55","19,273.00","-179,138.54","-125,255.47","857,298.73","532,770.48","-12,187,377.33","-16,963,034.78","-177,700.36","45,981,438.23","85,010,749.98","120,772,101.56"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-30,614,090.89"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,"-7,554.06","-100,320.63","-574,412.26","-705,941.42","-154,987.34","-412,380.00","-583,109.21","1,962,541.40","2,327,863.45","28,987.47","53,828.05","61,095.95","570,262.59",,"56,147.52","56,147.52","56,147.52",,,,,,,,"21,372,542.07"
