科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"81,133,381.56","87,014,911.09","93,356,898.33","107,101,893.96","584,713,628.27","591,242,720.38","507,308,180.13","491,781,052.70","420,170,067.17","433,998,052.00","436,864,350.39","401,659,631.44","321,679,031.47","279,457,093.32","257,379,620.83","262,951,916.27","243,133,384.31","243,506,204.00","156,425,961.97","131,152,611.12","167,221,926.33","181,915,064.58","149,041,114.76","272,264,507.88","198,398,804.54","162,800,381.79","144,218,025.54","252,270,349.65","156,376,108.77","111,647,011.60","161,679,250.39","238,589,631.41","97,612,362.27","89,643,403.02","447,129,820.94","442,152,972.82"
短期借款,"310,228,961.40","317,509,258.00","210,100,000.00","234,170,000.00",,,,"13,112,800.00",,,,,"20,000,000.00","22,500,000.00","49,071,000.00","69,075,600.00","144,572,162.00","90,495,200.00","44,632,560.00","118,438,620.00","194,443,440.00","192,199,875.00","197,147,750.00","331,102,787.15","350,102,608.00","416,452,483.77","394,157,732.80","376,456,800.00","352,312,000.00","499,000,000.00","544,804,114.78","273,164,414.44","312,970,000.00","574,775,374.51","666,003,694.44","520,310,000.00"
交易性金融资产,,,,,,,"4,499,000.00","2,946,700.00","5,390,500.00","5,180,500.00","7,148,239.00","2,845,663.00",,"1,089,447.00","5,408,326.00","7,054,859.00","12,873,184.00","14,505,177.00","14,178,806.00","8,028,773.00","2,095,280.00","522,650.00","84,070.00","84,070.00","2,657,283.00",,,,,"106,162.00",,,,,,
交易性金融负债,,,,,,,,,,,,,"1,560,967.00",,,,,,"19,805.00","1,655.00","72,146.00",,"4,654,753.00","3,300,065.00",,"750,003.00","5,918,964.00","3,650,000.00","966,246.00",,"341,287.53","4,146.48","235,850.74","1,065,477.70","476,611.08","445,210.06"
应收票据,"600,000.00","500,000.00","1,000,000.00","1,070,000.00","250,000.00",,"3,201,500.00","1,657,000.00","350,000.00","1,352,000.00","1,657,600.00","3,487,471.40","3,619,089.70","6,120,000.00","280,000.00",,"1,029,646.70","3,642,528.70","3,570,000.00","2,870,000.00","1,100,000.00","1,150,000.00","140,000.00","348,700.00","3,944,000.00","3,000,000.00","2,942,540.00","3,881,980.00","9,076,594.00","7,225,500.01","950,000.00","1,280,000.00","3,472,211.20","500,000.00","318,803.22","1,197,451.97"
应付票据,,"2,000,000.00",,,,,,,,,,,,,,,,,,,,"846,414.80","1,676,239.60","2,175,996.80","898,337.43","1,703,361.81","1,894,464.20","2,201,958.06","3,670,038.81","437,137.58",,"2,500,000.00","3,462,009.90","3,181,911.60","1,000,000.00","3,681,196.78"
应收账款,"199,435,767.92","201,275,446.20","172,392,306.47","162,254,136.29","210,685,170.92","172,986,600.28","197,582,502.29","178,388,832.65","205,328,517.85","177,167,998.97","202,308,924.40","159,442,334.90","222,935,148.29","221,973,724.43","203,618,452.34","196,040,314.06","278,050,347.37","204,225,759.40","228,740,559.74","214,174,451.48","284,873,408.87","262,218,829.62","322,267,125.66","233,708,408.80","311,645,178.57","296,497,496.29","282,196,893.85","287,293,375.54","311,206,536.16","279,983,342.05","341,368,404.85","283,795,342.45","318,251,091.29","318,463,183.46","343,079,570.30","261,364,438.29"
应付账款,"134,944,118.86","156,446,788.10","178,008,877.84","129,295,187.83","203,361,739.72","177,630,909.30","183,645,118.66","173,316,219.38","172,336,894.81","159,147,603.98","184,058,123.39","150,552,086.07","188,570,976.48","172,194,823.29","188,992,208.33","165,250,507.37","214,933,591.00","181,738,622.57","248,238,731.88","224,860,680.63","270,493,053.76","218,525,145.26","259,785,582.58","188,403,822.77","261,569,484.71","214,601,816.49","253,141,969.53","219,799,732.22","259,173,395.32","200,057,099.58","260,352,331.52","200,392,508.70","233,658,604.78","212,726,938.16","294,158,504.27","195,456,380.86"
预付款项,"51,110,400.38","53,811,112.27","13,504,032.88","22,041,313.62","45,828,757.64","31,648,534.49","26,269,761.22","40,822,259.32","17,388,447.94","22,139,141.84","78,935,024.16","134,972,101.32","144,611,245.43","43,309,618.62","29,235,117.81","26,753,762.17","34,653,434.65","51,979,738.15","39,337,520.93","54,000,128.67","67,233,297.32","50,352,532.91","43,860,569.20","27,420,985.20","52,366,711.93","88,472,181.13","44,851,386.55","48,284,943.35","53,351,081.16","93,734,034.68","67,304,496.10","55,690,817.65","65,406,346.64","160,995,115.65","174,130,133.54","96,569,357.51"
预收款项,"33,856,581.55","21,389,163.87","16,859,146.81","29,661,370.66","23,913,666.61","18,974,707.66","18,924,412.05","25,312,630.03","21,549,810.10","19,339,847.29","18,670,977.53","16,303,274.50","33,085,105.72","21,299,774.91","14,976,026.09","25,885,128.10","19,709,081.59","17,857,328.63","21,627,565.49","21,505,590.96","31,637,405.33","27,861,551.88","36,325,745.71","35,892,550.07","36,580,810.54","43,090,030.83","25,577,720.67","30,455,346.14","35,831,016.10","21,998,175.80","26,605,200.41","20,239,808.56","23,018,186.82","27,184,871.94","42,733,808.44","43,469,867.24"
