科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"352,414,550.05","450,081,933.67","211,889,658.27","406,399,674.68","189,941,124.94","333,446,440.25","435,527,720.03","147,474,889.98","335,408,274.06","735,179,793.21","572,823,295.71","122,431,390.89","273,867,257.49","522,682,145.27","751,862,073.25","224,464,024.99","851,398,391.22","1,239,585,869.55","915,460,855.76","316,869,217.84","590,823,023.43","652,807,491.95","140,650,459.61","455,511,819.28","671,018,111.99","1,058,917,003.85","981,960,111.84","274,424,480.62","517,995,727.29","769,158,125.37","1,085,774,966.58","408,498,871.86","768,456,677.30","1,076,795,083.32","1,494,751,429.02","279,859,992.98","704,259,847.64"
取得子公司及其他营业单位支付的现金净额,"24,640,000.00",,,,,,,,,,,,,,"2,720,160.00",,,,,,,,,,,,"196,871,613.56",,,"543,116,831.10","683,395,945.15",,"141,898,728.15","175,358,728.15","185,358,728.15",,
收到的税费返还,"496,046.59","6,880,451.85","497,803.80","497,803.80","288,975.69","444,480.75","1,922,743.46","40,589.31","275,672.38","1,324,753.88","3,919,080.14",,,"356,424.03","329,431.43","454,616.55","2,088,499.61","3,951,637.03","5,415,824.85","1,275,961.92","2,729,043.13","3,727,163.47","5,246,078.99","809,233.84","809,233.84","3,126,326.91","809,233.84","57,622.00","2,278,238.43","7,722,633.80","7,647,942.35","2,349,733.79","5,637,104.13","13,125,547.41","9,750,220.43","9,128,176.26","8,299,941.32"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"8,676,759.17",,,,,,,,"2,000,000.00","71,500,000.00","40,000,000.00","30,000,000.00","73,033,867.17","7,000,000.00","80,000,000.00","450,400,384.27"
收到其他与经营活动有关的现金,"1,044,174.65","2,567,341.98","1,287,561.71","5,776,406.34","14,467,281.98","9,194,835.32","4,114,794.27","5,082,542.42","3,266,162.69","30,512,207.23","9,724,639.42","3,951,762.57","10,803,535.59","31,643,637.11","20,070,451.43","4,317,235.93","49,493,650.62","4,857,218.99","35,857,136.71","7,776,857.80","29,975,349.20","24,251,032.47","33,257,216.55","61,760,453.75","71,809,534.28","74,561,871.07","33,265,785.82","62,264,509.56","39,221,663.64","41,088,659.76","69,330,378.45","134,745,087.26","40,451,509.16","48,576,670.15","50,642,836.50","36,272,796.71","23,205,996.04"
投资活动现金流出小计,"63,175,648.48","38,802,036.76","9,959,042.46","28,062,998.10","37,699,562.30","62,127,537.54","90,809,010.32","54,494,192.78","99,382,162.50","166,403,041.61","199,126,860.63","54,322,599.17","97,707,493.00","181,470,646.36","216,415,225.92","93,459,009.53","87,103,407.80","121,875,002.73","141,560,515.90","32,263,576.49","39,072,408.85","136,513,957.24","179,406,116.26","194,171,744.04","329,370,238.12","347,580,479.95","293,078,293.94","282,261,721.91","793,507,782.75","1,509,986,021.05","1,632,916,183.99","149,558,834.01","247,269,737.26","335,499,439.69","731,448,723.09","94,668,943.17","548,352,739.64"
经营活动现金流入小计,"353,954,771.29","459,529,727.50","213,675,023.78","412,673,884.82","204,697,382.61","343,085,756.32","441,565,257.76","152,598,021.71","338,950,109.13","767,016,754.32","586,467,015.27","126,383,153.46","284,670,793.08","554,682,206.41","772,261,956.11","229,235,877.47","902,980,541.45","1,248,394,725.57","956,733,817.32","325,922,037.56","623,527,415.76","680,785,687.89","179,153,755.15","518,081,506.87","743,636,880.11","1,136,605,201.83","1,016,035,131.50","336,746,612.18","559,495,629.36","817,969,418.93","1,162,753,287.38","545,593,692.91","814,545,290.59","1,138,497,300.88","1,555,144,485.95","325,260,965.95","735,765,785.00"
投资活动产生的现金流量净额,"-63,175,648.48","-38,719,036.76","10,050,957.54","-8,052,998.10","-37,699,562.30","-62,127,537.54","-90,809,010.32","-54,494,192.78","-99,382,162.50","-166,403,041.61","-184,308,997.63","-54,322,599.17","-97,707,493.00","-181,470,646.36","-197,538,527.24","-93,459,009.53","-87,103,407.80","-94,990,422.73","-114,566,502.71","-32,259,863.99","-38,784,408.85","-136,225,957.24","-178,828,573.38","-194,171,744.04","-329,062,738.12","-347,272,979.95","-251,924,093.59","-256,213,902.73","-747,459,963.57","-1,441,353,241.48","-1,513,943,024.19","-98,904,348.33","-115,651,168.01","-153,393,555.93","-566,056,676.18","18,670,483.07","-266,394,310.41"
购买商品、接受劳务支付的现金,"250,030,187.99","360,716,318.13","148,357,789.56","295,838,084.19","85,700,672.25","245,917,863.83","349,703,887.25","69,857,564.28","313,983,756.17","611,553,414.18","544,923,816.54","106,038,331.70","171,729,099.11","454,046,168.26","668,174,323.63","251,912,949.92","603,142,740.88","947,228,079.20","650,510,007.38","356,478,037.06","491,780,529.71","689,640,497.15","331,423,865.08","285,327,025.75","386,871,337.17","626,623,132.22","526,492,005.39","142,517,927.37","485,325,082.41","718,173,237.53","796,537,025.44","539,513,393.13","620,978,801.18","867,984,947.04","985,864,096.26","444,097,269.19","487,730,812.31"
吸收投资收到的现金,"27,437,900.00",,,,,"565,800,000.00","556,270,899.00",,,,,,,,,,,,,,,,,"165,327,854.36","165,327,854.36","165,327,854.36","162,160,621.06","5,000,000.00","83,495,200.00","936,445,183.45","944,932,168.39",,,,,,
