科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"352,684,916.58","513,992,947.88","262,067,718.98","729,076,473.21","379,895,467.77","600,200,994.88","852,071,755.09","126,918,495.59","400,737,828.85","630,451,364.79","995,181,347.18","129,960,967.98","298,300,563.99","492,032,170.35","774,894,945.47","71,439,850.40","375,020,644.68","720,216,456.27","1,238,925,508.92","97,843,460.19","363,998,825.87","582,964,122.99","855,793,399.16","107,463,015.94","314,402,940.35","546,403,993.15","816,278,322.66","91,849,402.86","280,961,111.45","449,388,997.34","789,341,823.06","127,223,058.00","352,389,624.25","567,191,163.83","1,185,564,339.59"
二、营业利润,"71,641,408.90","86,098,244.95","59,104,092.86","139,760,001.40","63,071,236.76","119,487,575.71","146,958,988.80","11,080,078.71","61,227,101.13","120,711,189.17","146,321,845.69","10,138,575.19","47,864,516.44","79,913,801.16","84,768,072.75","-1,697,007.08","42,464,779.66","89,148,602.42","136,979,642.11","3,519,132.48","48,242,246.51","77,693,013.14","81,238,773.27","1,393,752.37","17,314,905.28","26,259,899.07","56,481,740.37","1,026,281.58","7,800,343.59","15,648,460.21","28,328,599.53","-7,000,731.77","-39,477,296.80","-64,181,139.10","38,607,117.17"
减:营业成本,"256,606,582.72","365,149,243.77","175,442,423.44","490,116,486.87","254,702,041.75","394,310,783.07","564,017,055.20","93,785,745.69","287,360,634.06","432,514,803.59","716,849,790.81","100,885,537.38","210,976,479.32","343,263,673.94","553,279,049.80","45,669,834.17","271,241,672.58","479,533,412.92","834,272,958.75","59,656,077.26","242,470,144.21","392,797,164.87","577,770,282.56","80,007,212.41","229,795,111.63","402,270,065.64","559,341,114.35","52,827,586.61","185,494,161.81","297,310,961.41","552,709,776.28","86,077,492.12","247,013,394.51","380,486,061.76","826,446,993.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,781,801.57","2,452,819.47","548,044.30","2,363,913.62","2,672,395.71","3,353,097.46","4,598,593.03","1,222,471.45","1,968,024.06","2,913,768.60","7,164,613.15","1,413,997.80","2,065,423.34","3,493,476.82","6,524,838.14","1,781,841.31","2,370,351.05","3,666,533.65","6,732,822.13","1,249,804.59","2,620,074.71","3,875,453.70","6,921,453.30","1,097,764.54","3,364,084.62","4,472,723.32","7,377,083.14","1,095,055.75","1,888,889.20","3,560,336.61","12,001,856.36","2,793,126.84","5,823,948.71","8,273,803.50","16,974,986.96"
营业外收入,"4,521,908.99","5,109,807.52","1,026,339.87","4,963,935.88","2,026,623.20","3,224,623.00","7,457,059.86","70,000.00","1,209,672.38","2,297,587.83","2,133,007.74","904,084.62","8,527,141.40","9,358,765.50","4,271,372.26","175,000.00","1,289,450.00","1,390,101.43","3,709,126.44","27,862.04","1,386,612.04","2,548,499.05","4,819,056.07","456,000.00","2,252,423.69","2,325,249.73","7,675,556.97","145,875.05","857,966.67","1,895,153.84","3,541,676.73","1,340,210.00","12,700.14","255,557.77","9,462,258.43"
销售费用,"19,003,387.49","30,402,321.41","14,494,955.37","49,318,934.50","27,831,063.91","37,415,767.73","66,880,736.91","9,522,105.49","20,698,341.82","30,910,835.22","62,989,420.37","7,511,811.91","14,423,451.05","26,361,351.38","60,205,150.40","8,589,750.81","20,199,964.31","83,556,448.83","143,638,950.46","5,907,644.46","22,770,278.05","35,147,868.11","59,357,286.56","4,445,031.21","21,364,627.32","40,153,511.74","83,814,102.70","12,346,599.15","31,547,811.50","43,833,273.64","85,817,115.47","8,442,222.71","22,428,093.74","42,887,486.73","101,336,373.89"
减:营业外支出,"1,191,293.86","708,536.28","322,631.03","816,290.77","980,591.76","1,290,795.36","1,924,064.44","263,175.70","566,480.54","1,869,730.42","3,128,834.22","96,629.80","313,193.93","483,216.80","1,508,474.54","25,507.30","42,427.25","75,888.76","4,671,902.79","655,125.54","783,061.47","3,533,119.59","4,610,116.17","9,604.43","15,888.80","66,836.05","1,018,416.94",125.00,"451,996.90","1,014,087.94","1,482,374.29","96,784.43","232,530.56","695,370.23","1,293,389.04"
管理费用,"14,759,523.30","28,391,647.95","11,685,341.28","41,429,113.96","22,250,566.77","31,636,124.94","60,332,823.82","13,343,501.83","28,591,861.98","44,849,021.06","63,183,470.89","13,537,281.37","29,139,430.55","46,948,170.70","67,910,291.22","19,374,541.74","37,244,231.85","58,740,135.63","99,745,433.34","24,985,970.80","50,697,485.72","76,931,331.99","112,595,938.94","23,821,084.43","43,793,465.01","62,940,377.92","102,173,161.80","26,592,818.89","55,961,068.12","81,013,319.63","109,188,293.32","23,905,603.27","53,089,536.50","80,213,283.20","119,536,552.60"
其中:非流动资产处置净损失,"130,000.00","15,587.49",,"118,186.20",,,"237,932.14",,,,"56,587.07",,"12,844.94",,"67,540.26",,,,"3,632,573.16",,,,"513,842.57",,,,"15,162.21",,"282,678.17","332,137.29","6,161.00",,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
