科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"306,305,066.92","284,767,841.84","305,132,025.98","137,847,263.35","211,295,849.97","294,263,836.10","76,261,723.07","189,605,970.34","298,312,158.14","402,733,165.74","82,702,389.92","201,537,376.69","306,848,412.77","396,829,148.24","73,458,177.40","182,148,997.36","286,228,533.54","414,975,907.31","87,586,187.19","646,837,082.38","900,237,452.13","1,422,384,008.51","357,730,150.59","755,663,303.54","1,306,899,528.92","1,866,876,668.59","753,993,878.77","1,705,594,766.53","2,770,147,976.57","3,904,564,233.41","1,063,631,802.16","2,414,554,755.64","3,960,072,812.35","5,470,039,874.49","1,669,013,570.84"
二、营业利润,"72,004,745.67","44,309,026.26","38,723,611.05","18,602,451.15","29,328,075.84","40,475,713.17","9,033,106.71","18,482,968.83","30,942,376.20","40,528,192.25","8,205,587.77","23,174,543.28","37,388,599.90","41,669,779.23","905,667.73","4,540,291.34","921,738.96","-149,188,566.54","-20,687,048.97","77,593,312.05","111,178,800.84","293,453,707.23","93,854,812.97","222,340,294.27","340,827,457.05","514,508,312.00","468,865,519.93","1,127,173,563.62","1,804,919,574.44","2,216,558,317.86","674,119,786.80","1,520,114,936.58","2,486,430,030.03","3,425,896,515.21","1,069,513,390.06"
减:营业成本,"215,755,154.99","217,028,795.42","244,096,671.50","107,143,134.12","163,489,493.88","229,906,887.28","63,045,553.73","159,633,453.83","250,240,130.95","336,192,528.12","68,943,678.47","164,653,162.71","243,070,862.73","311,862,840.79","59,687,259.31","145,273,884.12","232,763,827.54","353,319,350.97","91,167,671.18","488,367,333.43","672,894,352.86","964,011,471.79","229,774,998.95","397,769,457.77","675,861,717.60","990,520,176.09","227,744,736.18","471,121,615.74","793,944,240.18","1,122,648,458.40","332,004,634.10","757,076,103.91","1,197,224,655.90","1,633,247,508.57","439,465,171.48"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,796,120.89","1,949,241.96","2,320,698.23","200,134.84","350,711.23","760,077.00","278,772.62","486,933.56","694,164.85","1,117,453.24","442,606.85","1,181,513.89","1,456,984.60","1,571,666.55","312,538.62","501,162.16","698,302.45","952,594.18","175,617.09","1,228,757.96","1,246,509.49","1,713,965.82","701,530.40","1,517,733.06","2,573,090.72","6,877,541.50","4,255,315.91","10,780,992.61","18,112,338.48","43,634,526.94","11,153,217.18","22,644,781.23","39,566,057.67","56,268,676.26","18,089,192.15"
营业外收入,"1,002,043.13","1,973,434.41","5,074,684.92","4,474,674.96","6,100,798.99","7,288,149.60","1,738,799.08","4,963,549.06","7,442,449.04","8,322,599.25","1,327,905.98","2,891,872.85","7,706,079.69","8,208,777.98","1,623,133.00","4,311,221.76","4,986,887.13","10,485,810.15","848,510.99","2,186,059.66","4,856,404.67","35,330,686.04","2,154,835.21","3,160,432.79","4,466,883.76","7,251,995.95","2,613,876.42","4,246,813.39","10,700,704.67","16,497,045.08","3,491,244.00","22,069,617.65","22,206,083.63","49,990,504.68","344,130.32"
销售费用,"6,239,884.86","6,528,481.17","7,349,582.21","3,382,148.56","5,147,871.59","7,623,510.25","1,563,772.69","4,987,929.49","7,298,350.53","10,667,442.42","1,851,182.95","4,244,575.78","7,418,682.94","10,862,333.69","1,270,525.10","3,740,533.70","6,179,120.71","10,036,483.56","2,063,721.58","8,602,922.64","14,848,003.27","21,161,870.92","4,724,050.53","11,519,791.14","18,678,877.61","30,449,778.38","6,537,654.27","14,087,688.58","22,777,927.50","35,889,266.10","6,879,813.73","16,902,829.62","27,367,756.74","38,271,642.49","8,270,770.91"
减:营业外支出,"2,318,197.43","400,333.83","839,697.09","100,858.43","298,937.03","298,937.03","2,324.69","7,324.69","91,245.36","412,679.40","1,080.00","100,162.38","413,898.55","921,460.36","56,422.26","156,166.63","206,879.16","310,861.58","24,431.60","130,642.84","291,941.73","997,174.77","719,619.84","951,034.92","1,301,185.19","8,707,291.66","217,949.39","3,931,198.09","3,643,678.00","74,369,867.98","530,455.80","16,522,733.20","32,766,705.15","24,289,742.95","8,377,927.74"
管理费用,"12,034,705.30","10,965,587.65","9,245,642.23","5,053,357.27","7,715,111.05","13,900,789.85","3,655,821.64","8,575,701.78","13,176,757.79","20,049,767.14","4,659,843.72","10,693,101.93","19,303,663.57","29,126,301.15","5,583,710.07","13,214,045.02","21,290,969.55","137,715,399.63","7,260,985.51","44,129,518.60","70,852,496.65","113,497,939.83","32,452,415.48","82,510,801.48","112,576,835.66","171,890,683.32","31,820,662.62","70,611,737.36","129,502,909.60","197,977,669.11","43,754,242.57","100,253,446.37","169,279,953.94","258,487,038.99","54,515,768.22"
其中:非流动资产处置净损失,"2,016,597.43","24,337.17","38,927.56","83,808.43","83,808.43",,,,,"110,635.51",,"99,082.38","99,082.38","482,710.29",,"20,072.82","20,072.82","20,072.82","24,431.60",,,"65,418.21","65,418.21","222,016.93","397,175.68","4,872,934.48","103,949.39","2,519,013.65","2,352,511.22","8,998,212.18",,"266,586.06","3,559,168.11",,
