科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"125,093,684.80","176,818,130.79","249,661,890.22","96,902,879.77","157,498,937.89","319,126,947.41","43,068,231.54","121,227,098.25","208,197,839.82","361,144,221.76","68,792,236.99","165,821,594.50","256,579,145.45","485,183,315.41","80,490,032.75","202,819,622.98","314,208,072.10","599,723,306.68","61,197,853.63","209,309,181.33","310,651,406.25","635,151,141.02","100,784,866.83","281,812,120.47","355,010,272.10","695,320,121.79","270,744,282.31","494,684,197.34","716,252,877.87","1,269,563,806.63","171,814,010.53","546,861,259.90","897,841,939.00","1,559,700,503.94","371,221,110.46","675,724,555.59","900,022,198.55","1,306,403,791.94","237,776,576.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"115,896,547.67",,,,,,,"24,519,389.16","24,504,613.97",,,,,,,,,,,"5,400,000.00","70,738,759.00",,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,"1,223.67",,,,"3,246,211.88",,,,"37,706.46",,"-87,037.50",,"2,524,180.50",,"409,599.71"
支付其他与投资活动有关的现金,"26,000,000.00",,,,,,,,,"175,000,000.00","175,000,000.00",,,"88,000,000.00","88,000,000.00","61,000,000.00","63,000,000.00","32,334,404.02","8,248,297.28","115,125,321.06","369,864,492.00","336,729,140.00","158,537,658.90","199,280,000.00","408,333,600.00","333,969,660.00","39,901,373.07","55,000,000.00","55,000,000.00","772,910,000.00","11,751,400.00","221,000,000.00","797,384,509.51","136,000,000.00","173,922,812.40","349,196,547.08","349,881,547.08","144,000,000.00","4,116,693.79"
收到其他与经营活动有关的现金,"2,066,039.70","3,482,421.47","4,570,697.94","2,728,070.78","6,432,236.13","5,257,500.94","5,363,013.50","7,053,752.38","11,683,702.01","14,295,922.41","472,462.50","4,917,757.41","18,200,352.16","12,826,200.72","1,368,646.34","3,502,009.85","6,994,083.48","7,525,621.60","2,738,741.89","5,731,188.39","10,403,850.46","14,279,542.28","5,283,821.41","4,369,769.58","1,354,971.89","11,071,832.55","48,615,352.33","48,754,072.00","178,306,593.82","20,920,088.70","50,974,723.01","51,943,424.08","133,716,160.68","83,486,117.93","18,412,652.80","10,822,597.86","96,436,300.03","344,262,205.25","116,118,201.64"
投资活动现金流出小计,"29,046,858.44","8,623,552.90","15,344,555.55","6,050,448.74","7,250,448.74","16,893,021.54","4,075,346.00","6,490,395.00","38,419,410.56","227,470,388.98","176,694,330.68","10,508,031.72","188,244,322.62","308,931,551.27","108,445,122.80","90,768,755.80","104,296,533.85","104,337,554.09","27,994,185.28","167,642,065.85","549,789,970.72","556,182,573.66","181,606,886.17","246,905,608.06","487,452,879.86","465,300,507.55","69,726,034.05","163,161,732.57","232,972,625.06","897,248,712.57","47,208,954.53","282,388,445.38","948,365,857.56","344,373,100.57","194,630,427.22","378,003,065.48","384,420,692.20","188,511,766.72","11,953,571.29"
经营活动现金流入小计,"127,159,724.50","180,300,552.26","254,232,588.16","99,630,950.55","163,931,174.02","324,384,448.35","48,431,245.04","128,280,850.63","219,881,541.83","375,440,144.17","69,264,699.49","170,739,351.91","274,779,497.61","498,009,516.13","81,858,679.09","206,321,632.83","321,202,155.58","607,248,928.28","63,936,595.52","215,040,369.72","321,055,256.71","649,430,683.30","106,068,688.24","286,181,890.05","356,366,467.66","706,391,954.34","319,359,634.64","543,438,269.34","897,805,683.57","1,290,483,895.33","222,788,733.54","598,804,683.98","1,031,595,806.14","1,643,186,621.87","389,546,725.76","686,547,153.45","998,982,679.08","1,650,665,997.19","354,304,378.07"
投资活动产生的现金流量净额,"14,364,689.67","-3,340,083.85","-9,344,555.55","-6,050,448.74","-7,250,448.74","-16,893,021.54","-4,075,346.00","-6,490,395.00","-38,419,410.56","-227,470,388.98","-176,694,330.68","-5,508,031.72","-118,244,322.62","-125,850,187.09","-20,445,122.80","-2,768,755.80","-16,296,533.85","-21,797,991.92","12,340,218.74","-127,307,661.83","-509,455,566.70","-495,144,027.23","-114,412,677.68","-9,094,111.52","-45,833,744.82","-25,733,539.43","-7,995,679.16","39,838,935.32","79,666,615.04","-547,839,859.77","215,815,646.57","463,548,743.17","490,646,530.81","503,535,871.05","-6,544,771.87","-25,492,049.23","-31,909,589.30","32,741,288.17","-11,953,571.29"
购买商品、接受劳务支付的现金,"124,957,081.64","98,213,356.75","182,151,330.85","81,961,143.23","149,675,287.23","228,535,897.80","53,752,856.85","157,259,938.44","221,685,506.51","324,984,770.69","62,958,263.67","143,486,915.72","226,109,736.53","349,356,231.66","65,739,762.99","171,741,285.29","281,592,331.03","471,676,219.92","109,390,794.87","221,563,937.18","344,866,601.44","492,279,179.63","98,283,055.04","220,631,876.88","330,384,882.17","450,526,242.77","253,554,854.00","508,937,606.03","703,362,428.98","1,244,865,418.67","295,725,154.46","860,396,897.42","1,281,214,857.09","1,759,956,764.99","599,309,940.80","837,522,376.79","1,028,017,169.16","1,229,895,884.84","206,875,454.61"
吸收投资收到的现金,"14,000,000.00",,"15,000,000.00",,,"481,560,000.00",,,,,,,,,,,,,,"491,197,758.32","491,197,758.32","494,999,994.66",,,"3,000,000.00","49,798,346.67",,,,,,,"22,000,000.00","30,000,000.00",,,,,
支付给职工以及为职工支付的现金,"6,919,716.83","9,667,829.56","12,082,894.08","8,977,702.81","12,141,533.05","19,755,794.32","2,885,110.53","7,057,261.02","11,229,592.60","19,306,115.65","7,195,122.96","12,374,859.55","17,938,871.66","27,720,223.19","9,890,431.42","17,364,742.84","25,757,976.53","37,290,701.32","10,839,555.03","19,654,710.15","29,730,031.23","42,961,288.87","13,435,711.49","23,249,612.09","34,005,664.77","49,583,159.40","25,992,278.14","53,301,190.92","88,967,949.37","137,874,899.07","31,174,365.79","63,187,985.02","101,538,835.10","163,011,041.48","37,892,889.87","72,418,420.18","110,421,624.65","158,759,034.74","39,318,798.89"
取得借款收到的现金,"50,800,000.00","45,800,000.00","48,900,000.00","8,900,000.00","33,900,000.00","33,900,000.00","8,900,000.00","8,900,000.00","8,900,000.00",,,,,,,,,,"13,777,070.00","139,370,859.00","164,801,644.00","192,644,089.00","17,000,000.00","166,000,000.00","166,000,000.00","176,000,000.00","29,000,000.00","172,000,000.00","377,000,000.00","325,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","233,600,000.00","255,300,000.00","257,800,000.00","257,800,000.00","282,610,000.00","156,780,000.00"
支付的各项税费,"11,895,643.98","23,265,168.87","21,510,061.06","9,599,546.81","16,012,787.26","24,632,672.33","4,889,851.28","10,926,467.01","17,228,904.62","21,201,243.92","10,791,197.79","22,552,636.97","29,490,045.12","35,352,996.86","13,152,854.38","26,469,418.47","36,104,843.90","50,851,804.97","7,123,382.95","28,183,347.96","42,446,495.30","69,352,024.17","13,270,965.47","33,491,147.57","48,209,104.36","67,369,935.13","42,579,546.54","62,229,720.64","99,170,417.58","143,978,802.16","47,927,242.10","71,048,305.25","116,243,824.75","145,053,633.46","37,863,169.96","63,428,756.45","75,319,065.02","89,055,912.69","11,985,327.06"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,505,460.04","524,216.00",,,,"145,800.00",,,,"10,700,000.00",
支付其他与经营活动有关的现金,"3,575,537.43","7,921,494.33","9,036,337.01","5,537,053.85","9,498,096.85","15,170,302.82","3,196,920.09","6,218,145.36","7,488,792.63","18,078,503.67","2,852,427.29","4,415,821.48","13,158,850.37","22,099,510.81","3,686,723.07","8,640,912.46","12,845,403.77","30,985,355.90","20,373,033.11","24,511,280.25","32,365,556.52","60,056,818.54","12,747,345.81","31,615,627.21","1,847,606.18","68,872,624.01","101,162,658.39","80,357,487.66","94,477,802.23","150,193,904.49","86,589,256.71","92,988,485.56","161,871,200.44","136,969,780.79","35,268,374.20","89,092,587.68","141,722,664.08","333,284,467.39","174,386,829.07"
筹资活动现金流入小计,"64,800,000.00","45,800,000.00","63,900,000.00","8,900,000.00","33,900,000.00","515,460,000.00","8,900,000.00","8,900,000.00","8,900,000.00",,,,,,,,,,"13,777,070.00","630,568,617.32","655,999,402.32","687,644,083.66","17,000,000.00","166,000,000.00","169,000,000.00","225,798,346.67","29,000,000.00","172,000,000.00","388,505,460.04","1,517,524,216.00","35,000,000.00","35,000,000.00","57,000,000.00","263,745,800.00","255,300,000.00","257,800,000.00","257,800,000.00","293,310,000.00","156,780,000.00"
经营活动现金流出小计,"147,347,979.88","139,067,849.51","224,780,623.00","106,075,446.70","187,327,704.39","288,094,667.27","64,724,738.75","181,461,811.83","257,632,796.36","383,570,633.93","83,797,011.71","182,830,233.72","286,697,503.68","434,528,962.52","92,469,771.86","224,216,359.06","356,300,555.23","590,804,082.11","147,726,765.96","293,913,275.54","449,408,684.49","664,649,311.21","137,737,077.81","308,988,263.75","414,447,257.48","636,351,961.31","423,289,337.07","704,826,005.25","985,978,598.16","1,676,913,024.39","461,416,019.06","1,087,621,673.25","1,660,868,717.38","2,204,991,220.72","710,334,374.83","1,062,462,141.10","1,355,480,522.91","1,810,995,299.66","432,566,409.63"
偿还债务支付的现金,"35,000,000.00","45,800,000.00","45,800,000.00","13,900,000.00","28,900,000.00","33,900,000.00","8,900,000.00","57,800,000.00","57,800,000.00","48,900,000.00",,,,,,,,,,,,,"15,783,679.37","157,870,859.00","266,633,118.37","266,644,089.00","39,000,000.00","92,000,000.00","162,074,862.85","242,036,595.90",,"120,000,000.00","351,750,000.00","362,749,000.00","56,300,000.00","59,100,000.00","59,100,000.00","203,479,980.00","127,579,478.92"
经营活动产生的现金流量净额,"-20,188,255.38","41,232,702.75","29,451,965.16","-6,444,496.15","-23,396,530.37","36,289,781.08","-16,293,493.71","-53,180,961.20","-37,751,254.53","-8,130,489.76","-14,532,312.22","-12,090,881.81","-11,918,006.07","63,480,553.61","-10,611,092.77","-17,894,726.23","-35,098,399.65","16,444,846.17","-83,790,170.44","-78,872,905.82","-128,353,427.78","-15,218,627.91","-31,668,389.57","-22,806,373.70","-58,080,789.82","70,039,993.03","-103,929,702.43","-161,387,735.91","-88,172,914.59","-386,429,129.06","-238,627,285.52","-488,816,989.27","-629,272,911.24","-561,804,598.85","-320,787,649.07","-375,914,987.65","-356,497,843.83","-160,329,302.47","-78,262,031.56"
